Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,putro,putreo,putro,putrio,I rot
Active Indicative,Present,1st Person,Plural,putramus,putremus,putrimus,putrimus,We rot
Active Indicative,Present,2nd Person,Singular,putras,putres,putris,putris,You rot
Active Indicative,Present,2nd Person,Plural,putratis,putretis,putritis,putritis,You (pl.) rot
Active Indicative,Present,3rd Person,Singular,putrat,putret,putrit,putrit,He/she/it rot
Active Indicative,Present,3rd Person,Plural,putrant,putrent,putriunt,putriunt,They rot
Active Indicative,Imperfect,1st Person,Singular,putrabam,putrebam,putrebam,putriebam,I was roting
Active Indicative,Imperfect,1st Person,Plural,putrabamus,putrebamus,putrebamus,putriebamus,We were roting
Active Indicative,Imperfect,2nd Person,Singular,putrabas,putrebas,putrebas,putriebas,You were roting
Active Indicative,Imperfect,2nd Person,Plural,putrabatis,putrebatis,putrebatis,putriebatis,You (pl.) were roting
Active Indicative,Imperfect,3rd Person,Singular,putrabat,putrebat,putrebat,putriebat,He/she/it was roting
Active Indicative,Imperfect,3rd Person,Plural,putrabant,putrebant,putrebant,putriebant,They were roting
Active Indicative,Future,1st Person,Singular,putrabo,putrebo,putram,putriam,I will rot
Active Indicative,Future,1st Person,Plural,putrabimus,putrebimus,putremus,putriemus,We will rot
Active Indicative,Future,2nd Person,Singular,putrabis,putrebis,putres,putries,You will rot
Active Indicative,Future,2nd Person,Plural,putrabitis,putrebitis,putretis,putrietis,You (pl.) will rot
Active Indicative,Future,3rd Person,Singular,putrabit,putrebit,putret,putriet,He/she/it will rot
Active Indicative,Future,3rd Person,Plural,putrabunt,putrebunt,putrent,putrient,They will rot
Active Indicative,Perfect,1st Person,Singular,putravi,putrui,putri,putri,I have roted
Active Indicative,Perfect,1st Person,Plural,putravimus,putruimus,putrimus,putrimus,We have roted
Active Indicative,Perfect,2nd Person,Singular,putravisti,putruisti,putristi,putristi,You have roted
Active Indicative,Perfect,2nd Person,Plural,putravistis,putruistis,putristis,putristis,You (pl.) have roted
Active Indicative,Perfect,3rd Person,Singular,putravit,putruit,putrit,putrit,He/she/it has roted
Active Indicative,Perfect,3rd Person,Plural,putraverunt,putruerunt,putrerunt,putrerunt,They have roted
Active Indicative,Pluperfect,1st Person,Singular,putraveram,putrueram,putreram,putreram,I had roted
Active Indicative,Pluperfect,1st Person,Plural,putraveramus,putrueramus,putreramus,putreramus,We had roted
Active Indicative,Pluperfect,2nd Person,Singular,putraveras,putrueras,putreras,putreras,You had roted
Active Indicative,Pluperfect,2nd Person,Plural,putraveratis,putrueratis,putreratis,putreratis,You (pl.) had roted
Active Indicative,Pluperfect,3rd Person,Singular,putraverat,putruerat,putrerat,putrerat,He/she/it had roted
Active Indicative,Pluperfect,3rd Person,Plural,putraverant,putruerant,putrerant,putrerant,They had roted
Active Indicative,Future Perfect,1st Person,Singular,putravero,putrueero,putrero,putriero,I will have roted
Active Indicative,Future Perfect,1st Person,Plural,putraverimus,putruerimus,putrerimus,putrierimus,We will have roted
Active Indicative,Future Perfect,2nd Person,Singular,putraveris,putrueris,putreris,putrieris,You will have roted
Active Indicative,Future Perfect,2nd Person,Plural,putraveritis,putrueritis,putreritis,putrieritis,You (pl.) will have roted
Active Indicative,Future Perfect,3rd Person,Singular,putraverit,putruerit,putrerit,putrierit,He/she/it will have roted
Active Indicative,Future Perfect,3rd Person,Plural,putraverint,putruerint,putrerint,putrierint,They will have roted
Passive Indicative,Present,1st Person,Singular,putror,putreor,putror,putrior,I am being roted
Passive Indicative,Present,1st Person,Plural,putramur,putremur,putrimur,putrimur,We are being roted
Passive Indicative,Present,2nd Person,Singular,putraris,putreris,putriris,putriris,You are being roted
Passive Indicative,Present,2nd Person,Plural,putramini,putremini,putrimini,putrimini,You (pl.) are being roted
Passive Indicative,Present,3rd Person,Singular,putratur,putretur,putritur,putritur,He/she/it is being roted
Passive Indicative,Present,3rd Person,Plural,putrantur,putrentur,putriuntur,putriuntur,They are being roted
Passive Indicative,Imperfect,1st Person,Singular,putrabar,putrebar,putrebar,putriebar,I was roted
Passive Indicative,Imperfect,1st Person,Plural,putrabamur,putrebamur,putrebamur,putriebamur,We were roted
Passive Indicative,Imperfect,2nd Person,Singular,putrabaris,putrebaris,putrebaris,putriebaris,You were roted
Passive Indicative,Imperfect,2nd Person,Plural,putrabamini,putrebamini,putrebamini,putriebamini,You (pl.) were roted
Passive Indicative,Imperfect,3rd Person,Singular,putrabatur,putrebatur,putrebatur,putriebatur,He/she/it was roted
Passive Indicative,Imperfect,3rd Person,Plural,putrabantur,putrebantur,putrebantur,putriebantur,They were roted
Passive Indicative,Future,1st Person,Singular,putrabor,putrebor,putrar,putriar,I will be roted
Passive Indicative,Future,1st Person,Plural,putrabimur,putrebimur,putremur,putriemur,We will be roted
Passive Indicative,Future,2nd Person,Singular,putraberis,putreberis,putreris,putrieris,You will be roted
Passive Indicative,Future,2nd Person,Plural,putrabimini,putrebimini,putremini,putriemini,You (pl.) will be roted
Passive Indicative,Future,3rd Person,Singular,putrabitur,putrebitur,putretur,putrietur,He/she/it will be roted
Passive Indicative,Future,3rd Person,Plural,putrabuntur,putrebuntur,putrentur,putrientur,They will be roted
Passive Indicative,Perfect,1st Person,Singular,putratus sum,putretus sum,putrus sum,putrus sum,I have been roted
Passive Indicative,Perfect,1st Person,Plural,putrati sumus,putreti sumus,putri sumus,putri sumus,We have been roted
Passive Indicative,Perfect,2nd Person,Singular,putratus es,putretus es,putrus es,putrus es,You have been roted
Passive Indicative,Perfect,2nd Person,Plural,putrati estis,putreti estis,putri estis,putri estis,You (pl.) have been roted
Passive Indicative,Perfect,3rd Person,Singular,putratus est,putretus est,putrus est,putrus est,He/she/it has been roted
Passive Indicative,Perfect,3rd Person,Plural,putrati sunt,putreti sunt,putri sunt,putri sunt,They have been roted
Passive Indicative,Pluperfect,1st Person,Singular,putratus eram,putretus eram,putrus eram,putrus eram,I had been roted
Passive Indicative,Pluperfect,1st Person,Plural,putrati eramus,putreti eramus,putri eramus,putri eramus,We had been roted
Passive Indicative,Pluperfect,2nd Person,Singular,putratus eras,putretus eras,putrus eras,putrus eras,You had been roted
Passive Indicative,Pluperfect,2nd Person,Plural,putrati eratis,putreti eratis,putri eratis,putri eratis,You (pl.) had been roted
Passive Indicative,Pluperfect,3rd Person,Singular,putratus erat,putretus erat,putrus erat,putrus erat,He/she/it had been roted
Passive Indicative,Pluperfect,3rd Person,Plural,putrati erant,putreti erant,putri erant,putri erant,They had been roted
Passive Indicative,Future Perfect,1st Person,Singular,putratus ero,putretus ero,putrus ero,putrus ero,I will have been roted
Passive Indicative,Future Perfect,1st Person,Plural,putrati erimus,putreti erimus,putri erimus,putri erimus,We will have been roted
Passive Indicative,Future Perfect,2nd Person,Singular,putratus eris,putretus eris,putrus eris,putrus eris,You will have been roted
