Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,quassico,quassiceo,quassico,quassicio,I strike
Active Indicative,Present,1st Person,Plural,quassicamus,quassicemus,quassicimus,quassicimus,We strike
Active Indicative,Present,2nd Person,Singular,quassicas,quassices,quassicis,quassicis,You strike
Active Indicative,Present,2nd Person,Plural,quassicatis,quassicetis,quassicitis,quassicitis,You (pl.) strike
Active Indicative,Present,3rd Person,Singular,quassicat,quassicet,quassicit,quassicit,He/she/it strike
Active Indicative,Present,3rd Person,Plural,quassicant,quassicent,quassiciunt,quassiciunt,They strike
Active Indicative,Imperfect,1st Person,Singular,quassicabam,quassicebam,quassicebam,quassiciebam,I was strikeing
Active Indicative,Imperfect,1st Person,Plural,quassicabamus,quassicebamus,quassicebamus,quassiciebamus,We were strikeing
Active Indicative,Imperfect,2nd Person,Singular,quassicabas,quassicebas,quassicebas,quassiciebas,You were strikeing
Active Indicative,Imperfect,2nd Person,Plural,quassicabatis,quassicebatis,quassicebatis,quassiciebatis,You (pl.) were strikeing
Active Indicative,Imperfect,3rd Person,Singular,quassicabat,quassicebat,quassicebat,quassiciebat,He/she/it was strikeing
Active Indicative,Imperfect,3rd Person,Plural,quassicabant,quassicebant,quassicebant,quassiciebant,They were strikeing
Active Indicative,Future,1st Person,Singular,quassicabo,quassicebo,quassicam,quassiciam,I will strike
Active Indicative,Future,1st Person,Plural,quassicabimus,quassicebimus,quassicemus,quassiciemus,We will strike
Active Indicative,Future,2nd Person,Singular,quassicabis,quassicebis,quassices,quassicies,You will strike
Active Indicative,Future,2nd Person,Plural,quassicabitis,quassicebitis,quassicetis,quassicietis,You (pl.) will strike
Active Indicative,Future,3rd Person,Singular,quassicabit,quassicebit,quassicet,quassiciet,He/she/it will strike
Active Indicative,Future,3rd Person,Plural,quassicabunt,quassicebunt,quassicent,quassicient,They will strike
Active Indicative,Perfect,1st Person,Singular,quassicavi,quassicui,quassici,quassici,I have strikeed
Active Indicative,Perfect,1st Person,Plural,quassicavimus,quassicuimus,quassicimus,quassicimus,We have strikeed
Active Indicative,Perfect,2nd Person,Singular,quassicavisti,quassicuisti,quassicisti,quassicisti,You have strikeed
Active Indicative,Perfect,2nd Person,Plural,quassicavistis,quassicuistis,quassicistis,quassicistis,You (pl.) have strikeed
Active Indicative,Perfect,3rd Person,Singular,quassicavit,quassicuit,quassicit,quassicit,He/she/it has strikeed
