Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,quietio,quietieo,quietio,quietio,I calm down
Active Indicative,Present,1st Person,Plural,quietiamus,quietiemus,quietimus,quietimus,We calm down
Active Indicative,Present,2nd Person,Singular,quietias,quieties,quietis,quietis,You calm down
Active Indicative,Present,2nd Person,Plural,quietiatis,quietietis,quietitis,quietitis,You (pl.) calm down
Active Indicative,Present,3rd Person,Singular,quietiat,quietiet,quietit,quietit,He/she/it calm down
Active Indicative,Present,3rd Person,Plural,quietiant,quietient,quietiunt,quietiunt,They calm down
Active Indicative,Imperfect,1st Person,Singular,quietiabam,quietiebam,quietiebam,quietiebam,I was calm downing
Active Indicative,Imperfect,1st Person,Plural,quietiabamus,quietiebamus,quietiebamus,quietiebamus,We were calm downing
Active Indicative,Imperfect,2nd Person,Singular,quietiabas,quietiebas,quietiebas,quietiebas,You were calm downing
Active Indicative,Imperfect,2nd Person,Plural,quietiabatis,quietiebatis,quietiebatis,quietiebatis,You (pl.) were calm downing
Active Indicative,Imperfect,3rd Person,Singular,quietiabat,quietiebat,quietiebat,quietiebat,He/she/it was calm downing
Active Indicative,Imperfect,3rd Person,Plural,quietiabant,quietiebant,quietiebant,quietiebant,They were calm downing
Active Indicative,Future,1st Person,Singular,quietiabo,quietiebo,quietiam,quietiam,I will calm down
Active Indicative,Future,1st Person,Plural,quietiabimus,quietiebimus,quietiemus,quietiemus,We will calm down
Active Indicative,Future,2nd Person,Singular,quietiabis,quietiebis,quieties,quieties,You will calm down
Active Indicative,Future,2nd Person,Plural,quietiabitis,quietiebitis,quietietis,quietietis,You (pl.) will calm down
Active Indicative,Future,3rd Person,Singular,quietiabit,quietiebit,quietiet,quietiet,He/she/it will calm down
Active Indicative,Future,3rd Person,Plural,quietiabunt,quietiebunt,quietient,quietient,They will calm down
Active Indicative,Perfect,1st Person,Singular,quietiavi,quietiui,quieti,quieti,I have calm downed
Active Indicative,Perfect,1st Person,Plural,quietiavimus,quietiuimus,quietimus,quietimus,We have calm downed
Active Indicative,Perfect,2nd Person,Singular,quietiavisti,quietiuisti,quietisti,quietisti,You have calm downed
Active Indicative,Perfect,2nd Person,Plural,quietiavistis,quietiuistis,quietistis,quietistis,You (pl.) have calm downed
Active Indicative,Perfect,3rd Person,Singular,quietiavit,quietiuit,quietit,quietit,He/she/it has calm downed
Active Indicative,Perfect,3rd Person,Plural,quietiaverunt,quietiuerunt,quietierunt,quietierunt,They have calm downed
Active Indicative,Pluperfect,1st Person,Singular,quietiaveram,quietiueram,quietieram,quietieram,I had calm downed
Active Indicative,Pluperfect,1st Person,Plural,quietiaveramus,quietiueramus,quietieramus,quietieramus,We had calm downed
Active Indicative,Pluperfect,2nd Person,Singular,quietiaveras,quietiueras,quietieras,quietieras,You had calm downed
Active Indicative,Pluperfect,2nd Person,Plural,quietiaveratis,quietiueratis,quietieratis,quietieratis,You (pl.) had calm downed
