Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,ragulo,raguleo,ragulo,ragulio,I bellow
Active Indicative,Present,1st Person,Plural,ragulamus,ragulemus,ragulimus,ragulimus,We bellow
Active Indicative,Present,2nd Person,Singular,ragulas,ragules,ragulis,ragulis,You bellow
Active Indicative,Present,2nd Person,Plural,ragulatis,raguletis,ragulitis,ragulitis,You (pl.) bellow
Active Indicative,Present,3rd Person,Singular,ragulat,ragulet,ragulit,ragulit,He/she/it bellow
Active Indicative,Present,3rd Person,Plural,ragulant,ragulent,raguliunt,raguliunt,They bellow
Active Indicative,Imperfect,1st Person,Singular,ragulabam,ragulebam,ragulebam,raguliebam,I was bellowing
Active Indicative,Imperfect,1st Person,Plural,ragulabamus,ragulebamus,ragulebamus,raguliebamus,We were bellowing
Active Indicative,Imperfect,2nd Person,Singular,ragulabas,ragulebas,ragulebas,raguliebas,You were bellowing
Active Indicative,Imperfect,2nd Person,Plural,ragulabatis,ragulebatis,ragulebatis,raguliebatis,You (pl.) were bellowing
Active Indicative,Imperfect,3rd Person,Singular,ragulabat,ragulebat,ragulebat,raguliebat,He/she/it was bellowing
Active Indicative,Imperfect,3rd Person,Plural,ragulabant,ragulebant,ragulebant,raguliebant,They were bellowing
Active Indicative,Future,1st Person,Singular,ragulabo,ragulebo,ragulam,raguliam,I will bellow
Active Indicative,Future,1st Person,Plural,ragulabimus,ragulebimus,ragulemus,raguliemus,We will bellow
Active Indicative,Future,2nd Person,Singular,ragulabis,ragulebis,ragules,ragulies,You will bellow
Active Indicative,Future,2nd Person,Plural,ragulabitis,ragulebitis,raguletis,ragulietis,You (pl.) will bellow
Active Indicative,Future,3rd Person,Singular,ragulabit,ragulebit,ragulet,raguliet,He/she/it will bellow
Active Indicative,Future,3rd Person,Plural,ragulabunt,ragulebunt,ragulent,ragulient,They will bellow
Active Indicative,Perfect,1st Person,Singular,ragulavi,ragului,raguli,raguli,I have bellowed
Active Indicative,Perfect,1st Person,Plural,ragulavimus,raguluimus,ragulimus,ragulimus,We have bellowed
Active Indicative,Perfect,2nd Person,Singular,ragulavisti,raguluisti,ragulisti,ragulisti,You have bellowed
Active Indicative,Perfect,2nd Person,Plural,ragulavistis,raguluistis,ragulistis,ragulistis,You (pl.) have bellowed
Active Indicative,Perfect,3rd Person,Singular,ragulavit,raguluit,ragulit,ragulit,He/she/it has bellowed
Active Indicative,Perfect,3rd Person,Plural,ragulaverunt,raguluerunt,ragulerunt,ragulerunt,They have bellowed
Active Indicative,Pluperfect,1st Person,Singular,ragulaveram,ragulueram,raguleram,raguleram,I had bellowed
Active Indicative,Pluperfect,1st Person,Plural,ragulaveramus,ragulueramus,raguleramus,raguleramus,We had bellowed
Active Indicative,Pluperfect,2nd Person,Singular,ragulaveras,ragulueras,raguleras,raguleras,You had bellowed
Active Indicative,Pluperfect,2nd Person,Plural,ragulaveratis,ragulueratis,raguleratis,raguleratis,You (pl.) had bellowed
Active Indicative,Pluperfect,3rd Person,Singular,ragulaverat,raguluerat,ragulerat,ragulerat,He/she/it had bellowed
Active Indicative,Pluperfect,3rd Person,Plural,ragulaverant,raguluerant,ragulerant,ragulerant,They had bellowed
Active Indicative,Future Perfect,1st Person,Singular,ragulavero,ragulueero,ragulero,raguliero,I will have bellowed
Active Indicative,Future Perfect,1st Person,Plural,ragulaverimus,raguluerimus,ragulerimus,ragulierimus,We will have bellowed
Active Indicative,Future Perfect,2nd Person,Singular,ragulaveris,ragulueris,raguleris,ragulieris,You will have bellowed
Active Indicative,Future Perfect,2nd Person,Plural,ragulaveritis,ragulueritis,raguleritis,ragulieritis,You (pl.) will have bellowed
