Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,raspo,raspeo,raspo,raspio,I scrape
Active Indicative,Present,1st Person,Plural,raspamus,raspemus,raspimus,raspimus,We scrape
Active Indicative,Present,2nd Person,Singular,raspas,raspes,raspis,raspis,You scrape
Active Indicative,Present,2nd Person,Plural,raspatis,raspetis,raspitis,raspitis,You (pl.) scrape
Active Indicative,Present,3rd Person,Singular,raspat,raspet,raspit,raspit,He/she/it scrape
Active Indicative,Present,3rd Person,Plural,raspant,raspent,raspiunt,raspiunt,They scrape
Active Indicative,Imperfect,1st Person,Singular,raspabam,raspebam,raspebam,raspiebam,I was scrapeing
Active Indicative,Imperfect,1st Person,Plural,raspabamus,raspebamus,raspebamus,raspiebamus,We were scrapeing
Active Indicative,Imperfect,2nd Person,Singular,raspabas,raspebas,raspebas,raspiebas,You were scrapeing
Active Indicative,Imperfect,2nd Person,Plural,raspabatis,raspebatis,raspebatis,raspiebatis,You (pl.) were scrapeing
Active Indicative,Imperfect,3rd Person,Singular,raspabat,raspebat,raspebat,raspiebat,He/she/it was scrapeing
Active Indicative,Imperfect,3rd Person,Plural,raspabant,raspebant,raspebant,raspiebant,They were scrapeing
Active Indicative,Future,1st Person,Singular,raspabo,raspebo,raspam,raspiam,I will scrape
Active Indicative,Future,1st Person,Plural,raspabimus,raspebimus,raspemus,raspiemus,We will scrape
Active Indicative,Future,2nd Person,Singular,raspabis,raspebis,raspes,raspies,You will scrape
Active Indicative,Future,2nd Person,Plural,raspabitis,raspebitis,raspetis,raspietis,You (pl.) will scrape
Active Indicative,Future,3rd Person,Singular,raspabit,raspebit,raspet,raspiet,He/she/it will scrape
Active Indicative,Future,3rd Person,Plural,raspabunt,raspebunt,raspent,raspient,They will scrape
Active Indicative,Perfect,1st Person,Singular,raspavi,raspui,raspi,raspi,I have scrapeed
Active Indicative,Perfect,1st Person,Plural,raspavimus,raspuimus,raspimus,raspimus,We have scrapeed
Active Indicative,Perfect,2nd Person,Singular,raspavisti,raspuisti,raspisti,raspisti,You have scrapeed
Active Indicative,Perfect,2nd Person,Plural,raspavistis,raspuistis,raspistis,raspistis,You (pl.) have scrapeed
Active Indicative,Perfect,3rd Person,Singular,raspavit,raspuit,raspit,raspit,He/she/it has scrapeed
