Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,rectifico,rectificeo,rectifico,rectificio,I straighten
Active Indicative,Present,1st Person,Plural,rectificamus,rectificemus,rectificimus,rectificimus,We straighten
Active Indicative,Present,2nd Person,Singular,rectificas,rectifices,rectificis,rectificis,You straighten
Active Indicative,Present,2nd Person,Plural,rectificatis,rectificetis,rectificitis,rectificitis,You (pl.) straighten
Active Indicative,Present,3rd Person,Singular,rectificat,rectificet,rectificit,rectificit,He/she/it straighten
Active Indicative,Present,3rd Person,Plural,rectificant,rectificent,rectificiunt,rectificiunt,They straighten
Active Indicative,Imperfect,1st Person,Singular,rectificabam,rectificebam,rectificebam,rectificiebam,I was straightening
Active Indicative,Imperfect,1st Person,Plural,rectificabamus,rectificebamus,rectificebamus,rectificiebamus,We were straightening
Active Indicative,Imperfect,2nd Person,Singular,rectificabas,rectificebas,rectificebas,rectificiebas,You were straightening
Active Indicative,Imperfect,2nd Person,Plural,rectificabatis,rectificebatis,rectificebatis,rectificiebatis,You (pl.) were straightening
Active Indicative,Imperfect,3rd Person,Singular,rectificabat,rectificebat,rectificebat,rectificiebat,He/she/it was straightening
Active Indicative,Imperfect,3rd Person,Plural,rectificabant,rectificebant,rectificebant,rectificiebant,They were straightening
Active Indicative,Future,1st Person,Singular,rectificabo,rectificebo,rectificam,rectificiam,I will straighten
Active Indicative,Future,1st Person,Plural,rectificabimus,rectificebimus,rectificemus,rectificiemus,We will straighten
Active Indicative,Future,2nd Person,Singular,rectificabis,rectificebis,rectifices,rectificies,You will straighten
Active Indicative,Future,2nd Person,Plural,rectificabitis,rectificebitis,rectificetis,rectificietis,You (pl.) will straighten
Active Indicative,Future,3rd Person,Singular,rectificabit,rectificebit,rectificet,rectificiet,He/she/it will straighten
Active Indicative,Future,3rd Person,Plural,rectificabunt,rectificebunt,rectificent,rectificient,They will straighten
Active Indicative,Perfect,1st Person,Singular,rectificavi,rectificui,rectifici,rectifici,I have straightened
Active Indicative,Perfect,1st Person,Plural,rectificavimus,rectificuimus,rectificimus,rectificimus,We have straightened
Active Indicative,Perfect,2nd Person,Singular,rectificavisti,rectificuisti,rectificisti,rectificisti,You have straightened
Active Indicative,Perfect,2nd Person,Plural,rectificavistis,rectificuistis,rectificistis,rectificistis,You (pl.) have straightened
Active Indicative,Perfect,3rd Person,Singular,rectificavit,rectificuit,rectificit,rectificit,He/she/it has straightened
Active Indicative,Perfect,3rd Person,Plural,rectificaverunt,rectificuerunt,rectificerunt,rectificerunt,They have straightened
Active Indicative,Pluperfect,1st Person,Singular,rectificaveram,rectificueram,rectificeram,rectificeram,I had straightened
Active Indicative,Pluperfect,1st Person,Plural,rectificaveramus,rectificueramus,rectificeramus,rectificeramus,We had straightened
Active Indicative,Pluperfect,2nd Person,Singular,rectificaveras,rectificueras,rectificeras,rectificeras,You had straightened
Active Indicative,Pluperfect,2nd Person,Plural,rectificaveratis,rectificueratis,rectificeratis,rectificeratis,You (pl.) had straightened
Active Indicative,Pluperfect,3rd Person,Singular,rectificaverat,rectificuerat,rectificerat,rectificerat,He/she/it had straightened
Active Indicative,Pluperfect,3rd Person,Plural,rectificaverant,rectificuerant,rectificerant,rectificerant,They had straightened
Active Indicative,Future Perfect,1st Person,Singular,rectificavero,rectificueero,rectificero,rectificiero,I will have straightened
Active Indicative,Future Perfect,1st Person,Plural,rectificaverimus,rectificuerimus,rectificerimus,rectificierimus,We will have straightened
Active Indicative,Future Perfect,2nd Person,Singular,rectificaveris,rectificueris,rectificeris,rectificieris,You will have straightened
Active Indicative,Future Perfect,2nd Person,Plural,rectificaveritis,rectificueritis,rectificeritis,rectificieritis,You (pl.) will have straightened
