Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,recuso,recuseo,recuso,recusio,I refuse
Active Indicative,Present,1st Person,Plural,recusamus,recusemus,recusimus,recusimus,We refuse
Active Indicative,Present,2nd Person,Singular,recusas,recuses,recusis,recusis,You refuse
Active Indicative,Present,2nd Person,Plural,recusatis,recusetis,recusitis,recusitis,You (pl.) refuse
Active Indicative,Present,3rd Person,Singular,recusat,recuset,recusit,recusit,He/she/it refuse
Active Indicative,Present,3rd Person,Plural,recusant,recusent,recusiunt,recusiunt,They refuse
Active Indicative,Imperfect,1st Person,Singular,recusabam,recusebam,recusebam,recusiebam,I was refuseing
Active Indicative,Imperfect,1st Person,Plural,recusabamus,recusebamus,recusebamus,recusiebamus,We were refuseing
Active Indicative,Imperfect,2nd Person,Singular,recusabas,recusebas,recusebas,recusiebas,You were refuseing
Active Indicative,Imperfect,2nd Person,Plural,recusabatis,recusebatis,recusebatis,recusiebatis,You (pl.) were refuseing
Active Indicative,Imperfect,3rd Person,Singular,recusabat,recusebat,recusebat,recusiebat,He/she/it was refuseing
Active Indicative,Imperfect,3rd Person,Plural,recusabant,recusebant,recusebant,recusiebant,They were refuseing
Active Indicative,Future,1st Person,Singular,recusabo,recusebo,recusam,recusiam,I will refuse
Active Indicative,Future,1st Person,Plural,recusabimus,recusebimus,recusemus,recusiemus,We will refuse
Active Indicative,Future,2nd Person,Singular,recusabis,recusebis,recuses,recusies,You will refuse
Active Indicative,Future,2nd Person,Plural,recusabitis,recusebitis,recusetis,recusietis,You (pl.) will refuse
Active Indicative,Future,3rd Person,Singular,recusabit,recusebit,recuset,recusiet,He/she/it will refuse
Active Indicative,Future,3rd Person,Plural,recusabunt,recusebunt,recusent,recusient,They will refuse
Active Indicative,Perfect,1st Person,Singular,recusavi,recusui,recusi,recusi,I have refuseed
Active Indicative,Perfect,1st Person,Plural,recusavimus,recusuimus,recusimus,recusimus,We have refuseed
Active Indicative,Perfect,2nd Person,Singular,recusavisti,recusuisti,recusisti,recusisti,You have refuseed
Active Indicative,Perfect,2nd Person,Plural,recusavistis,recusuistis,recusistis,recusistis,You (pl.) have refuseed
Active Indicative,Perfect,3rd Person,Singular,recusavit,recusuit,recusit,recusit,He/she/it has refuseed
Active Indicative,Perfect,3rd Person,Plural,recusaverunt,recusuerunt,recuserunt,recuserunt,They have refuseed
Active Indicative,Pluperfect,1st Person,Singular,recusaveram,recusueram,recuseram,recuseram,I had refuseed
Active Indicative,Pluperfect,1st Person,Plural,recusaveramus,recusueramus,recuseramus,recuseramus,We had refuseed
Active Indicative,Pluperfect,2nd Person,Singular,recusaveras,recusueras,recuseras,recuseras,You had refuseed
Active Indicative,Pluperfect,2nd Person,Plural,recusaveratis,recusueratis,recuseratis,recuseratis,You (pl.) had refuseed
Active Indicative,Pluperfect,3rd Person,Singular,recusaverat,recusuerat,recuserat,recuserat,He/she/it had refuseed
Active Indicative,Pluperfect,3rd Person,Plural,recusaverant,recusuerant,recuserant,recuserant,They had refuseed
Active Indicative,Future Perfect,1st Person,Singular,recusavero,recusueero,recusero,recusiero,I will have refuseed
Active Indicative,Future Perfect,1st Person,Plural,recusaverimus,recusuerimus,recuserimus,recusierimus,We will have refuseed
Active Indicative,Future Perfect,2nd Person,Singular,recusaveris,recusueris,recuseris,recusieris,You will have refuseed
Active Indicative,Future Perfect,2nd Person,Plural,recusaveritis,recusueritis,recuseritis,recusieritis,You (pl.) will have refuseed
Active Indicative,Future Perfect,3rd Person,Singular,recusaverit,recusuerit,recuserit,recusierit,He/she/it will have refuseed
Active Indicative,Future Perfect,3rd Person,Plural,recusaverint,recusuerint,recuserint,recusierint,They will have refuseed
Passive Indicative,Present,1st Person,Singular,recusor,recuseor,recusor,recusior,I am being refuseed
Passive Indicative,Present,1st Person,Plural,recusamur,recusemur,recusimur,recusimur,We are being refuseed
Passive Indicative,Present,2nd Person,Singular,recusaris,recuseris,recusiris,recusiris,You are being refuseed
Passive Indicative,Present,2nd Person,Plural,recusamini,recusemini,recusimini,recusimini,You (pl.) are being refuseed
Passive Indicative,Present,3rd Person,Singular,recusatur,recusetur,recusitur,recusitur,He/she/it is being refuseed
Passive Indicative,Present,3rd Person,Plural,recusantur,recusentur,recusiuntur,recusiuntur,They are being refuseed
Passive Indicative,Imperfect,1st Person,Singular,recusabar,recusebar,recusebar,recusiebar,I was refuseed
Passive Indicative,Imperfect,1st Person,Plural,recusabamur,recusebamur,recusebamur,recusiebamur,We were refuseed
Passive Indicative,Imperfect,2nd Person,Singular,recusabaris,recusebaris,recusebaris,recusiebaris,You were refuseed
Passive Indicative,Imperfect,2nd Person,Plural,recusabamini,recusebamini,recusebamini,recusiebamini,You (pl.) were refuseed
Passive Indicative,Imperfect,3rd Person,Singular,recusabatur,recusebatur,recusebatur,recusiebatur,He/she/it was refuseed
Passive Indicative,Imperfect,3rd Person,Plural,recusabantur,recusebantur,recusebantur,recusiebantur,They were refuseed
Passive Indicative,Future,1st Person,Singular,recusabor,recusebor,recusar,recusiar,I will be refuseed
Passive Indicative,Future,1st Person,Plural,recusabimur,recusebimur,recusemur,recusiemur,We will be refuseed
Passive Indicative,Future,2nd Person,Singular,recusaberis,recuseberis,recuseris,recusieris,You will be refuseed
Passive Indicative,Future,2nd Person,Plural,recusabimini,recusebimini,recusemini,recusiemini,You (pl.) will be refuseed
Passive Indicative,Future,3rd Person,Singular,recusabitur,recusebitur,recusetur,recusietur,He/she/it will be refuseed
Passive Indicative,Future,3rd Person,Plural,recusabuntur,recusebuntur,recusentur,recusientur,They will be refuseed
Passive Indicative,Perfect,1st Person,Singular,recusatus sum,recusetus sum,recusus sum,recusus sum,I have been refuseed
Passive Indicative,Perfect,1st Person,Plural,recusati sumus,recuseti sumus,recusi sumus,recusi sumus,We have been refuseed
Passive Indicative,Perfect,2nd Person,Singular,recusatus es,recusetus es,recusus es,recusus es,You have been refuseed
Passive Indicative,Perfect,2nd Person,Plural,recusati estis,recuseti estis,recusi estis,recusi estis,You (pl.) have been refuseed
Passive Indicative,Perfect,3rd Person,Singular,recusatus est,recusetus est,recusus est,recusus est,He/she/it has been refuseed
Passive Indicative,Perfect,3rd Person,Plural,recusati sunt,recuseti sunt,recusi sunt,recusi sunt,They have been refuseed
Passive Indicative,Pluperfect,1st Person,Singular,recusatus eram,recusetus eram,recusus eram,recusus eram,I had been refuseed
Passive Indicative,Pluperfect,1st Person,Plural,recusati eramus,recuseti eramus,recusi eramus,recusi eramus,We had been refuseed
Passive Indicative,Pluperfect,2nd Person,Singular,recusatus eras,recusetus eras,recusus eras,recusus eras,You had been refuseed
Passive Indicative,Pluperfect,2nd Person,Plural,recusati eratis,recuseti eratis,recusi eratis,recusi eratis,You (pl.) had been refuseed
Passive Indicative,Pluperfect,3rd Person,Singular,recusatus erat,recusetus erat,recusus erat,recusus erat,He/she/it had been refuseed
Passive Indicative,Pluperfect,3rd Person,Plural,recusati erant,recuseti erant,recusi erant,recusi erant,They had been refuseed
Passive Indicative,Future Perfect,1st Person,Singular,recusatus ero,recusetus ero,recusus ero,recusus ero,I will have been refuseed
Passive Indicative,Future Perfect,1st Person,Plural,recusati erimus,recuseti erimus,recusi erimus,recusi erimus,We will have been refuseed
Passive Indicative,Future Perfect,2nd Person,Singular,recusatus eris,recusetus eris,recusus eris,recusus eris,You will have been refuseed
Passive Indicative,Future Perfect,2nd Person,Plural,recusati eritis,recuseti eritis,recusi eritis,recusi eritis,You (pl.) will have been refuseed
Passive Indicative,Future Perfect,3rd Person,Singular,recusatus erit,recusetus erit,recusus erit,recusus erit,He/she/it will have been refuseed
Passive Indicative,Future Perfect,3rd Person,Plural,recusati erunt,recuseti erunt,recusi erunt,recusi erunt,They will have been refuseed
Active Subjunctive,Present,1st Person,Singular,recusem,recusem,recusam,recusam,I may refuse
Active Subjunctive,Present,1st Person,Plural,recusemus,recusemus,recusamus,recusamus,We may refuse
Active Subjunctive,Present,2nd Person,Singular,recuses,recuses,recusas,recusas,You may refuse
Active Subjunctive,Present,2nd Person,Plural,recusetis,recusetis,recusatis,recusatis,You (pl.) may refuse
Active Subjunctive,Present,3rd Person,Singular,recuset,recuset,recusat,recusat,He/she/it may refuse
Active Subjunctive,Present,3rd Person,Plural,recusent,recusent,recusant,recusant,They may refuse
Active Subjunctive,Imperfect,1st Person,Singular,recusarem,recuserem,recuserem,recusirem,I should refuse
Active Subjunctive,Imperfect,1st Person,Plural,recusaremus,recuseremus,recuseremus,recusiremus,We should refuse
Active Subjunctive,Imperfect,2nd Person,Singular,recusares,recuseres,recuseres,recusires,You should refuse
Active Subjunctive,Imperfect,2nd Person,Plural,recusaretis,recuseretis,recuseretis,recusiretis,You (pl.) should refuse
Active Subjunctive,Imperfect,3rd Person,Singular,recusaret,recuseret,recuseret,recusiret,He/she/it should refuse
Active Subjunctive,Imperfect,3rd Person,Plural,recusarent,recuserent,recuserent,recusirent,They should refuse
Active Subjunctive,Perfect,1st Person,Singular,recuserim,recusuerim,recuserim,recusierim,I may have refuseed
Active Subjunctive,Perfect,1st Person,Plural,recuserimus,recusuerimus,recuserimus,recusierimus,We may have refuseed
Active Subjunctive,Perfect,2nd Person,Singular,recuseris,recusueris,recuseris,recusieris,You may have refuseed
Active Subjunctive,Perfect,2nd Person,Plural,recuseritis,recusueritis,recuseritis,recusieritis,You (pl.) may have refuseed
Active Subjunctive,Perfect,3rd Person,Singular,recuserit,recusuerit,recuserit,recusierit,He/she/it may have refuseed
Active Subjunctive,Perfect,3rd Person,Plural,recuserint,recusuerint,recuserint,recusierint,They may have refuseed
Active Subjunctive,Pluperfect,1st Person,Singular,recusissem,recusuissem,recusissem,recusissem,I should have refuseed
