Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,reexcapto,reexcapteo,reexcapto,reexcaptio,I rescue
Active Indicative,Present,1st Person,Plural,reexcaptamus,reexcaptemus,reexcaptimus,reexcaptimus,We rescue
Active Indicative,Present,2nd Person,Singular,reexcaptas,reexcaptes,reexcaptis,reexcaptis,You rescue
Active Indicative,Present,2nd Person,Plural,reexcaptatis,reexcaptetis,reexcaptitis,reexcaptitis,You (pl.) rescue
Active Indicative,Present,3rd Person,Singular,reexcaptat,reexcaptet,reexcaptit,reexcaptit,He/she/it rescue
Active Indicative,Present,3rd Person,Plural,reexcaptant,reexcaptent,reexcaptiunt,reexcaptiunt,They rescue
Active Indicative,Imperfect,1st Person,Singular,reexcaptabam,reexcaptebam,reexcaptebam,reexcaptiebam,I was rescueing
Active Indicative,Imperfect,1st Person,Plural,reexcaptabamus,reexcaptebamus,reexcaptebamus,reexcaptiebamus,We were rescueing
Active Indicative,Imperfect,2nd Person,Singular,reexcaptabas,reexcaptebas,reexcaptebas,reexcaptiebas,You were rescueing
Active Indicative,Imperfect,2nd Person,Plural,reexcaptabatis,reexcaptebatis,reexcaptebatis,reexcaptiebatis,You (pl.) were rescueing
Active Indicative,Imperfect,3rd Person,Singular,reexcaptabat,reexcaptebat,reexcaptebat,reexcaptiebat,He/she/it was rescueing
Active Indicative,Imperfect,3rd Person,Plural,reexcaptabant,reexcaptebant,reexcaptebant,reexcaptiebant,They were rescueing
Active Indicative,Future,1st Person,Singular,reexcaptabo,reexcaptebo,reexcaptam,reexcaptiam,I will rescue
Active Indicative,Future,1st Person,Plural,reexcaptabimus,reexcaptebimus,reexcaptemus,reexcaptiemus,We will rescue
Active Indicative,Future,2nd Person,Singular,reexcaptabis,reexcaptebis,reexcaptes,reexcapties,You will rescue
Active Indicative,Future,2nd Person,Plural,reexcaptabitis,reexcaptebitis,reexcaptetis,reexcaptietis,You (pl.) will rescue
Active Indicative,Future,3rd Person,Singular,reexcaptabit,reexcaptebit,reexcaptet,reexcaptiet,He/she/it will rescue
Active Indicative,Future,3rd Person,Plural,reexcaptabunt,reexcaptebunt,reexcaptent,reexcaptient,They will rescue
Active Indicative,Perfect,1st Person,Singular,reexcaptavi,reexcaptui,reexcapti,reexcapti,I have rescueed
Active Indicative,Perfect,1st Person,Plural,reexcaptavimus,reexcaptuimus,reexcaptimus,reexcaptimus,We have rescueed
Active Indicative,Perfect,2nd Person,Singular,reexcaptavisti,reexcaptuisti,reexcaptisti,reexcaptisti,You have rescueed
Active Indicative,Perfect,2nd Person,Plural,reexcaptavistis,reexcaptuistis,reexcaptistis,reexcaptistis,You (pl.) have rescueed
Active Indicative,Perfect,3rd Person,Singular,reexcaptavit,reexcaptuit,reexcaptit,reexcaptit,He/she/it has rescueed
Active Indicative,Perfect,3rd Person,Plural,reexcaptaverunt,reexcaptuerunt,reexcapterunt,reexcapterunt,They have rescueed
Active Indicative,Pluperfect,1st Person,Singular,reexcaptaveram,reexcaptueram,reexcapteram,reexcapteram,I had rescueed
Active Indicative,Pluperfect,1st Person,Plural,reexcaptaveramus,reexcaptueramus,reexcapteramus,reexcapteramus,We had rescueed
Active Indicative,Pluperfect,2nd Person,Singular,reexcaptaveras,reexcaptueras,reexcapteras,reexcapteras,You had rescueed
Active Indicative,Pluperfect,2nd Person,Plural,reexcaptaveratis,reexcaptueratis,reexcapteratis,reexcapteratis,You (pl.) had rescueed
Active Indicative,Pluperfect,3rd Person,Singular,reexcaptaverat,reexcaptuerat,reexcapterat,reexcapterat,He/she/it had rescueed
Active Indicative,Pluperfect,3rd Person,Plural,reexcaptaverant,reexcaptuerant,reexcapterant,reexcapterant,They had rescueed
Active Indicative,Future Perfect,1st Person,Singular,reexcaptavero,reexcaptueero,reexcaptero,reexcaptiero,I will have rescueed
Active Indicative,Future Perfect,1st Person,Plural,reexcaptaverimus,reexcaptuerimus,reexcapterimus,reexcaptierimus,We will have rescueed
Active Indicative,Future Perfect,2nd Person,Singular,reexcaptaveris,reexcaptueris,reexcapteris,reexcaptieris,You will have rescueed
Active Indicative,Future Perfect,2nd Person,Plural,reexcaptaveritis,reexcaptueritis,reexcapteritis,reexcaptieritis,You (pl.) will have rescueed
Active Indicative,Future Perfect,3rd Person,Singular,reexcaptaverit,reexcaptuerit,reexcapterit,reexcaptierit,He/she/it will have rescueed
Active Indicative,Future Perfect,3rd Person,Plural,reexcaptaverint,reexcaptuerint,reexcapterint,reexcaptierint,They will have rescueed
Passive Indicative,Present,1st Person,Singular,reexcaptor,reexcapteor,reexcaptor,reexcaptior,I am being rescueed
Passive Indicative,Present,1st Person,Plural,reexcaptamur,reexcaptemur,reexcaptimur,reexcaptimur,We are being rescueed
Passive Indicative,Present,2nd Person,Singular,reexcaptaris,reexcapteris,reexcaptiris,reexcaptiris,You are being rescueed
Passive Indicative,Present,2nd Person,Plural,reexcaptamini,reexcaptemini,reexcaptimini,reexcaptimini,You (pl.) are being rescueed
Passive Indicative,Present,3rd Person,Singular,reexcaptatur,reexcaptetur,reexcaptitur,reexcaptitur,He/she/it is being rescueed
Passive Indicative,Present,3rd Person,Plural,reexcaptantur,reexcaptentur,reexcaptiuntur,reexcaptiuntur,They are being rescueed
Passive Indicative,Imperfect,1st Person,Singular,reexcaptabar,reexcaptebar,reexcaptebar,reexcaptiebar,I was rescueed
Passive Indicative,Imperfect,1st Person,Plural,reexcaptabamur,reexcaptebamur,reexcaptebamur,reexcaptiebamur,We were rescueed
Passive Indicative,Imperfect,2nd Person,Singular,reexcaptabaris,reexcaptebaris,reexcaptebaris,reexcaptiebaris,You were rescueed
