Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,refuso,refuseo,refuso,refusio,I refuse
Active Indicative,Present,1st Person,Plural,refusamus,refusemus,refusimus,refusimus,We refuse
Active Indicative,Present,2nd Person,Singular,refusas,refuses,refusis,refusis,You refuse
Active Indicative,Present,2nd Person,Plural,refusatis,refusetis,refusitis,refusitis,You (pl.) refuse
Active Indicative,Present,3rd Person,Singular,refusat,refuset,refusit,refusit,He/she/it refuse
Active Indicative,Present,3rd Person,Plural,refusant,refusent,refusiunt,refusiunt,They refuse
Active Indicative,Imperfect,1st Person,Singular,refusabam,refusebam,refusebam,refusiebam,I was refuseing
Active Indicative,Imperfect,1st Person,Plural,refusabamus,refusebamus,refusebamus,refusiebamus,We were refuseing
Active Indicative,Imperfect,2nd Person,Singular,refusabas,refusebas,refusebas,refusiebas,You were refuseing
Active Indicative,Imperfect,2nd Person,Plural,refusabatis,refusebatis,refusebatis,refusiebatis,You (pl.) were refuseing
Active Indicative,Imperfect,3rd Person,Singular,refusabat,refusebat,refusebat,refusiebat,He/she/it was refuseing
Active Indicative,Imperfect,3rd Person,Plural,refusabant,refusebant,refusebant,refusiebant,They were refuseing
Active Indicative,Future,1st Person,Singular,refusabo,refusebo,refusam,refusiam,I will refuse
Active Indicative,Future,1st Person,Plural,refusabimus,refusebimus,refusemus,refusiemus,We will refuse
Active Indicative,Future,2nd Person,Singular,refusabis,refusebis,refuses,refusies,You will refuse
Active Indicative,Future,2nd Person,Plural,refusabitis,refusebitis,refusetis,refusietis,You (pl.) will refuse
Active Indicative,Future,3rd Person,Singular,refusabit,refusebit,refuset,refusiet,He/she/it will refuse
Active Indicative,Future,3rd Person,Plural,refusabunt,refusebunt,refusent,refusient,They will refuse
Active Indicative,Perfect,1st Person,Singular,refusavi,refusui,refusi,refusi,I have refuseed
Active Indicative,Perfect,1st Person,Plural,refusavimus,refusuimus,refusimus,refusimus,We have refuseed
Active Indicative,Perfect,2nd Person,Singular,refusavisti,refusuisti,refusisti,refusisti,You have refuseed
Active Indicative,Perfect,2nd Person,Plural,refusavistis,refusuistis,refusistis,refusistis,You (pl.) have refuseed
Active Indicative,Perfect,3rd Person,Singular,refusavit,refusuit,refusit,refusit,He/she/it has refuseed
Active Indicative,Perfect,3rd Person,Plural,refusaverunt,refusuerunt,refuserunt,refuserunt,They have refuseed
Active Indicative,Pluperfect,1st Person,Singular,refusaveram,refusueram,refuseram,refuseram,I had refuseed
Active Indicative,Pluperfect,1st Person,Plural,refusaveramus,refusueramus,refuseramus,refuseramus,We had refuseed
Active Indicative,Pluperfect,2nd Person,Singular,refusaveras,refusueras,refuseras,refuseras,You had refuseed
Active Indicative,Pluperfect,2nd Person,Plural,refusaveratis,refusueratis,refuseratis,refuseratis,You (pl.) had refuseed
Active Indicative,Pluperfect,3rd Person,Singular,refusaverat,refusuerat,refuserat,refuserat,He/she/it had refuseed
Active Indicative,Pluperfect,3rd Person,Plural,refusaverant,refusuerant,refuserant,refuserant,They had refuseed
Active Indicative,Future Perfect,1st Person,Singular,refusavero,refusueero,refusero,refusiero,I will have refuseed
Active Indicative,Future Perfect,1st Person,Plural,refusaverimus,refusuerimus,refuserimus,refusierimus,We will have refuseed
Active Indicative,Future Perfect,2nd Person,Singular,refusaveris,refusueris,refuseris,refusieris,You will have refuseed
Active Indicative,Future Perfect,2nd Person,Plural,refusaveritis,refusueritis,refuseritis,refusieritis,You (pl.) will have refuseed
Active Indicative,Future Perfect,3rd Person,Singular,refusaverit,refusuerit,refuserit,refusierit,He/she/it will have refuseed
Active Indicative,Future Perfect,3rd Person,Plural,refusaverint,refusuerint,refuserint,refusierint,They will have refuseed
Passive Indicative,Present,1st Person,Singular,refusor,refuseor,refusor,refusior,I am being refuseed
Passive Indicative,Present,1st Person,Plural,refusamur,refusemur,refusimur,refusimur,We are being refuseed
Passive Indicative,Present,2nd Person,Singular,refusaris,refuseris,refusiris,refusiris,You are being refuseed
Passive Indicative,Present,2nd Person,Plural,refusamini,refusemini,refusimini,refusimini,You (pl.) are being refuseed
Passive Indicative,Present,3rd Person,Singular,refusatur,refusetur,refusitur,refusitur,He/she/it is being refuseed
Passive Indicative,Present,3rd Person,Plural,refusantur,refusentur,refusiuntur,refusiuntur,They are being refuseed
Passive Indicative,Imperfect,1st Person,Singular,refusabar,refusebar,refusebar,refusiebar,I was refuseed
Passive Indicative,Imperfect,1st Person,Plural,refusabamur,refusebamur,refusebamur,refusiebamur,We were refuseed
Passive Indicative,Imperfect,2nd Person,Singular,refusabaris,refusebaris,refusebaris,refusiebaris,You were refuseed
Passive Indicative,Imperfect,2nd Person,Plural,refusabamini,refusebamini,refusebamini,refusiebamini,You (pl.) were refuseed
