Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,resalo,resaleo,resalo,resalio,I rise up
Active Indicative,Present,1st Person,Plural,resalamus,resalemus,resalimus,resalimus,We rise up
Active Indicative,Present,2nd Person,Singular,resalas,resales,resalis,resalis,You rise up
Active Indicative,Present,2nd Person,Plural,resalatis,resaletis,resalitis,resalitis,You (pl.) rise up
Active Indicative,Present,3rd Person,Singular,resalat,resalet,resalit,resalit,He/she/it rise up
Active Indicative,Present,3rd Person,Plural,resalant,resalent,resaliunt,resaliunt,They rise up
Active Indicative,Imperfect,1st Person,Singular,resalabam,resalebam,resalebam,resaliebam,I was rise uping
Active Indicative,Imperfect,1st Person,Plural,resalabamus,resalebamus,resalebamus,resaliebamus,We were rise uping
Active Indicative,Imperfect,2nd Person,Singular,resalabas,resalebas,resalebas,resaliebas,You were rise uping
Active Indicative,Imperfect,2nd Person,Plural,resalabatis,resalebatis,resalebatis,resaliebatis,You (pl.) were rise uping
Active Indicative,Imperfect,3rd Person,Singular,resalabat,resalebat,resalebat,resaliebat,He/she/it was rise uping
Active Indicative,Imperfect,3rd Person,Plural,resalabant,resalebant,resalebant,resaliebant,They were rise uping
Active Indicative,Future,1st Person,Singular,resalabo,resalebo,resalam,resaliam,I will rise up
Active Indicative,Future,1st Person,Plural,resalabimus,resalebimus,resalemus,resaliemus,We will rise up
Active Indicative,Future,2nd Person,Singular,resalabis,resalebis,resales,resalies,You will rise up
Active Indicative,Future,2nd Person,Plural,resalabitis,resalebitis,resaletis,resalietis,You (pl.) will rise up
Active Indicative,Future,3rd Person,Singular,resalabit,resalebit,resalet,resaliet,He/she/it will rise up
Active Indicative,Future,3rd Person,Plural,resalabunt,resalebunt,resalent,resalient,They will rise up
Active Indicative,Perfect,1st Person,Singular,resalavi,resalui,resali,resali,I have rise uped
Active Indicative,Perfect,1st Person,Plural,resalavimus,resaluimus,resalimus,resalimus,We have rise uped
Active Indicative,Perfect,2nd Person,Singular,resalavisti,resaluisti,resalisti,resalisti,You have rise uped
Active Indicative,Perfect,2nd Person,Plural,resalavistis,resaluistis,resalistis,resalistis,You (pl.) have rise uped
Active Indicative,Perfect,3rd Person,Singular,resalavit,resaluit,resalit,resalit,He/she/it has rise uped
Active Indicative,Perfect,3rd Person,Plural,resalaverunt,resaluerunt,resalerunt,resalerunt,They have rise uped
Active Indicative,Pluperfect,1st Person,Singular,resalaveram,resalueram,resaleram,resaleram,I had rise uped
Active Indicative,Pluperfect,1st Person,Plural,resalaveramus,resalueramus,resaleramus,resaleramus,We had rise uped
Active Indicative,Pluperfect,2nd Person,Singular,resalaveras,resalueras,resaleras,resaleras,You had rise uped
Active Indicative,Pluperfect,2nd Person,Plural,resalaveratis,resalueratis,resaleratis,resaleratis,You (pl.) had rise uped
Active Indicative,Pluperfect,3rd Person,Singular,resalaverat,resaluerat,resalerat,resalerat,He/she/it had rise uped
Active Indicative,Pluperfect,3rd Person,Plural,resalaverant,resaluerant,resalerant,resalerant,They had rise uped
Active Indicative,Future Perfect,1st Person,Singular,resalavero,resalueero,resalero,resaliero,I will have rise uped
Active Indicative,Future Perfect,1st Person,Plural,resalaverimus,resaluerimus,resalerimus,resalierimus,We will have rise uped
Active Indicative,Future Perfect,2nd Person,Singular,resalaveris,resalueris,resaleris,resalieris,You will have rise uped
Active Indicative,Future Perfect,2nd Person,Plural,resalaveritis,resalueritis,resaleritis,resalieritis,You (pl.) will have rise uped
Active Indicative,Future Perfect,3rd Person,Singular,resalaverit,resaluerit,resalerit,resalierit,He/she/it will have rise uped
Active Indicative,Future Perfect,3rd Person,Plural,resalaverint,resaluerint,resalerint,resalierint,They will have rise uped
Passive Indicative,Present,1st Person,Singular,resalor,resaleor,resalor,resalior,I am being rise uped
Passive Indicative,Present,1st Person,Plural,resalamur,resalemur,resalimur,resalimur,We are being rise uped
Passive Indicative,Present,2nd Person,Singular,resalaris,resaleris,resaliris,resaliris,You are being rise uped
Passive Indicative,Present,2nd Person,Plural,resalamini,resalemini,resalimini,resalimini,You (pl.) are being rise uped
