Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,restituo,restitueo,restituo,restituio,I restore
Active Indicative,Present,1st Person,Plural,restituamus,restituemus,restituimus,restituimus,We restore
Active Indicative,Present,2nd Person,Singular,restituas,restitues,restituis,restituis,You restore
Active Indicative,Present,2nd Person,Plural,restituatis,restituetis,restituitis,restituitis,You (pl.) restore
Active Indicative,Present,3rd Person,Singular,restituat,restituet,restituit,restituit,He/she/it restore
Active Indicative,Present,3rd Person,Plural,restituant,restituent,restituiunt,restituiunt,They restore
Active Indicative,Imperfect,1st Person,Singular,restituabam,restituebam,restituebam,restituiebam,I was restoreing
Active Indicative,Imperfect,1st Person,Plural,restituabamus,restituebamus,restituebamus,restituiebamus,We were restoreing
Active Indicative,Imperfect,2nd Person,Singular,restituabas,restituebas,restituebas,restituiebas,You were restoreing
Active Indicative,Imperfect,2nd Person,Plural,restituabatis,restituebatis,restituebatis,restituiebatis,You (pl.) were restoreing
Active Indicative,Imperfect,3rd Person,Singular,restituabat,restituebat,restituebat,restituiebat,He/she/it was restoreing
Active Indicative,Imperfect,3rd Person,Plural,restituabant,restituebant,restituebant,restituiebant,They were restoreing
Active Indicative,Future,1st Person,Singular,restituabo,restituebo,restituam,restituiam,I will restore
Active Indicative,Future,1st Person,Plural,restituabimus,restituebimus,restituemus,restituiemus,We will restore
Active Indicative,Future,2nd Person,Singular,restituabis,restituebis,restitues,restituies,You will restore
Active Indicative,Future,2nd Person,Plural,restituabitis,restituebitis,restituetis,restituietis,You (pl.) will restore
Active Indicative,Future,3rd Person,Singular,restituabit,restituebit,restituet,restituiet,He/she/it will restore
Active Indicative,Future,3rd Person,Plural,restituabunt,restituebunt,restituent,restituient,They will restore
Active Indicative,Perfect,1st Person,Singular,restituavi,restitui,restitui,restitui,I have restoreed
Active Indicative,Perfect,1st Person,Plural,restituavimus,restituimus,restituimus,restituimus,We have restoreed
Active Indicative,Perfect,2nd Person,Singular,restituavisti,restituisti,restituisti,restituisti,You have restoreed
Active Indicative,Perfect,2nd Person,Plural,restituavistis,restituistis,restituistis,restituistis,You (pl.) have restoreed
Active Indicative,Perfect,3rd Person,Singular,restituavit,restituit,restituit,restituit,He/she/it has restoreed
Active Indicative,Perfect,3rd Person,Plural,restituaverunt,restituerunt,restituerunt,restituerunt,They have restoreed
Active Indicative,Pluperfect,1st Person,Singular,restituaveram,restitueram,restitueram,restitueram,I had restoreed
Active Indicative,Pluperfect,1st Person,Plural,restituaveramus,restitueramus,restitueramus,restitueramus,We had restoreed
Active Indicative,Pluperfect,2nd Person,Singular,restituaveras,restitueras,restitueras,restitueras,You had restoreed
Active Indicative,Pluperfect,2nd Person,Plural,restituaveratis,restitueratis,restitueratis,restitueratis,You (pl.) had restoreed
Active Indicative,Pluperfect,3rd Person,Singular,restituaverat,restituerat,restituerat,restituerat,He/she/it had restoreed
Active Indicative,Pluperfect,3rd Person,Plural,restituaverant,restituerant,restituerant,restituerant,They had restoreed
Active Indicative,Future Perfect,1st Person,Singular,restituavero,restitueero,restituero,restituiero,I will have restoreed
Active Indicative,Future Perfect,1st Person,Plural,restituaverimus,restituerimus,restituerimus,restituierimus,We will have restoreed
Active Indicative,Future Perfect,2nd Person,Singular,restituaveris,restitueris,restitueris,restituieris,You will have restoreed
Active Indicative,Future Perfect,2nd Person,Plural,restituaveritis,restitueritis,restitueritis,restituieritis,You (pl.) will have restoreed
Active Indicative,Future Perfect,3rd Person,Singular,restituaverit,restituerit,restituerit,restituierit,He/she/it will have restoreed
Active Indicative,Future Perfect,3rd Person,Plural,restituaverint,restituerint,restituerint,restituierint,They will have restoreed
Passive Indicative,Present,1st Person,Singular,restituor,restitueor,restituor,restituior,I am being restoreed
Passive Indicative,Present,1st Person,Plural,restituamur,restituemur,restituimur,restituimur,We are being restoreed
Passive Indicative,Present,2nd Person,Singular,restituaris,restitueris,restituiris,restituiris,You are being restoreed
Passive Indicative,Present,2nd Person,Plural,restituamini,restituemini,restituimini,restituimini,You (pl.) are being restoreed
Passive Indicative,Present,3rd Person,Singular,restituatur,restituetur,restituitur,restituitur,He/she/it is being restoreed
Passive Indicative,Present,3rd Person,Plural,restituantur,restituentur,restituiuntur,restituiuntur,They are being restoreed
Passive Indicative,Imperfect,1st Person,Singular,restituabar,restituebar,restituebar,restituiebar,I was restoreed
Passive Indicative,Imperfect,1st Person,Plural,restituabamur,restituebamur,restituebamur,restituiebamur,We were restoreed
Passive Indicative,Imperfect,2nd Person,Singular,restituabaris,restituebaris,restituebaris,restituiebaris,You were restoreed
Passive Indicative,Imperfect,2nd Person,Plural,restituabamini,restituebamini,restituebamini,restituiebamini,You (pl.) were restoreed
Passive Indicative,Imperfect,3rd Person,Singular,restituabatur,restituebatur,restituebatur,restituiebatur,He/she/it was restoreed
Passive Indicative,Imperfect,3rd Person,Plural,restituabantur,restituebantur,restituebantur,restituiebantur,They were restoreed
Passive Indicative,Future,1st Person,Singular,restituabor,restituebor,restituar,restituiar,I will be restoreed
Passive Indicative,Future,1st Person,Plural,restituabimur,restituebimur,restituemur,restituiemur,We will be restoreed
Passive Indicative,Future,2nd Person,Singular,restituaberis,restitueberis,restitueris,restituieris,You will be restoreed
Passive Indicative,Future,2nd Person,Plural,restituabimini,restituebimini,restituemini,restituiemini,You (pl.) will be restoreed
Passive Indicative,Future,3rd Person,Singular,restituabitur,restituebitur,restituetur,restituietur,He/she/it will be restoreed
Passive Indicative,Future,3rd Person,Plural,restituabuntur,restituebuntur,restituentur,restituientur,They will be restoreed
Passive Indicative,Perfect,1st Person,Singular,restituatus sum,restituetus sum,restitus sum,restitus sum,I have been restoreed
Passive Indicative,Perfect,1st Person,Plural,restituati sumus,restitueti sumus,restitui sumus,restitui sumus,We have been restoreed
Passive Indicative,Perfect,2nd Person,Singular,restituatus es,restituetus es,restitus es,restitus es,You have been restoreed
Passive Indicative,Perfect,2nd Person,Plural,restituati estis,restitueti estis,restitui estis,restitui estis,You (pl.) have been restoreed
Passive Indicative,Perfect,3rd Person,Singular,restituatus est,restituetus est,restitus est,restitus est,He/she/it has been restoreed
Passive Indicative,Perfect,3rd Person,Plural,restituati sunt,restitueti sunt,restitui sunt,restitui sunt,They have been restoreed
Passive Indicative,Pluperfect,1st Person,Singular,restituatus eram,restituetus eram,restitus eram,restitus eram,I had been restoreed
Passive Indicative,Pluperfect,1st Person,Plural,restituati eramus,restitueti eramus,restitui eramus,restitui eramus,We had been restoreed
Passive Indicative,Pluperfect,2nd Person,Singular,restituatus eras,restituetus eras,restitus eras,restitus eras,You had been restoreed
Passive Indicative,Pluperfect,2nd Person,Plural,restituati eratis,restitueti eratis,restitui eratis,restitui eratis,You (pl.) had been restoreed
Passive Indicative,Pluperfect,3rd Person,Singular,restituatus erat,restituetus erat,restitus erat,restitus erat,He/she/it had been restoreed
Passive Indicative,Pluperfect,3rd Person,Plural,restituati erant,restitueti erant,restitui erant,restitui erant,They had been restoreed
Passive Indicative,Future Perfect,1st Person,Singular,restituatus ero,restituetus ero,restitus ero,restitus ero,I will have been restoreed
Passive Indicative,Future Perfect,1st Person,Plural,restituati erimus,restitueti erimus,restitui erimus,restitui erimus,We will have been restoreed
Passive Indicative,Future Perfect,2nd Person,Singular,restituatus eris,restituetus eris,restitus eris,restitus eris,You will have been restoreed
Passive Indicative,Future Perfect,2nd Person,Plural,restituati eritis,restitueti eritis,restitui eritis,restitui eritis,You (pl.) will have been restoreed
Passive Indicative,Future Perfect,3rd Person,Singular,restituatus erit,restituetus erit,restitus erit,restitus erit,He/she/it will have been restoreed
Passive Indicative,Future Perfect,3rd Person,Plural,restituati erunt,restitueti erunt,restitui erunt,restitui erunt,They will have been restoreed
Active Subjunctive,Present,1st Person,Singular,restituem,restituem,restituam,restituam,I may restore
Active Subjunctive,Present,1st Person,Plural,restituemus,restituemus,restituamus,restituamus,We may restore
Active Subjunctive,Present,2nd Person,Singular,restitues,restitues,restituas,restituas,You may restore
Active Subjunctive,Present,2nd Person,Plural,restituetis,restituetis,restituatis,restituatis,You (pl.) may restore
Active Subjunctive,Present,3rd Person,Singular,restituet,restituet,restituat,restituat,He/she/it may restore
Active Subjunctive,Present,3rd Person,Plural,restituent,restituent,restituant,restituant,They may restore
Active Subjunctive,Imperfect,1st Person,Singular,restituarem,restituerem,restituerem,restituirem,I should restore
Active Subjunctive,Imperfect,1st Person,Plural,restituaremus,restitueremus,restitueremus,restituiremus,We should restore
Active Subjunctive,Imperfect,2nd Person,Singular,restituares,restitueres,restitueres,restituires,You should restore
Active Subjunctive,Imperfect,2nd Person,Plural,restituaretis,restitueretis,restitueretis,restituiretis,You (pl.) should restore
