Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,rodo,rodeo,rodo,rodio,I gnaw
Active Indicative,Present,1st Person,Plural,rodamus,rodemus,rodimus,rodimus,We gnaw
Active Indicative,Present,2nd Person,Singular,rodas,rodes,rodis,rodis,You gnaw
Active Indicative,Present,2nd Person,Plural,rodatis,rodetis,roditis,roditis,You (pl.) gnaw
Active Indicative,Present,3rd Person,Singular,rodat,rodet,rodit,rodit,He/she/it gnaw
Active Indicative,Present,3rd Person,Plural,rodant,rodent,rodiunt,rodiunt,They gnaw
Active Indicative,Imperfect,1st Person,Singular,rodabam,rodebam,rodebam,rodiebam,I was gnawing
Active Indicative,Imperfect,1st Person,Plural,rodabamus,rodebamus,rodebamus,rodiebamus,We were gnawing
Active Indicative,Imperfect,2nd Person,Singular,rodabas,rodebas,rodebas,rodiebas,You were gnawing
Active Indicative,Imperfect,2nd Person,Plural,rodabatis,rodebatis,rodebatis,rodiebatis,You (pl.) were gnawing
Active Indicative,Imperfect,3rd Person,Singular,rodabat,rodebat,rodebat,rodiebat,He/she/it was gnawing
Active Indicative,Imperfect,3rd Person,Plural,rodabant,rodebant,rodebant,rodiebant,They were gnawing
Active Indicative,Future,1st Person,Singular,rodabo,rodebo,rodam,rodiam,I will gnaw
Active Indicative,Future,1st Person,Plural,rodabimus,rodebimus,rodemus,rodiemus,We will gnaw
Active Indicative,Future,2nd Person,Singular,rodabis,rodebis,rodes,rodies,You will gnaw
Active Indicative,Future,2nd Person,Plural,rodabitis,rodebitis,rodetis,rodietis,You (pl.) will gnaw
Active Indicative,Future,3rd Person,Singular,rodabit,rodebit,rodet,rodiet,He/she/it will gnaw
Active Indicative,Future,3rd Person,Plural,rodabunt,rodebunt,rodent,rodient,They will gnaw
Active Indicative,Perfect,1st Person,Singular,rodavi,rodui,rodi,rodi,I have gnawed
Active Indicative,Perfect,1st Person,Plural,rodavimus,roduimus,rodimus,rodimus,We have gnawed
Active Indicative,Perfect,2nd Person,Singular,rodavisti,roduisti,rodisti,rodisti,You have gnawed
Active Indicative,Perfect,2nd Person,Plural,rodavistis,roduistis,rodistis,rodistis,You (pl.) have gnawed
Active Indicative,Perfect,3rd Person,Singular,rodavit,roduit,rodit,rodit,He/she/it has gnawed
Active Indicative,Perfect,3rd Person,Plural,rodaverunt,roduerunt,roderunt,roderunt,They have gnawed
Active Indicative,Pluperfect,1st Person,Singular,rodaveram,rodueram,roderam,roderam,I had gnawed
Active Indicative,Pluperfect,1st Person,Plural,rodaveramus,rodueramus,roderamus,roderamus,We had gnawed
Active Indicative,Pluperfect,2nd Person,Singular,rodaveras,rodueras,roderas,roderas,You had gnawed
Active Indicative,Pluperfect,2nd Person,Plural,rodaveratis,rodueratis,roderatis,roderatis,You (pl.) had gnawed
Active Indicative,Pluperfect,3rd Person,Singular,rodaverat,roduerat,roderat,roderat,He/she/it had gnawed
Active Indicative,Pluperfect,3rd Person,Plural,rodaverant,roduerant,roderant,roderant,They had gnawed
Active Indicative,Future Perfect,1st Person,Singular,rodavero,rodueero,rodero,rodiero,I will have gnawed
Active Indicative,Future Perfect,1st Person,Plural,rodaverimus,roduerimus,roderimus,rodierimus,We will have gnawed
Active Indicative,Future Perfect,2nd Person,Singular,rodaveris,rodueris,roderis,rodieris,You will have gnawed
Active Indicative,Future Perfect,2nd Person,Plural,rodaveritis,rodueritis,roderitis,rodieritis,You (pl.) will have gnawed
Active Indicative,Future Perfect,3rd Person,Singular,rodaverit,roduerit,roderit,rodierit,He/she/it will have gnawed
Active Indicative,Future Perfect,3rd Person,Plural,rodaverint,roduerint,roderint,rodierint,They will have gnawed
Passive Indicative,Present,1st Person,Singular,rodor,rodeor,rodor,rodior,I am being gnawed
Passive Indicative,Present,1st Person,Plural,rodamur,rodemur,rodimur,rodimur,We are being gnawed
Passive Indicative,Present,2nd Person,Singular,rodaris,roderis,rodiris,rodiris,You are being gnawed
