Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,roscido,roscideo,roscido,roscidio,I moisten
Active Indicative,Present,1st Person,Plural,roscidamus,roscidemus,roscidimus,roscidimus,We moisten
Active Indicative,Present,2nd Person,Singular,roscidas,roscides,roscidis,roscidis,You moisten
Active Indicative,Present,2nd Person,Plural,roscidatis,roscidetis,rosciditis,rosciditis,You (pl.) moisten
Active Indicative,Present,3rd Person,Singular,roscidat,roscidet,roscidit,roscidit,He/she/it moisten
Active Indicative,Present,3rd Person,Plural,roscidant,roscident,roscidiunt,roscidiunt,They moisten
Active Indicative,Imperfect,1st Person,Singular,roscidabam,roscidebam,roscidebam,roscidiebam,I was moistening
Active Indicative,Imperfect,1st Person,Plural,roscidabamus,roscidebamus,roscidebamus,roscidiebamus,We were moistening
Active Indicative,Imperfect,2nd Person,Singular,roscidabas,roscidebas,roscidebas,roscidiebas,You were moistening
Active Indicative,Imperfect,2nd Person,Plural,roscidabatis,roscidebatis,roscidebatis,roscidiebatis,You (pl.) were moistening
Active Indicative,Imperfect,3rd Person,Singular,roscidabat,roscidebat,roscidebat,roscidiebat,He/she/it was moistening
Active Indicative,Imperfect,3rd Person,Plural,roscidabant,roscidebant,roscidebant,roscidiebant,They were moistening
Active Indicative,Future,1st Person,Singular,roscidabo,roscidebo,roscidam,roscidiam,I will moisten
Active Indicative,Future,1st Person,Plural,roscidabimus,roscidebimus,roscidemus,roscidiemus,We will moisten
Active Indicative,Future,2nd Person,Singular,roscidabis,roscidebis,roscides,roscidies,You will moisten
Active Indicative,Future,2nd Person,Plural,roscidabitis,roscidebitis,roscidetis,roscidietis,You (pl.) will moisten
Active Indicative,Future,3rd Person,Singular,roscidabit,roscidebit,roscidet,roscidiet,He/she/it will moisten
Active Indicative,Future,3rd Person,Plural,roscidabunt,roscidebunt,roscident,roscidient,They will moisten
Active Indicative,Perfect,1st Person,Singular,roscidavi,roscidui,roscidi,roscidi,I have moistened
