Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,rosico,rosiceo,rosico,rosicio,I gnaw
Active Indicative,Present,1st Person,Plural,rosicamus,rosicemus,rosicimus,rosicimus,We gnaw
Active Indicative,Present,2nd Person,Singular,rosicas,rosices,rosicis,rosicis,You gnaw
Active Indicative,Present,2nd Person,Plural,rosicatis,rosicetis,rosicitis,rosicitis,You (pl.) gnaw
Active Indicative,Present,3rd Person,Singular,rosicat,rosicet,rosicit,rosicit,He/she/it gnaw
Active Indicative,Present,3rd Person,Plural,rosicant,rosicent,rosiciunt,rosiciunt,They gnaw
Active Indicative,Imperfect,1st Person,Singular,rosicabam,rosicebam,rosicebam,rosiciebam,I was gnawing
Active Indicative,Imperfect,1st Person,Plural,rosicabamus,rosicebamus,rosicebamus,rosiciebamus,We were gnawing
Active Indicative,Imperfect,2nd Person,Singular,rosicabas,rosicebas,rosicebas,rosiciebas,You were gnawing
Active Indicative,Imperfect,2nd Person,Plural,rosicabatis,rosicebatis,rosicebatis,rosiciebatis,You (pl.) were gnawing
Active Indicative,Imperfect,3rd Person,Singular,rosicabat,rosicebat,rosicebat,rosiciebat,He/she/it was gnawing
Active Indicative,Imperfect,3rd Person,Plural,rosicabant,rosicebant,rosicebant,rosiciebant,They were gnawing
Active Indicative,Future,1st Person,Singular,rosicabo,rosicebo,rosicam,rosiciam,I will gnaw
Active Indicative,Future,1st Person,Plural,rosicabimus,rosicebimus,rosicemus,rosiciemus,We will gnaw
Active Indicative,Future,2nd Person,Singular,rosicabis,rosicebis,rosices,rosicies,You will gnaw
Active Indicative,Future,2nd Person,Plural,rosicabitis,rosicebitis,rosicetis,rosicietis,You (pl.) will gnaw
Active Indicative,Future,3rd Person,Singular,rosicabit,rosicebit,rosicet,rosiciet,He/she/it will gnaw
Active Indicative,Future,3rd Person,Plural,rosicabunt,rosicebunt,rosicent,rosicient,They will gnaw
Active Indicative,Perfect,1st Person,Singular,rosicavi,rosicui,rosici,rosici,I have gnawed
Active Indicative,Perfect,1st Person,Plural,rosicavimus,rosicuimus,rosicimus,rosicimus,We have gnawed
Active Indicative,Perfect,2nd Person,Singular,rosicavisti,rosicuisti,rosicisti,rosicisti,You have gnawed
Active Indicative,Perfect,2nd Person,Plural,rosicavistis,rosicuistis,rosicistis,rosicistis,You (pl.) have gnawed
Active Indicative,Perfect,3rd Person,Singular,rosicavit,rosicuit,rosicit,rosicit,He/she/it has gnawed
Active Indicative,Perfect,3rd Person,Plural,rosicaverunt,rosicuerunt,rosicerunt,rosicerunt,They have gnawed
Active Indicative,Pluperfect,1st Person,Singular,rosicaveram,rosicueram,rosiceram,rosiceram,I had gnawed
Active Indicative,Pluperfect,1st Person,Plural,rosicaveramus,rosicueramus,rosiceramus,rosiceramus,We had gnawed
Active Indicative,Pluperfect,2nd Person,Singular,rosicaveras,rosicueras,rosiceras,rosiceras,You had gnawed
Active Indicative,Pluperfect,2nd Person,Plural,rosicaveratis,rosicueratis,rosiceratis,rosiceratis,You (pl.) had gnawed
Active Indicative,Pluperfect,3rd Person,Singular,rosicaverat,rosicuerat,rosicerat,rosicerat,He/she/it had gnawed
Active Indicative,Pluperfect,3rd Person,Plural,rosicaverant,rosicuerant,rosicerant,rosicerant,They had gnawed
Active Indicative,Future Perfect,1st Person,Singular,rosicavero,rosicueero,rosicero,rosiciero,I will have gnawed
Active Indicative,Future Perfect,1st Person,Plural,rosicaverimus,rosicuerimus,rosicerimus,rosicierimus,We will have gnawed
Active Indicative,Future Perfect,2nd Person,Singular,rosicaveris,rosicueris,rosiceris,rosicieris,You will have gnawed
Active Indicative,Future Perfect,2nd Person,Plural,rosicaveritis,rosicueritis,rosiceritis,rosicieritis,You (pl.) will have gnawed
Active Indicative,Future Perfect,3rd Person,Singular,rosicaverit,rosicuerit,rosicerit,rosicierit,He/she/it will have gnawed
Active Indicative,Future Perfect,3rd Person,Plural,rosicaverint,rosicuerint,rosicerint,rosicierint,They will have gnawed
Passive Indicative,Present,1st Person,Singular,rosicor,rosiceor,rosicor,rosicior,I am being gnawed
Passive Indicative,Present,1st Person,Plural,rosicamur,rosicemur,rosicimur,rosicimur,We are being gnawed
Passive Indicative,Present,2nd Person,Singular,rosicaris,rosiceris,rosiciris,rosiciris,You are being gnawed
Passive Indicative,Present,2nd Person,Plural,rosicamini,rosicemini,rosicimini,rosicimini,You (pl.) are being gnawed
Passive Indicative,Present,3rd Person,Singular,rosicatur,rosicetur,rosicitur,rosicitur,He/she/it is being gnawed
Passive Indicative,Present,3rd Person,Plural,rosicantur,rosicentur,rosiciuntur,rosiciuntur,They are being gnawed
Passive Indicative,Imperfect,1st Person,Singular,rosicabar,rosicebar,rosicebar,rosiciebar,I was gnawed
Passive Indicative,Imperfect,1st Person,Plural,rosicabamur,rosicebamur,rosicebamur,rosiciebamur,We were gnawed
Passive Indicative,Imperfect,2nd Person,Singular,rosicabaris,rosicebaris,rosicebaris,rosiciebaris,You were gnawed
Passive Indicative,Imperfect,2nd Person,Plural,rosicabamini,rosicebamini,rosicebamini,rosiciebamini,You (pl.) were gnawed
Passive Indicative,Imperfect,3rd Person,Singular,rosicabatur,rosicebatur,rosicebatur,rosiciebatur,He/she/it was gnawed
Passive Indicative,Imperfect,3rd Person,Plural,rosicabantur,rosicebantur,rosicebantur,rosiciebantur,They were gnawed
Passive Indicative,Future,1st Person,Singular,rosicabor,rosicebor,rosicar,rosiciar,I will be gnawed
Passive Indicative,Future,1st Person,Plural,rosicabimur,rosicebimur,rosicemur,rosiciemur,We will be gnawed
Passive Indicative,Future,2nd Person,Singular,rosicaberis,rosiceberis,rosiceris,rosicieris,You will be gnawed
Passive Indicative,Future,2nd Person,Plural,rosicabimini,rosicebimini,rosicemini,rosiciemini,You (pl.) will be gnawed
Passive Indicative,Future,3rd Person,Singular,rosicabitur,rosicebitur,rosicetur,rosicietur,He/she/it will be gnawed
Passive Indicative,Future,3rd Person,Plural,rosicabuntur,rosicebuntur,rosicentur,rosicientur,They will be gnawed
Passive Indicative,Perfect,1st Person,Singular,rosicatus sum,rosicetus sum,rosicus sum,rosicus sum,I have been gnawed
Passive Indicative,Perfect,1st Person,Plural,rosicati sumus,rosiceti sumus,rosici sumus,rosici sumus,We have been gnawed
Passive Indicative,Perfect,2nd Person,Singular,rosicatus es,rosicetus es,rosicus es,rosicus es,You have been gnawed
Passive Indicative,Perfect,2nd Person,Plural,rosicati estis,rosiceti estis,rosici estis,rosici estis,You (pl.) have been gnawed
Passive Indicative,Perfect,3rd Person,Singular,rosicatus est,rosicetus est,rosicus est,rosicus est,He/she/it has been gnawed
