Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,rumpo,rumpeo,rumpo,rumpio,I burst open
Active Indicative,Present,1st Person,Plural,rumpamus,rumpemus,rumpimus,rumpimus,We burst open
Active Indicative,Present,2nd Person,Singular,rumpas,rumpes,rumpis,rumpis,You burst open
Active Indicative,Present,2nd Person,Plural,rumpatis,rumpetis,rumpitis,rumpitis,You (pl.) burst open
Active Indicative,Present,3rd Person,Singular,rumpat,rumpet,rumpit,rumpit,He/she/it burst open
Active Indicative,Present,3rd Person,Plural,rumpant,rumpent,rumpiunt,rumpiunt,They burst open
Active Indicative,Imperfect,1st Person,Singular,rumpabam,rumpebam,rumpebam,rumpiebam,I was burst opening
Active Indicative,Imperfect,1st Person,Plural,rumpabamus,rumpebamus,rumpebamus,rumpiebamus,We were burst opening
Active Indicative,Imperfect,2nd Person,Singular,rumpabas,rumpebas,rumpebas,rumpiebas,You were burst opening
Active Indicative,Imperfect,2nd Person,Plural,rumpabatis,rumpebatis,rumpebatis,rumpiebatis,You (pl.) were burst opening
Active Indicative,Imperfect,3rd Person,Singular,rumpabat,rumpebat,rumpebat,rumpiebat,He/she/it was burst opening
Active Indicative,Imperfect,3rd Person,Plural,rumpabant,rumpebant,rumpebant,rumpiebant,They were burst opening
Active Indicative,Future,1st Person,Singular,rumpabo,rumpebo,rumpam,rumpiam,I will burst open
Active Indicative,Future,1st Person,Plural,rumpabimus,rumpebimus,rumpemus,rumpiemus,We will burst open
Active Indicative,Future,2nd Person,Singular,rumpabis,rumpebis,rumpes,rumpies,You will burst open
Active Indicative,Future,2nd Person,Plural,rumpabitis,rumpebitis,rumpetis,rumpietis,You (pl.) will burst open
Active Indicative,Future,3rd Person,Singular,rumpabit,rumpebit,rumpet,rumpiet,He/she/it will burst open
Active Indicative,Future,3rd Person,Plural,rumpabunt,rumpebunt,rumpent,rumpient,They will burst open
Active Indicative,Perfect,1st Person,Singular,rumpavi,rumpui,rumpi,rumpi,I have burst opened
Active Indicative,Perfect,1st Person,Plural,rumpavimus,rumpuimus,rumpimus,rumpimus,We have burst opened
Active Indicative,Perfect,2nd Person,Singular,rumpavisti,rumpuisti,rumpisti,rumpisti,You have burst opened
Active Indicative,Perfect,2nd Person,Plural,rumpavistis,rumpuistis,rumpistis,rumpistis,You (pl.) have burst opened
Active Indicative,Perfect,3rd Person,Singular,rumpavit,rumpuit,rumpit,rumpit,He/she/it has burst opened
Active Indicative,Perfect,3rd Person,Plural,rumpaverunt,rumpuerunt,rumperunt,rumperunt,They have burst opened
Active Indicative,Pluperfect,1st Person,Singular,rumpaveram,rumpueram,rumperam,rumperam,I had burst opened
Active Indicative,Pluperfect,1st Person,Plural,rumpaveramus,rumpueramus,rumperamus,rumperamus,We had burst opened
Active Indicative,Pluperfect,2nd Person,Singular,rumpaveras,rumpueras,rumperas,rumperas,You had burst opened
Active Indicative,Pluperfect,2nd Person,Plural,rumpaveratis,rumpueratis,rumperatis,rumperatis,You (pl.) had burst opened
Active Indicative,Pluperfect,3rd Person,Singular,rumpaverat,rumpuerat,rumperat,rumperat,He/she/it had burst opened
Active Indicative,Pluperfect,3rd Person,Plural,rumpaverant,rumpuerant,rumperant,rumperant,They had burst opened
Active Indicative,Future Perfect,1st Person,Singular,rumpavero,rumpueero,rumpero,rumpiero,I will have burst opened
Active Indicative,Future Perfect,1st Person,Plural,rumpaverimus,rumpuerimus,rumperimus,rumpierimus,We will have burst opened
Active Indicative,Future Perfect,2nd Person,Singular,rumpaveris,rumpueris,rumperis,rumpieris,You will have burst opened
Active Indicative,Future Perfect,2nd Person,Plural,rumpaveritis,rumpueritis,rumperitis,rumpieritis,You (pl.) will have burst opened
Active Indicative,Future Perfect,3rd Person,Singular,rumpaverit,rumpuerit,rumperit,rumpierit,He/she/it will have burst opened
Active Indicative,Future Perfect,3rd Person,Plural,rumpaverint,rumpuerint,rumperint,rumpierint,They will have burst opened
Passive Indicative,Present,1st Person,Singular,rumpor,rumpeor,rumpor,rumpior,I am being burst opened
Passive Indicative,Present,1st Person,Plural,rumpamur,rumpemur,rumpimur,rumpimur,We are being burst opened
Passive Indicative,Present,2nd Person,Singular,rumparis,rumperis,rumpiris,rumpiris,You are being burst opened
Passive Indicative,Present,2nd Person,Plural,rumpamini,rumpemini,rumpimini,rumpimini,You (pl.) are being burst opened
Passive Indicative,Present,3rd Person,Singular,rumpatur,rumpetur,rumpitur,rumpitur,He/she/it is being burst opened
Passive Indicative,Present,3rd Person,Plural,rumpantur,rumpentur,rumpiuntur,rumpiuntur,They are being burst opened
Passive Indicative,Imperfect,1st Person,Singular,rumpabar,rumpebar,rumpebar,rumpiebar,I was burst opened
Passive Indicative,Imperfect,1st Person,Plural,rumpabamur,rumpebamur,rumpebamur,rumpiebamur,We were burst opened
Passive Indicative,Imperfect,2nd Person,Singular,rumpabaris,rumpebaris,rumpebaris,rumpiebaris,You were burst opened
Passive Indicative,Imperfect,2nd Person,Plural,rumpabamini,rumpebamini,rumpebamini,rumpiebamini,You (pl.) were burst opened
