Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,salo,saleo,salo,salio,I salt
Active Indicative,Present,1st Person,Plural,salamus,salemus,salimus,salimus,We salt
Active Indicative,Present,2nd Person,Singular,salas,sales,salis,salis,You salt
Active Indicative,Present,2nd Person,Plural,salatis,saletis,salitis,salitis,You (pl.) salt
Active Indicative,Present,3rd Person,Singular,salat,salet,salit,salit,He/she/it salt
Active Indicative,Present,3rd Person,Plural,salant,salent,saliunt,saliunt,They salt
Active Indicative,Imperfect,1st Person,Singular,salabam,salebam,salebam,saliebam,I was salting
Active Indicative,Imperfect,1st Person,Plural,salabamus,salebamus,salebamus,saliebamus,We were salting
Active Indicative,Imperfect,2nd Person,Singular,salabas,salebas,salebas,saliebas,You were salting
Active Indicative,Imperfect,2nd Person,Plural,salabatis,salebatis,salebatis,saliebatis,You (pl.) were salting
Active Indicative,Imperfect,3rd Person,Singular,salabat,salebat,salebat,saliebat,He/she/it was salting
Active Indicative,Imperfect,3rd Person,Plural,salabant,salebant,salebant,saliebant,They were salting
Active Indicative,Future,1st Person,Singular,salabo,salebo,salam,saliam,I will salt
Active Indicative,Future,1st Person,Plural,salabimus,salebimus,salemus,saliemus,We will salt
Active Indicative,Future,2nd Person,Singular,salabis,salebis,sales,salies,You will salt
Active Indicative,Future,2nd Person,Plural,salabitis,salebitis,saletis,salietis,You (pl.) will salt
Active Indicative,Future,3rd Person,Singular,salabit,salebit,salet,saliet,He/she/it will salt
Active Indicative,Future,3rd Person,Plural,salabunt,salebunt,salent,salient,They will salt
Active Indicative,Perfect,1st Person,Singular,salavi,salui,sali,sali,I have salted
Active Indicative,Perfect,1st Person,Plural,salavimus,saluimus,salimus,salimus,We have salted
Active Indicative,Perfect,2nd Person,Singular,salavisti,saluisti,salisti,salisti,You have salted
Active Indicative,Perfect,2nd Person,Plural,salavistis,saluistis,salistis,salistis,You (pl.) have salted
Active Indicative,Perfect,3rd Person,Singular,salavit,saluit,salit,salit,He/she/it has salted
Active Indicative,Perfect,3rd Person,Plural,salaverunt,saluerunt,salerunt,salerunt,They have salted
Active Indicative,Pluperfect,1st Person,Singular,salaveram,salueram,saleram,saleram,I had salted
Active Indicative,Pluperfect,1st Person,Plural,salaveramus,salueramus,saleramus,saleramus,We had salted
Active Indicative,Pluperfect,2nd Person,Singular,salaveras,salueras,saleras,saleras,You had salted
Active Indicative,Pluperfect,2nd Person,Plural,salaveratis,salueratis,saleratis,saleratis,You (pl.) had salted
Active Indicative,Pluperfect,3rd Person,Singular,salaverat,saluerat,salerat,salerat,He/she/it had salted
Active Indicative,Pluperfect,3rd Person,Plural,salaverant,saluerant,salerant,salerant,They had salted
Active Indicative,Future Perfect,1st Person,Singular,salavero,salueero,salero,saliero,I will have salted
Active Indicative,Future Perfect,1st Person,Plural,salaverimus,saluerimus,salerimus,salierimus,We will have salted
Active Indicative,Future Perfect,2nd Person,Singular,salaveris,salueris,saleris,salieris,You will have salted
Active Indicative,Future Perfect,2nd Person,Plural,salaveritis,salueritis,saleritis,salieritis,You (pl.) will have salted
Active Indicative,Future Perfect,3rd Person,Singular,salaverit,saluerit,salerit,salierit,He/she/it will have salted
Active Indicative,Future Perfect,3rd Person,Plural,salaverint,saluerint,salerint,salierint,They will have salted
Passive Indicative,Present,1st Person,Singular,salor,saleor,salor,salior,I am being salted
Passive Indicative,Present,1st Person,Plural,salamur,salemur,salimur,salimur,We are being salted
Passive Indicative,Present,2nd Person,Singular,salaris,saleris,saliris,saliris,You are being salted
Passive Indicative,Present,2nd Person,Plural,salamini,salemini,salimini,salimini,You (pl.) are being salted
Passive Indicative,Present,3rd Person,Singular,salatur,saletur,salitur,salitur,He/she/it is being salted
Passive Indicative,Present,3rd Person,Plural,salantur,salentur,saliuntur,saliuntur,They are being salted
Passive Indicative,Imperfect,1st Person,Singular,salabar,salebar,salebar,saliebar,I was salted
Passive Indicative,Imperfect,1st Person,Plural,salabamur,salebamur,salebamur,saliebamur,We were salted
Passive Indicative,Imperfect,2nd Person,Singular,salabaris,salebaris,salebaris,saliebaris,You were salted
Passive Indicative,Imperfect,2nd Person,Plural,salabamini,salebamini,salebamini,saliebamini,You (pl.) were salted
Passive Indicative,Imperfect,3rd Person,Singular,salabatur,salebatur,salebatur,saliebatur,He/she/it was salted
Passive Indicative,Imperfect,3rd Person,Plural,salabantur,salebantur,salebantur,saliebantur,They were salted
Passive Indicative,Future,1st Person,Singular,salabor,salebor,salar,saliar,I will be salted
Passive Indicative,Future,1st Person,Plural,salabimur,salebimur,salemur,saliemur,We will be salted
Passive Indicative,Future,2nd Person,Singular,salaberis,saleberis,saleris,salieris,You will be salted
Passive Indicative,Future,2nd Person,Plural,salabimini,salebimini,salemini,saliemini,You (pl.) will be salted
Passive Indicative,Future,3rd Person,Singular,salabitur,salebitur,saletur,salietur,He/she/it will be salted
Passive Indicative,Future,3rd Person,Plural,salabuntur,salebuntur,salentur,salientur,They will be salted
Passive Indicative,Perfect,1st Person,Singular,salatus sum,saletus sum,salus sum,salus sum,I have been salted
Passive Indicative,Perfect,1st Person,Plural,salati sumus,saleti sumus,sali sumus,sali sumus,We have been salted
Passive Indicative,Perfect,2nd Person,Singular,salatus es,saletus es,salus es,salus es,You have been salted
Passive Indicative,Perfect,2nd Person,Plural,salati estis,saleti estis,sali estis,sali estis,You (pl.) have been salted
Passive Indicative,Perfect,3rd Person,Singular,salatus est,saletus est,salus est,salus est,He/she/it has been salted
Passive Indicative,Perfect,3rd Person,Plural,salati sunt,saleti sunt,sali sunt,sali sunt,They have been salted
Passive Indicative,Pluperfect,1st Person,Singular,salatus eram,saletus eram,salus eram,salus eram,I had been salted
Passive Indicative,Pluperfect,1st Person,Plural,salati eramus,saleti eramus,sali eramus,sali eramus,We had been salted
Passive Indicative,Pluperfect,2nd Person,Singular,salatus eras,saletus eras,salus eras,salus eras,You had been salted
Passive Indicative,Pluperfect,2nd Person,Plural,salati eratis,saleti eratis,sali eratis,sali eratis,You (pl.) had been salted
Passive Indicative,Pluperfect,3rd Person,Singular,salatus erat,saletus erat,salus erat,salus erat,He/she/it had been salted
Passive Indicative,Pluperfect,3rd Person,Plural,salati erant,saleti erant,sali erant,sali erant,They had been salted
Passive Indicative,Future Perfect,1st Person,Singular,salatus ero,saletus ero,salus ero,salus ero,I will have been salted
Passive Indicative,Future Perfect,1st Person,Plural,salati erimus,saleti erimus,sali erimus,sali erimus,We will have been salted
Passive Indicative,Future Perfect,2nd Person,Singular,salatus eris,saletus eris,salus eris,salus eris,You will have been salted
Passive Indicative,Future Perfect,2nd Person,Plural,salati eritis,saleti eritis,sali eritis,sali eritis,You (pl.) will have been salted
Passive Indicative,Future Perfect,3rd Person,Singular,salatus erit,saletus erit,salus erit,salus erit,He/she/it will have been salted
Passive Indicative,Future Perfect,3rd Person,Plural,salati erunt,saleti erunt,sali erunt,sali erunt,They will have been salted
Active Subjunctive,Present,1st Person,Singular,salem,salem,salam,salam,I may salt
Active Subjunctive,Present,1st Person,Plural,salemus,salemus,salamus,salamus,We may salt
Active Subjunctive,Present,2nd Person,Singular,sales,sales,salas,salas,You may salt
Active Subjunctive,Present,2nd Person,Plural,saletis,saletis,salatis,salatis,You (pl.) may salt
Active Subjunctive,Present,3rd Person,Singular,salet,salet,salat,salat,He/she/it may salt
Active Subjunctive,Present,3rd Person,Plural,salent,salent,salant,salant,They may salt
Active Subjunctive,Imperfect,1st Person,Singular,salarem,salerem,salerem,salirem,I should salt
Active Subjunctive,Imperfect,1st Person,Plural,salaremus,saleremus,saleremus,saliremus,We should salt
Active Subjunctive,Imperfect,2nd Person,Singular,salares,saleres,saleres,salires,You should salt
Active Subjunctive,Imperfect,2nd Person,Plural,salaretis,saleretis,saleretis,saliretis,You (pl.) should salt
Active Subjunctive,Imperfect,3rd Person,Singular,salaret,saleret,saleret,saliret,He/she/it should salt
Active Subjunctive,Imperfect,3rd Person,Plural,salarent,salerent,salerent,salirent,They should salt
Active Subjunctive,Perfect,1st Person,Singular,salerim,saluerim,salerim,salierim,I may have salted
Active Subjunctive,Perfect,1st Person,Plural,salerimus,saluerimus,salerimus,salierimus,We may have salted
Active Subjunctive,Perfect,2nd Person,Singular,saleris,salueris,saleris,salieris,You may have salted
Active Subjunctive,Perfect,2nd Person,Plural,saleritis,salueritis,saleritis,salieritis,You (pl.) may have salted
Active Subjunctive,Perfect,3rd Person,Singular,salerit,saluerit,salerit,salierit,He/she/it may have salted
Active Subjunctive,Perfect,3rd Person,Plural,salerint,saluerint,salerint,salierint,They may have salted
Active Subjunctive,Pluperfect,1st Person,Singular,salissem,saluissem,salissem,salissem,I should have salted
Active Subjunctive,Pluperfect,1st Person,Plural,salissemus,saluissemus,salissemus,salissemus,We should have salted
Active Subjunctive,Pluperfect,2nd Person,Singular,salisses,saluisses,salisses,salisses,You would have salted
Active Subjunctive,Pluperfect,2nd Person,Plural,salissetis,saluissetis,salissetis,salissetis,You (pl.) would have salted
Active Subjunctive,Pluperfect,3rd Person,Singular,salisset,saluisset,salisset,salisset,He/she/it would have salted
Active Subjunctive,Pluperfect,3rd Person,Plural,salissent,saluissent,salissent,salissent,They would have salted
Passive Subjunctive,Present,1st Person,Singular,saler,saler,salar,salar,I may be salted
Passive Subjunctive,Present,1st Person,Plural,salemur,salemur,salamur,salamur,We may be salted
Passive Subjunctive,Present,2nd Person,Singular,saleris,saleris,salaris,salaris,You may be salted
Passive Subjunctive,Present,2nd Person,Plural,salemini,salemini,salamini,salamini,You (pl.) may be salted
Passive Subjunctive,Present,3rd Person,Singular,saletur,saletur,salatur,salatur,He/she/it may be salted
Passive Subjunctive,Present,3rd Person,Plural,salentur,salentur,salantur,salantur,They may be salted
Passive Subjunctive,Imperfect,1st Person,Singular,salarer,salerer,salerer,salirer,I should be salted
Passive Subjunctive,Imperfect,1st Person,Plural,salaremur,saleremur,saleremur,saliremur,We should be salted
Passive Subjunctive,Imperfect,2nd Person,Singular,salareris,salereris,salereris,salireris,You would be salted
Passive Subjunctive,Imperfect,2nd Person,Plural,salaremini,saleremini,saleremini,saliremini,You (pl.) would be salted
Passive Subjunctive,Imperfect,3rd Person,Singular,salaretur,saleretur,saleretur,saliretur,He/she/it would be salted
Passive Subjunctive,Imperfect,3rd Person,Plural,salarentur,salerentur,salerentur,salirentur,They would be salted
Passive Subjunctive,Perfect,1st Person,Singular,salatus sim,saletus sim,salus sim,salus sim,I may have been salted
Passive Subjunctive,Perfect,1st Person,Plural,salati simus,saleti simus,sali simus,sali simus,We may have been salted
Passive Subjunctive,Perfect,2nd Person,Singular,salatus sis,saletus sis,salus sis,salus sis,You may have been salted
Passive Subjunctive,Perfect,2nd Person,Plural,salati sitis,saleti sitis,sali sitis,sali sitis,You (pl.) may have been salted
Passive Subjunctive,Perfect,3rd Person,Singular,salatus sit,saletus sit,salus sit,salus sit,He/she/it may have been salted
Passive Subjunctive,Perfect,3rd Person,Plural,salati sint,saleti sint,sali sint,sali sint,They may have been salted
Passive Subjunctive,Pluperfect,1st Person,Singular,salatus essem,saletus essem,salus essem,salus essem,I should have been salted
Passive Subjunctive,Pluperfect,1st Person,Plural,salati essemus,saleti essemus,sali essemus,sali essemus,We should have been salted
Passive Subjunctive,Pluperfect,2nd Person,Singular,salatus esses,saletus esses,salus esses,salus esses,You would have been salted
Passive Subjunctive,Pluperfect,2nd Person,Plural,salati essetis,saleti essetis,sali essetis,sali essetis,You (pl.) would have been salted
Passive Subjunctive,Pluperfect,3rd Person,Singular,salatus esset,saletus esset,salus esset,salus esset,He/she/it would have been salted
Passive Subjunctive,Pluperfect,3rd Person,Plural,salati essent,saleti essent,sali essent,sali essent,They would have been salted
