Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,salto,salteo,salto,saltio,I dance
Active Indicative,Present,1st Person,Plural,saltamus,saltemus,saltimus,saltimus,We dance
Active Indicative,Present,2nd Person,Singular,saltas,saltes,saltis,saltis,You dance
Active Indicative,Present,2nd Person,Plural,saltatis,saltetis,saltitis,saltitis,You (pl.) dance
Active Indicative,Present,3rd Person,Singular,saltat,saltet,saltit,saltit,He/she/it dance
Active Indicative,Present,3rd Person,Plural,saltant,saltent,saltiunt,saltiunt,They dance
Active Indicative,Imperfect,1st Person,Singular,saltabam,saltebam,saltebam,saltiebam,I was danceing
Active Indicative,Imperfect,1st Person,Plural,saltabamus,saltebamus,saltebamus,saltiebamus,We were danceing
Active Indicative,Imperfect,2nd Person,Singular,saltabas,saltebas,saltebas,saltiebas,You were danceing
Active Indicative,Imperfect,2nd Person,Plural,saltabatis,saltebatis,saltebatis,saltiebatis,You (pl.) were danceing
Active Indicative,Imperfect,3rd Person,Singular,saltabat,saltebat,saltebat,saltiebat,He/she/it was danceing
Active Indicative,Imperfect,3rd Person,Plural,saltabant,saltebant,saltebant,saltiebant,They were danceing
Active Indicative,Future,1st Person,Singular,saltabo,saltebo,saltam,saltiam,I will dance
Active Indicative,Future,1st Person,Plural,saltabimus,saltebimus,saltemus,saltiemus,We will dance
Active Indicative,Future,2nd Person,Singular,saltabis,saltebis,saltes,salties,You will dance
Active Indicative,Future,2nd Person,Plural,saltabitis,saltebitis,saltetis,saltietis,You (pl.) will dance
Active Indicative,Future,3rd Person,Singular,saltabit,saltebit,saltet,saltiet,He/she/it will dance
Active Indicative,Future,3rd Person,Plural,saltabunt,saltebunt,saltent,saltient,They will dance
Active Indicative,Perfect,1st Person,Singular,saltavi,saltui,salti,salti,I have danceed
Active Indicative,Perfect,1st Person,Plural,saltavimus,saltuimus,saltimus,saltimus,We have danceed
Active Indicative,Perfect,2nd Person,Singular,saltavisti,saltuisti,saltisti,saltisti,You have danceed
Active Indicative,Perfect,2nd Person,Plural,saltavistis,saltuistis,saltistis,saltistis,You (pl.) have danceed
Active Indicative,Perfect,3rd Person,Singular,saltavit,saltuit,saltit,saltit,He/she/it has danceed
Active Indicative,Perfect,3rd Person,Plural,saltaverunt,saltuerunt,salterunt,salterunt,They have danceed
Active Indicative,Pluperfect,1st Person,Singular,saltaveram,saltueram,salteram,salteram,I had danceed
Active Indicative,Pluperfect,1st Person,Plural,saltaveramus,saltueramus,salteramus,salteramus,We had danceed
Active Indicative,Pluperfect,2nd Person,Singular,saltaveras,saltueras,salteras,salteras,You had danceed
Active Indicative,Pluperfect,2nd Person,Plural,saltaveratis,saltueratis,salteratis,salteratis,You (pl.) had danceed
Active Indicative,Pluperfect,3rd Person,Singular,saltaverat,saltuerat,salterat,salterat,He/she/it had danceed
Active Indicative,Pluperfect,3rd Person,Plural,saltaverant,saltuerant,salterant,salterant,They had danceed
Active Indicative,Future Perfect,1st Person,Singular,saltavero,saltueero,saltero,saltiero,I will have danceed
Active Indicative,Future Perfect,1st Person,Plural,saltaverimus,saltuerimus,salterimus,saltierimus,We will have danceed
Active Indicative,Future Perfect,2nd Person,Singular,saltaveris,saltueris,salteris,saltieris,You will have danceed
Active Indicative,Future Perfect,2nd Person,Plural,saltaveritis,saltueritis,salteritis,saltieritis,You (pl.) will have danceed
Active Indicative,Future Perfect,3rd Person,Singular,saltaverit,saltuerit,salterit,saltierit,He/she/it will have danceed
Active Indicative,Future Perfect,3rd Person,Plural,saltaverint,saltuerint,salterint,saltierint,They will have danceed
Passive Indicative,Present,1st Person,Singular,saltor,salteor,saltor,saltior,I am being danceed
Passive Indicative,Present,1st Person,Plural,saltamur,saltemur,saltimur,saltimur,We are being danceed
Passive Indicative,Present,2nd Person,Singular,saltaris,salteris,saltiris,saltiris,You are being danceed
Passive Indicative,Present,2nd Person,Plural,saltamini,saltemini,saltimini,saltimini,You (pl.) are being danceed
Passive Indicative,Present,3rd Person,Singular,saltatur,saltetur,saltitur,saltitur,He/she/it is being danceed
Passive Indicative,Present,3rd Person,Plural,saltantur,saltentur,saltiuntur,saltiuntur,They are being danceed
Passive Indicative,Imperfect,1st Person,Singular,saltabar,saltebar,saltebar,saltiebar,I was danceed
Passive Indicative,Imperfect,1st Person,Plural,saltabamur,saltebamur,saltebamur,saltiebamur,We were danceed
Passive Indicative,Imperfect,2nd Person,Singular,saltabaris,saltebaris,saltebaris,saltiebaris,You were danceed
Passive Indicative,Imperfect,2nd Person,Plural,saltabamini,saltebamini,saltebamini,saltiebamini,You (pl.) were danceed
Passive Indicative,Imperfect,3rd Person,Singular,saltabatur,saltebatur,saltebatur,saltiebatur,He/she/it was danceed
Passive Indicative,Imperfect,3rd Person,Plural,saltabantur,saltebantur,saltebantur,saltiebantur,They were danceed
Passive Indicative,Future,1st Person,Singular,saltabor,saltebor,saltar,saltiar,I will be danceed
Passive Indicative,Future,1st Person,Plural,saltabimur,saltebimur,saltemur,saltiemur,We will be danceed
Passive Indicative,Future,2nd Person,Singular,saltaberis,salteberis,salteris,saltieris,You will be danceed
Passive Indicative,Future,2nd Person,Plural,saltabimini,saltebimini,saltemini,saltiemini,You (pl.) will be danceed
Passive Indicative,Future,3rd Person,Singular,saltabitur,saltebitur,saltetur,saltietur,He/she/it will be danceed
Passive Indicative,Future,3rd Person,Plural,saltabuntur,saltebuntur,saltentur,saltientur,They will be danceed
Passive Indicative,Perfect,1st Person,Singular,saltatus sum,saltetus sum,saltus sum,saltus sum,I have been danceed
Passive Indicative,Perfect,1st Person,Plural,saltati sumus,salteti sumus,salti sumus,salti sumus,We have been danceed
Passive Indicative,Perfect,2nd Person,Singular,saltatus es,saltetus es,saltus es,saltus es,You have been danceed
Passive Indicative,Perfect,2nd Person,Plural,saltati estis,salteti estis,salti estis,salti estis,You (pl.) have been danceed
Passive Indicative,Perfect,3rd Person,Singular,saltatus est,saltetus est,saltus est,saltus est,He/she/it has been danceed
Passive Indicative,Perfect,3rd Person,Plural,saltati sunt,salteti sunt,salti sunt,salti sunt,They have been danceed
Passive Indicative,Pluperfect,1st Person,Singular,saltatus eram,saltetus eram,saltus eram,saltus eram,I had been danceed
Passive Indicative,Pluperfect,1st Person,Plural,saltati eramus,salteti eramus,salti eramus,salti eramus,We had been danceed
Passive Indicative,Pluperfect,2nd Person,Singular,saltatus eras,saltetus eras,saltus eras,saltus eras,You had been danceed
Passive Indicative,Pluperfect,2nd Person,Plural,saltati eratis,salteti eratis,salti eratis,salti eratis,You (pl.) had been danceed
Passive Indicative,Pluperfect,3rd Person,Singular,saltatus erat,saltetus erat,saltus erat,saltus erat,He/she/it had been danceed
Passive Indicative,Pluperfect,3rd Person,Plural,saltati erant,salteti erant,salti erant,salti erant,They had been danceed
Passive Indicative,Future Perfect,1st Person,Singular,saltatus ero,saltetus ero,saltus ero,saltus ero,I will have been danceed
Passive Indicative,Future Perfect,1st Person,Plural,saltati erimus,salteti erimus,salti erimus,salti erimus,We will have been danceed
Passive Indicative,Future Perfect,2nd Person,Singular,saltatus eris,saltetus eris,saltus eris,saltus eris,You will have been danceed
Passive Indicative,Future Perfect,2nd Person,Plural,saltati eritis,salteti eritis,salti eritis,salti eritis,You (pl.) will have been danceed
Passive Indicative,Future Perfect,3rd Person,Singular,saltatus erit,saltetus erit,saltus erit,saltus erit,He/she/it will have been danceed
