Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,sculpo,sculpeo,sculpo,sculpio,I carve
Active Indicative,Present,1st Person,Plural,sculpamus,sculpemus,sculpimus,sculpimus,We carve
Active Indicative,Present,2nd Person,Singular,sculpas,sculpes,sculpis,sculpis,You carve
Active Indicative,Present,2nd Person,Plural,sculpatis,sculpetis,sculpitis,sculpitis,You (pl.) carve
Active Indicative,Present,3rd Person,Singular,sculpat,sculpet,sculpit,sculpit,He/she/it carve
Active Indicative,Present,3rd Person,Plural,sculpant,sculpent,sculpiunt,sculpiunt,They carve
Active Indicative,Imperfect,1st Person,Singular,sculpabam,sculpebam,sculpebam,sculpiebam,I was carveing
Active Indicative,Imperfect,1st Person,Plural,sculpabamus,sculpebamus,sculpebamus,sculpiebamus,We were carveing
Active Indicative,Imperfect,2nd Person,Singular,sculpabas,sculpebas,sculpebas,sculpiebas,You were carveing
Active Indicative,Imperfect,2nd Person,Plural,sculpabatis,sculpebatis,sculpebatis,sculpiebatis,You (pl.) were carveing
Active Indicative,Imperfect,3rd Person,Singular,sculpabat,sculpebat,sculpebat,sculpiebat,He/she/it was carveing
Active Indicative,Imperfect,3rd Person,Plural,sculpabant,sculpebant,sculpebant,sculpiebant,They were carveing
Active Indicative,Future,1st Person,Singular,sculpabo,sculpebo,sculpam,sculpiam,I will carve
Active Indicative,Future,1st Person,Plural,sculpabimus,sculpebimus,sculpemus,sculpiemus,We will carve
Active Indicative,Future,2nd Person,Singular,sculpabis,sculpebis,sculpes,sculpies,You will carve
Active Indicative,Future,2nd Person,Plural,sculpabitis,sculpebitis,sculpetis,sculpietis,You (pl.) will carve
Active Indicative,Future,3rd Person,Singular,sculpabit,sculpebit,sculpet,sculpiet,He/she/it will carve
Active Indicative,Future,3rd Person,Plural,sculpabunt,sculpebunt,sculpent,sculpient,They will carve
Active Indicative,Perfect,1st Person,Singular,sculpavi,sculpui,sculpi,sculpi,I have carveed
Active Indicative,Perfect,1st Person,Plural,sculpavimus,sculpuimus,sculpimus,sculpimus,We have carveed
Active Indicative,Perfect,2nd Person,Singular,sculpavisti,sculpuisti,sculpisti,sculpisti,You have carveed
Active Indicative,Perfect,2nd Person,Plural,sculpavistis,sculpuistis,sculpistis,sculpistis,You (pl.) have carveed
Active Indicative,Perfect,3rd Person,Singular,sculpavit,sculpuit,sculpit,sculpit,He/she/it has carveed
Active Indicative,Perfect,3rd Person,Plural,sculpaverunt,sculpuerunt,sculperunt,sculperunt,They have carveed
Active Indicative,Pluperfect,1st Person,Singular,sculpaveram,sculpueram,sculperam,sculperam,I had carveed
Active Indicative,Pluperfect,1st Person,Plural,sculpaveramus,sculpueramus,sculperamus,sculperamus,We had carveed
Active Indicative,Pluperfect,2nd Person,Singular,sculpaveras,sculpueras,sculperas,sculperas,You had carveed
Active Indicative,Pluperfect,2nd Person,Plural,sculpaveratis,sculpueratis,sculperatis,sculperatis,You (pl.) had carveed
Active Indicative,Pluperfect,3rd Person,Singular,sculpaverat,sculpuerat,sculperat,sculperat,He/she/it had carveed
Active Indicative,Pluperfect,3rd Person,Plural,sculpaverant,sculpuerant,sculperant,sculperant,They had carveed
Active Indicative,Future Perfect,1st Person,Singular,sculpavero,sculpueero,sculpero,sculpiero,I will have carveed
Active Indicative,Future Perfect,1st Person,Plural,sculpaverimus,sculpuerimus,sculperimus,sculpierimus,We will have carveed
Active Indicative,Future Perfect,2nd Person,Singular,sculpaveris,sculpueris,sculperis,sculpieris,You will have carveed
Active Indicative,Future Perfect,2nd Person,Plural,sculpaveritis,sculpueritis,sculperitis,sculpieritis,You (pl.) will have carveed
Active Indicative,Future Perfect,3rd Person,Singular,sculpaverit,sculpuerit,sculperit,sculpierit,He/she/it will have carveed
Active Indicative,Future Perfect,3rd Person,Plural,sculpaverint,sculpuerint,sculperint,sculpierint,They will have carveed
Passive Indicative,Present,1st Person,Singular,sculpor,sculpeor,sculpor,sculpior,I am being carveed
Passive Indicative,Present,1st Person,Plural,sculpamur,sculpemur,sculpimur,sculpimur,We are being carveed
Passive Indicative,Present,2nd Person,Singular,sculparis,sculperis,sculpiris,sculpiris,You are being carveed
Passive Indicative,Present,2nd Person,Plural,sculpamini,sculpemini,sculpimini,sculpimini,You (pl.) are being carveed
Passive Indicative,Present,3rd Person,Singular,sculpatur,sculpetur,sculpitur,sculpitur,He/she/it is being carveed
Passive Indicative,Present,3rd Person,Plural,sculpantur,sculpentur,sculpiuntur,sculpiuntur,They are being carveed
Passive Indicative,Imperfect,1st Person,Singular,sculpabar,sculpebar,sculpebar,sculpiebar,I was carveed
Passive Indicative,Imperfect,1st Person,Plural,sculpabamur,sculpebamur,sculpebamur,sculpiebamur,We were carveed
Passive Indicative,Imperfect,2nd Person,Singular,sculpabaris,sculpebaris,sculpebaris,sculpiebaris,You were carveed
Passive Indicative,Imperfect,2nd Person,Plural,sculpabamini,sculpebamini,sculpebamini,sculpiebamini,You (pl.) were carveed
Passive Indicative,Imperfect,3rd Person,Singular,sculpabatur,sculpebatur,sculpebatur,sculpiebatur,He/she/it was carveed
Passive Indicative,Imperfect,3rd Person,Plural,sculpabantur,sculpebantur,sculpebantur,sculpiebantur,They were carveed
Passive Indicative,Future,1st Person,Singular,sculpabor,sculpebor,sculpar,sculpiar,I will be carveed
Passive Indicative,Future,1st Person,Plural,sculpabimur,sculpebimur,sculpemur,sculpiemur,We will be carveed
Passive Indicative,Future,2nd Person,Singular,sculpaberis,sculpeberis,sculperis,sculpieris,You will be carveed
Passive Indicative,Future,2nd Person,Plural,sculpabimini,sculpebimini,sculpemini,sculpiemini,You (pl.) will be carveed
Passive Indicative,Future,3rd Person,Singular,sculpabitur,sculpebitur,sculpetur,sculpietur,He/she/it will be carveed
Passive Indicative,Future,3rd Person,Plural,sculpabuntur,sculpebuntur,sculpentur,sculpientur,They will be carveed
Passive Indicative,Perfect,1st Person,Singular,sculpatus sum,sculpetus sum,sculpus sum,sculpus sum,I have been carveed
Passive Indicative,Perfect,1st Person,Plural,sculpati sumus,sculpeti sumus,sculpi sumus,sculpi sumus,We have been carveed
Passive Indicative,Perfect,2nd Person,Singular,sculpatus es,sculpetus es,sculpus es,sculpus es,You have been carveed
Passive Indicative,Perfect,2nd Person,Plural,sculpati estis,sculpeti estis,sculpi estis,sculpi estis,You (pl.) have been carveed
Passive Indicative,Perfect,3rd Person,Singular,sculpatus est,sculpetus est,sculpus est,sculpus est,He/she/it has been carveed
Passive Indicative,Perfect,3rd Person,Plural,sculpati sunt,sculpeti sunt,sculpi sunt,sculpi sunt,They have been carveed
Passive Indicative,Pluperfect,1st Person,Singular,sculpatus eram,sculpetus eram,sculpus eram,sculpus eram,I had been carveed
Passive Indicative,Pluperfect,1st Person,Plural,sculpati eramus,sculpeti eramus,sculpi eramus,sculpi eramus,We had been carveed
Passive Indicative,Pluperfect,2nd Person,Singular,sculpatus eras,sculpetus eras,sculpus eras,sculpus eras,You had been carveed
Passive Indicative,Pluperfect,2nd Person,Plural,sculpati eratis,sculpeti eratis,sculpi eratis,sculpi eratis,You (pl.) had been carveed
Passive Indicative,Pluperfect,3rd Person,Singular,sculpatus erat,sculpetus erat,sculpus erat,sculpus erat,He/she/it had been carveed
Passive Indicative,Pluperfect,3rd Person,Plural,sculpati erant,sculpeti erant,sculpi erant,sculpi erant,They had been carveed
Passive Indicative,Future Perfect,1st Person,Singular,sculpatus ero,sculpetus ero,sculpus ero,sculpus ero,I will have been carveed
Passive Indicative,Future Perfect,1st Person,Plural,sculpati erimus,sculpeti erimus,sculpi erimus,sculpi erimus,We will have been carveed
Passive Indicative,Future Perfect,2nd Person,Singular,sculpatus eris,sculpetus eris,sculpus eris,sculpus eris,You will have been carveed
Passive Indicative,Future Perfect,2nd Person,Plural,sculpati eritis,sculpeti eritis,sculpi eritis,sculpi eritis,You (pl.) will have been carveed
Passive Indicative,Future Perfect,3rd Person,Singular,sculpatus erit,sculpetus erit,sculpus erit,sculpus erit,He/she/it will have been carveed
Passive Indicative,Future Perfect,3rd Person,Plural,sculpati erunt,sculpeti erunt,sculpi erunt,sculpi erunt,They will have been carveed
Active Subjunctive,Present,1st Person,Singular,sculpem,sculpem,sculpam,sculpam,I may carve
Active Subjunctive,Present,1st Person,Plural,sculpemus,sculpemus,sculpamus,sculpamus,We may carve
Active Subjunctive,Present,2nd Person,Singular,sculpes,sculpes,sculpas,sculpas,You may carve
Active Subjunctive,Present,2nd Person,Plural,sculpetis,sculpetis,sculpatis,sculpatis,You (pl.) may carve
Active Subjunctive,Present,3rd Person,Singular,sculpet,sculpet,sculpat,sculpat,He/she/it may carve
Active Subjunctive,Present,3rd Person,Plural,sculpent,sculpent,sculpant,sculpant,They may carve
Active Subjunctive,Imperfect,1st Person,Singular,sculparem,sculperem,sculperem,sculpirem,I should carve
Active Subjunctive,Imperfect,1st Person,Plural,sculparemus,sculperemus,sculperemus,sculpiremus,We should carve
Active Subjunctive,Imperfect,2nd Person,Singular,sculpares,sculperes,sculperes,sculpires,You should carve
Active Subjunctive,Imperfect,2nd Person,Plural,sculparetis,sculperetis,sculperetis,sculpiretis,You (pl.) should carve
Active Subjunctive,Imperfect,3rd Person,Singular,sculparet,sculperet,sculperet,sculpiret,He/she/it should carve
Active Subjunctive,Imperfect,3rd Person,Plural,sculparent,sculperent,sculperent,sculpirent,They should carve
Active Subjunctive,Perfect,1st Person,Singular,sculperim,sculpuerim,sculperim,sculpierim,I may have carveed
Active Subjunctive,Perfect,1st Person,Plural,sculperimus,sculpuerimus,sculperimus,sculpierimus,We may have carveed
Active Subjunctive,Perfect,2nd Person,Singular,sculperis,sculpueris,sculperis,sculpieris,You may have carveed
Active Subjunctive,Perfect,2nd Person,Plural,sculperitis,sculpueritis,sculperitis,sculpieritis,You (pl.) may have carveed
Active Subjunctive,Perfect,3rd Person,Singular,sculperit,sculpuerit,sculperit,sculpierit,He/she/it may have carveed
Active Subjunctive,Perfect,3rd Person,Plural,sculperint,sculpuerint,sculperint,sculpierint,They may have carveed
Active Subjunctive,Pluperfect,1st Person,Singular,sculpissem,sculpuissem,sculpissem,sculpissem,I should have carveed
Active Subjunctive,Pluperfect,1st Person,Plural,sculpissemus,sculpuissemus,sculpissemus,sculpissemus,We should have carveed
Active Subjunctive,Pluperfect,2nd Person,Singular,sculpisses,sculpuisses,sculpisses,sculpisses,You would have carveed
Active Subjunctive,Pluperfect,2nd Person,Plural,sculpissetis,sculpuissetis,sculpissetis,sculpissetis,You (pl.) would have carveed
Active Subjunctive,Pluperfect,3rd Person,Singular,sculpisset,sculpuisset,sculpisset,sculpisset,He/she/it would have carveed
Active Subjunctive,Pluperfect,3rd Person,Plural,sculpissent,sculpuissent,sculpissent,sculpissent,They would have carveed
Passive Subjunctive,Present,1st Person,Singular,sculper,sculper,sculpar,sculpar,I may be carveed
Passive Subjunctive,Present,1st Person,Plural,sculpemur,sculpemur,sculpamur,sculpamur,We may be carveed
Passive Subjunctive,Present,2nd Person,Singular,sculperis,sculperis,sculparis,sculparis,You may be carveed
Passive Subjunctive,Present,2nd Person,Plural,sculpemini,sculpemini,sculpamini,sculpamini,You (pl.) may be carveed
Passive Subjunctive,Present,3rd Person,Singular,sculpetur,sculpetur,sculpatur,sculpatur,He/she/it may be carveed
Passive Subjunctive,Present,3rd Person,Plural,sculpentur,sculpentur,sculpantur,sculpantur,They may be carveed
Passive Subjunctive,Imperfect,1st Person,Singular,sculparer,sculperer,sculperer,sculpirer,I should be carveed
Passive Subjunctive,Imperfect,1st Person,Plural,sculparemur,sculperemur,sculperemur,sculpiremur,We should be carveed
Passive Subjunctive,Imperfect,2nd Person,Singular,sculpareris,sculpereris,sculpereris,sculpireris,You would be carveed
Passive Subjunctive,Imperfect,2nd Person,Plural,sculparemini,sculperemini,sculperemini,sculpiremini,You (pl.) would be carveed
Passive Subjunctive,Imperfect,3rd Person,Singular,sculparetur,sculperetur,sculperetur,sculpiretur,He/she/it would be carveed
Passive Subjunctive,Imperfect,3rd Person,Plural,sculparentur,sculperentur,sculperentur,sculpirentur,They would be carveed
Passive Subjunctive,Perfect,1st Person,Singular,sculpatus sim,sculpetus sim,sculpus sim,sculpus sim,I may have been carveed
