Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,sedento,sedenteo,sedento,sedentio,I sit
Active Indicative,Present,1st Person,Plural,sedentamus,sedentemus,sedentimus,sedentimus,We sit
Active Indicative,Present,2nd Person,Singular,sedentas,sedentes,sedentis,sedentis,You sit
Active Indicative,Present,2nd Person,Plural,sedentatis,sedentetis,sedentitis,sedentitis,You (pl.) sit
Active Indicative,Present,3rd Person,Singular,sedentat,sedentet,sedentit,sedentit,He/she/it sit
Active Indicative,Present,3rd Person,Plural,sedentant,sedentent,sedentiunt,sedentiunt,They sit
Active Indicative,Imperfect,1st Person,Singular,sedentabam,sedentebam,sedentebam,sedentiebam,I was siting
Active Indicative,Imperfect,1st Person,Plural,sedentabamus,sedentebamus,sedentebamus,sedentiebamus,We were siting
Active Indicative,Imperfect,2nd Person,Singular,sedentabas,sedentebas,sedentebas,sedentiebas,You were siting
Active Indicative,Imperfect,2nd Person,Plural,sedentabatis,sedentebatis,sedentebatis,sedentiebatis,You (pl.) were siting
Active Indicative,Imperfect,3rd Person,Singular,sedentabat,sedentebat,sedentebat,sedentiebat,He/she/it was siting
Active Indicative,Imperfect,3rd Person,Plural,sedentabant,sedentebant,sedentebant,sedentiebant,They were siting
Active Indicative,Future,1st Person,Singular,sedentabo,sedentebo,sedentam,sedentiam,I will sit
Active Indicative,Future,1st Person,Plural,sedentabimus,sedentebimus,sedentemus,sedentiemus,We will sit
Active Indicative,Future,2nd Person,Singular,sedentabis,sedentebis,sedentes,sedenties,You will sit
Active Indicative,Future,2nd Person,Plural,sedentabitis,sedentebitis,sedentetis,sedentietis,You (pl.) will sit
Active Indicative,Future,3rd Person,Singular,sedentabit,sedentebit,sedentet,sedentiet,He/she/it will sit
Active Indicative,Future,3rd Person,Plural,sedentabunt,sedentebunt,sedentent,sedentient,They will sit
Active Indicative,Perfect,1st Person,Singular,sedentavi,sedentui,sedenti,sedenti,I have sited
Active Indicative,Perfect,1st Person,Plural,sedentavimus,sedentuimus,sedentimus,sedentimus,We have sited
Active Indicative,Perfect,2nd Person,Singular,sedentavisti,sedentuisti,sedentisti,sedentisti,You have sited
Active Indicative,Perfect,2nd Person,Plural,sedentavistis,sedentuistis,sedentistis,sedentistis,You (pl.) have sited
Active Indicative,Perfect,3rd Person,Singular,sedentavit,sedentuit,sedentit,sedentit,He/she/it has sited
Active Indicative,Perfect,3rd Person,Plural,sedentaverunt,sedentuerunt,sedenterunt,sedenterunt,They have sited
Active Indicative,Pluperfect,1st Person,Singular,sedentaveram,sedentueram,sedenteram,sedenteram,I had sited
Active Indicative,Pluperfect,1st Person,Plural,sedentaveramus,sedentueramus,sedenteramus,sedenteramus,We had sited
Active Indicative,Pluperfect,2nd Person,Singular,sedentaveras,sedentueras,sedenteras,sedenteras,You had sited
Active Indicative,Pluperfect,2nd Person,Plural,sedentaveratis,sedentueratis,sedenteratis,sedenteratis,You (pl.) had sited
Active Indicative,Pluperfect,3rd Person,Singular,sedentaverat,sedentuerat,sedenterat,sedenterat,He/she/it had sited
Active Indicative,Pluperfect,3rd Person,Plural,sedentaverant,sedentuerant,sedenterant,sedenterant,They had sited
Active Indicative,Future Perfect,1st Person,Singular,sedentavero,sedentueero,sedentero,sedentiero,I will have sited
Active Indicative,Future Perfect,1st Person,Plural,sedentaverimus,sedentuerimus,sedenterimus,sedentierimus,We will have sited
Active Indicative,Future Perfect,2nd Person,Singular,sedentaveris,sedentueris,sedenteris,sedentieris,You will have sited
Active Indicative,Future Perfect,2nd Person,Plural,sedentaveritis,sedentueritis,sedenteritis,sedentieritis,You (pl.) will have sited
Active Indicative,Future Perfect,3rd Person,Singular,sedentaverit,sedentuerit,sedenterit,sedentierit,He/she/it will have sited
Active Indicative,Future Perfect,3rd Person,Plural,sedentaverint,sedentuerint,sedenterint,sedentierint,They will have sited
Passive Indicative,Present,1st Person,Singular,sedentor,sedenteor,sedentor,sedentior,I am being sited
Passive Indicative,Present,1st Person,Plural,sedentamur,sedentemur,sedentimur,sedentimur,We are being sited
Passive Indicative,Present,2nd Person,Singular,sedentaris,sedenteris,sedentiris,sedentiris,You are being sited
Passive Indicative,Present,2nd Person,Plural,sedentamini,sedentemini,sedentimini,sedentimini,You (pl.) are being sited
Passive Indicative,Present,3rd Person,Singular,sedentatur,sedentetur,sedentitur,sedentitur,He/she/it is being sited
Passive Indicative,Present,3rd Person,Plural,sedentantur,sedententur,sedentiuntur,sedentiuntur,They are being sited
Passive Indicative,Imperfect,1st Person,Singular,sedentabar,sedentebar,sedentebar,sedentiebar,I was sited
Passive Indicative,Imperfect,1st Person,Plural,sedentabamur,sedentebamur,sedentebamur,sedentiebamur,We were sited
Passive Indicative,Imperfect,2nd Person,Singular,sedentabaris,sedentebaris,sedentebaris,sedentiebaris,You were sited
Passive Indicative,Imperfect,2nd Person,Plural,sedentabamini,sedentebamini,sedentebamini,sedentiebamini,You (pl.) were sited
Passive Indicative,Imperfect,3rd Person,Singular,sedentabatur,sedentebatur,sedentebatur,sedentiebatur,He/she/it was sited
Passive Indicative,Imperfect,3rd Person,Plural,sedentabantur,sedentebantur,sedentebantur,sedentiebantur,They were sited
Passive Indicative,Future,1st Person,Singular,sedentabor,sedentebor,sedentar,sedentiar,I will be sited
Passive Indicative,Future,1st Person,Plural,sedentabimur,sedentebimur,sedentemur,sedentiemur,We will be sited
Passive Indicative,Future,2nd Person,Singular,sedentaberis,sedenteberis,sedenteris,sedentieris,You will be sited
Passive Indicative,Future,2nd Person,Plural,sedentabimini,sedentebimini,sedentemini,sedentiemini,You (pl.) will be sited
Passive Indicative,Future,3rd Person,Singular,sedentabitur,sedentebitur,sedentetur,sedentietur,He/she/it will be sited
Passive Indicative,Future,3rd Person,Plural,sedentabuntur,sedentebuntur,sedententur,sedentientur,They will be sited
Passive Indicative,Perfect,1st Person,Singular,sedentatus sum,sedentetus sum,sedentus sum,sedentus sum,I have been sited
Passive Indicative,Perfect,1st Person,Plural,sedentati sumus,sedenteti sumus,sedenti sumus,sedenti sumus,We have been sited
Passive Indicative,Perfect,2nd Person,Singular,sedentatus es,sedentetus es,sedentus es,sedentus es,You have been sited
Passive Indicative,Perfect,2nd Person,Plural,sedentati estis,sedenteti estis,sedenti estis,sedenti estis,You (pl.) have been sited
Passive Indicative,Perfect,3rd Person,Singular,sedentatus est,sedentetus est,sedentus est,sedentus est,He/she/it has been sited
Passive Indicative,Perfect,3rd Person,Plural,sedentati sunt,sedenteti sunt,sedenti sunt,sedenti sunt,They have been sited
Passive Indicative,Pluperfect,1st Person,Singular,sedentatus eram,sedentetus eram,sedentus eram,sedentus eram,I had been sited
Passive Indicative,Pluperfect,1st Person,Plural,sedentati eramus,sedenteti eramus,sedenti eramus,sedenti eramus,We had been sited
Passive Indicative,Pluperfect,2nd Person,Singular,sedentatus eras,sedentetus eras,sedentus eras,sedentus eras,You had been sited
Passive Indicative,Pluperfect,2nd Person,Plural,sedentati eratis,sedenteti eratis,sedenti eratis,sedenti eratis,You (pl.) had been sited
Passive Indicative,Pluperfect,3rd Person,Singular,sedentatus erat,sedentetus erat,sedentus erat,sedentus erat,He/she/it had been sited
Passive Indicative,Pluperfect,3rd Person,Plural,sedentati erant,sedenteti erant,sedenti erant,sedenti erant,They had been sited
Passive Indicative,Future Perfect,1st Person,Singular,sedentatus ero,sedentetus ero,sedentus ero,sedentus ero,I will have been sited
Passive Indicative,Future Perfect,1st Person,Plural,sedentati erimus,sedenteti erimus,sedenti erimus,sedenti erimus,We will have been sited
Passive Indicative,Future Perfect,2nd Person,Singular,sedentatus eris,sedentetus eris,sedentus eris,sedentus eris,You will have been sited
Passive Indicative,Future Perfect,2nd Person,Plural,sedentati eritis,sedenteti eritis,sedenti eritis,sedenti eritis,You (pl.) will have been sited
Passive Indicative,Future Perfect,3rd Person,Singular,sedentatus erit,sedentetus erit,sedentus erit,sedentus erit,He/she/it will have been sited
Passive Indicative,Future Perfect,3rd Person,Plural,sedentati erunt,sedenteti erunt,sedenti erunt,sedenti erunt,They will have been sited
Active Subjunctive,Present,1st Person,Singular,sedentem,sedentem,sedentam,sedentam,I may sit
Active Subjunctive,Present,1st Person,Plural,sedentemus,sedentemus,sedentamus,sedentamus,We may sit
Active Subjunctive,Present,2nd Person,Singular,sedentes,sedentes,sedentas,sedentas,You may sit
Active Subjunctive,Present,2nd Person,Plural,sedentetis,sedentetis,sedentatis,sedentatis,You (pl.) may sit
Active Subjunctive,Present,3rd Person,Singular,sedentet,sedentet,sedentat,sedentat,He/she/it may sit
Active Subjunctive,Present,3rd Person,Plural,sedentent,sedentent,sedentant,sedentant,They may sit
Active Subjunctive,Imperfect,1st Person,Singular,sedentarem,sedenterem,sedenterem,sedentirem,I should sit
