Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,sedo,sedeo,sedo,sedio,I sit
Active Indicative,Present,1st Person,Plural,sedamus,sedemus,sedimus,sedimus,We sit
Active Indicative,Present,2nd Person,Singular,sedas,sedes,sedis,sedis,You sit
Active Indicative,Present,2nd Person,Plural,sedatis,sedetis,seditis,seditis,You (pl.) sit
Active Indicative,Present,3rd Person,Singular,sedat,sedet,sedit,sedit,He/she/it sit
Active Indicative,Present,3rd Person,Plural,sedant,sedent,sediunt,sediunt,They sit
Active Indicative,Imperfect,1st Person,Singular,sedabam,sedebam,sedebam,sediebam,I was siting
Active Indicative,Imperfect,1st Person,Plural,sedabamus,sedebamus,sedebamus,sediebamus,We were siting
Active Indicative,Imperfect,2nd Person,Singular,sedabas,sedebas,sedebas,sediebas,You were siting
Active Indicative,Imperfect,2nd Person,Plural,sedabatis,sedebatis,sedebatis,sediebatis,You (pl.) were siting
Active Indicative,Imperfect,3rd Person,Singular,sedabat,sedebat,sedebat,sediebat,He/she/it was siting
Active Indicative,Imperfect,3rd Person,Plural,sedabant,sedebant,sedebant,sediebant,They were siting
Active Indicative,Future,1st Person,Singular,sedabo,sedebo,sedam,sediam,I will sit
Active Indicative,Future,1st Person,Plural,sedabimus,sedebimus,sedemus,sediemus,We will sit
Active Indicative,Future,2nd Person,Singular,sedabis,sedebis,sedes,sedies,You will sit
Active Indicative,Future,2nd Person,Plural,sedabitis,sedebitis,sedetis,sedietis,You (pl.) will sit
Active Indicative,Future,3rd Person,Singular,sedabit,sedebit,sedet,sediet,He/she/it will sit
Active Indicative,Future,3rd Person,Plural,sedabunt,sedebunt,sedent,sedient,They will sit
Active Indicative,Perfect,1st Person,Singular,sedavi,sedui,sedi,sedi,I have sited
Active Indicative,Perfect,1st Person,Plural,sedavimus,seduimus,sedimus,sedimus,We have sited
Active Indicative,Perfect,2nd Person,Singular,sedavisti,seduisti,sedisti,sedisti,You have sited
Active Indicative,Perfect,2nd Person,Plural,sedavistis,seduistis,sedistis,sedistis,You (pl.) have sited
