Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,senesco,senesceo,senesco,senescio,I age
Active Indicative,Present,1st Person,Plural,senescamus,senescemus,senescimus,senescimus,We age
Active Indicative,Present,2nd Person,Singular,senescas,senesces,senescis,senescis,You age
Active Indicative,Present,2nd Person,Plural,senescatis,senescetis,senescitis,senescitis,You (pl.) age
Active Indicative,Present,3rd Person,Singular,senescat,senescet,senescit,senescit,He/she/it age
Active Indicative,Present,3rd Person,Plural,senescant,senescent,senesciunt,senesciunt,They age
Active Indicative,Imperfect,1st Person,Singular,senescabam,senescebam,senescebam,senesciebam,I was ageing
Active Indicative,Imperfect,1st Person,Plural,senescabamus,senescebamus,senescebamus,senesciebamus,We were ageing
Active Indicative,Imperfect,2nd Person,Singular,senescabas,senescebas,senescebas,senesciebas,You were ageing
Active Indicative,Imperfect,2nd Person,Plural,senescabatis,senescebatis,senescebatis,senesciebatis,You (pl.) were ageing
Active Indicative,Imperfect,3rd Person,Singular,senescabat,senescebat,senescebat,senesciebat,He/she/it was ageing
Active Indicative,Imperfect,3rd Person,Plural,senescabant,senescebant,senescebant,senesciebant,They were ageing
Active Indicative,Future,1st Person,Singular,senescabo,senescebo,senescam,senesciam,I will age
Active Indicative,Future,1st Person,Plural,senescabimus,senescebimus,senescemus,senesciemus,We will age
Active Indicative,Future,2nd Person,Singular,senescabis,senescebis,senesces,senescies,You will age
Active Indicative,Future,2nd Person,Plural,senescabitis,senescebitis,senescetis,senescietis,You (pl.) will age
Active Indicative,Future,3rd Person,Singular,senescabit,senescebit,senescet,senesciet,He/she/it will age
Active Indicative,Future,3rd Person,Plural,senescabunt,senescebunt,senescent,senescient,They will age
Active Indicative,Perfect,1st Person,Singular,senescavi,senescui,senesci,senesci,I have ageed
Active Indicative,Perfect,1st Person,Plural,senescavimus,senescuimus,senescimus,senescimus,We have ageed
Active Indicative,Perfect,2nd Person,Singular,senescavisti,senescuisti,senescisti,senescisti,You have ageed
Active Indicative,Perfect,2nd Person,Plural,senescavistis,senescuistis,senescistis,senescistis,You (pl.) have ageed
Active Indicative,Perfect,3rd Person,Singular,senescavit,senescuit,senescit,senescit,He/she/it has ageed
Active Indicative,Perfect,3rd Person,Plural,senescaverunt,senescuerunt,senescerunt,senescerunt,They have ageed
Active Indicative,Pluperfect,1st Person,Singular,senescaveram,senescueram,senesceram,senesceram,I had ageed
Active Indicative,Pluperfect,1st Person,Plural,senescaveramus,senescueramus,senesceramus,senesceramus,We had ageed
Active Indicative,Pluperfect,2nd Person,Singular,senescaveras,senescueras,senesceras,senesceras,You had ageed
Active Indicative,Pluperfect,2nd Person,Plural,senescaveratis,senescueratis,senesceratis,senesceratis,You (pl.) had ageed
Active Indicative,Pluperfect,3rd Person,Singular,senescaverat,senescuerat,senescerat,senescerat,He/she/it had ageed
Active Indicative,Pluperfect,3rd Person,Plural,senescaverant,senescuerant,senescerant,senescerant,They had ageed
Active Indicative,Future Perfect,1st Person,Singular,senescavero,senescueero,senescero,senesciero,I will have ageed
Active Indicative,Future Perfect,1st Person,Plural,senescaverimus,senescuerimus,senescerimus,senescierimus,We will have ageed
Active Indicative,Future Perfect,2nd Person,Singular,senescaveris,senescueris,senesceris,senescieris,You will have ageed
Active Indicative,Future Perfect,2nd Person,Plural,senescaveritis,senescueritis,senesceritis,senescieritis,You (pl.) will have ageed
Active Indicative,Future Perfect,3rd Person,Singular,senescaverit,senescuerit,senescerit,senescierit,He/she/it will have ageed
Active Indicative,Future Perfect,3rd Person,Plural,senescaverint,senescuerint,senescerint,senescierint,They will have ageed
Passive Indicative,Present,1st Person,Singular,senescor,senesceor,senescor,senescior,I am being ageed
Passive Indicative,Present,1st Person,Plural,senescamur,senescemur,senescimur,senescimur,We are being ageed
Passive Indicative,Present,2nd Person,Singular,senescaris,senesceris,senesciris,senesciris,You are being ageed
Passive Indicative,Present,2nd Person,Plural,senescamini,senescemini,senescimini,senescimini,You (pl.) are being ageed
Passive Indicative,Present,3rd Person,Singular,senescatur,senescetur,senescitur,senescitur,He/she/it is being ageed
Passive Indicative,Present,3rd Person,Plural,senescantur,senescentur,senesciuntur,senesciuntur,They are being ageed
Passive Indicative,Imperfect,1st Person,Singular,senescabar,senescebar,senescebar,senesciebar,I was ageed
Passive Indicative,Imperfect,1st Person,Plural,senescabamur,senescebamur,senescebamur,senesciebamur,We were ageed
Passive Indicative,Imperfect,2nd Person,Singular,senescabaris,senescebaris,senescebaris,senesciebaris,You were ageed
Passive Indicative,Imperfect,2nd Person,Plural,senescabamini,senescebamini,senescebamini,senesciebamini,You (pl.) were ageed
Passive Indicative,Imperfect,3rd Person,Singular,senescabatur,senescebatur,senescebatur,senesciebatur,He/she/it was ageed
Passive Indicative,Imperfect,3rd Person,Plural,senescabantur,senescebantur,senescebantur,senesciebantur,They were ageed
Passive Indicative,Future,1st Person,Singular,senescabor,senescebor,senescar,senesciar,I will be ageed
Passive Indicative,Future,1st Person,Plural,senescabimur,senescebimur,senescemur,senesciemur,We will be ageed
Passive Indicative,Future,2nd Person,Singular,senescaberis,senesceberis,senesceris,senescieris,You will be ageed
Passive Indicative,Future,2nd Person,Plural,senescabimini,senescebimini,senescemini,senesciemini,You (pl.) will be ageed
Passive Indicative,Future,3rd Person,Singular,senescabitur,senescebitur,senescetur,senescietur,He/she/it will be ageed
Passive Indicative,Future,3rd Person,Plural,senescabuntur,senescebuntur,senescentur,senescientur,They will be ageed
Passive Indicative,Perfect,1st Person,Singular,senescatus sum,senescetus sum,senescus sum,senescus sum,I have been ageed
Passive Indicative,Perfect,1st Person,Plural,senescati sumus,senesceti sumus,senesci sumus,senesci sumus,We have been ageed
Passive Indicative,Perfect,2nd Person,Singular,senescatus es,senescetus es,senescus es,senescus es,You have been ageed
Passive Indicative,Perfect,2nd Person,Plural,senescati estis,senesceti estis,senesci estis,senesci estis,You (pl.) have been ageed
Passive Indicative,Perfect,3rd Person,Singular,senescatus est,senescetus est,senescus est,senescus est,He/she/it has been ageed
Passive Indicative,Perfect,3rd Person,Plural,senescati sunt,senesceti sunt,senesci sunt,senesci sunt,They have been ageed
Passive Indicative,Pluperfect,1st Person,Singular,senescatus eram,senescetus eram,senescus eram,senescus eram,I had been ageed
Passive Indicative,Pluperfect,1st Person,Plural,senescati eramus,senesceti eramus,senesci eramus,senesci eramus,We had been ageed
Passive Indicative,Pluperfect,2nd Person,Singular,senescatus eras,senescetus eras,senescus eras,senescus eras,You had been ageed
Passive Indicative,Pluperfect,2nd Person,Plural,senescati eratis,senesceti eratis,senesci eratis,senesci eratis,You (pl.) had been ageed
Passive Indicative,Pluperfect,3rd Person,Singular,senescatus erat,senescetus erat,senescus erat,senescus erat,He/she/it had been ageed
Passive Indicative,Pluperfect,3rd Person,Plural,senescati erant,senesceti erant,senesci erant,senesci erant,They had been ageed
Passive Indicative,Future Perfect,1st Person,Singular,senescatus ero,senescetus ero,senescus ero,senescus ero,I will have been ageed
Passive Indicative,Future Perfect,1st Person,Plural,senescati erimus,senesceti erimus,senesci erimus,senesci erimus,We will have been ageed
Passive Indicative,Future Perfect,2nd Person,Singular,senescatus eris,senescetus eris,senescus eris,senescus eris,You will have been ageed
Passive Indicative,Future Perfect,2nd Person,Plural,senescati eritis,senesceti eritis,senesci eritis,senesci eritis,You (pl.) will have been ageed
Passive Indicative,Future Perfect,3rd Person,Singular,senescatus erit,senescetus erit,senescus erit,senescus erit,He/she/it will have been ageed
Passive Indicative,Future Perfect,3rd Person,Plural,senescati erunt,senesceti erunt,senesci erunt,senesci erunt,They will have been ageed
Active Subjunctive,Present,1st Person,Singular,senescem,senescem,senescam,senescam,I may age
Active Subjunctive,Present,1st Person,Plural,senescemus,senescemus,senescamus,senescamus,We may age
Active Subjunctive,Present,2nd Person,Singular,senesces,senesces,senescas,senescas,You may age
Active Subjunctive,Present,2nd Person,Plural,senescetis,senescetis,senescatis,senescatis,You (pl.) may age
Active Subjunctive,Present,3rd Person,Singular,senescet,senescet,senescat,senescat,He/she/it may age
Active Subjunctive,Present,3rd Person,Plural,senescent,senescent,senescant,senescant,They may age
Active Subjunctive,Imperfect,1st Person,Singular,senescarem,senescerem,senescerem,senescirem,I should age
Active Subjunctive,Imperfect,1st Person,Plural,senescaremus,senesceremus,senesceremus,senesciremus,We should age
