Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,sicilo,sicileo,sicilo,sicilio,I reap
Active Indicative,Present,1st Person,Plural,sicilamus,sicilemus,sicilimus,sicilimus,We reap
Active Indicative,Present,2nd Person,Singular,sicilas,siciles,sicilis,sicilis,You reap
Active Indicative,Present,2nd Person,Plural,sicilatis,siciletis,sicilitis,sicilitis,You (pl.) reap
Active Indicative,Present,3rd Person,Singular,sicilat,sicilet,sicilit,sicilit,He/she/it reap
Active Indicative,Present,3rd Person,Plural,sicilant,sicilent,siciliunt,siciliunt,They reap
Active Indicative,Imperfect,1st Person,Singular,sicilabam,sicilebam,sicilebam,siciliebam,I was reaping
Active Indicative,Imperfect,1st Person,Plural,sicilabamus,sicilebamus,sicilebamus,siciliebamus,We were reaping
Active Indicative,Imperfect,2nd Person,Singular,sicilabas,sicilebas,sicilebas,siciliebas,You were reaping
Active Indicative,Imperfect,2nd Person,Plural,sicilabatis,sicilebatis,sicilebatis,siciliebatis,You (pl.) were reaping
Active Indicative,Imperfect,3rd Person,Singular,sicilabat,sicilebat,sicilebat,siciliebat,He/she/it was reaping
Active Indicative,Imperfect,3rd Person,Plural,sicilabant,sicilebant,sicilebant,siciliebant,They were reaping
Active Indicative,Future,1st Person,Singular,sicilabo,sicilebo,sicilam,siciliam,I will reap
Active Indicative,Future,1st Person,Plural,sicilabimus,sicilebimus,sicilemus,siciliemus,We will reap
Active Indicative,Future,2nd Person,Singular,sicilabis,sicilebis,siciles,sicilies,You will reap
Active Indicative,Future,2nd Person,Plural,sicilabitis,sicilebitis,siciletis,sicilietis,You (pl.) will reap
Active Indicative,Future,3rd Person,Singular,sicilabit,sicilebit,sicilet,siciliet,He/she/it will reap
Active Indicative,Future,3rd Person,Plural,sicilabunt,sicilebunt,sicilent,sicilient,They will reap
Active Indicative,Perfect,1st Person,Singular,sicilavi,sicilui,sicili,sicili,I have reaped
Active Indicative,Perfect,1st Person,Plural,sicilavimus,siciluimus,sicilimus,sicilimus,We have reaped
Active Indicative,Perfect,2nd Person,Singular,sicilavisti,siciluisti,sicilisti,sicilisti,You have reaped
Active Indicative,Perfect,2nd Person,Plural,sicilavistis,siciluistis,sicilistis,sicilistis,You (pl.) have reaped
Active Indicative,Perfect,3rd Person,Singular,sicilavit,siciluit,sicilit,sicilit,He/she/it has reaped
Active Indicative,Perfect,3rd Person,Plural,sicilaverunt,siciluerunt,sicilerunt,sicilerunt,They have reaped
Active Indicative,Pluperfect,1st Person,Singular,sicilaveram,sicilueram,sicileram,sicileram,I had reaped
Active Indicative,Pluperfect,1st Person,Plural,sicilaveramus,sicilueramus,sicileramus,sicileramus,We had reaped
Active Indicative,Pluperfect,2nd Person,Singular,sicilaveras,sicilueras,sicileras,sicileras,You had reaped
Active Indicative,Pluperfect,2nd Person,Plural,sicilaveratis,sicilueratis,sicileratis,sicileratis,You (pl.) had reaped
Active Indicative,Pluperfect,3rd Person,Singular,sicilaverat,siciluerat,sicilerat,sicilerat,He/she/it had reaped
Active Indicative,Pluperfect,3rd Person,Plural,sicilaverant,siciluerant,sicilerant,sicilerant,They had reaped
Active Indicative,Future Perfect,1st Person,Singular,sicilavero,sicilueero,sicilero,siciliero,I will have reaped
Active Indicative,Future Perfect,1st Person,Plural,sicilaverimus,siciluerimus,sicilerimus,sicilierimus,We will have reaped
Active Indicative,Future Perfect,2nd Person,Singular,sicilaveris,sicilueris,sicileris,sicilieris,You will have reaped
Active Indicative,Future Perfect,2nd Person,Plural,sicilaveritis,sicilueritis,sicileritis,sicilieritis,You (pl.) will have reaped
Active Indicative,Future Perfect,3rd Person,Singular,sicilaverit,siciluerit,sicilerit,sicilierit,He/she/it will have reaped
Active Indicative,Future Perfect,3rd Person,Plural,sicilaverint,siciluerint,sicilerint,sicilierint,They will have reaped
Passive Indicative,Present,1st Person,Singular,sicilor,sicileor,sicilor,sicilior,I am being reaped
Passive Indicative,Present,1st Person,Plural,sicilamur,sicilemur,sicilimur,sicilimur,We are being reaped
Passive Indicative,Present,2nd Person,Singular,sicilaris,sicileris,siciliris,siciliris,You are being reaped
