Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,sifilo,sifileo,sifilo,sifilio,I whistle
Active Indicative,Present,1st Person,Plural,sifilamus,sifilemus,sifilimus,sifilimus,We whistle
Active Indicative,Present,2nd Person,Singular,sifilas,sifiles,sifilis,sifilis,You whistle
Active Indicative,Present,2nd Person,Plural,sifilatis,sifiletis,sifilitis,sifilitis,You (pl.) whistle
Active Indicative,Present,3rd Person,Singular,sifilat,sifilet,sifilit,sifilit,He/she/it whistle
Active Indicative,Present,3rd Person,Plural,sifilant,sifilent,sifiliunt,sifiliunt,They whistle
Active Indicative,Imperfect,1st Person,Singular,sifilabam,sifilebam,sifilebam,sifiliebam,I was whistleing
Active Indicative,Imperfect,1st Person,Plural,sifilabamus,sifilebamus,sifilebamus,sifiliebamus,We were whistleing
Active Indicative,Imperfect,2nd Person,Singular,sifilabas,sifilebas,sifilebas,sifiliebas,You were whistleing
Active Indicative,Imperfect,2nd Person,Plural,sifilabatis,sifilebatis,sifilebatis,sifiliebatis,You (pl.) were whistleing
Active Indicative,Imperfect,3rd Person,Singular,sifilabat,sifilebat,sifilebat,sifiliebat,He/she/it was whistleing
Active Indicative,Imperfect,3rd Person,Plural,sifilabant,sifilebant,sifilebant,sifiliebant,They were whistleing
Active Indicative,Future,1st Person,Singular,sifilabo,sifilebo,sifilam,sifiliam,I will whistle
Active Indicative,Future,1st Person,Plural,sifilabimus,sifilebimus,sifilemus,sifiliemus,We will whistle
Active Indicative,Future,2nd Person,Singular,sifilabis,sifilebis,sifiles,sifilies,You will whistle
Active Indicative,Future,2nd Person,Plural,sifilabitis,sifilebitis,sifiletis,sifilietis,You (pl.) will whistle
Active Indicative,Future,3rd Person,Singular,sifilabit,sifilebit,sifilet,sifiliet,He/she/it will whistle
Active Indicative,Future,3rd Person,Plural,sifilabunt,sifilebunt,sifilent,sifilient,They will whistle
Active Indicative,Perfect,1st Person,Singular,sifilavi,sifilui,sifili,sifili,I have whistleed
Active Indicative,Perfect,1st Person,Plural,sifilavimus,sifiluimus,sifilimus,sifilimus,We have whistleed
Active Indicative,Perfect,2nd Person,Singular,sifilavisti,sifiluisti,sifilisti,sifilisti,You have whistleed
Active Indicative,Perfect,2nd Person,Plural,sifilavistis,sifiluistis,sifilistis,sifilistis,You (pl.) have whistleed
Active Indicative,Perfect,3rd Person,Singular,sifilavit,sifiluit,sifilit,sifilit,He/she/it has whistleed
Active Indicative,Perfect,3rd Person,Plural,sifilaverunt,sifiluerunt,sifilerunt,sifilerunt,They have whistleed
Active Indicative,Pluperfect,1st Person,Singular,sifilaveram,sifilueram,sifileram,sifileram,I had whistleed
Active Indicative,Pluperfect,1st Person,Plural,sifilaveramus,sifilueramus,sifileramus,sifileramus,We had whistleed
Active Indicative,Pluperfect,2nd Person,Singular,sifilaveras,sifilueras,sifileras,sifileras,You had whistleed
Active Indicative,Pluperfect,2nd Person,Plural,sifilaveratis,sifilueratis,sifileratis,sifileratis,You (pl.) had whistleed
Active Indicative,Pluperfect,3rd Person,Singular,sifilaverat,sifiluerat,sifilerat,sifilerat,He/she/it had whistleed
Active Indicative,Pluperfect,3rd Person,Plural,sifilaverant,sifiluerant,sifilerant,sifilerant,They had whistleed
Active Indicative,Future Perfect,1st Person,Singular,sifilavero,sifilueero,sifilero,sifiliero,I will have whistleed
Active Indicative,Future Perfect,1st Person,Plural,sifilaverimus,sifiluerimus,sifilerimus,sifilierimus,We will have whistleed
Active Indicative,Future Perfect,2nd Person,Singular,sifilaveris,sifilueris,sifileris,sifilieris,You will have whistleed
Active Indicative,Future Perfect,2nd Person,Plural,sifilaveritis,sifilueritis,sifileritis,sifilieritis,You (pl.) will have whistleed
Active Indicative,Future Perfect,3rd Person,Singular,sifilaverit,sifiluerit,sifilerit,sifilierit,He/she/it will have whistleed
Active Indicative,Future Perfect,3rd Person,Plural,sifilaverint,sifiluerint,sifilerint,sifilierint,They will have whistleed
Passive Indicative,Present,1st Person,Singular,sifilor,sifileor,sifilor,sifilior,I am being whistleed
Passive Indicative,Present,1st Person,Plural,sifilamur,sifilemur,sifilimur,sifilimur,We are being whistleed
Passive Indicative,Present,2nd Person,Singular,sifilaris,sifileris,sifiliris,sifiliris,You are being whistleed
Passive Indicative,Present,2nd Person,Plural,sifilamini,sifilemini,sifilimini,sifilimini,You (pl.) are being whistleed
Passive Indicative,Present,3rd Person,Singular,sifilatur,sifiletur,sifilitur,sifilitur,He/she/it is being whistleed
Passive Indicative,Present,3rd Person,Plural,sifilantur,sifilentur,sifiliuntur,sifiliuntur,They are being whistleed
Passive Indicative,Imperfect,1st Person,Singular,sifilabar,sifilebar,sifilebar,sifiliebar,I was whistleed
Passive Indicative,Imperfect,1st Person,Plural,sifilabamur,sifilebamur,sifilebamur,sifiliebamur,We were whistleed
Passive Indicative,Imperfect,2nd Person,Singular,sifilabaris,sifilebaris,sifilebaris,sifiliebaris,You were whistleed
Passive Indicative,Imperfect,2nd Person,Plural,sifilabamini,sifilebamini,sifilebamini,sifiliebamini,You (pl.) were whistleed
Passive Indicative,Imperfect,3rd Person,Singular,sifilabatur,sifilebatur,sifilebatur,sifiliebatur,He/she/it was whistleed
Passive Indicative,Imperfect,3rd Person,Plural,sifilabantur,sifilebantur,sifilebantur,sifiliebantur,They were whistleed
Passive Indicative,Future,1st Person,Singular,sifilabor,sifilebor,sifilar,sifiliar,I will be whistleed
Passive Indicative,Future,1st Person,Plural,sifilabimur,sifilebimur,sifilemur,sifiliemur,We will be whistleed
Passive Indicative,Future,2nd Person,Singular,sifilaberis,sifileberis,sifileris,sifilieris,You will be whistleed
Passive Indicative,Future,2nd Person,Plural,sifilabimini,sifilebimini,sifilemini,sifiliemini,You (pl.) will be whistleed
