Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,singlutto,singlutteo,singlutto,singluttio,I sob
Active Indicative,Present,1st Person,Plural,singluttamus,singluttemus,singluttimus,singluttimus,We sob
Active Indicative,Present,2nd Person,Singular,singluttas,singluttes,singluttis,singluttis,You sob
Active Indicative,Present,2nd Person,Plural,singluttatis,singluttetis,singluttitis,singluttitis,You (pl.) sob
Active Indicative,Present,3rd Person,Singular,singluttat,singluttet,singluttit,singluttit,He/she/it sob
Active Indicative,Present,3rd Person,Plural,singluttant,singluttent,singluttiunt,singluttiunt,They sob
Active Indicative,Imperfect,1st Person,Singular,singluttabam,singluttebam,singluttebam,singluttiebam,I was sobing
Active Indicative,Imperfect,1st Person,Plural,singluttabamus,singluttebamus,singluttebamus,singluttiebamus,We were sobing
Active Indicative,Imperfect,2nd Person,Singular,singluttabas,singluttebas,singluttebas,singluttiebas,You were sobing
Active Indicative,Imperfect,2nd Person,Plural,singluttabatis,singluttebatis,singluttebatis,singluttiebatis,You (pl.) were sobing
Active Indicative,Imperfect,3rd Person,Singular,singluttabat,singluttebat,singluttebat,singluttiebat,He/she/it was sobing
Active Indicative,Imperfect,3rd Person,Plural,singluttabant,singluttebant,singluttebant,singluttiebant,They were sobing
Active Indicative,Future,1st Person,Singular,singluttabo,singluttebo,singluttam,singluttiam,I will sob
Active Indicative,Future,1st Person,Plural,singluttabimus,singluttebimus,singluttemus,singluttiemus,We will sob
Active Indicative,Future,2nd Person,Singular,singluttabis,singluttebis,singluttes,singlutties,You will sob
Active Indicative,Future,2nd Person,Plural,singluttabitis,singluttebitis,singluttetis,singluttietis,You (pl.) will sob
Active Indicative,Future,3rd Person,Singular,singluttabit,singluttebit,singluttet,singluttiet,He/she/it will sob
Active Indicative,Future,3rd Person,Plural,singluttabunt,singluttebunt,singluttent,singluttient,They will sob
Active Indicative,Perfect,1st Person,Singular,singluttavi,singluttui,singlutti,singlutti,I have sobed
Active Indicative,Perfect,1st Person,Plural,singluttavimus,singluttuimus,singluttimus,singluttimus,We have sobed
Active Indicative,Perfect,2nd Person,Singular,singluttavisti,singluttuisti,singluttisti,singluttisti,You have sobed
Active Indicative,Perfect,2nd Person,Plural,singluttavistis,singluttuistis,singluttistis,singluttistis,You (pl.) have sobed
Active Indicative,Perfect,3rd Person,Singular,singluttavit,singluttuit,singluttit,singluttit,He/she/it has sobed
Active Indicative,Perfect,3rd Person,Plural,singluttaverunt,singluttuerunt,singlutterunt,singlutterunt,They have sobed
Active Indicative,Pluperfect,1st Person,Singular,singluttaveram,singluttueram,singlutteram,singlutteram,I had sobed
Active Indicative,Pluperfect,1st Person,Plural,singluttaveramus,singluttueramus,singlutteramus,singlutteramus,We had sobed
Active Indicative,Pluperfect,2nd Person,Singular,singluttaveras,singluttueras,singlutteras,singlutteras,You had sobed
Active Indicative,Pluperfect,2nd Person,Plural,singluttaveratis,singluttueratis,singlutteratis,singlutteratis,You (pl.) had sobed
Active Indicative,Pluperfect,3rd Person,Singular,singluttaverat,singluttuerat,singlutterat,singlutterat,He/she/it had sobed
Active Indicative,Pluperfect,3rd Person,Plural,singluttaverant,singluttuerant,singlutterant,singlutterant,They had sobed
Active Indicative,Future Perfect,1st Person,Singular,singluttavero,singluttueero,singluttero,singluttiero,I will have sobed
Active Indicative,Future Perfect,1st Person,Plural,singluttaverimus,singluttuerimus,singlutterimus,singluttierimus,We will have sobed
Active Indicative,Future Perfect,2nd Person,Singular,singluttaveris,singluttueris,singlutteris,singluttieris,You will have sobed
Active Indicative,Future Perfect,2nd Person,Plural,singluttaveritis,singluttueritis,singlutteritis,singluttieritis,You (pl.) will have sobed
Active Indicative,Future Perfect,3rd Person,Singular,singluttaverit,singluttuerit,singlutterit,singluttierit,He/she/it will have sobed
Active Indicative,Future Perfect,3rd Person,Plural,singluttaverint,singluttuerint,singlutterint,singluttierint,They will have sobed
Passive Indicative,Present,1st Person,Singular,singluttor,singlutteor,singluttor,singluttior,I am being sobed
Passive Indicative,Present,1st Person,Plural,singluttamur,singluttemur,singluttimur,singluttimur,We are being sobed
Passive Indicative,Present,2nd Person,Singular,singluttaris,singlutteris,singluttiris,singluttiris,You are being sobed
Passive Indicative,Present,2nd Person,Plural,singluttamini,singluttemini,singluttimini,singluttimini,You (pl.) are being sobed
Passive Indicative,Present,3rd Person,Singular,singluttatur,singluttetur,singluttitur,singluttitur,He/she/it is being sobed
Passive Indicative,Present,3rd Person,Plural,singluttantur,singluttentur,singluttiuntur,singluttiuntur,They are being sobed
Passive Indicative,Imperfect,1st Person,Singular,singluttabar,singluttebar,singluttebar,singluttiebar,I was sobed
Passive Indicative,Imperfect,1st Person,Plural,singluttabamur,singluttebamur,singluttebamur,singluttiebamur,We were sobed
Passive Indicative,Imperfect,2nd Person,Singular,singluttabaris,singluttebaris,singluttebaris,singluttiebaris,You were sobed
Passive Indicative,Imperfect,2nd Person,Plural,singluttabamini,singluttebamini,singluttebamini,singluttiebamini,You (pl.) were sobed
Passive Indicative,Imperfect,3rd Person,Singular,singluttabatur,singluttebatur,singluttebatur,singluttiebatur,He/she/it was sobed
Passive Indicative,Imperfect,3rd Person,Plural,singluttabantur,singluttebantur,singluttebantur,singluttiebantur,They were sobed
Passive Indicative,Future,1st Person,Singular,singluttabor,singluttebor,singluttar,singluttiar,I will be sobed
Passive Indicative,Future,1st Person,Plural,singluttabimur,singluttebimur,singluttemur,singluttiemur,We will be sobed
Passive Indicative,Future,2nd Person,Singular,singluttaberis,singlutteberis,singlutteris,singluttieris,You will be sobed
Passive Indicative,Future,2nd Person,Plural,singluttabimini,singluttebimini,singluttemini,singluttiemini,You (pl.) will be sobed
Passive Indicative,Future,3rd Person,Singular,singluttabitur,singluttebitur,singluttetur,singluttietur,He/she/it will be sobed
Passive Indicative,Future,3rd Person,Plural,singluttabuntur,singluttebuntur,singluttentur,singluttientur,They will be sobed
Passive Indicative,Perfect,1st Person,Singular,singluttatus sum,singluttetus sum,singluttus sum,singluttus sum,I have been sobed
Passive Indicative,Perfect,1st Person,Plural,singluttati sumus,singlutteti sumus,singlutti sumus,singlutti sumus,We have been sobed
Passive Indicative,Perfect,2nd Person,Singular,singluttatus es,singluttetus es,singluttus es,singluttus es,You have been sobed
Passive Indicative,Perfect,2nd Person,Plural,singluttati estis,singlutteti estis,singlutti estis,singlutti estis,You (pl.) have been sobed
Passive Indicative,Perfect,3rd Person,Singular,singluttatus est,singluttetus est,singluttus est,singluttus est,He/she/it has been sobed
Passive Indicative,Perfect,3rd Person,Plural,singluttati sunt,singlutteti sunt,singlutti sunt,singlutti sunt,They have been sobed
Passive Indicative,Pluperfect,1st Person,Singular,singluttatus eram,singluttetus eram,singluttus eram,singluttus eram,I had been sobed
Passive Indicative,Pluperfect,1st Person,Plural,singluttati eramus,singlutteti eramus,singlutti eramus,singlutti eramus,We had been sobed
Passive Indicative,Pluperfect,2nd Person,Singular,singluttatus eras,singluttetus eras,singluttus eras,singluttus eras,You had been sobed
Passive Indicative,Pluperfect,2nd Person,Plural,singluttati eratis,singlutteti eratis,singlutti eratis,singlutti eratis,You (pl.) had been sobed
Passive Indicative,Pluperfect,3rd Person,Singular,singluttatus erat,singluttetus erat,singluttus erat,singluttus erat,He/she/it had been sobed
Passive Indicative,Pluperfect,3rd Person,Plural,singluttati erant,singlutteti erant,singlutti erant,singlutti erant,They had been sobed
Passive Indicative,Future Perfect,1st Person,Singular,singluttatus ero,singluttetus ero,singluttus ero,singluttus ero,I will have been sobed
Passive Indicative,Future Perfect,1st Person,Plural,singluttati erimus,singlutteti erimus,singlutti erimus,singlutti erimus,We will have been sobed
Passive Indicative,Future Perfect,2nd Person,Singular,singluttatus eris,singluttetus eris,singluttus eris,singluttus eris,You will have been sobed
Passive Indicative,Future Perfect,2nd Person,Plural,singluttati eritis,singlutteti eritis,singlutti eritis,singlutti eritis,You (pl.) will have been sobed
Passive Indicative,Future Perfect,3rd Person,Singular,singluttatus erit,singluttetus erit,singluttus erit,singluttus erit,He/she/it will have been sobed
Passive Indicative,Future Perfect,3rd Person,Plural,singluttati erunt,singlutteti erunt,singlutti erunt,singlutti erunt,They will have been sobed
Active Subjunctive,Present,1st Person,Singular,singluttem,singluttem,singluttam,singluttam,I may sob
Active Subjunctive,Present,1st Person,Plural,singluttemus,singluttemus,singluttamus,singluttamus,We may sob
Active Subjunctive,Present,2nd Person,Singular,singluttes,singluttes,singluttas,singluttas,You may sob
Active Subjunctive,Present,2nd Person,Plural,singluttetis,singluttetis,singluttatis,singluttatis,You (pl.) may sob
