Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,singluttio,singluttieo,singluttio,singluttio,I sob
Active Indicative,Present,1st Person,Plural,singluttiamus,singluttiemus,singluttimus,singluttimus,We sob
Active Indicative,Present,2nd Person,Singular,singluttias,singlutties,singluttis,singluttis,You sob
Active Indicative,Present,2nd Person,Plural,singluttiatis,singluttietis,singluttitis,singluttitis,You (pl.) sob
Active Indicative,Present,3rd Person,Singular,singluttiat,singluttiet,singluttit,singluttit,He/she/it sob
Active Indicative,Present,3rd Person,Plural,singluttiant,singluttient,singluttiunt,singluttiunt,They sob
Active Indicative,Imperfect,1st Person,Singular,singluttiabam,singluttiebam,singluttiebam,singluttiebam,I was sobing
Active Indicative,Imperfect,1st Person,Plural,singluttiabamus,singluttiebamus,singluttiebamus,singluttiebamus,We were sobing
Active Indicative,Imperfect,2nd Person,Singular,singluttiabas,singluttiebas,singluttiebas,singluttiebas,You were sobing
Active Indicative,Imperfect,2nd Person,Plural,singluttiabatis,singluttiebatis,singluttiebatis,singluttiebatis,You (pl.) were sobing
Active Indicative,Imperfect,3rd Person,Singular,singluttiabat,singluttiebat,singluttiebat,singluttiebat,He/she/it was sobing
Active Indicative,Imperfect,3rd Person,Plural,singluttiabant,singluttiebant,singluttiebant,singluttiebant,They were sobing
Active Indicative,Future,1st Person,Singular,singluttiabo,singluttiebo,singluttiam,singluttiam,I will sob
Active Indicative,Future,1st Person,Plural,singluttiabimus,singluttiebimus,singluttiemus,singluttiemus,We will sob
Active Indicative,Future,2nd Person,Singular,singluttiabis,singluttiebis,singlutties,singlutties,You will sob
Active Indicative,Future,2nd Person,Plural,singluttiabitis,singluttiebitis,singluttietis,singluttietis,You (pl.) will sob
Active Indicative,Future,3rd Person,Singular,singluttiabit,singluttiebit,singluttiet,singluttiet,He/she/it will sob
Active Indicative,Future,3rd Person,Plural,singluttiabunt,singluttiebunt,singluttient,singluttient,They will sob
Active Indicative,Perfect,1st Person,Singular,singluttiavi,singluttiui,singlutti,singlutti,I have sobed
Active Indicative,Perfect,1st Person,Plural,singluttiavimus,singluttiuimus,singluttimus,singluttimus,We have sobed
Active Indicative,Perfect,2nd Person,Singular,singluttiavisti,singluttiuisti,singluttisti,singluttisti,You have sobed
Active Indicative,Perfect,2nd Person,Plural,singluttiavistis,singluttiuistis,singluttistis,singluttistis,You (pl.) have sobed
Active Indicative,Perfect,3rd Person,Singular,singluttiavit,singluttiuit,singluttit,singluttit,He/she/it has sobed
Active Indicative,Perfect,3rd Person,Plural,singluttiaverunt,singluttiuerunt,singluttierunt,singluttierunt,They have sobed
Active Indicative,Pluperfect,1st Person,Singular,singluttiaveram,singluttiueram,singluttieram,singluttieram,I had sobed
Active Indicative,Pluperfect,1st Person,Plural,singluttiaveramus,singluttiueramus,singluttieramus,singluttieramus,We had sobed
Active Indicative,Pluperfect,2nd Person,Singular,singluttiaveras,singluttiueras,singluttieras,singluttieras,You had sobed
Active Indicative,Pluperfect,2nd Person,Plural,singluttiaveratis,singluttiueratis,singluttieratis,singluttieratis,You (pl.) had sobed
