Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,sisto,sisteo,sisto,sistio,I stop
Active Indicative,Present,1st Person,Plural,sistamus,sistemus,sistimus,sistimus,We stop
Active Indicative,Present,2nd Person,Singular,sistas,sistes,sistis,sistis,You stop
Active Indicative,Present,2nd Person,Plural,sistatis,sistetis,sistitis,sistitis,You (pl.) stop
Active Indicative,Present,3rd Person,Singular,sistat,sistet,sistit,sistit,He/she/it stop
Active Indicative,Present,3rd Person,Plural,sistant,sistent,sistiunt,sistiunt,They stop
Active Indicative,Imperfect,1st Person,Singular,sistabam,sistebam,sistebam,sistiebam,I was stoping
Active Indicative,Imperfect,1st Person,Plural,sistabamus,sistebamus,sistebamus,sistiebamus,We were stoping
Active Indicative,Imperfect,2nd Person,Singular,sistabas,sistebas,sistebas,sistiebas,You were stoping
Active Indicative,Imperfect,2nd Person,Plural,sistabatis,sistebatis,sistebatis,sistiebatis,You (pl.) were stoping
Active Indicative,Imperfect,3rd Person,Singular,sistabat,sistebat,sistebat,sistiebat,He/she/it was stoping
Active Indicative,Imperfect,3rd Person,Plural,sistabant,sistebant,sistebant,sistiebant,They were stoping
Active Indicative,Future,1st Person,Singular,sistabo,sistebo,sistam,sistiam,I will stop
Active Indicative,Future,1st Person,Plural,sistabimus,sistebimus,sistemus,sistiemus,We will stop
Active Indicative,Future,2nd Person,Singular,sistabis,sistebis,sistes,sisties,You will stop
Active Indicative,Future,2nd Person,Plural,sistabitis,sistebitis,sistetis,sistietis,You (pl.) will stop
Active Indicative,Future,3rd Person,Singular,sistabit,sistebit,sistet,sistiet,He/she/it will stop
Active Indicative,Future,3rd Person,Plural,sistabunt,sistebunt,sistent,sistient,They will stop
Active Indicative,Perfect,1st Person,Singular,sistavi,sistui,sisti,sisti,I have stoped
Active Indicative,Perfect,1st Person,Plural,sistavimus,sistuimus,sistimus,sistimus,We have stoped
Active Indicative,Perfect,2nd Person,Singular,sistavisti,sistuisti,sististi,sististi,You have stoped
