Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,spiro,spireo,spiro,spirio,I breathe
Active Indicative,Present,1st Person,Plural,spiramus,spiremus,spirimus,spirimus,We breathe
Active Indicative,Present,2nd Person,Singular,spiras,spires,spiris,spiris,You breathe
Active Indicative,Present,2nd Person,Plural,spiratis,spiretis,spiritis,spiritis,You (pl.) breathe
Active Indicative,Present,3rd Person,Singular,spirat,spiret,spirit,spirit,He/she/it breathe
Active Indicative,Present,3rd Person,Plural,spirant,spirent,spiriunt,spiriunt,They breathe
Active Indicative,Imperfect,1st Person,Singular,spirabam,spirebam,spirebam,spiriebam,I was breatheing
Active Indicative,Imperfect,1st Person,Plural,spirabamus,spirebamus,spirebamus,spiriebamus,We were breatheing
Active Indicative,Imperfect,2nd Person,Singular,spirabas,spirebas,spirebas,spiriebas,You were breatheing
Active Indicative,Imperfect,2nd Person,Plural,spirabatis,spirebatis,spirebatis,spiriebatis,You (pl.) were breatheing
Active Indicative,Imperfect,3rd Person,Singular,spirabat,spirebat,spirebat,spiriebat,He/she/it was breatheing
Active Indicative,Imperfect,3rd Person,Plural,spirabant,spirebant,spirebant,spiriebant,They were breatheing
Active Indicative,Future,1st Person,Singular,spirabo,spirebo,spiram,spiriam,I will breathe
Active Indicative,Future,1st Person,Plural,spirabimus,spirebimus,spiremus,spiriemus,We will breathe
Active Indicative,Future,2nd Person,Singular,spirabis,spirebis,spires,spiries,You will breathe
Active Indicative,Future,2nd Person,Plural,spirabitis,spirebitis,spiretis,spirietis,You (pl.) will breathe
Active Indicative,Future,3rd Person,Singular,spirabit,spirebit,spiret,spiriet,He/she/it will breathe
Active Indicative,Future,3rd Person,Plural,spirabunt,spirebunt,spirent,spirient,They will breathe
Active Indicative,Perfect,1st Person,Singular,spiravi,spirui,spiri,spiri,I have breatheed
Active Indicative,Perfect,1st Person,Plural,spiravimus,spiruimus,spirimus,spirimus,We have breatheed
Active Indicative,Perfect,2nd Person,Singular,spiravisti,spiruisti,spiristi,spiristi,You have breatheed
Active Indicative,Perfect,2nd Person,Plural,spiravistis,spiruistis,spiristis,spiristis,You (pl.) have breatheed
Active Indicative,Perfect,3rd Person,Singular,spiravit,spiruit,spirit,spirit,He/she/it has breatheed
Active Indicative,Perfect,3rd Person,Plural,spiraverunt,spiruerunt,spirerunt,spirerunt,They have breatheed
