Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,sputo,sputeo,sputo,sputio,I spit
Active Indicative,Present,1st Person,Plural,sputamus,sputemus,sputimus,sputimus,We spit
Active Indicative,Present,2nd Person,Singular,sputas,sputes,sputis,sputis,You spit
Active Indicative,Present,2nd Person,Plural,sputatis,sputetis,sputitis,sputitis,You (pl.) spit
Active Indicative,Present,3rd Person,Singular,sputat,sputet,sputit,sputit,He/she/it spit
Active Indicative,Present,3rd Person,Plural,sputant,sputent,sputiunt,sputiunt,They spit
Active Indicative,Imperfect,1st Person,Singular,sputabam,sputebam,sputebam,sputiebam,I was spiting
Active Indicative,Imperfect,1st Person,Plural,sputabamus,sputebamus,sputebamus,sputiebamus,We were spiting
Active Indicative,Imperfect,2nd Person,Singular,sputabas,sputebas,sputebas,sputiebas,You were spiting
Active Indicative,Imperfect,2nd Person,Plural,sputabatis,sputebatis,sputebatis,sputiebatis,You (pl.) were spiting
Active Indicative,Imperfect,3rd Person,Singular,sputabat,sputebat,sputebat,sputiebat,He/she/it was spiting
Active Indicative,Imperfect,3rd Person,Plural,sputabant,sputebant,sputebant,sputiebant,They were spiting
Active Indicative,Future,1st Person,Singular,sputabo,sputebo,sputam,sputiam,I will spit
Active Indicative,Future,1st Person,Plural,sputabimus,sputebimus,sputemus,sputiemus,We will spit
Active Indicative,Future,2nd Person,Singular,sputabis,sputebis,sputes,sputies,You will spit
Active Indicative,Future,2nd Person,Plural,sputabitis,sputebitis,sputetis,sputietis,You (pl.) will spit
Active Indicative,Future,3rd Person,Singular,sputabit,sputebit,sputet,sputiet,He/she/it will spit
Active Indicative,Future,3rd Person,Plural,sputabunt,sputebunt,sputent,sputient,They will spit
Active Indicative,Perfect,1st Person,Singular,sputavi,sputui,sputi,sputi,I have spited
Active Indicative,Perfect,1st Person,Plural,sputavimus,sputuimus,sputimus,sputimus,We have spited
Active Indicative,Perfect,2nd Person,Singular,sputavisti,sputuisti,sputisti,sputisti,You have spited
Active Indicative,Perfect,2nd Person,Plural,sputavistis,sputuistis,sputistis,sputistis,You (pl.) have spited
Active Indicative,Perfect,3rd Person,Singular,sputavit,sputuit,sputit,sputit,He/she/it has spited
Active Indicative,Perfect,3rd Person,Plural,sputaverunt,sputuerunt,sputerunt,sputerunt,They have spited
Active Indicative,Pluperfect,1st Person,Singular,sputaveram,sputueram,sputeram,sputeram,I had spited
Active Indicative,Pluperfect,1st Person,Plural,sputaveramus,sputueramus,sputeramus,sputeramus,We had spited
Active Indicative,Pluperfect,2nd Person,Singular,sputaveras,sputueras,sputeras,sputeras,You had spited
Active Indicative,Pluperfect,2nd Person,Plural,sputaveratis,sputueratis,sputeratis,sputeratis,You (pl.) had spited
Active Indicative,Pluperfect,3rd Person,Singular,sputaverat,sputuerat,sputerat,sputerat,He/she/it had spited
Active Indicative,Pluperfect,3rd Person,Plural,sputaverant,sputuerant,sputerant,sputerant,They had spited
Active Indicative,Future Perfect,1st Person,Singular,sputavero,sputueero,sputero,sputiero,I will have spited
Active Indicative,Future Perfect,1st Person,Plural,sputaverimus,sputuerimus,sputerimus,sputierimus,We will have spited
Active Indicative,Future Perfect,2nd Person,Singular,sputaveris,sputueris,sputeris,sputieris,You will have spited
Active Indicative,Future Perfect,2nd Person,Plural,sputaveritis,sputueritis,sputeritis,sputieritis,You (pl.) will have spited
Active Indicative,Future Perfect,3rd Person,Singular,sputaverit,sputuerit,sputerit,sputierit,He/she/it will have spited
Active Indicative,Future Perfect,3rd Person,Plural,sputaverint,sputuerint,sputerint,sputierint,They will have spited
Passive Indicative,Present,1st Person,Singular,sputor,sputeor,sputor,sputior,I am being spited
Passive Indicative,Present,1st Person,Plural,sputamur,sputemur,sputimur,sputimur,We are being spited
Passive Indicative,Present,2nd Person,Singular,sputaris,sputeris,sputiris,sputiris,You are being spited
Passive Indicative,Present,2nd Person,Plural,sputamini,sputemini,sputimini,sputimini,You (pl.) are being spited
Passive Indicative,Present,3rd Person,Singular,sputatur,sputetur,sputitur,sputitur,He/she/it is being spited
Passive Indicative,Present,3rd Person,Plural,sputantur,sputentur,sputiuntur,sputiuntur,They are being spited
Passive Indicative,Imperfect,1st Person,Singular,sputabar,sputebar,sputebar,sputiebar,I was spited
Passive Indicative,Imperfect,1st Person,Plural,sputabamur,sputebamur,sputebamur,sputiebamur,We were spited
Passive Indicative,Imperfect,2nd Person,Singular,sputabaris,sputebaris,sputebaris,sputiebaris,You were spited
Passive Indicative,Imperfect,2nd Person,Plural,sputabamini,sputebamini,sputebamini,sputiebamini,You (pl.) were spited
Passive Indicative,Imperfect,3rd Person,Singular,sputabatur,sputebatur,sputebatur,sputiebatur,He/she/it was spited
Passive Indicative,Imperfect,3rd Person,Plural,sputabantur,sputebantur,sputebantur,sputiebantur,They were spited
Passive Indicative,Future,1st Person,Singular,sputabor,sputebor,sputar,sputiar,I will be spited
Passive Indicative,Future,1st Person,Plural,sputabimur,sputebimur,sputemur,sputiemur,We will be spited
Passive Indicative,Future,2nd Person,Singular,sputaberis,sputeberis,sputeris,sputieris,You will be spited
Passive Indicative,Future,2nd Person,Plural,sputabimini,sputebimini,sputemini,sputiemini,You (pl.) will be spited
Passive Indicative,Future,3rd Person,Singular,sputabitur,sputebitur,sputetur,sputietur,He/she/it will be spited
Passive Indicative,Future,3rd Person,Plural,sputabuntur,sputebuntur,sputentur,sputientur,They will be spited
Passive Indicative,Perfect,1st Person,Singular,sputatus sum,sputetus sum,sputus sum,sputus sum,I have been spited
Passive Indicative,Perfect,1st Person,Plural,sputati sumus,sputeti sumus,sputi sumus,sputi sumus,We have been spited
Passive Indicative,Perfect,2nd Person,Singular,sputatus es,sputetus es,sputus es,sputus es,You have been spited
Passive Indicative,Perfect,2nd Person,Plural,sputati estis,sputeti estis,sputi estis,sputi estis,You (pl.) have been spited
Passive Indicative,Perfect,3rd Person,Singular,sputatus est,sputetus est,sputus est,sputus est,He/she/it has been spited
