Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,sto,steo,sto,stio,I stand
Active Indicative,Present,1st Person,Plural,stamus,stemus,stimus,stimus,We stand
Active Indicative,Present,2nd Person,Singular,stas,stes,stis,stis,You stand
Active Indicative,Present,2nd Person,Plural,statis,stetis,stitis,stitis,You (pl.) stand
Active Indicative,Present,3rd Person,Singular,stat,stet,stit,stit,He/she/it stand
Active Indicative,Present,3rd Person,Plural,stant,stent,stiunt,stiunt,They stand
Active Indicative,Imperfect,1st Person,Singular,stabam,stebam,stebam,stiebam,I was standing
Active Indicative,Imperfect,1st Person,Plural,stabamus,stebamus,stebamus,stiebamus,We were standing
Active Indicative,Imperfect,2nd Person,Singular,stabas,stebas,stebas,stiebas,You were standing
Active Indicative,Imperfect,2nd Person,Plural,stabatis,stebatis,stebatis,stiebatis,You (pl.) were standing
Active Indicative,Imperfect,3rd Person,Singular,stabat,stebat,stebat,stiebat,He/she/it was standing
Active Indicative,Imperfect,3rd Person,Plural,stabant,stebant,stebant,stiebant,They were standing
Active Indicative,Future,1st Person,Singular,stabo,stebo,stam,stiam,I will stand
Active Indicative,Future,1st Person,Plural,stabimus,stebimus,stemus,stiemus,We will stand
Active Indicative,Future,2nd Person,Singular,stabis,stebis,stes,sties,You will stand
Active Indicative,Future,2nd Person,Plural,stabitis,stebitis,stetis,stietis,You (pl.) will stand
Active Indicative,Future,3rd Person,Singular,stabit,stebit,stet,stiet,He/she/it will stand
Active Indicative,Future,3rd Person,Plural,stabunt,stebunt,stent,stient,They will stand
Active Indicative,Perfect,1st Person,Singular,stavi,stui,sti,sti,I have standed
Active Indicative,Perfect,1st Person,Plural,stavimus,stuimus,stimus,stimus,We have standed
Active Indicative,Perfect,2nd Person,Singular,stavisti,stuisti,stisti,stisti,You have standed
Active Indicative,Perfect,2nd Person,Plural,stavistis,stuistis,stistis,stistis,You (pl.) have standed
Active Indicative,Perfect,3rd Person,Singular,stavit,stuit,stit,stit,He/she/it has standed
Active Indicative,Perfect,3rd Person,Plural,staverunt,stuerunt,sterunt,sterunt,They have standed
Active Indicative,Pluperfect,1st Person,Singular,staveram,stueram,steram,steram,I had standed
Active Indicative,Pluperfect,1st Person,Plural,staveramus,stueramus,steramus,steramus,We had standed
Active Indicative,Pluperfect,2nd Person,Singular,staveras,stueras,steras,steras,You had standed
Active Indicative,Pluperfect,2nd Person,Plural,staveratis,stueratis,steratis,steratis,You (pl.) had standed
Active Indicative,Pluperfect,3rd Person,Singular,staverat,stuerat,sterat,sterat,He/she/it had standed
Active Indicative,Pluperfect,3rd Person,Plural,staverant,stuerant,sterant,sterant,They had standed
Active Indicative,Future Perfect,1st Person,Singular,stavero,stueero,stero,stiero,I will have standed
Active Indicative,Future Perfect,1st Person,Plural,staverimus,stuerimus,sterimus,stierimus,We will have standed
Active Indicative,Future Perfect,2nd Person,Singular,staveris,stueris,steris,stieris,You will have standed
Active Indicative,Future Perfect,2nd Person,Plural,staveritis,stueritis,steritis,stieritis,You (pl.) will have standed
Active Indicative,Future Perfect,3rd Person,Singular,staverit,stuerit,sterit,stierit,He/she/it will have standed
Active Indicative,Future Perfect,3rd Person,Plural,staverint,stuerint,sterint,stierint,They will have standed
Passive Indicative,Present,1st Person,Singular,stor,steor,stor,stior,I am being standed
Passive Indicative,Present,1st Person,Plural,stamur,stemur,stimur,stimur,We are being standed
Passive Indicative,Present,2nd Person,Singular,staris,steris,stiris,stiris,You are being standed
Passive Indicative,Present,2nd Person,Plural,stamini,stemini,stimini,stimini,You (pl.) are being standed
Passive Indicative,Present,3rd Person,Singular,statur,stetur,stitur,stitur,He/she/it is being standed
Passive Indicative,Present,3rd Person,Plural,stantur,stentur,stiuntur,stiuntur,They are being standed
Passive Indicative,Imperfect,1st Person,Singular,stabar,stebar,stebar,stiebar,I was standed
Passive Indicative,Imperfect,1st Person,Plural,stabamur,stebamur,stebamur,stiebamur,We were standed
Passive Indicative,Imperfect,2nd Person,Singular,stabaris,stebaris,stebaris,stiebaris,You were standed
