Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,steterao,steteraeo,steterao,steteraio,I stand
Active Indicative,Present,1st Person,Plural,steteramus,steteraemus,steteraimus,steteraimus,We stand
Active Indicative,Present,2nd Person,Singular,steteras,steteraes,steterais,steterais,You stand
Active Indicative,Present,2nd Person,Plural,steteratis,steteraetis,steteraitis,steteraitis,You (pl.) stand
Active Indicative,Present,3rd Person,Singular,steterat,steteraet,steterait,steterait,He/she/it stand
Active Indicative,Present,3rd Person,Plural,steterant,steteraent,steteraiunt,steteraiunt,They stand
Active Indicative,Imperfect,1st Person,Singular,steterabam,steteraebam,steteraebam,steteraiebam,I was standing
Active Indicative,Imperfect,1st Person,Plural,steterabamus,steteraebamus,steteraebamus,steteraiebamus,We were standing
Active Indicative,Imperfect,2nd Person,Singular,steterabas,steteraebas,steteraebas,steteraiebas,You were standing
Active Indicative,Imperfect,2nd Person,Plural,steterabatis,steteraebatis,steteraebatis,steteraiebatis,You (pl.) were standing
Active Indicative,Imperfect,3rd Person,Singular,steterabat,steteraebat,steteraebat,steteraiebat,He/she/it was standing
Active Indicative,Imperfect,3rd Person,Plural,steterabant,steteraebant,steteraebant,steteraiebant,They were standing
Active Indicative,Future,1st Person,Singular,steterabo,steteraebo,steteram,steteraiam,I will stand
Active Indicative,Future,1st Person,Plural,steterabimus,steteraebimus,steteraemus,steteraiemus,We will stand
Active Indicative,Future,2nd Person,Singular,steterabis,steteraebis,steteraes,steteraies,You will stand
Active Indicative,Future,2nd Person,Plural,steterabitis,steteraebitis,steteraetis,steteraietis,You (pl.) will stand
Active Indicative,Future,3rd Person,Singular,steterabit,steteraebit,steteraet,steteraiet,He/she/it will stand
Active Indicative,Future,3rd Person,Plural,steterabunt,steteraebunt,steteraent,steteraient,They will stand
Active Indicative,Perfect,1st Person,Singular,steteravi,steteraui,steterai,steterai,I have standed
Active Indicative,Perfect,1st Person,Plural,steteravimus,steterauimus,steteraimus,steteraimus,We have standed
Active Indicative,Perfect,2nd Person,Singular,steteravisti,steterauisti,steteraisti,steteraisti,You have standed
Active Indicative,Perfect,2nd Person,Plural,steteravistis,steterauistis,steteraistis,steteraistis,You (pl.) have standed
Active Indicative,Perfect,3rd Person,Singular,steteravit,steterauit,steterait,steterait,He/she/it has standed
Active Indicative,Perfect,3rd Person,Plural,steteraverunt,steterauerunt,steteraerunt,steteraerunt,They have standed
Active Indicative,Pluperfect,1st Person,Singular,steteraveram,steteraueram,steteraeram,steteraeram,I had standed
Active Indicative,Pluperfect,1st Person,Plural,steteraveramus,steteraueramus,steteraeramus,steteraeramus,We had standed
Active Indicative,Pluperfect,2nd Person,Singular,steteraveras,steteraueras,steteraeras,steteraeras,You had standed
Active Indicative,Pluperfect,2nd Person,Plural,steteraveratis,steteraueratis,steteraeratis,steteraeratis,You (pl.) had standed
Active Indicative,Pluperfect,3rd Person,Singular,steteraverat,steterauerat,steteraerat,steteraerat,He/she/it had standed
Active Indicative,Pluperfect,3rd Person,Plural,steteraverant,steterauerant,steteraerant,steteraerant,They had standed
Active Indicative,Future Perfect,1st Person,Singular,steteravero,steteraueero,steteraero,steteraiero,I will have standed
Active Indicative,Future Perfect,1st Person,Plural,steteraverimus,steterauerimus,steteraerimus,steteraierimus,We will have standed
Active Indicative,Future Perfect,2nd Person,Singular,steteraveris,steteraueris,steteraeris,steteraieris,You will have standed
Active Indicative,Future Perfect,2nd Person,Plural,steteraveritis,steteraueritis,steteraeritis,steteraieritis,You (pl.) will have standed
Active Indicative,Future Perfect,3rd Person,Singular,steteraverit,steterauerit,steteraerit,steteraierit,He/she/it will have standed
Active Indicative,Future Perfect,3rd Person,Plural,steteraverint,steterauerint,steteraerint,steteraierint,They will have standed
Passive Indicative,Present,1st Person,Singular,steteraor,steteraeor,steteraor,steteraior,I am being standed
Passive Indicative,Present,1st Person,Plural,steteramur,steteraemur,steteraimur,steteraimur,We are being standed
Passive Indicative,Present,2nd Person,Singular,steteraris,steteraeris,steterairis,steterairis,You are being standed
Passive Indicative,Present,2nd Person,Plural,steteramini,steteraemini,steteraimini,steteraimini,You (pl.) are being standed
Passive Indicative,Present,3rd Person,Singular,steteratur,steteraetur,steteraitur,steteraitur,He/she/it is being standed
Passive Indicative,Present,3rd Person,Plural,steterantur,steteraentur,steteraiuntur,steteraiuntur,They are being standed
Passive Indicative,Imperfect,1st Person,Singular,steterabar,steteraebar,steteraebar,steteraiebar,I was standed
Passive Indicative,Imperfect,1st Person,Plural,steterabamur,steteraebamur,steteraebamur,steteraiebamur,We were standed
Passive Indicative,Imperfect,2nd Person,Singular,steterabaris,steteraebaris,steteraebaris,steteraiebaris,You were standed
Passive Indicative,Imperfect,2nd Person,Plural,steterabamini,steteraebamini,steteraebamini,steteraiebamini,You (pl.) were standed
Passive Indicative,Imperfect,3rd Person,Singular,steterabatur,steteraebatur,steteraebatur,steteraiebatur,He/she/it was standed
Passive Indicative,Imperfect,3rd Person,Plural,steterabantur,steteraebantur,steteraebantur,steteraiebantur,They were standed
Passive Indicative,Future,1st Person,Singular,steterabor,steteraebor,steterar,steteraiar,I will be standed
Passive Indicative,Future,1st Person,Plural,steterabimur,steteraebimur,steteraemur,steteraiemur,We will be standed
Passive Indicative,Future,2nd Person,Singular,steteraberis,steteraeberis,steteraeris,steteraieris,You will be standed
Passive Indicative,Future,2nd Person,Plural,steterabimini,steteraebimini,steteraemini,steteraiemini,You (pl.) will be standed
Passive Indicative,Future,3rd Person,Singular,steterabitur,steteraebitur,steteraetur,steteraietur,He/she/it will be standed
Passive Indicative,Future,3rd Person,Plural,steterabuntur,steteraebuntur,steteraentur,steteraientur,They will be standed
Passive Indicative,Perfect,1st Person,Singular,steteratus sum,steteraetus sum,steteraus sum,steteraus sum,I have been standed
Passive Indicative,Perfect,1st Person,Plural,steterati sumus,steteraeti sumus,steterai sumus,steterai sumus,We have been standed
Passive Indicative,Perfect,2nd Person,Singular,steteratus es,steteraetus es,steteraus es,steteraus es,You have been standed
Passive Indicative,Perfect,2nd Person,Plural,steterati estis,steteraeti estis,steterai estis,steterai estis,You (pl.) have been standed
Passive Indicative,Perfect,3rd Person,Singular,steteratus est,steteraetus est,steteraus est,steteraus est,He/she/it has been standed
Passive Indicative,Perfect,3rd Person,Plural,steterati sunt,steteraeti sunt,steterai sunt,steterai sunt,They have been standed
Passive Indicative,Pluperfect,1st Person,Singular,steteratus eram,steteraetus eram,steteraus eram,steteraus eram,I had been standed
Passive Indicative,Pluperfect,1st Person,Plural,steterati eramus,steteraeti eramus,steterai eramus,steterai eramus,We had been standed
Passive Indicative,Pluperfect,2nd Person,Singular,steteratus eras,steteraetus eras,steteraus eras,steteraus eras,You had been standed
Passive Indicative,Pluperfect,2nd Person,Plural,steterati eratis,steteraeti eratis,steterai eratis,steterai eratis,You (pl.) had been standed
Passive Indicative,Pluperfect,3rd Person,Singular,steteratus erat,steteraetus erat,steteraus erat,steteraus erat,He/she/it had been standed
Passive Indicative,Pluperfect,3rd Person,Plural,steterati erant,steteraeti erant,steterai erant,steterai erant,They had been standed
Passive Indicative,Future Perfect,1st Person,Singular,steteratus ero,steteraetus ero,steteraus ero,steteraus ero,I will have been standed
Passive Indicative,Future Perfect,1st Person,Plural,steterati erimus,steteraeti erimus,steterai erimus,steterai erimus,We will have been standed
Passive Indicative,Future Perfect,2nd Person,Singular,steteratus eris,steteraetus eris,steteraus eris,steteraus eris,You will have been standed
Passive Indicative,Future Perfect,2nd Person,Plural,steterati eritis,steteraeti eritis,steterai eritis,steterai eritis,You (pl.) will have been standed
Passive Indicative,Future Perfect,3rd Person,Singular,steteratus erit,steteraetus erit,steteraus erit,steteraus erit,He/she/it will have been standed
Passive Indicative,Future Perfect,3rd Person,Plural,steterati erunt,steteraeti erunt,steterai erunt,steterai erunt,They will have been standed
Active Subjunctive,Present,1st Person,Singular,steteraem,steteraem,steteram,steteram,I may stand
Active Subjunctive,Present,1st Person,Plural,steteraemus,steteraemus,steteramus,steteramus,We may stand
Active Subjunctive,Present,2nd Person,Singular,steteraes,steteraes,steteras,steteras,You may stand
Active Subjunctive,Present,2nd Person,Plural,steteraetis,steteraetis,steteratis,steteratis,You (pl.) may stand
Active Subjunctive,Present,3rd Person,Singular,steteraet,steteraet,steterat,steterat,He/she/it may stand
Active Subjunctive,Present,3rd Person,Plural,steteraent,steteraent,steterant,steterant,They may stand
Active Subjunctive,Imperfect,1st Person,Singular,steterarem,steteraerem,steteraerem,steterairem,I should stand
Active Subjunctive,Imperfect,1st Person,Plural,steteraremus,steteraeremus,steteraeremus,steterairemus,We should stand
Active Subjunctive,Imperfect,2nd Person,Singular,steterares,steteraeres,steteraeres,steteraires,You should stand
Active Subjunctive,Imperfect,2nd Person,Plural,steteraretis,steteraeretis,steteraeretis,steterairetis,You (pl.) should stand
Active Subjunctive,Imperfect,3rd Person,Singular,steteraret,steteraeret,steteraeret,steterairet,He/she/it should stand
Active Subjunctive,Imperfect,3rd Person,Plural,steterarent,steteraerent,steteraerent,steterairent,They should stand
Active Subjunctive,Perfect,1st Person,Singular,steteraerim,steterauerim,steteraerim,steteraierim,I may have standed
Active Subjunctive,Perfect,1st Person,Plural,steteraerimus,steterauerimus,steteraerimus,steteraierimus,We may have standed
Active Subjunctive,Perfect,2nd Person,Singular,steteraeris,steteraueris,steteraeris,steteraieris,You may have standed
Active Subjunctive,Perfect,2nd Person,Plural,steteraeritis,steteraueritis,steteraeritis,steteraieritis,You (pl.) may have standed
Active Subjunctive,Perfect,3rd Person,Singular,steteraerit,steterauerit,steteraerit,steteraierit,He/she/it may have standed
Active Subjunctive,Perfect,3rd Person,Plural,steteraerint,steterauerint,steteraerint,steteraierint,They may have standed
Active Subjunctive,Pluperfect,1st Person,Singular,steteraissem,steterauissem,steteraissem,steteraissem,I should have standed
Active Subjunctive,Pluperfect,1st Person,Plural,steteraissemus,steterauissemus,steteraissemus,steteraissemus,We should have standed
Active Subjunctive,Pluperfect,2nd Person,Singular,steteraisses,steterauisses,steteraisses,steteraisses,You would have standed
Active Subjunctive,Pluperfect,2nd Person,Plural,steteraissetis,steterauissetis,steteraissetis,steteraissetis,You (pl.) would have standed
Active Subjunctive,Pluperfect,3rd Person,Singular,steteraisset,steterauisset,steteraisset,steteraisset,He/she/it would have standed
Active Subjunctive,Pluperfect,3rd Person,Plural,steteraissent,steterauissent,steteraissent,steteraissent,They would have standed
Passive Subjunctive,Present,1st Person,Singular,steteraer,steteraer,steterar,steterar,I may be standed
Passive Subjunctive,Present,1st Person,Plural,steteraemur,steteraemur,steteramur,steteramur,We may be standed
Passive Subjunctive,Present,2nd Person,Singular,steteraeris,steteraeris,steteraris,steteraris,You may be standed
Passive Subjunctive,Present,2nd Person,Plural,steteraemini,steteraemini,steteramini,steteramini,You (pl.) may be standed
Passive Subjunctive,Present,3rd Person,Singular,steteraetur,steteraetur,steteratur,steteratur,He/she/it may be standed
Passive Subjunctive,Present,3rd Person,Plural,steteraentur,steteraentur,steterantur,steterantur,They may be standed
Passive Subjunctive,Imperfect,1st Person,Singular,steterarer,steteraerer,steteraerer,steterairer,I should be standed
Passive Subjunctive,Imperfect,1st Person,Plural,steteraremur,steteraeremur,steteraeremur,steterairemur,We should be standed
Passive Subjunctive,Imperfect,2nd Person,Singular,steterareris,steteraereris,steteraereris,steteraireris,You would be standed
Passive Subjunctive,Imperfect,2nd Person,Plural,steteraremini,steteraeremini,steteraeremini,steterairemini,You (pl.) would be standed
Passive Subjunctive,Imperfect,3rd Person,Singular,steteraretur,steteraeretur,steteraeretur,steterairetur,He/she/it would be standed
Passive Subjunctive,Imperfect,3rd Person,Plural,steterarentur,steteraerentur,steteraerentur,steterairentur,They would be standed
Passive Subjunctive,Perfect,1st Person,Singular,steteratus sim,steteraetus sim,steteraus sim,steteraus sim,I may have been standed
Passive Subjunctive,Perfect,1st Person,Plural,steterati simus,steteraeti simus,steterai simus,steterai simus,We may have been standed
Passive Subjunctive,Perfect,2nd Person,Singular,steteratus sis,steteraetus sis,steteraus sis,steteraus sis,You may have been standed
Passive Subjunctive,Perfect,2nd Person,Plural,steterati sitis,steteraeti sitis,steterai sitis,steterai sitis,You (pl.) may have been standed
Passive Subjunctive,Perfect,3rd Person,Singular,steteratus sit,steteraetus sit,steteraus sit,steteraus sit,He/she/it may have been standed
Passive Subjunctive,Perfect,3rd Person,Plural,steterati sint,steteraeti sint,steterai sint,steterai sint,They may have been standed
Passive Subjunctive,Pluperfect,1st Person,Singular,steteratus essem,steteraetus essem,steteraus essem,steteraus essem,I should have been standed
Passive Subjunctive,Pluperfect,1st Person,Plural,steterati essemus,steteraeti essemus,steterai essemus,steterai essemus,We should have been standed
Passive Subjunctive,Pluperfect,2nd Person,Singular,steteratus esses,steteraetus esses,steteraus esses,steteraus esses,You would have been standed
Passive Subjunctive,Pluperfect,2nd Person,Plural,steterati essetis,steteraeti essetis,steterai essetis,steterai essetis,You (pl.) would have been standed
Passive Subjunctive,Pluperfect,3rd Person,Singular,steteratus esset,steteraetus esset,steteraus esset,steteraus esset,He/she/it would have been standed
Passive Subjunctive,Pluperfect,3rd Person,Plural,steterati essent,steteraeti essent,steterai essent,steterai essent,They would have been standed
