Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,stupo,stupeo,stupo,stupio,I plug up
Active Indicative,Present,1st Person,Plural,stupamus,stupemus,stupimus,stupimus,We plug up
Active Indicative,Present,2nd Person,Singular,stupas,stupes,stupis,stupis,You plug up
Active Indicative,Present,2nd Person,Plural,stupatis,stupetis,stupitis,stupitis,You (pl.) plug up
Active Indicative,Present,3rd Person,Singular,stupat,stupet,stupit,stupit,He/she/it plug up
Active Indicative,Present,3rd Person,Plural,stupant,stupent,stupiunt,stupiunt,They plug up
Active Indicative,Imperfect,1st Person,Singular,stupabam,stupebam,stupebam,stupiebam,I was plug uping
Active Indicative,Imperfect,1st Person,Plural,stupabamus,stupebamus,stupebamus,stupiebamus,We were plug uping
Active Indicative,Imperfect,2nd Person,Singular,stupabas,stupebas,stupebas,stupiebas,You were plug uping
Active Indicative,Imperfect,2nd Person,Plural,stupabatis,stupebatis,stupebatis,stupiebatis,You (pl.) were plug uping
Active Indicative,Imperfect,3rd Person,Singular,stupabat,stupebat,stupebat,stupiebat,He/she/it was plug uping
Active Indicative,Imperfect,3rd Person,Plural,stupabant,stupebant,stupebant,stupiebant,They were plug uping
Active Indicative,Future,1st Person,Singular,stupabo,stupebo,stupam,stupiam,I will plug up
Active Indicative,Future,1st Person,Plural,stupabimus,stupebimus,stupemus,stupiemus,We will plug up
Active Indicative,Future,2nd Person,Singular,stupabis,stupebis,stupes,stupies,You will plug up
Active Indicative,Future,2nd Person,Plural,stupabitis,stupebitis,stupetis,stupietis,You (pl.) will plug up
Active Indicative,Future,3rd Person,Singular,stupabit,stupebit,stupet,stupiet,He/she/it will plug up
Active Indicative,Future,3rd Person,Plural,stupabunt,stupebunt,stupent,stupient,They will plug up
Active Indicative,Perfect,1st Person,Singular,stupavi,stupui,stupi,stupi,I have plug uped
Active Indicative,Perfect,1st Person,Plural,stupavimus,stupuimus,stupimus,stupimus,We have plug uped
Active Indicative,Perfect,2nd Person,Singular,stupavisti,stupuisti,stupisti,stupisti,You have plug uped
Active Indicative,Perfect,2nd Person,Plural,stupavistis,stupuistis,stupistis,stupistis,You (pl.) have plug uped
Active Indicative,Perfect,3rd Person,Singular,stupavit,stupuit,stupit,stupit,He/she/it has plug uped
Active Indicative,Perfect,3rd Person,Plural,stupaverunt,stupuerunt,stuperunt,stuperunt,They have plug uped
Active Indicative,Pluperfect,1st Person,Singular,stupaveram,stupueram,stuperam,stuperam,I had plug uped
Active Indicative,Pluperfect,1st Person,Plural,stupaveramus,stupueramus,stuperamus,stuperamus,We had plug uped
Active Indicative,Pluperfect,2nd Person,Singular,stupaveras,stupueras,stuperas,stuperas,You had plug uped
Active Indicative,Pluperfect,2nd Person,Plural,stupaveratis,stupueratis,stuperatis,stuperatis,You (pl.) had plug uped
Active Indicative,Pluperfect,3rd Person,Singular,stupaverat,stupuerat,stuperat,stuperat,He/she/it had plug uped
Active Indicative,Pluperfect,3rd Person,Plural,stupaverant,stupuerant,stuperant,stuperant,They had plug uped
Active Indicative,Future Perfect,1st Person,Singular,stupavero,stupueero,stupero,stupiero,I will have plug uped
Active Indicative,Future Perfect,1st Person,Plural,stupaverimus,stupuerimus,stuperimus,stupierimus,We will have plug uped
Active Indicative,Future Perfect,2nd Person,Singular,stupaveris,stupueris,stuperis,stupieris,You will have plug uped
Active Indicative,Future Perfect,2nd Person,Plural,stupaveritis,stupueritis,stuperitis,stupieritis,You (pl.) will have plug uped
Active Indicative,Future Perfect,3rd Person,Singular,stupaverit,stupuerit,stuperit,stupierit,He/she/it will have plug uped
Active Indicative,Future Perfect,3rd Person,Plural,stupaverint,stupuerint,stuperint,stupierint,They will have plug uped
Passive Indicative,Present,1st Person,Singular,stupor,stupeor,stupor,stupior,I am being plug uped
Passive Indicative,Present,1st Person,Plural,stupamur,stupemur,stupimur,stupimur,We are being plug uped
Passive Indicative,Present,2nd Person,Singular,stuparis,stuperis,stupiris,stupiris,You are being plug uped
Passive Indicative,Present,2nd Person,Plural,stupamini,stupemini,stupimini,stupimini,You (pl.) are being plug uped
Passive Indicative,Present,3rd Person,Singular,stupatur,stupetur,stupitur,stupitur,He/she/it is being plug uped
Passive Indicative,Present,3rd Person,Plural,stupantur,stupentur,stupiuntur,stupiuntur,They are being plug uped
Passive Indicative,Imperfect,1st Person,Singular,stupabar,stupebar,stupebar,stupiebar,I was plug uped
Passive Indicative,Imperfect,1st Person,Plural,stupabamur,stupebamur,stupebamur,stupiebamur,We were plug uped
Passive Indicative,Imperfect,2nd Person,Singular,stupabaris,stupebaris,stupebaris,stupiebaris,You were plug uped
Passive Indicative,Imperfect,2nd Person,Plural,stupabamini,stupebamini,stupebamini,stupiebamini,You (pl.) were plug uped
Passive Indicative,Imperfect,3rd Person,Singular,stupabatur,stupebatur,stupebatur,stupiebatur,He/she/it was plug uped
Passive Indicative,Imperfect,3rd Person,Plural,stupabantur,stupebantur,stupebantur,stupiebantur,They were plug uped
Passive Indicative,Future,1st Person,Singular,stupabor,stupebor,stupar,stupiar,I will be plug uped
Passive Indicative,Future,1st Person,Plural,stupabimur,stupebimur,stupemur,stupiemur,We will be plug uped
Passive Indicative,Future,2nd Person,Singular,stupaberis,stupeberis,stuperis,stupieris,You will be plug uped
Passive Indicative,Future,2nd Person,Plural,stupabimini,stupebimini,stupemini,stupiemini,You (pl.) will be plug uped
Passive Indicative,Future,3rd Person,Singular,stupabitur,stupebitur,stupetur,stupietur,He/she/it will be plug uped
Passive Indicative,Future,3rd Person,Plural,stupabuntur,stupebuntur,stupentur,stupientur,They will be plug uped
Passive Indicative,Perfect,1st Person,Singular,stupatus sum,stupetus sum,stupus sum,stupus sum,I have been plug uped
Passive Indicative,Perfect,1st Person,Plural,stupati sumus,stupeti sumus,stupi sumus,stupi sumus,We have been plug uped
Passive Indicative,Perfect,2nd Person,Singular,stupatus es,stupetus es,stupus es,stupus es,You have been plug uped
Passive Indicative,Perfect,2nd Person,Plural,stupati estis,stupeti estis,stupi estis,stupi estis,You (pl.) have been plug uped
Passive Indicative,Perfect,3rd Person,Singular,stupatus est,stupetus est,stupus est,stupus est,He/she/it has been plug uped
Passive Indicative,Perfect,3rd Person,Plural,stupati sunt,stupeti sunt,stupi sunt,stupi sunt,They have been plug uped
Passive Indicative,Pluperfect,1st Person,Singular,stupatus eram,stupetus eram,stupus eram,stupus eram,I had been plug uped
Passive Indicative,Pluperfect,1st Person,Plural,stupati eramus,stupeti eramus,stupi eramus,stupi eramus,We had been plug uped
Passive Indicative,Pluperfect,2nd Person,Singular,stupatus eras,stupetus eras,stupus eras,stupus eras,You had been plug uped
Passive Indicative,Pluperfect,2nd Person,Plural,stupati eratis,stupeti eratis,stupi eratis,stupi eratis,You (pl.) had been plug uped
Passive Indicative,Pluperfect,3rd Person,Singular,stupatus erat,stupetus erat,stupus erat,stupus erat,He/she/it had been plug uped
Passive Indicative,Pluperfect,3rd Person,Plural,stupati erant,stupeti erant,stupi erant,stupi erant,They had been plug uped
