Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,subilo,subileo,subilo,subilio,I whistle
Active Indicative,Present,1st Person,Plural,subilamus,subilemus,subilimus,subilimus,We whistle
Active Indicative,Present,2nd Person,Singular,subilas,subiles,subilis,subilis,You whistle
Active Indicative,Present,2nd Person,Plural,subilatis,subiletis,subilitis,subilitis,You (pl.) whistle
Active Indicative,Present,3rd Person,Singular,subilat,subilet,subilit,subilit,He/she/it whistle
Active Indicative,Present,3rd Person,Plural,subilant,subilent,subiliunt,subiliunt,They whistle
Active Indicative,Imperfect,1st Person,Singular,subilabam,subilebam,subilebam,subiliebam,I was whistleing
Active Indicative,Imperfect,1st Person,Plural,subilabamus,subilebamus,subilebamus,subiliebamus,We were whistleing
Active Indicative,Imperfect,2nd Person,Singular,subilabas,subilebas,subilebas,subiliebas,You were whistleing
Active Indicative,Imperfect,2nd Person,Plural,subilabatis,subilebatis,subilebatis,subiliebatis,You (pl.) were whistleing
Active Indicative,Imperfect,3rd Person,Singular,subilabat,subilebat,subilebat,subiliebat,He/she/it was whistleing
Active Indicative,Imperfect,3rd Person,Plural,subilabant,subilebant,subilebant,subiliebant,They were whistleing
Active Indicative,Future,1st Person,Singular,subilabo,subilebo,subilam,subiliam,I will whistle
Active Indicative,Future,1st Person,Plural,subilabimus,subilebimus,subilemus,subiliemus,We will whistle
Active Indicative,Future,2nd Person,Singular,subilabis,subilebis,subiles,subilies,You will whistle
Active Indicative,Future,2nd Person,Plural,subilabitis,subilebitis,subiletis,subilietis,You (pl.) will whistle
Active Indicative,Future,3rd Person,Singular,subilabit,subilebit,subilet,subiliet,He/she/it will whistle
Active Indicative,Future,3rd Person,Plural,subilabunt,subilebunt,subilent,subilient,They will whistle
Active Indicative,Perfect,1st Person,Singular,subilavi,subilui,subili,subili,I have whistleed
Active Indicative,Perfect,1st Person,Plural,subilavimus,subiluimus,subilimus,subilimus,We have whistleed
Active Indicative,Perfect,2nd Person,Singular,subilavisti,subiluisti,subilisti,subilisti,You have whistleed
Active Indicative,Perfect,2nd Person,Plural,subilavistis,subiluistis,subilistis,subilistis,You (pl.) have whistleed
Active Indicative,Perfect,3rd Person,Singular,subilavit,subiluit,subilit,subilit,He/she/it has whistleed
