Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,submergo,submergeo,submergo,submergio,I drown
Active Indicative,Present,1st Person,Plural,submergamus,submergemus,submergimus,submergimus,We drown
Active Indicative,Present,2nd Person,Singular,submergas,submerges,submergis,submergis,You drown
Active Indicative,Present,2nd Person,Plural,submergatis,submergetis,submergitis,submergitis,You (pl.) drown
Active Indicative,Present,3rd Person,Singular,submergat,submerget,submergit,submergit,He/she/it drown
Active Indicative,Present,3rd Person,Plural,submergant,submergent,submergiunt,submergiunt,They drown
Active Indicative,Imperfect,1st Person,Singular,submergabam,submergebam,submergebam,submergiebam,I was drowning
Active Indicative,Imperfect,1st Person,Plural,submergabamus,submergebamus,submergebamus,submergiebamus,We were drowning
Active Indicative,Imperfect,2nd Person,Singular,submergabas,submergebas,submergebas,submergiebas,You were drowning
Active Indicative,Imperfect,2nd Person,Plural,submergabatis,submergebatis,submergebatis,submergiebatis,You (pl.) were drowning
Active Indicative,Imperfect,3rd Person,Singular,submergabat,submergebat,submergebat,submergiebat,He/she/it was drowning
Active Indicative,Imperfect,3rd Person,Plural,submergabant,submergebant,submergebant,submergiebant,They were drowning
Active Indicative,Future,1st Person,Singular,submergabo,submergebo,submergam,submergiam,I will drown
Active Indicative,Future,1st Person,Plural,submergabimus,submergebimus,submergemus,submergiemus,We will drown
Active Indicative,Future,2nd Person,Singular,submergabis,submergebis,submerges,submergies,You will drown
Active Indicative,Future,2nd Person,Plural,submergabitis,submergebitis,submergetis,submergietis,You (pl.) will drown
Active Indicative,Future,3rd Person,Singular,submergabit,submergebit,submerget,submergiet,He/she/it will drown
Active Indicative,Future,3rd Person,Plural,submergabunt,submergebunt,submergent,submergient,They will drown
Active Indicative,Perfect,1st Person,Singular,submergavi,submergui,submergi,submergi,I have drowned
Active Indicative,Perfect,1st Person,Plural,submergavimus,submerguimus,submergimus,submergimus,We have drowned
Active Indicative,Perfect,2nd Person,Singular,submergavisti,submerguisti,submergisti,submergisti,You have drowned
Active Indicative,Perfect,2nd Person,Plural,submergavistis,submerguistis,submergistis,submergistis,You (pl.) have drowned
Active Indicative,Perfect,3rd Person,Singular,submergavit,submerguit,submergit,submergit,He/she/it has drowned
Active Indicative,Perfect,3rd Person,Plural,submergaverunt,submerguerunt,submergerunt,submergerunt,They have drowned
Active Indicative,Pluperfect,1st Person,Singular,submergaveram,submergueram,submergeram,submergeram,I had drowned
Active Indicative,Pluperfect,1st Person,Plural,submergaveramus,submergueramus,submergeramus,submergeramus,We had drowned
Active Indicative,Pluperfect,2nd Person,Singular,submergaveras,submergueras,submergeras,submergeras,You had drowned
Active Indicative,Pluperfect,2nd Person,Plural,submergaveratis,submergueratis,submergeratis,submergeratis,You (pl.) had drowned
Active Indicative,Pluperfect,3rd Person,Singular,submergaverat,submerguerat,submergerat,submergerat,He/she/it had drowned
Active Indicative,Pluperfect,3rd Person,Plural,submergaverant,submerguerant,submergerant,submergerant,They had drowned
Active Indicative,Future Perfect,1st Person,Singular,submergavero,submergueero,submergero,submergiero,I will have drowned
Active Indicative,Future Perfect,1st Person,Plural,submergaverimus,submerguerimus,submergerimus,submergierimus,We will have drowned
