Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,subverto,subverteo,subverto,subvertio,I undermine
Active Indicative,Present,1st Person,Plural,subvertamus,subvertemus,subvertimus,subvertimus,We undermine
Active Indicative,Present,2nd Person,Singular,subvertas,subvertes,subvertis,subvertis,You undermine
Active Indicative,Present,2nd Person,Plural,subvertatis,subvertetis,subvertitis,subvertitis,You (pl.) undermine
Active Indicative,Present,3rd Person,Singular,subvertat,subvertet,subvertit,subvertit,He/she/it undermine
Active Indicative,Present,3rd Person,Plural,subvertant,subvertent,subvertiunt,subvertiunt,They undermine
Active Indicative,Imperfect,1st Person,Singular,subvertabam,subvertebam,subvertebam,subvertiebam,I was undermineing
Active Indicative,Imperfect,1st Person,Plural,subvertabamus,subvertebamus,subvertebamus,subvertiebamus,We were undermineing
Active Indicative,Imperfect,2nd Person,Singular,subvertabas,subvertebas,subvertebas,subvertiebas,You were undermineing
Active Indicative,Imperfect,2nd Person,Plural,subvertabatis,subvertebatis,subvertebatis,subvertiebatis,You (pl.) were undermineing
Active Indicative,Imperfect,3rd Person,Singular,subvertabat,subvertebat,subvertebat,subvertiebat,He/she/it was undermineing
Active Indicative,Imperfect,3rd Person,Plural,subvertabant,subvertebant,subvertebant,subvertiebant,They were undermineing
Active Indicative,Future,1st Person,Singular,subvertabo,subvertebo,subvertam,subvertiam,I will undermine
Active Indicative,Future,1st Person,Plural,subvertabimus,subvertebimus,subvertemus,subvertiemus,We will undermine
Active Indicative,Future,2nd Person,Singular,subvertabis,subvertebis,subvertes,subverties,You will undermine
Active Indicative,Future,2nd Person,Plural,subvertabitis,subvertebitis,subvertetis,subvertietis,You (pl.) will undermine
Active Indicative,Future,3rd Person,Singular,subvertabit,subvertebit,subvertet,subvertiet,He/she/it will undermine
Active Indicative,Future,3rd Person,Plural,subvertabunt,subvertebunt,subvertent,subvertient,They will undermine
Active Indicative,Perfect,1st Person,Singular,subvertavi,subvertui,subverti,subverti,I have undermineed
Active Indicative,Perfect,1st Person,Plural,subvertavimus,subvertuimus,subvertimus,subvertimus,We have undermineed
Active Indicative,Perfect,2nd Person,Singular,subvertavisti,subvertuisti,subvertisti,subvertisti,You have undermineed
Active Indicative,Perfect,2nd Person,Plural,subvertavistis,subvertuistis,subvertistis,subvertistis,You (pl.) have undermineed
Active Indicative,Perfect,3rd Person,Singular,subvertavit,subvertuit,subvertit,subvertit,He/she/it has undermineed
Active Indicative,Perfect,3rd Person,Plural,subvertaverunt,subvertuerunt,subverterunt,subverterunt,They have undermineed
Active Indicative,Pluperfect,1st Person,Singular,subvertaveram,subvertueram,subverteram,subverteram,I had undermineed
Active Indicative,Pluperfect,1st Person,Plural,subvertaveramus,subvertueramus,subverteramus,subverteramus,We had undermineed
Active Indicative,Pluperfect,2nd Person,Singular,subvertaveras,subvertueras,subverteras,subverteras,You had undermineed
Active Indicative,Pluperfect,2nd Person,Plural,subvertaveratis,subvertueratis,subverteratis,subverteratis,You (pl.) had undermineed
Active Indicative,Pluperfect,3rd Person,Singular,subvertaverat,subvertuerat,subverterat,subverterat,He/she/it had undermineed
Active Indicative,Pluperfect,3rd Person,Plural,subvertaverant,subvertuerant,subverterant,subverterant,They had undermineed
Active Indicative,Future Perfect,1st Person,Singular,subvertavero,subvertueero,subvertero,subvertiero,I will have undermineed
Active Indicative,Future Perfect,1st Person,Plural,subvertaverimus,subvertuerimus,subverterimus,subvertierimus,We will have undermineed
Active Indicative,Future Perfect,2nd Person,Singular,subvertaveris,subvertueris,subverteris,subvertieris,You will have undermineed
Active Indicative,Future Perfect,2nd Person,Plural,subvertaveritis,subvertueritis,subverteritis,subvertieritis,You (pl.) will have undermineed
Active Indicative,Future Perfect,3rd Person,Singular,subvertaverit,subvertuerit,subverterit,subvertierit,He/she/it will have undermineed
Active Indicative,Future Perfect,3rd Person,Plural,subvertaverint,subvertuerint,subverterint,subvertierint,They will have undermineed
Passive Indicative,Present,1st Person,Singular,subvertor,subverteor,subvertor,subvertior,I am being undermineed
Passive Indicative,Present,1st Person,Plural,subvertamur,subvertemur,subvertimur,subvertimur,We are being undermineed
Passive Indicative,Present,2nd Person,Singular,subvertaris,subverteris,subvertiris,subvertiris,You are being undermineed
Passive Indicative,Present,2nd Person,Plural,subvertamini,subvertemini,subvertimini,subvertimini,You (pl.) are being undermineed
Passive Indicative,Present,3rd Person,Singular,subvertatur,subvertetur,subvertitur,subvertitur,He/she/it is being undermineed
Passive Indicative,Present,3rd Person,Plural,subvertantur,subvertentur,subvertiuntur,subvertiuntur,They are being undermineed
Passive Indicative,Imperfect,1st Person,Singular,subvertabar,subvertebar,subvertebar,subvertiebar,I was undermineed
Passive Indicative,Imperfect,1st Person,Plural,subvertabamur,subvertebamur,subvertebamur,subvertiebamur,We were undermineed
Passive Indicative,Imperfect,2nd Person,Singular,subvertabaris,subvertebaris,subvertebaris,subvertiebaris,You were undermineed
Passive Indicative,Imperfect,2nd Person,Plural,subvertabamini,subvertebamini,subvertebamini,subvertiebamini,You (pl.) were undermineed
Passive Indicative,Imperfect,3rd Person,Singular,subvertabatur,subvertebatur,subvertebatur,subvertiebatur,He/she/it was undermineed
Passive Indicative,Imperfect,3rd Person,Plural,subvertabantur,subvertebantur,subvertebantur,subvertiebantur,They were undermineed
