Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,succingo,succingeo,succingo,succingio,I prepare
Active Indicative,Present,1st Person,Plural,succingamus,succingemus,succingimus,succingimus,We prepare
Active Indicative,Present,2nd Person,Singular,succingas,succinges,succingis,succingis,You prepare
Active Indicative,Present,2nd Person,Plural,succingatis,succingetis,succingitis,succingitis,You (pl.) prepare
Active Indicative,Present,3rd Person,Singular,succingat,succinget,succingit,succingit,He/she/it prepare
Active Indicative,Present,3rd Person,Plural,succingant,succingent,succingiunt,succingiunt,They prepare
Active Indicative,Imperfect,1st Person,Singular,succingabam,succingebam,succingebam,succingiebam,I was prepareing
Active Indicative,Imperfect,1st Person,Plural,succingabamus,succingebamus,succingebamus,succingiebamus,We were prepareing
Active Indicative,Imperfect,2nd Person,Singular,succingabas,succingebas,succingebas,succingiebas,You were prepareing
Active Indicative,Imperfect,2nd Person,Plural,succingabatis,succingebatis,succingebatis,succingiebatis,You (pl.) were prepareing
Active Indicative,Imperfect,3rd Person,Singular,succingabat,succingebat,succingebat,succingiebat,He/she/it was prepareing
Active Indicative,Imperfect,3rd Person,Plural,succingabant,succingebant,succingebant,succingiebant,They were prepareing
Active Indicative,Future,1st Person,Singular,succingabo,succingebo,succingam,succingiam,I will prepare
Active Indicative,Future,1st Person,Plural,succingabimus,succingebimus,succingemus,succingiemus,We will prepare
Active Indicative,Future,2nd Person,Singular,succingabis,succingebis,succinges,succingies,You will prepare
Active Indicative,Future,2nd Person,Plural,succingabitis,succingebitis,succingetis,succingietis,You (pl.) will prepare
Active Indicative,Future,3rd Person,Singular,succingabit,succingebit,succinget,succingiet,He/she/it will prepare
Active Indicative,Future,3rd Person,Plural,succingabunt,succingebunt,succingent,succingient,They will prepare
Active Indicative,Perfect,1st Person,Singular,succingavi,succingui,succingi,succingi,I have prepareed
Active Indicative,Perfect,1st Person,Plural,succingavimus,succinguimus,succingimus,succingimus,We have prepareed
Active Indicative,Perfect,2nd Person,Singular,succingavisti,succinguisti,succingisti,succingisti,You have prepareed
Active Indicative,Perfect,2nd Person,Plural,succingavistis,succinguistis,succingistis,succingistis,You (pl.) have prepareed
Active Indicative,Perfect,3rd Person,Singular,succingavit,succinguit,succingit,succingit,He/she/it has prepareed
Active Indicative,Perfect,3rd Person,Plural,succingaverunt,succinguerunt,succingerunt,succingerunt,They have prepareed
Active Indicative,Pluperfect,1st Person,Singular,succingaveram,succingueram,succingeram,succingeram,I had prepareed
Active Indicative,Pluperfect,1st Person,Plural,succingaveramus,succingueramus,succingeramus,succingeramus,We had prepareed
Active Indicative,Pluperfect,2nd Person,Singular,succingaveras,succingueras,succingeras,succingeras,You had prepareed
Active Indicative,Pluperfect,2nd Person,Plural,succingaveratis,succingueratis,succingeratis,succingeratis,You (pl.) had prepareed
Active Indicative,Pluperfect,3rd Person,Singular,succingaverat,succinguerat,succingerat,succingerat,He/she/it had prepareed
Active Indicative,Pluperfect,3rd Person,Plural,succingaverant,succinguerant,succingerant,succingerant,They had prepareed
Active Indicative,Future Perfect,1st Person,Singular,succingavero,succingueero,succingero,succingiero,I will have prepareed
Active Indicative,Future Perfect,1st Person,Plural,succingaverimus,succinguerimus,succingerimus,succingierimus,We will have prepareed
Active Indicative,Future Perfect,2nd Person,Singular,succingaveris,succingueris,succingeris,succingieris,You will have prepareed
Active Indicative,Future Perfect,2nd Person,Plural,succingaveritis,succingueritis,succingeritis,succingieritis,You (pl.) will have prepareed
Active Indicative,Future Perfect,3rd Person,Singular,succingaverit,succinguerit,succingerit,succingierit,He/she/it will have prepareed
Active Indicative,Future Perfect,3rd Person,Plural,succingaverint,succinguerint,succingerint,succingierint,They will have prepareed
Passive Indicative,Present,1st Person,Singular,succingor,succingeor,succingor,succingior,I am being prepareed
Passive Indicative,Present,1st Person,Plural,succingamur,succingemur,succingimur,succingimur,We are being prepareed
Passive Indicative,Present,2nd Person,Singular,succingaris,succingeris,succingiris,succingiris,You are being prepareed
Passive Indicative,Present,2nd Person,Plural,succingamini,succingemini,succingimini,succingimini,You (pl.) are being prepareed
Passive Indicative,Present,3rd Person,Singular,succingatur,succingetur,succingitur,succingitur,He/she/it is being prepareed
Passive Indicative,Present,3rd Person,Plural,succingantur,succingentur,succingiuntur,succingiuntur,They are being prepareed
Passive Indicative,Imperfect,1st Person,Singular,succingabar,succingebar,succingebar,succingiebar,I was prepareed
Passive Indicative,Imperfect,1st Person,Plural,succingabamur,succingebamur,succingebamur,succingiebamur,We were prepareed
Passive Indicative,Imperfect,2nd Person,Singular,succingabaris,succingebaris,succingebaris,succingiebaris,You were prepareed
Passive Indicative,Imperfect,2nd Person,Plural,succingabamini,succingebamini,succingebamini,succingiebamini,You (pl.) were prepareed
Passive Indicative,Imperfect,3rd Person,Singular,succingabatur,succingebatur,succingebatur,succingiebatur,He/she/it was prepareed
Passive Indicative,Imperfect,3rd Person,Plural,succingabantur,succingebantur,succingebantur,succingiebantur,They were prepareed
Passive Indicative,Future,1st Person,Singular,succingabor,succingebor,succingar,succingiar,I will be prepareed
Passive Indicative,Future,1st Person,Plural,succingabimur,succingebimur,succingemur,succingiemur,We will be prepareed
Passive Indicative,Future,2nd Person,Singular,succingaberis,succingeberis,succingeris,succingieris,You will be prepareed
Passive Indicative,Future,2nd Person,Plural,succingabimini,succingebimini,succingemini,succingiemini,You (pl.) will be prepareed
Passive Indicative,Future,3rd Person,Singular,succingabitur,succingebitur,succingetur,succingietur,He/she/it will be prepareed
Passive Indicative,Future,3rd Person,Plural,succingabuntur,succingebuntur,succingentur,succingientur,They will be prepareed
Passive Indicative,Perfect,1st Person,Singular,succingatus sum,succingetus sum,succingus sum,succingus sum,I have been prepareed
Passive Indicative,Perfect,1st Person,Plural,succingati sumus,succingeti sumus,succingi sumus,succingi sumus,We have been prepareed
Passive Indicative,Perfect,2nd Person,Singular,succingatus es,succingetus es,succingus es,succingus es,You have been prepareed
Passive Indicative,Perfect,2nd Person,Plural,succingati estis,succingeti estis,succingi estis,succingi estis,You (pl.) have been prepareed
Passive Indicative,Perfect,3rd Person,Singular,succingatus est,succingetus est,succingus est,succingus est,He/she/it has been prepareed
Passive Indicative,Perfect,3rd Person,Plural,succingati sunt,succingeti sunt,succingi sunt,succingi sunt,They have been prepareed
Passive Indicative,Pluperfect,1st Person,Singular,succingatus eram,succingetus eram,succingus eram,succingus eram,I had been prepareed
Passive Indicative,Pluperfect,1st Person,Plural,succingati eramus,succingeti eramus,succingi eramus,succingi eramus,We had been prepareed
Passive Indicative,Pluperfect,2nd Person,Singular,succingatus eras,succingetus eras,succingus eras,succingus eras,You had been prepareed
Passive Indicative,Pluperfect,2nd Person,Plural,succingati eratis,succingeti eratis,succingi eratis,succingi eratis,You (pl.) had been prepareed
Passive Indicative,Pluperfect,3rd Person,Singular,succingatus erat,succingetus erat,succingus erat,succingus erat,He/she/it had been prepareed
Passive Indicative,Pluperfect,3rd Person,Plural,succingati erant,succingeti erant,succingi erant,succingi erant,They had been prepareed
Passive Indicative,Future Perfect,1st Person,Singular,succingatus ero,succingetus ero,succingus ero,succingus ero,I will have been prepareed
Passive Indicative,Future Perfect,1st Person,Plural,succingati erimus,succingeti erimus,succingi erimus,succingi erimus,We will have been prepareed
Passive Indicative,Future Perfect,2nd Person,Singular,succingatus eris,succingetus eris,succingus eris,succingus eris,You will have been prepareed
Passive Indicative,Future Perfect,2nd Person,Plural,succingati eritis,succingeti eritis,succingi eritis,succingi eritis,You (pl.) will have been prepareed
Passive Indicative,Future Perfect,3rd Person,Singular,succingatus erit,succingetus erit,succingus erit,succingus erit,He/she/it will have been prepareed
Passive Indicative,Future Perfect,3rd Person,Plural,succingati erunt,succingeti erunt,succingi erunt,succingi erunt,They will have been prepareed
Active Subjunctive,Present,1st Person,Singular,succingem,succingem,succingam,succingam,I may prepare
Active Subjunctive,Present,1st Person,Plural,succingemus,succingemus,succingamus,succingamus,We may prepare
Active Subjunctive,Present,2nd Person,Singular,succinges,succinges,succingas,succingas,You may prepare
Active Subjunctive,Present,2nd Person,Plural,succingetis,succingetis,succingatis,succingatis,You (pl.) may prepare
Active Subjunctive,Present,3rd Person,Singular,succinget,succinget,succingat,succingat,He/she/it may prepare
Active Subjunctive,Present,3rd Person,Plural,succingent,succingent,succingant,succingant,They may prepare
Active Subjunctive,Imperfect,1st Person,Singular,succingarem,succingerem,succingerem,succingirem,I should prepare
Active Subjunctive,Imperfect,1st Person,Plural,succingaremus,succingeremus,succingeremus,succingiremus,We should prepare
Active Subjunctive,Imperfect,2nd Person,Singular,succingares,succingeres,succingeres,succingires,You should prepare
Active Subjunctive,Imperfect,2nd Person,Plural,succingaretis,succingeretis,succingeretis,succingiretis,You (pl.) should prepare
Active Subjunctive,Imperfect,3rd Person,Singular,succingaret,succingeret,succingeret,succingiret,He/she/it should prepare
Active Subjunctive,Imperfect,3rd Person,Plural,succingarent,succingerent,succingerent,succingirent,They should prepare
Active Subjunctive,Perfect,1st Person,Singular,succingerim,succinguerim,succingerim,succingierim,I may have prepareed
Active Subjunctive,Perfect,1st Person,Plural,succingerimus,succinguerimus,succingerimus,succingierimus,We may have prepareed
Active Subjunctive,Perfect,2nd Person,Singular,succingeris,succingueris,succingeris,succingieris,You may have prepareed
Active Subjunctive,Perfect,2nd Person,Plural,succingeritis,succingueritis,succingeritis,succingieritis,You (pl.) may have prepareed
Active Subjunctive,Perfect,3rd Person,Singular,succingerit,succinguerit,succingerit,succingierit,He/she/it may have prepareed
Active Subjunctive,Perfect,3rd Person,Plural,succingerint,succinguerint,succingerint,succingierint,They may have prepareed
Active Subjunctive,Pluperfect,1st Person,Singular,succingissem,succinguissem,succingissem,succingissem,I should have prepareed
Active Subjunctive,Pluperfect,1st Person,Plural,succingissemus,succinguissemus,succingissemus,succingissemus,We should have prepareed
Active Subjunctive,Pluperfect,2nd Person,Singular,succingisses,succinguisses,succingisses,succingisses,You would have prepareed
Active Subjunctive,Pluperfect,2nd Person,Plural,succingissetis,succinguissetis,succingissetis,succingissetis,You (pl.) would have prepareed
