Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,sufilo,sufileo,sufilo,sufilio,I whistle
Active Indicative,Present,1st Person,Plural,sufilamus,sufilemus,sufilimus,sufilimus,We whistle
Active Indicative,Present,2nd Person,Singular,sufilas,sufiles,sufilis,sufilis,You whistle
Active Indicative,Present,2nd Person,Plural,sufilatis,sufiletis,sufilitis,sufilitis,You (pl.) whistle
Active Indicative,Present,3rd Person,Singular,sufilat,sufilet,sufilit,sufilit,He/she/it whistle
Active Indicative,Present,3rd Person,Plural,sufilant,sufilent,sufiliunt,sufiliunt,They whistle
Active Indicative,Imperfect,1st Person,Singular,sufilabam,sufilebam,sufilebam,sufiliebam,I was whistleing
Active Indicative,Imperfect,1st Person,Plural,sufilabamus,sufilebamus,sufilebamus,sufiliebamus,We were whistleing
Active Indicative,Imperfect,2nd Person,Singular,sufilabas,sufilebas,sufilebas,sufiliebas,You were whistleing
Active Indicative,Imperfect,2nd Person,Plural,sufilabatis,sufilebatis,sufilebatis,sufiliebatis,You (pl.) were whistleing
Active Indicative,Imperfect,3rd Person,Singular,sufilabat,sufilebat,sufilebat,sufiliebat,He/she/it was whistleing
Active Indicative,Imperfect,3rd Person,Plural,sufilabant,sufilebant,sufilebant,sufiliebant,They were whistleing
Active Indicative,Future,1st Person,Singular,sufilabo,sufilebo,sufilam,sufiliam,I will whistle
Active Indicative,Future,1st Person,Plural,sufilabimus,sufilebimus,sufilemus,sufiliemus,We will whistle
Active Indicative,Future,2nd Person,Singular,sufilabis,sufilebis,sufiles,sufilies,You will whistle
Active Indicative,Future,2nd Person,Plural,sufilabitis,sufilebitis,sufiletis,sufilietis,You (pl.) will whistle
Active Indicative,Future,3rd Person,Singular,sufilabit,sufilebit,sufilet,sufiliet,He/she/it will whistle
Active Indicative,Future,3rd Person,Plural,sufilabunt,sufilebunt,sufilent,sufilient,They will whistle
Active Indicative,Perfect,1st Person,Singular,sufilavi,sufilui,sufili,sufili,I have whistleed
Active Indicative,Perfect,1st Person,Plural,sufilavimus,sufiluimus,sufilimus,sufilimus,We have whistleed
Active Indicative,Perfect,2nd Person,Singular,sufilavisti,sufiluisti,sufilisti,sufilisti,You have whistleed
Active Indicative,Perfect,2nd Person,Plural,sufilavistis,sufiluistis,sufilistis,sufilistis,You (pl.) have whistleed
Active Indicative,Perfect,3rd Person,Singular,sufilavit,sufiluit,sufilit,sufilit,He/she/it has whistleed
Active Indicative,Perfect,3rd Person,Plural,sufilaverunt,sufiluerunt,sufilerunt,sufilerunt,They have whistleed
Active Indicative,Pluperfect,1st Person,Singular,sufilaveram,sufilueram,sufileram,sufileram,I had whistleed
Active Indicative,Pluperfect,1st Person,Plural,sufilaveramus,sufilueramus,sufileramus,sufileramus,We had whistleed
Active Indicative,Pluperfect,2nd Person,Singular,sufilaveras,sufilueras,sufileras,sufileras,You had whistleed
Active Indicative,Pluperfect,2nd Person,Plural,sufilaveratis,sufilueratis,sufileratis,sufileratis,You (pl.) had whistleed
Active Indicative,Pluperfect,3rd Person,Singular,sufilaverat,sufiluerat,sufilerat,sufilerat,He/she/it had whistleed
Active Indicative,Pluperfect,3rd Person,Plural,sufilaverant,sufiluerant,sufilerant,sufilerant,They had whistleed
Active Indicative,Future Perfect,1st Person,Singular,sufilavero,sufilueero,sufilero,sufiliero,I will have whistleed
Active Indicative,Future Perfect,1st Person,Plural,sufilaverimus,sufiluerimus,sufilerimus,sufilierimus,We will have whistleed
Active Indicative,Future Perfect,2nd Person,Singular,sufilaveris,sufilueris,sufileris,sufilieris,You will have whistleed
