Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,suspicaro,suspicareo,suspicaro,suspicario,I suppose
Active Indicative,Present,1st Person,Plural,suspicaramus,suspicaremus,suspicarimus,suspicarimus,We suppose
Active Indicative,Present,2nd Person,Singular,suspicaras,suspicares,suspicaris,suspicaris,You suppose
Active Indicative,Present,2nd Person,Plural,suspicaratis,suspicaretis,suspicaritis,suspicaritis,You (pl.) suppose
Active Indicative,Present,3rd Person,Singular,suspicarat,suspicaret,suspicarit,suspicarit,He/she/it suppose
Active Indicative,Present,3rd Person,Plural,suspicarant,suspicarent,suspicariunt,suspicariunt,They suppose
Active Indicative,Imperfect,1st Person,Singular,suspicarabam,suspicarebam,suspicarebam,suspicariebam,I was supposeing
Active Indicative,Imperfect,1st Person,Plural,suspicarabamus,suspicarebamus,suspicarebamus,suspicariebamus,We were supposeing
Active Indicative,Imperfect,2nd Person,Singular,suspicarabas,suspicarebas,suspicarebas,suspicariebas,You were supposeing
Active Indicative,Imperfect,2nd Person,Plural,suspicarabatis,suspicarebatis,suspicarebatis,suspicariebatis,You (pl.) were supposeing
Active Indicative,Imperfect,3rd Person,Singular,suspicarabat,suspicarebat,suspicarebat,suspicariebat,He/she/it was supposeing
Active Indicative,Imperfect,3rd Person,Plural,suspicarabant,suspicarebant,suspicarebant,suspicariebant,They were supposeing
Active Indicative,Future,1st Person,Singular,suspicarabo,suspicarebo,suspicaram,suspicariam,I will suppose
Active Indicative,Future,1st Person,Plural,suspicarabimus,suspicarebimus,suspicaremus,suspicariemus,We will suppose
Active Indicative,Future,2nd Person,Singular,suspicarabis,suspicarebis,suspicares,suspicaries,You will suppose
Active Indicative,Future,2nd Person,Plural,suspicarabitis,suspicarebitis,suspicaretis,suspicarietis,You (pl.) will suppose
Active Indicative,Future,3rd Person,Singular,suspicarabit,suspicarebit,suspicaret,suspicariet,He/she/it will suppose
Active Indicative,Future,3rd Person,Plural,suspicarabunt,suspicarebunt,suspicarent,suspicarient,They will suppose
Active Indicative,Perfect,1st Person,Singular,suspicaravi,suspicarui,suspicari,suspicari,I have supposeed
Active Indicative,Perfect,1st Person,Plural,suspicaravimus,suspicaruimus,suspicarimus,suspicarimus,We have supposeed
Active Indicative,Perfect,2nd Person,Singular,suspicaravisti,suspicaruisti,suspicaristi,suspicaristi,You have supposeed
Active Indicative,Perfect,2nd Person,Plural,suspicaravistis,suspicaruistis,suspicaristis,suspicaristis,You (pl.) have supposeed
Active Indicative,Perfect,3rd Person,Singular,suspicaravit,suspicaruit,suspicarit,suspicarit,He/she/it has supposeed
Active Indicative,Perfect,3rd Person,Plural,suspicaraverunt,suspicaruerunt,suspicarerunt,suspicarerunt,They have supposeed
Active Indicative,Pluperfect,1st Person,Singular,suspicaraveram,suspicarueram,suspicareram,suspicareram,I had supposeed
Active Indicative,Pluperfect,1st Person,Plural,suspicaraveramus,suspicarueramus,suspicareramus,suspicareramus,We had supposeed
Active Indicative,Pluperfect,2nd Person,Singular,suspicaraveras,suspicarueras,suspicareras,suspicareras,You had supposeed
Active Indicative,Pluperfect,2nd Person,Plural,suspicaraveratis,suspicarueratis,suspicareratis,suspicareratis,You (pl.) had supposeed
Active Indicative,Pluperfect,3rd Person,Singular,suspicaraverat,suspicaruerat,suspicarerat,suspicarerat,He/she/it had supposeed
Active Indicative,Pluperfect,3rd Person,Plural,suspicaraverant,suspicaruerant,suspicarerant,suspicarerant,They had supposeed
Active Indicative,Future Perfect,1st Person,Singular,suspicaravero,suspicarueero,suspicarero,suspicariero,I will have supposeed
Active Indicative,Future Perfect,1st Person,Plural,suspicaraverimus,suspicaruerimus,suspicarerimus,suspicarierimus,We will have supposeed
Active Indicative,Future Perfect,2nd Person,Singular,suspicaraveris,suspicarueris,suspicareris,suspicarieris,You will have supposeed
Active Indicative,Future Perfect,2nd Person,Plural,suspicaraveritis,suspicarueritis,suspicareritis,suspicarieritis,You (pl.) will have supposeed
Active Indicative,Future Perfect,3rd Person,Singular,suspicaraverit,suspicaruerit,suspicarerit,suspicarierit,He/she/it will have supposeed
Active Indicative,Future Perfect,3rd Person,Plural,suspicaraverint,suspicaruerint,suspicarerint,suspicarierint,They will have supposeed
Passive Indicative,Present,1st Person,Singular,suspicaror,suspicareor,suspicaror,suspicarior,I am being supposeed
Passive Indicative,Present,1st Person,Plural,suspicaramur,suspicaremur,suspicarimur,suspicarimur,We are being supposeed
Passive Indicative,Present,2nd Person,Singular,suspicararis,suspicareris,suspicariris,suspicariris,You are being supposeed
Passive Indicative,Present,2nd Person,Plural,suspicaramini,suspicaremini,suspicarimini,suspicarimini,You (pl.) are being supposeed
Passive Indicative,Present,3rd Person,Singular,suspicaratur,suspicaretur,suspicaritur,suspicaritur,He/she/it is being supposeed
Passive Indicative,Present,3rd Person,Plural,suspicarantur,suspicarentur,suspicariuntur,suspicariuntur,They are being supposeed
Passive Indicative,Imperfect,1st Person,Singular,suspicarabar,suspicarebar,suspicarebar,suspicariebar,I was supposeed
Passive Indicative,Imperfect,1st Person,Plural,suspicarabamur,suspicarebamur,suspicarebamur,suspicariebamur,We were supposeed
Passive Indicative,Imperfect,2nd Person,Singular,suspicarabaris,suspicarebaris,suspicarebaris,suspicariebaris,You were supposeed
Passive Indicative,Imperfect,2nd Person,Plural,suspicarabamini,suspicarebamini,suspicarebamini,suspicariebamini,You (pl.) were supposeed
Passive Indicative,Imperfect,3rd Person,Singular,suspicarabatur,suspicarebatur,suspicarebatur,suspicariebatur,He/she/it was supposeed
Passive Indicative,Imperfect,3rd Person,Plural,suspicarabantur,suspicarebantur,suspicarebantur,suspicariebantur,They were supposeed
Passive Indicative,Future,1st Person,Singular,suspicarabor,suspicarebor,suspicarar,suspicariar,I will be supposeed
Passive Indicative,Future,1st Person,Plural,suspicarabimur,suspicarebimur,suspicaremur,suspicariemur,We will be supposeed
Passive Indicative,Future,2nd Person,Singular,suspicaraberis,suspicareberis,suspicareris,suspicarieris,You will be supposeed
Passive Indicative,Future,2nd Person,Plural,suspicarabimini,suspicarebimini,suspicaremini,suspicariemini,You (pl.) will be supposeed
Passive Indicative,Future,3rd Person,Singular,suspicarabitur,suspicarebitur,suspicaretur,suspicarietur,He/she/it will be supposeed
Passive Indicative,Future,3rd Person,Plural,suspicarabuntur,suspicarebuntur,suspicarentur,suspicarientur,They will be supposeed
Passive Indicative,Perfect,1st Person,Singular,suspicaratus sum,suspicaretus sum,suspicarus sum,suspicarus sum,I have been supposeed
Passive Indicative,Perfect,1st Person,Plural,suspicarati sumus,suspicareti sumus,suspicari sumus,suspicari sumus,We have been supposeed
Passive Indicative,Perfect,2nd Person,Singular,suspicaratus es,suspicaretus es,suspicarus es,suspicarus es,You have been supposeed
Passive Indicative,Perfect,2nd Person,Plural,suspicarati estis,suspicareti estis,suspicari estis,suspicari estis,You (pl.) have been supposeed
Passive Indicative,Perfect,3rd Person,Singular,suspicaratus est,suspicaretus est,suspicarus est,suspicarus est,He/she/it has been supposeed
Passive Indicative,Perfect,3rd Person,Plural,suspicarati sunt,suspicareti sunt,suspicari sunt,suspicari sunt,They have been supposeed
Passive Indicative,Pluperfect,1st Person,Singular,suspicaratus eram,suspicaretus eram,suspicarus eram,suspicarus eram,I had been supposeed
Passive Indicative,Pluperfect,1st Person,Plural,suspicarati eramus,suspicareti eramus,suspicari eramus,suspicari eramus,We had been supposeed
Passive Indicative,Pluperfect,2nd Person,Singular,suspicaratus eras,suspicaretus eras,suspicarus eras,suspicarus eras,You had been supposeed
Passive Indicative,Pluperfect,2nd Person,Plural,suspicarati eratis,suspicareti eratis,suspicari eratis,suspicari eratis,You (pl.) had been supposeed
Passive Indicative,Pluperfect,3rd Person,Singular,suspicaratus erat,suspicaretus erat,suspicarus erat,suspicarus erat,He/she/it had been supposeed
Passive Indicative,Pluperfect,3rd Person,Plural,suspicarati erant,suspicareti erant,suspicari erant,suspicari erant,They had been supposeed
Passive Indicative,Future Perfect,1st Person,Singular,suspicaratus ero,suspicaretus ero,suspicarus ero,suspicarus ero,I will have been supposeed
Passive Indicative,Future Perfect,1st Person,Plural,suspicarati erimus,suspicareti erimus,suspicari erimus,suspicari erimus,We will have been supposeed
Passive Indicative,Future Perfect,2nd Person,Singular,suspicaratus eris,suspicaretus eris,suspicarus eris,suspicarus eris,You will have been supposeed
Passive Indicative,Future Perfect,2nd Person,Plural,suspicarati eritis,suspicareti eritis,suspicari eritis,suspicari eritis,You (pl.) will have been supposeed
Passive Indicative,Future Perfect,3rd Person,Singular,suspicaratus erit,suspicaretus erit,suspicarus erit,suspicarus erit,He/she/it will have been supposeed
Passive Indicative,Future Perfect,3rd Person,Plural,suspicarati erunt,suspicareti erunt,suspicari erunt,suspicari erunt,They will have been supposeed
Active Subjunctive,Present,1st Person,Singular,suspicarem,suspicarem,suspicaram,suspicaram,I may suppose
Active Subjunctive,Present,1st Person,Plural,suspicaremus,suspicaremus,suspicaramus,suspicaramus,We may suppose
Active Subjunctive,Present,2nd Person,Singular,suspicares,suspicares,suspicaras,suspicaras,You may suppose
Active Subjunctive,Present,2nd Person,Plural,suspicaretis,suspicaretis,suspicaratis,suspicaratis,You (pl.) may suppose
Active Subjunctive,Present,3rd Person,Singular,suspicaret,suspicaret,suspicarat,suspicarat,He/she/it may suppose
Active Subjunctive,Present,3rd Person,Plural,suspicarent,suspicarent,suspicarant,suspicarant,They may suppose
Active Subjunctive,Imperfect,1st Person,Singular,suspicararem,suspicarerem,suspicarerem,suspicarirem,I should suppose
Active Subjunctive,Imperfect,1st Person,Plural,suspicararemus,suspicareremus,suspicareremus,suspicariremus,We should suppose
Active Subjunctive,Imperfect,2nd Person,Singular,suspicarares,suspicareres,suspicareres,suspicarires,You should suppose
Active Subjunctive,Imperfect,2nd Person,Plural,suspicararetis,suspicareretis,suspicareretis,suspicariretis,You (pl.) should suppose
Active Subjunctive,Imperfect,3rd Person,Singular,suspicararet,suspicareret,suspicareret,suspicariret,He/she/it should suppose
Active Subjunctive,Imperfect,3rd Person,Plural,suspicararent,suspicarerent,suspicarerent,suspicarirent,They should suppose
Active Subjunctive,Perfect,1st Person,Singular,suspicarerim,suspicaruerim,suspicarerim,suspicarierim,I may have supposeed
Active Subjunctive,Perfect,1st Person,Plural,suspicarerimus,suspicaruerimus,suspicarerimus,suspicarierimus,We may have supposeed
Active Subjunctive,Perfect,2nd Person,Singular,suspicareris,suspicarueris,suspicareris,suspicarieris,You may have supposeed
Active Subjunctive,Perfect,2nd Person,Plural,suspicareritis,suspicarueritis,suspicareritis,suspicarieritis,You (pl.) may have supposeed
Active Subjunctive,Perfect,3rd Person,Singular,suspicarerit,suspicaruerit,suspicarerit,suspicarierit,He/she/it may have supposeed
Active Subjunctive,Perfect,3rd Person,Plural,suspicarerint,suspicaruerint,suspicarerint,suspicarierint,They may have supposeed
Active Subjunctive,Pluperfect,1st Person,Singular,suspicarissem,suspicaruissem,suspicarissem,suspicarissem,I should have supposeed
Active Subjunctive,Pluperfect,1st Person,Plural,suspicarissemus,suspicaruissemus,suspicarissemus,suspicarissemus,We should have supposeed
Active Subjunctive,Pluperfect,2nd Person,Singular,suspicarisses,suspicaruisses,suspicarisses,suspicarisses,You would have supposeed
Active Subjunctive,Pluperfect,2nd Person,Plural,suspicarissetis,suspicaruissetis,suspicarissetis,suspicarissetis,You (pl.) would have supposeed
Active Subjunctive,Pluperfect,3rd Person,Singular,suspicarisset,suspicaruisset,suspicarisset,suspicarisset,He/she/it would have supposeed
Active Subjunctive,Pluperfect,3rd Person,Plural,suspicarissent,suspicaruissent,suspicarissent,suspicarissent,They would have supposeed
Passive Subjunctive,Present,1st Person,Singular,suspicarer,suspicarer,suspicarar,suspicarar,I may be supposeed
Passive Subjunctive,Present,1st Person,Plural,suspicaremur,suspicaremur,suspicaramur,suspicaramur,We may be supposeed
Passive Subjunctive,Present,2nd Person,Singular,suspicareris,suspicareris,suspicararis,suspicararis,You may be supposeed
Passive Subjunctive,Present,2nd Person,Plural,suspicaremini,suspicaremini,suspicaramini,suspicaramini,You (pl.) may be supposeed
Passive Subjunctive,Present,3rd Person,Singular,suspicaretur,suspicaretur,suspicaratur,suspicaratur,He/she/it may be supposeed
Passive Subjunctive,Present,3rd Person,Plural,suspicarentur,suspicarentur,suspicarantur,suspicarantur,They may be supposeed
Passive Subjunctive,Imperfect,1st Person,Singular,suspicararer,suspicarerer,suspicarerer,suspicarirer,I should be supposeed
Passive Subjunctive,Imperfect,1st Person,Plural,suspicararemur,suspicareremur,suspicareremur,suspicariremur,We should be supposeed
Passive Subjunctive,Imperfect,2nd Person,Singular,suspicarareris,suspicarereris,suspicarereris,suspicarireris,You would be supposeed
Passive Subjunctive,Imperfect,2nd Person,Plural,suspicararemini,suspicareremini,suspicareremini,suspicariremini,You (pl.) would be supposeed
Passive Subjunctive,Imperfect,3rd Person,Singular,suspicararetur,suspicareretur,suspicareretur,suspicariretur,He/she/it would be supposeed
Passive Subjunctive,Imperfect,3rd Person,Plural,suspicararentur,suspicarerentur,suspicarerentur,suspicarirentur,They would be supposeed
Passive Subjunctive,Perfect,1st Person,Singular,suspicaratus sim,suspicaretus sim,suspicarus sim,suspicarus sim,I may have been supposeed
Passive Subjunctive,Perfect,1st Person,Plural,suspicarati simus,suspicareti simus,suspicari simus,suspicari simus,We may have been supposeed
Passive Subjunctive,Perfect,2nd Person,Singular,suspicaratus sis,suspicaretus sis,suspicarus sis,suspicarus sis,You may have been supposeed
Passive Subjunctive,Perfect,2nd Person,Plural,suspicarati sitis,suspicareti sitis,suspicari sitis,suspicari sitis,You (pl.) may have been supposeed
Passive Subjunctive,Perfect,3rd Person,Singular,suspicaratus sit,suspicaretus sit,suspicarus sit,suspicarus sit,He/she/it may have been supposeed
Passive Subjunctive,Perfect,3rd Person,Plural,suspicarati sint,suspicareti sint,suspicari sint,suspicari sint,They may have been supposeed
Passive Subjunctive,Pluperfect,1st Person,Singular,suspicaratus essem,suspicaretus essem,suspicarus essem,suspicarus essem,I should have been supposeed
Passive Subjunctive,Pluperfect,1st Person,Plural,suspicarati essemus,suspicareti essemus,suspicari essemus,suspicari essemus,We should have been supposeed
Passive Subjunctive,Pluperfect,2nd Person,Singular,suspicaratus esses,suspicaretus esses,suspicarus esses,suspicarus esses,You would have been supposeed
