Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,tango,tangeo,tango,tangio,I touch
Active Indicative,Present,1st Person,Plural,tangamus,tangemus,tangimus,tangimus,We touch
Active Indicative,Present,2nd Person,Singular,tangas,tanges,tangis,tangis,You touch
Active Indicative,Present,2nd Person,Plural,tangatis,tangetis,tangitis,tangitis,You (pl.) touch
Active Indicative,Present,3rd Person,Singular,tangat,tanget,tangit,tangit,He/she/it touch
Active Indicative,Present,3rd Person,Plural,tangant,tangent,tangiunt,tangiunt,They touch
Active Indicative,Imperfect,1st Person,Singular,tangabam,tangebam,tangebam,tangiebam,I was touching
Active Indicative,Imperfect,1st Person,Plural,tangabamus,tangebamus,tangebamus,tangiebamus,We were touching
Active Indicative,Imperfect,2nd Person,Singular,tangabas,tangebas,tangebas,tangiebas,You were touching
Active Indicative,Imperfect,2nd Person,Plural,tangabatis,tangebatis,tangebatis,tangiebatis,You (pl.) were touching
Active Indicative,Imperfect,3rd Person,Singular,tangabat,tangebat,tangebat,tangiebat,He/she/it was touching
Active Indicative,Imperfect,3rd Person,Plural,tangabant,tangebant,tangebant,tangiebant,They were touching
Active Indicative,Future,1st Person,Singular,tangabo,tangebo,tangam,tangiam,I will touch
Active Indicative,Future,1st Person,Plural,tangabimus,tangebimus,tangemus,tangiemus,We will touch
Active Indicative,Future,2nd Person,Singular,tangabis,tangebis,tanges,tangies,You will touch
Active Indicative,Future,2nd Person,Plural,tangabitis,tangebitis,tangetis,tangietis,You (pl.) will touch
Active Indicative,Future,3rd Person,Singular,tangabit,tangebit,tanget,tangiet,He/she/it will touch
Active Indicative,Future,3rd Person,Plural,tangabunt,tangebunt,tangent,tangient,They will touch
Active Indicative,Perfect,1st Person,Singular,tangavi,tangui,tangi,tangi,I have touched
Active Indicative,Perfect,1st Person,Plural,tangavimus,tanguimus,tangimus,tangimus,We have touched
Active Indicative,Perfect,2nd Person,Singular,tangavisti,tanguisti,tangisti,tangisti,You have touched
Active Indicative,Perfect,2nd Person,Plural,tangavistis,tanguistis,tangistis,tangistis,You (pl.) have touched
Active Indicative,Perfect,3rd Person,Singular,tangavit,tanguit,tangit,tangit,He/she/it has touched
Active Indicative,Perfect,3rd Person,Plural,tangaverunt,tanguerunt,tangerunt,tangerunt,They have touched
Active Indicative,Pluperfect,1st Person,Singular,tangaveram,tangueram,tangeram,tangeram,I had touched
Active Indicative,Pluperfect,1st Person,Plural,tangaveramus,tangueramus,tangeramus,tangeramus,We had touched
Active Indicative,Pluperfect,2nd Person,Singular,tangaveras,tangueras,tangeras,tangeras,You had touched
Active Indicative,Pluperfect,2nd Person,Plural,tangaveratis,tangueratis,tangeratis,tangeratis,You (pl.) had touched
Active Indicative,Pluperfect,3rd Person,Singular,tangaverat,tanguerat,tangerat,tangerat,He/she/it had touched
Active Indicative,Pluperfect,3rd Person,Plural,tangaverant,tanguerant,tangerant,tangerant,They had touched
Active Indicative,Future Perfect,1st Person,Singular,tangavero,tangueero,tangero,tangiero,I will have touched
Active Indicative,Future Perfect,1st Person,Plural,tangaverimus,tanguerimus,tangerimus,tangierimus,We will have touched
Active Indicative,Future Perfect,2nd Person,Singular,tangaveris,tangueris,tangeris,tangieris,You will have touched
Active Indicative,Future Perfect,2nd Person,Plural,tangaveritis,tangueritis,tangeritis,tangieritis,You (pl.) will have touched
Active Indicative,Future Perfect,3rd Person,Singular,tangaverit,tanguerit,tangerit,tangierit,He/she/it will have touched
Active Indicative,Future Perfect,3rd Person,Plural,tangaverint,tanguerint,tangerint,tangierint,They will have touched
Passive Indicative,Present,1st Person,Singular,tangor,tangeor,tangor,tangior,I am being touched
Passive Indicative,Present,1st Person,Plural,tangamur,tangemur,tangimur,tangimur,We are being touched
Passive Indicative,Present,2nd Person,Singular,tangaris,tangeris,tangiris,tangiris,You are being touched
Passive Indicative,Present,2nd Person,Plural,tangamini,tangemini,tangimini,tangimini,You (pl.) are being touched
Passive Indicative,Present,3rd Person,Singular,tangatur,tangetur,tangitur,tangitur,He/she/it is being touched
Passive Indicative,Present,3rd Person,Plural,tangantur,tangentur,tangiuntur,tangiuntur,They are being touched
Passive Indicative,Imperfect,1st Person,Singular,tangabar,tangebar,tangebar,tangiebar,I was touched
Passive Indicative,Imperfect,1st Person,Plural,tangabamur,tangebamur,tangebamur,tangiebamur,We were touched
Passive Indicative,Imperfect,2nd Person,Singular,tangabaris,tangebaris,tangebaris,tangiebaris,You were touched
Passive Indicative,Imperfect,2nd Person,Plural,tangabamini,tangebamini,tangebamini,tangiebamini,You (pl.) were touched
Passive Indicative,Imperfect,3rd Person,Singular,tangabatur,tangebatur,tangebatur,tangiebatur,He/she/it was touched
Passive Indicative,Imperfect,3rd Person,Plural,tangabantur,tangebantur,tangebantur,tangiebantur,They were touched
