Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,terreo,terreo,terreo,terreio,I frighten
Active Indicative,Present,1st Person,Plural,terreamus,terremus,terreimus,terreimus,We frighten
Active Indicative,Present,2nd Person,Singular,terreas,terres,terreis,terreis,You frighten
Active Indicative,Present,2nd Person,Plural,terreatis,terretis,terreitis,terreitis,You (pl.) frighten
Active Indicative,Present,3rd Person,Singular,terreat,terret,terreit,terreit,He/she/it frighten
Active Indicative,Present,3rd Person,Plural,terreant,terrent,terreiunt,terreiunt,They frighten
Active Indicative,Imperfect,1st Person,Singular,terreabam,terrebam,terrebam,terreiebam,I was frightening
Active Indicative,Imperfect,1st Person,Plural,terreabamus,terrebamus,terrebamus,terreiebamus,We were frightening
Active Indicative,Imperfect,2nd Person,Singular,terreabas,terrebas,terrebas,terreiebas,You were frightening
Active Indicative,Imperfect,2nd Person,Plural,terreabatis,terrebatis,terrebatis,terreiebatis,You (pl.) were frightening
Active Indicative,Imperfect,3rd Person,Singular,terreabat,terrebat,terrebat,terreiebat,He/she/it was frightening
Active Indicative,Imperfect,3rd Person,Plural,terreabant,terrebant,terrebant,terreiebant,They were frightening
Active Indicative,Future,1st Person,Singular,terreabo,terrebo,terream,terreiam,I will frighten
Active Indicative,Future,1st Person,Plural,terreabimus,terrebimus,terremus,terreiemus,We will frighten
Active Indicative,Future,2nd Person,Singular,terreabis,terrebis,terres,terreies,You will frighten
Active Indicative,Future,2nd Person,Plural,terreabitis,terrebitis,terretis,terreietis,You (pl.) will frighten
Active Indicative,Future,3rd Person,Singular,terreabit,terrebit,terret,terreiet,He/she/it will frighten
Active Indicative,Future,3rd Person,Plural,terreabunt,terrebunt,terrent,terreient,They will frighten
Active Indicative,Perfect,1st Person,Singular,terreavi,terreui,terrei,terrei,I have frightened
Active Indicative,Perfect,1st Person,Plural,terreavimus,terreuimus,terreimus,terreimus,We have frightened
Active Indicative,Perfect,2nd Person,Singular,terreavisti,terreuisti,terreisti,terreisti,You have frightened
Active Indicative,Perfect,2nd Person,Plural,terreavistis,terreuistis,terreistis,terreistis,You (pl.) have frightened
Active Indicative,Perfect,3rd Person,Singular,terreavit,terreuit,terreit,terreit,He/she/it has frightened
Active Indicative,Perfect,3rd Person,Plural,terreaverunt,terreuerunt,terrerunt,terrerunt,They have frightened
Active Indicative,Pluperfect,1st Person,Singular,terreaveram,terreueram,terreram,terreram,I had frightened
Active Indicative,Pluperfect,1st Person,Plural,terreaveramus,terreueramus,terreramus,terreramus,We had frightened
Active Indicative,Pluperfect,2nd Person,Singular,terreaveras,terreueras,terreras,terreras,You had frightened
Active Indicative,Pluperfect,2nd Person,Plural,terreaveratis,terreueratis,terreratis,terreratis,You (pl.) had frightened
Active Indicative,Pluperfect,3rd Person,Singular,terreaverat,terreuerat,terrerat,terrerat,He/she/it had frightened
