Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,tiro,tireo,tiro,tirio,I pull
Active Indicative,Present,1st Person,Plural,tiramus,tiremus,tirimus,tirimus,We pull
Active Indicative,Present,2nd Person,Singular,tiras,tires,tiris,tiris,You pull
Active Indicative,Present,2nd Person,Plural,tiratis,tiretis,tiritis,tiritis,You (pl.) pull
Active Indicative,Present,3rd Person,Singular,tirat,tiret,tirit,tirit,He/she/it pull
Active Indicative,Present,3rd Person,Plural,tirant,tirent,tiriunt,tiriunt,They pull
Active Indicative,Imperfect,1st Person,Singular,tirabam,tirebam,tirebam,tiriebam,I was pulling
Active Indicative,Imperfect,1st Person,Plural,tirabamus,tirebamus,tirebamus,tiriebamus,We were pulling
Active Indicative,Imperfect,2nd Person,Singular,tirabas,tirebas,tirebas,tiriebas,You were pulling
Active Indicative,Imperfect,2nd Person,Plural,tirabatis,tirebatis,tirebatis,tiriebatis,You (pl.) were pulling
Active Indicative,Imperfect,3rd Person,Singular,tirabat,tirebat,tirebat,tiriebat,He/she/it was pulling
Active Indicative,Imperfect,3rd Person,Plural,tirabant,tirebant,tirebant,tiriebant,They were pulling
Active Indicative,Future,1st Person,Singular,tirabo,tirebo,tiram,tiriam,I will pull
Active Indicative,Future,1st Person,Plural,tirabimus,tirebimus,tiremus,tiriemus,We will pull
Active Indicative,Future,2nd Person,Singular,tirabis,tirebis,tires,tiries,You will pull
Active Indicative,Future,2nd Person,Plural,tirabitis,tirebitis,tiretis,tirietis,You (pl.) will pull
Active Indicative,Future,3rd Person,Singular,tirabit,tirebit,tiret,tiriet,He/she/it will pull
Active Indicative,Future,3rd Person,Plural,tirabunt,tirebunt,tirent,tirient,They will pull
Active Indicative,Perfect,1st Person,Singular,tiravi,tirui,tiri,tiri,I have pulled
Active Indicative,Perfect,1st Person,Plural,tiravimus,tiruimus,tirimus,tirimus,We have pulled
Active Indicative,Perfect,2nd Person,Singular,tiravisti,tiruisti,tiristi,tiristi,You have pulled
Active Indicative,Perfect,2nd Person,Plural,tiravistis,tiruistis,tiristis,tiristis,You (pl.) have pulled
Active Indicative,Perfect,3rd Person,Singular,tiravit,tiruit,tirit,tirit,He/she/it has pulled
Active Indicative,Perfect,3rd Person,Plural,tiraverunt,tiruerunt,tirerunt,tirerunt,They have pulled
Active Indicative,Pluperfect,1st Person,Singular,tiraveram,tirueram,tireram,tireram,I had pulled
Active Indicative,Pluperfect,1st Person,Plural,tiraveramus,tirueramus,tireramus,tireramus,We had pulled
Active Indicative,Pluperfect,2nd Person,Singular,tiraveras,tirueras,tireras,tireras,You had pulled
Active Indicative,Pluperfect,2nd Person,Plural,tiraveratis,tirueratis,tireratis,tireratis,You (pl.) had pulled
Active Indicative,Pluperfect,3rd Person,Singular,tiraverat,tiruerat,tirerat,tirerat,He/she/it had pulled
Active Indicative,Pluperfect,3rd Person,Plural,tiraverant,tiruerant,tirerant,tirerant,They had pulled
Active Indicative,Future Perfect,1st Person,Singular,tiravero,tirueero,tirero,tiriero,I will have pulled
Active Indicative,Future Perfect,1st Person,Plural,tiraverimus,tiruerimus,tirerimus,tirierimus,We will have pulled
Active Indicative,Future Perfect,2nd Person,Singular,tiraveris,tirueris,tireris,tirieris,You will have pulled
Active Indicative,Future Perfect,2nd Person,Plural,tiraveritis,tirueritis,tireritis,tirieritis,You (pl.) will have pulled
Active Indicative,Future Perfect,3rd Person,Singular,tiraverit,tiruerit,tirerit,tirierit,He/she/it will have pulled
Active Indicative,Future Perfect,3rd Person,Plural,tiraverint,tiruerint,tirerint,tirierint,They will have pulled
Passive Indicative,Present,1st Person,Singular,tiror,tireor,tiror,tirior,I am being pulled
Passive Indicative,Present,1st Person,Plural,tiramur,tiremur,tirimur,tirimur,We are being pulled
Passive Indicative,Present,2nd Person,Singular,tiraris,tireris,tiriris,tiriris,You are being pulled
Passive Indicative,Present,2nd Person,Plural,tiramini,tiremini,tirimini,tirimini,You (pl.) are being pulled
Passive Indicative,Present,3rd Person,Singular,tiratur,tiretur,tiritur,tiritur,He/she/it is being pulled
Passive Indicative,Present,3rd Person,Plural,tirantur,tirentur,tiriuntur,tiriuntur,They are being pulled
Passive Indicative,Imperfect,1st Person,Singular,tirabar,tirebar,tirebar,tiriebar,I was pulled
Passive Indicative,Imperfect,1st Person,Plural,tirabamur,tirebamur,tirebamur,tiriebamur,We were pulled
Passive Indicative,Imperfect,2nd Person,Singular,tirabaris,tirebaris,tirebaris,tiriebaris,You were pulled
Passive Indicative,Imperfect,2nd Person,Plural,tirabamini,tirebamini,tirebamini,tiriebamini,You (pl.) were pulled
Passive Indicative,Imperfect,3rd Person,Singular,tirabatur,tirebatur,tirebatur,tiriebatur,He/she/it was pulled
Passive Indicative,Imperfect,3rd Person,Plural,tirabantur,tirebantur,tirebantur,tiriebantur,They were pulled
Passive Indicative,Future,1st Person,Singular,tirabor,tirebor,tirar,tiriar,I will be pulled
Passive Indicative,Future,1st Person,Plural,tirabimur,tirebimur,tiremur,tiriemur,We will be pulled
Passive Indicative,Future,2nd Person,Singular,tiraberis,tireberis,tireris,tirieris,You will be pulled
Passive Indicative,Future,2nd Person,Plural,tirabimini,tirebimini,tiremini,tiriemini,You (pl.) will be pulled
Passive Indicative,Future,3rd Person,Singular,tirabitur,tirebitur,tiretur,tirietur,He/she/it will be pulled
Passive Indicative,Future,3rd Person,Plural,tirabuntur,tirebuntur,tirentur,tirientur,They will be pulled
Passive Indicative,Perfect,1st Person,Singular,tiratus sum,tiretus sum,tirus sum,tirus sum,I have been pulled
Passive Indicative,Perfect,1st Person,Plural,tirati sumus,tireti sumus,tiri sumus,tiri sumus,We have been pulled
Passive Indicative,Perfect,2nd Person,Singular,tiratus es,tiretus es,tirus es,tirus es,You have been pulled
Passive Indicative,Perfect,2nd Person,Plural,tirati estis,tireti estis,tiri estis,tiri estis,You (pl.) have been pulled
Passive Indicative,Perfect,3rd Person,Singular,tiratus est,tiretus est,tirus est,tirus est,He/she/it has been pulled
