Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,torquo,torqueo,torquo,torquio,I twist
Active Indicative,Present,1st Person,Plural,torquamus,torquemus,torquimus,torquimus,We twist
Active Indicative,Present,2nd Person,Singular,torquas,torques,torquis,torquis,You twist
Active Indicative,Present,2nd Person,Plural,torquatis,torquetis,torquitis,torquitis,You (pl.) twist
Active Indicative,Present,3rd Person,Singular,torquat,torquet,torquit,torquit,He/she/it twist
Active Indicative,Present,3rd Person,Plural,torquant,torquent,torquiunt,torquiunt,They twist
Active Indicative,Imperfect,1st Person,Singular,torquabam,torquebam,torquebam,torquiebam,I was twisting
Active Indicative,Imperfect,1st Person,Plural,torquabamus,torquebamus,torquebamus,torquiebamus,We were twisting
Active Indicative,Imperfect,2nd Person,Singular,torquabas,torquebas,torquebas,torquiebas,You were twisting
Active Indicative,Imperfect,2nd Person,Plural,torquabatis,torquebatis,torquebatis,torquiebatis,You (pl.) were twisting
Active Indicative,Imperfect,3rd Person,Singular,torquabat,torquebat,torquebat,torquiebat,He/she/it was twisting
Active Indicative,Imperfect,3rd Person,Plural,torquabant,torquebant,torquebant,torquiebant,They were twisting
Active Indicative,Future,1st Person,Singular,torquabo,torquebo,torquam,torquiam,I will twist
Active Indicative,Future,1st Person,Plural,torquabimus,torquebimus,torquemus,torquiemus,We will twist
Active Indicative,Future,2nd Person,Singular,torquabis,torquebis,torques,torquies,You will twist
Active Indicative,Future,2nd Person,Plural,torquabitis,torquebitis,torquetis,torquietis,You (pl.) will twist
Active Indicative,Future,3rd Person,Singular,torquabit,torquebit,torquet,torquiet,He/she/it will twist
Active Indicative,Future,3rd Person,Plural,torquabunt,torquebunt,torquent,torquient,They will twist
Active Indicative,Perfect,1st Person,Singular,torquavi,torqui,torqui,torqui,I have twisted
Active Indicative,Perfect,1st Person,Plural,torquavimus,torquimus,torquimus,torquimus,We have twisted
Active Indicative,Perfect,2nd Person,Singular,torquavisti,torquisti,torquisti,torquisti,You have twisted
