Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,tracto,tracteo,tracto,tractio,I handle
Active Indicative,Present,1st Person,Plural,tractamus,tractemus,tractimus,tractimus,We handle
Active Indicative,Present,2nd Person,Singular,tractas,tractes,tractis,tractis,You handle
Active Indicative,Present,2nd Person,Plural,tractatis,tractetis,tractitis,tractitis,You (pl.) handle
Active Indicative,Present,3rd Person,Singular,tractat,tractet,tractit,tractit,He/she/it handle
Active Indicative,Present,3rd Person,Plural,tractant,tractent,tractiunt,tractiunt,They handle
Active Indicative,Imperfect,1st Person,Singular,tractabam,tractebam,tractebam,tractiebam,I was handleing
Active Indicative,Imperfect,1st Person,Plural,tractabamus,tractebamus,tractebamus,tractiebamus,We were handleing
Active Indicative,Imperfect,2nd Person,Singular,tractabas,tractebas,tractebas,tractiebas,You were handleing
Active Indicative,Imperfect,2nd Person,Plural,tractabatis,tractebatis,tractebatis,tractiebatis,You (pl.) were handleing
Active Indicative,Imperfect,3rd Person,Singular,tractabat,tractebat,tractebat,tractiebat,He/she/it was handleing
Active Indicative,Imperfect,3rd Person,Plural,tractabant,tractebant,tractebant,tractiebant,They were handleing
Active Indicative,Future,1st Person,Singular,tractabo,tractebo,tractam,tractiam,I will handle
Active Indicative,Future,1st Person,Plural,tractabimus,tractebimus,tractemus,tractiemus,We will handle
Active Indicative,Future,2nd Person,Singular,tractabis,tractebis,tractes,tracties,You will handle
Active Indicative,Future,2nd Person,Plural,tractabitis,tractebitis,tractetis,tractietis,You (pl.) will handle
Active Indicative,Future,3rd Person,Singular,tractabit,tractebit,tractet,tractiet,He/she/it will handle
Active Indicative,Future,3rd Person,Plural,tractabunt,tractebunt,tractent,tractient,They will handle
Active Indicative,Perfect,1st Person,Singular,tractavi,tractui,tracti,tracti,I have handleed
Active Indicative,Perfect,1st Person,Plural,tractavimus,tractuimus,tractimus,tractimus,We have handleed
Active Indicative,Perfect,2nd Person,Singular,tractavisti,tractuisti,tractisti,tractisti,You have handleed
