Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,tractio,tractieo,tractio,tractio,I trace
Active Indicative,Present,1st Person,Plural,tractiamus,tractiemus,tractimus,tractimus,We trace
Active Indicative,Present,2nd Person,Singular,tractias,tracties,tractis,tractis,You trace
Active Indicative,Present,2nd Person,Plural,tractiatis,tractietis,tractitis,tractitis,You (pl.) trace
Active Indicative,Present,3rd Person,Singular,tractiat,tractiet,tractit,tractit,He/she/it trace
Active Indicative,Present,3rd Person,Plural,tractiant,tractient,tractiunt,tractiunt,They trace
Active Indicative,Imperfect,1st Person,Singular,tractiabam,tractiebam,tractiebam,tractiebam,I was traceing
Active Indicative,Imperfect,1st Person,Plural,tractiabamus,tractiebamus,tractiebamus,tractiebamus,We were traceing
Active Indicative,Imperfect,2nd Person,Singular,tractiabas,tractiebas,tractiebas,tractiebas,You were traceing
Active Indicative,Imperfect,2nd Person,Plural,tractiabatis,tractiebatis,tractiebatis,tractiebatis,You (pl.) were traceing
Active Indicative,Imperfect,3rd Person,Singular,tractiabat,tractiebat,tractiebat,tractiebat,He/she/it was traceing
Active Indicative,Imperfect,3rd Person,Plural,tractiabant,tractiebant,tractiebant,tractiebant,They were traceing
Active Indicative,Future,1st Person,Singular,tractiabo,tractiebo,tractiam,tractiam,I will trace
Active Indicative,Future,1st Person,Plural,tractiabimus,tractiebimus,tractiemus,tractiemus,We will trace
Active Indicative,Future,2nd Person,Singular,tractiabis,tractiebis,tracties,tracties,You will trace
Active Indicative,Future,2nd Person,Plural,tractiabitis,tractiebitis,tractietis,tractietis,You (pl.) will trace
Active Indicative,Future,3rd Person,Singular,tractiabit,tractiebit,tractiet,tractiet,He/she/it will trace
Active Indicative,Future,3rd Person,Plural,tractiabunt,tractiebunt,tractient,tractient,They will trace
Active Indicative,Perfect,1st Person,Singular,tractiavi,tractiui,tracti,tracti,I have traceed
Active Indicative,Perfect,1st Person,Plural,tractiavimus,tractiuimus,tractimus,tractimus,We have traceed
Active Indicative,Perfect,2nd Person,Singular,tractiavisti,tractiuisti,tractisti,tractisti,You have traceed
Active Indicative,Perfect,2nd Person,Plural,tractiavistis,tractiuistis,tractistis,tractistis,You (pl.) have traceed
Active Indicative,Perfect,3rd Person,Singular,tractiavit,tractiuit,tractit,tractit,He/she/it has traceed
Active Indicative,Perfect,3rd Person,Plural,tractiaverunt,tractiuerunt,tractierunt,tractierunt,They have traceed
Active Indicative,Pluperfect,1st Person,Singular,tractiaveram,tractiueram,tractieram,tractieram,I had traceed
Active Indicative,Pluperfect,1st Person,Plural,tractiaveramus,tractiueramus,tractieramus,tractieramus,We had traceed
Active Indicative,Pluperfect,2nd Person,Singular,tractiaveras,tractiueras,tractieras,tractieras,You had traceed
Active Indicative,Pluperfect,2nd Person,Plural,tractiaveratis,tractiueratis,tractieratis,tractieratis,You (pl.) had traceed
Active Indicative,Pluperfect,3rd Person,Singular,tractiaverat,tractiuerat,tractierat,tractierat,He/she/it had traceed
Active Indicative,Pluperfect,3rd Person,Plural,tractiaverant,tractiuerant,tractierant,tractierant,They had traceed
Active Indicative,Future Perfect,1st Person,Singular,tractiavero,tractiueero,tractiero,tractiero,I will have traceed
Active Indicative,Future Perfect,1st Person,Plural,tractiaverimus,tractiuerimus,tractierimus,tractierimus,We will have traceed
Active Indicative,Future Perfect,2nd Person,Singular,tractiaveris,tractiueris,tractieris,tractieris,You will have traceed
Active Indicative,Future Perfect,2nd Person,Plural,tractiaveritis,tractiueritis,tractieritis,tractieritis,You (pl.) will have traceed
Active Indicative,Future Perfect,3rd Person,Singular,tractiaverit,tractiuerit,tractierit,tractierit,He/she/it will have traceed
Active Indicative,Future Perfect,3rd Person,Plural,tractiaverint,tractiuerint,tractierint,tractierint,They will have traceed
Passive Indicative,Present,1st Person,Singular,tractior,tractieor,tractior,tractior,I am being traceed
Passive Indicative,Present,1st Person,Plural,tractiamur,tractiemur,tractimur,tractimur,We are being traceed
Passive Indicative,Present,2nd Person,Singular,tractiaris,tractieris,tractiris,tractiris,You are being traceed
Passive Indicative,Present,2nd Person,Plural,tractiamini,tractiemini,tractimini,tractimini,You (pl.) are being traceed
Passive Indicative,Present,3rd Person,Singular,tractiatur,tractietur,tractitur,tractitur,He/she/it is being traceed
Passive Indicative,Present,3rd Person,Plural,tractiantur,tractientur,tractiuntur,tractiuntur,They are being traceed
