Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,trago,trageo,trago,tragio,I devour
Active Indicative,Present,1st Person,Plural,tragamus,tragemus,tragimus,tragimus,We devour
Active Indicative,Present,2nd Person,Singular,tragas,trages,tragis,tragis,You devour
Active Indicative,Present,2nd Person,Plural,tragatis,tragetis,tragitis,tragitis,You (pl.) devour
Active Indicative,Present,3rd Person,Singular,tragat,traget,tragit,tragit,He/she/it devour
Active Indicative,Present,3rd Person,Plural,tragant,tragent,tragiunt,tragiunt,They devour
Active Indicative,Imperfect,1st Person,Singular,tragabam,tragebam,tragebam,tragiebam,I was devouring
Active Indicative,Imperfect,1st Person,Plural,tragabamus,tragebamus,tragebamus,tragiebamus,We were devouring
Active Indicative,Imperfect,2nd Person,Singular,tragabas,tragebas,tragebas,tragiebas,You were devouring
Active Indicative,Imperfect,2nd Person,Plural,tragabatis,tragebatis,tragebatis,tragiebatis,You (pl.) were devouring
Active Indicative,Imperfect,3rd Person,Singular,tragabat,tragebat,tragebat,tragiebat,He/she/it was devouring
Active Indicative,Imperfect,3rd Person,Plural,tragabant,tragebant,tragebant,tragiebant,They were devouring
Active Indicative,Future,1st Person,Singular,tragabo,tragebo,tragam,tragiam,I will devour
Active Indicative,Future,1st Person,Plural,tragabimus,tragebimus,tragemus,tragiemus,We will devour
Active Indicative,Future,2nd Person,Singular,tragabis,tragebis,trages,tragies,You will devour
Active Indicative,Future,2nd Person,Plural,tragabitis,tragebitis,tragetis,tragietis,You (pl.) will devour
Active Indicative,Future,3rd Person,Singular,tragabit,tragebit,traget,tragiet,He/she/it will devour
Active Indicative,Future,3rd Person,Plural,tragabunt,tragebunt,tragent,tragient,They will devour
Active Indicative,Perfect,1st Person,Singular,tragavi,tragui,tragi,tragi,I have devoured
Active Indicative,Perfect,1st Person,Plural,tragavimus,traguimus,tragimus,tragimus,We have devoured
Active Indicative,Perfect,2nd Person,Singular,tragavisti,traguisti,tragisti,tragisti,You have devoured
Active Indicative,Perfect,2nd Person,Plural,tragavistis,traguistis,tragistis,tragistis,You (pl.) have devoured
Active Indicative,Perfect,3rd Person,Singular,tragavit,traguit,tragit,tragit,He/she/it has devoured
Active Indicative,Perfect,3rd Person,Plural,tragaverunt,traguerunt,tragerunt,tragerunt,They have devoured
Active Indicative,Pluperfect,1st Person,Singular,tragaveram,tragueram,trageram,trageram,I had devoured
Active Indicative,Pluperfect,1st Person,Plural,tragaveramus,tragueramus,trageramus,trageramus,We had devoured
Active Indicative,Pluperfect,2nd Person,Singular,tragaveras,tragueras,trageras,trageras,You had devoured
Active Indicative,Pluperfect,2nd Person,Plural,tragaveratis,tragueratis,trageratis,trageratis,You (pl.) had devoured
Active Indicative,Pluperfect,3rd Person,Singular,tragaverat,traguerat,tragerat,tragerat,He/she/it had devoured
Active Indicative,Pluperfect,3rd Person,Plural,tragaverant,traguerant,tragerant,tragerant,They had devoured
Active Indicative,Future Perfect,1st Person,Singular,tragavero,tragueero,tragero,tragiero,I will have devoured
Active Indicative,Future Perfect,1st Person,Plural,tragaverimus,traguerimus,tragerimus,tragierimus,We will have devoured
Active Indicative,Future Perfect,2nd Person,Singular,tragaveris,tragueris,trageris,tragieris,You will have devoured
