Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,tragino,tragineo,tragino,traginio,I drag
Active Indicative,Present,1st Person,Plural,traginamus,traginemus,traginimus,traginimus,We drag
Active Indicative,Present,2nd Person,Singular,traginas,tragines,traginis,traginis,You drag
Active Indicative,Present,2nd Person,Plural,traginatis,traginetis,traginitis,traginitis,You (pl.) drag
Active Indicative,Present,3rd Person,Singular,traginat,traginet,traginit,traginit,He/she/it drag
Active Indicative,Present,3rd Person,Plural,traginant,traginent,traginiunt,traginiunt,They drag
Active Indicative,Imperfect,1st Person,Singular,traginabam,traginebam,traginebam,traginiebam,I was draging
Active Indicative,Imperfect,1st Person,Plural,traginabamus,traginebamus,traginebamus,traginiebamus,We were draging
Active Indicative,Imperfect,2nd Person,Singular,traginabas,traginebas,traginebas,traginiebas,You were draging
Active Indicative,Imperfect,2nd Person,Plural,traginabatis,traginebatis,traginebatis,traginiebatis,You (pl.) were draging
Active Indicative,Imperfect,3rd Person,Singular,traginabat,traginebat,traginebat,traginiebat,He/she/it was draging
Active Indicative,Imperfect,3rd Person,Plural,traginabant,traginebant,traginebant,traginiebant,They were draging
Active Indicative,Future,1st Person,Singular,traginabo,traginebo,traginam,traginiam,I will drag
Active Indicative,Future,1st Person,Plural,traginabimus,traginebimus,traginemus,traginiemus,We will drag
Active Indicative,Future,2nd Person,Singular,traginabis,traginebis,tragines,traginies,You will drag
Active Indicative,Future,2nd Person,Plural,traginabitis,traginebitis,traginetis,traginietis,You (pl.) will drag
Active Indicative,Future,3rd Person,Singular,traginabit,traginebit,traginet,traginiet,He/she/it will drag
Active Indicative,Future,3rd Person,Plural,traginabunt,traginebunt,traginent,traginient,They will drag
Active Indicative,Perfect,1st Person,Singular,traginavi,traginui,tragini,tragini,I have draged
Active Indicative,Perfect,1st Person,Plural,traginavimus,traginuimus,traginimus,traginimus,We have draged
Active Indicative,Perfect,2nd Person,Singular,traginavisti,traginuisti,traginisti,traginisti,You have draged
Active Indicative,Perfect,2nd Person,Plural,traginavistis,traginuistis,traginistis,traginistis,You (pl.) have draged
Active Indicative,Perfect,3rd Person,Singular,traginavit,traginuit,traginit,traginit,He/she/it has draged
Active Indicative,Perfect,3rd Person,Plural,traginaverunt,traginuerunt,traginerunt,traginerunt,They have draged
Active Indicative,Pluperfect,1st Person,Singular,traginaveram,traginueram,tragineram,tragineram,I had draged
Active Indicative,Pluperfect,1st Person,Plural,traginaveramus,traginueramus,tragineramus,tragineramus,We had draged
Active Indicative,Pluperfect,2nd Person,Singular,traginaveras,traginueras,tragineras,tragineras,You had draged
Active Indicative,Pluperfect,2nd Person,Plural,traginaveratis,traginueratis,tragineratis,tragineratis,You (pl.) had draged
Active Indicative,Pluperfect,3rd Person,Singular,traginaverat,traginuerat,traginerat,traginerat,He/she/it had draged
Active Indicative,Pluperfect,3rd Person,Plural,traginaverant,traginuerant,traginerant,traginerant,They had draged
Active Indicative,Future Perfect,1st Person,Singular,traginavero,traginueero,traginero,traginiero,I will have draged
Active Indicative,Future Perfect,1st Person,Plural,traginaverimus,traginuerimus,traginerimus,traginierimus,We will have draged
