Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,traho,traheo,traho,trahio,I drag
Active Indicative,Present,1st Person,Plural,trahamus,trahemus,trahimus,trahimus,We drag
Active Indicative,Present,2nd Person,Singular,trahas,trahes,trahis,trahis,You drag
Active Indicative,Present,2nd Person,Plural,trahatis,trahetis,trahitis,trahitis,You (pl.) drag
Active Indicative,Present,3rd Person,Singular,trahat,trahet,trahit,trahit,He/she/it drag
Active Indicative,Present,3rd Person,Plural,trahant,trahent,trahiunt,trahiunt,They drag
Active Indicative,Imperfect,1st Person,Singular,trahabam,trahebam,trahebam,trahiebam,I was draging
Active Indicative,Imperfect,1st Person,Plural,trahabamus,trahebamus,trahebamus,trahiebamus,We were draging
Active Indicative,Imperfect,2nd Person,Singular,trahabas,trahebas,trahebas,trahiebas,You were draging
Active Indicative,Imperfect,2nd Person,Plural,trahabatis,trahebatis,trahebatis,trahiebatis,You (pl.) were draging
Active Indicative,Imperfect,3rd Person,Singular,trahabat,trahebat,trahebat,trahiebat,He/she/it was draging
Active Indicative,Imperfect,3rd Person,Plural,trahabant,trahebant,trahebant,trahiebant,They were draging
Active Indicative,Future,1st Person,Singular,trahabo,trahebo,traham,trahiam,I will drag
Active Indicative,Future,1st Person,Plural,trahabimus,trahebimus,trahemus,trahiemus,We will drag
Active Indicative,Future,2nd Person,Singular,trahabis,trahebis,trahes,trahies,You will drag
Active Indicative,Future,2nd Person,Plural,trahabitis,trahebitis,trahetis,trahietis,You (pl.) will drag
Active Indicative,Future,3rd Person,Singular,trahabit,trahebit,trahet,trahiet,He/she/it will drag
Active Indicative,Future,3rd Person,Plural,trahabunt,trahebunt,trahent,trahient,They will drag
Active Indicative,Perfect,1st Person,Singular,trahavi,trahui,trahi,trahi,I have draged
Active Indicative,Perfect,1st Person,Plural,trahavimus,trahuimus,trahimus,trahimus,We have draged
Active Indicative,Perfect,2nd Person,Singular,trahavisti,trahuisti,trahisti,trahisti,You have draged
