Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,transo,transeo,transo,transio,I traverse
Active Indicative,Present,1st Person,Plural,transamus,transemus,transimus,transimus,We traverse
Active Indicative,Present,2nd Person,Singular,transas,transes,transis,transis,You traverse
Active Indicative,Present,2nd Person,Plural,transatis,transetis,transitis,transitis,You (pl.) traverse
Active Indicative,Present,3rd Person,Singular,transat,transet,transit,transit,He/she/it traverse
Active Indicative,Present,3rd Person,Plural,transant,transent,transiunt,transiunt,They traverse
Active Indicative,Imperfect,1st Person,Singular,transabam,transebam,transebam,transiebam,I was traverseing
Active Indicative,Imperfect,1st Person,Plural,transabamus,transebamus,transebamus,transiebamus,We were traverseing
Active Indicative,Imperfect,2nd Person,Singular,transabas,transebas,transebas,transiebas,You were traverseing
Active Indicative,Imperfect,2nd Person,Plural,transabatis,transebatis,transebatis,transiebatis,You (pl.) were traverseing
Active Indicative,Imperfect,3rd Person,Singular,transabat,transebat,transebat,transiebat,He/she/it was traverseing
Active Indicative,Imperfect,3rd Person,Plural,transabant,transebant,transebant,transiebant,They were traverseing
Active Indicative,Future,1st Person,Singular,transabo,transebo,transam,transiam,I will traverse
Active Indicative,Future,1st Person,Plural,transabimus,transebimus,transemus,transiemus,We will traverse
Active Indicative,Future,2nd Person,Singular,transabis,transebis,transes,transies,You will traverse
Active Indicative,Future,2nd Person,Plural,transabitis,transebitis,transetis,transietis,You (pl.) will traverse
Active Indicative,Future,3rd Person,Singular,transabit,transebit,transet,transiet,He/she/it will traverse
Active Indicative,Future,3rd Person,Plural,transabunt,transebunt,transent,transient,They will traverse
Active Indicative,Perfect,1st Person,Singular,transavi,transui,transi,transi,I have traverseed
Active Indicative,Perfect,1st Person,Plural,transavimus,transuimus,transimus,transimus,We have traverseed
Active Indicative,Perfect,2nd Person,Singular,transavisti,transuisti,transisti,transisti,You have traverseed
Active Indicative,Perfect,2nd Person,Plural,transavistis,transuistis,transistis,transistis,You (pl.) have traverseed
Active Indicative,Perfect,3rd Person,Singular,transavit,transuit,transit,transit,He/she/it has traverseed
Active Indicative,Perfect,3rd Person,Plural,transaverunt,transuerunt,transerunt,transerunt,They have traverseed
Active Indicative,Pluperfect,1st Person,Singular,transaveram,transueram,transeram,transeram,I had traverseed
Active Indicative,Pluperfect,1st Person,Plural,transaveramus,transueramus,transeramus,transeramus,We had traverseed
Active Indicative,Pluperfect,2nd Person,Singular,transaveras,transueras,transeras,transeras,You had traverseed
Active Indicative,Pluperfect,2nd Person,Plural,transaveratis,transueratis,transeratis,transeratis,You (pl.) had traverseed
Active Indicative,Pluperfect,3rd Person,Singular,transaverat,transuerat,transerat,transerat,He/she/it had traverseed
Active Indicative,Pluperfect,3rd Person,Plural,transaverant,transuerant,transerant,transerant,They had traverseed
Active Indicative,Future Perfect,1st Person,Singular,transavero,transueero,transero,transiero,I will have traverseed
Active Indicative,Future Perfect,1st Person,Plural,transaverimus,transuerimus,transerimus,transierimus,We will have traverseed
Active Indicative,Future Perfect,2nd Person,Singular,transaveris,transueris,transeris,transieris,You will have traverseed
Active Indicative,Future Perfect,2nd Person,Plural,transaveritis,transueritis,transeritis,transieritis,You (pl.) will have traverseed
Active Indicative,Future Perfect,3rd Person,Singular,transaverit,transuerit,transerit,transierit,He/she/it will have traverseed
Active Indicative,Future Perfect,3rd Person,Plural,transaverint,transuerint,transerint,transierint,They will have traverseed
Passive Indicative,Present,1st Person,Singular,transor,transeor,transor,transior,I am being traverseed
Passive Indicative,Present,1st Person,Plural,transamur,transemur,transimur,transimur,We are being traverseed
Passive Indicative,Present,2nd Person,Singular,transaris,transeris,transiris,transiris,You are being traverseed
Passive Indicative,Present,2nd Person,Plural,transamini,transemini,transimini,transimini,You (pl.) are being traverseed
Passive Indicative,Present,3rd Person,Singular,transatur,transetur,transitur,transitur,He/she/it is being traverseed
Passive Indicative,Present,3rd Person,Plural,transantur,transentur,transiuntur,transiuntur,They are being traverseed
Passive Indicative,Imperfect,1st Person,Singular,transabar,transebar,transebar,transiebar,I was traverseed
Passive Indicative,Imperfect,1st Person,Plural,transabamur,transebamur,transebamur,transiebamur,We were traverseed
Passive Indicative,Imperfect,2nd Person,Singular,transabaris,transebaris,transebaris,transiebaris,You were traverseed
Passive Indicative,Imperfect,2nd Person,Plural,transabamini,transebamini,transebamini,transiebamini,You (pl.) were traverseed
Passive Indicative,Imperfect,3rd Person,Singular,transabatur,transebatur,transebatur,transiebatur,He/she/it was traverseed
Passive Indicative,Imperfect,3rd Person,Plural,transabantur,transebantur,transebantur,transiebantur,They were traverseed
Passive Indicative,Future,1st Person,Singular,transabor,transebor,transar,transiar,I will be traverseed
Passive Indicative,Future,1st Person,Plural,transabimur,transebimur,transemur,transiemur,We will be traverseed
Passive Indicative,Future,2nd Person,Singular,transaberis,transeberis,transeris,transieris,You will be traverseed
Passive Indicative,Future,2nd Person,Plural,transabimini,transebimini,transemini,transiemini,You (pl.) will be traverseed
Passive Indicative,Future,3rd Person,Singular,transabitur,transebitur,transetur,transietur,He/she/it will be traverseed
Passive Indicative,Future,3rd Person,Plural,transabuntur,transebuntur,transentur,transientur,They will be traverseed
Passive Indicative,Perfect,1st Person,Singular,transatus sum,transetus sum,transus sum,transus sum,I have been traverseed
Passive Indicative,Perfect,1st Person,Plural,transati sumus,transeti sumus,transi sumus,transi sumus,We have been traverseed
Passive Indicative,Perfect,2nd Person,Singular,transatus es,transetus es,transus es,transus es,You have been traverseed
Passive Indicative,Perfect,2nd Person,Plural,transati estis,transeti estis,transi estis,transi estis,You (pl.) have been traverseed
Passive Indicative,Perfect,3rd Person,Singular,transatus est,transetus est,transus est,transus est,He/she/it has been traverseed
Passive Indicative,Perfect,3rd Person,Plural,transati sunt,transeti sunt,transi sunt,transi sunt,They have been traverseed
Passive Indicative,Pluperfect,1st Person,Singular,transatus eram,transetus eram,transus eram,transus eram,I had been traverseed
Passive Indicative,Pluperfect,1st Person,Plural,transati eramus,transeti eramus,transi eramus,transi eramus,We had been traverseed
Passive Indicative,Pluperfect,2nd Person,Singular,transatus eras,transetus eras,transus eras,transus eras,You had been traverseed
Passive Indicative,Pluperfect,2nd Person,Plural,transati eratis,transeti eratis,transi eratis,transi eratis,You (pl.) had been traverseed
Passive Indicative,Pluperfect,3rd Person,Singular,transatus erat,transetus erat,transus erat,transus erat,He/she/it had been traverseed
Passive Indicative,Pluperfect,3rd Person,Plural,transati erant,transeti erant,transi erant,transi erant,They had been traverseed
Passive Indicative,Future Perfect,1st Person,Singular,transatus ero,transetus ero,transus ero,transus ero,I will have been traverseed
Passive Indicative,Future Perfect,1st Person,Plural,transati erimus,transeti erimus,transi erimus,transi erimus,We will have been traverseed
Passive Indicative,Future Perfect,2nd Person,Singular,transatus eris,transetus eris,transus eris,transus eris,You will have been traverseed
Passive Indicative,Future Perfect,2nd Person,Plural,transati eritis,transeti eritis,transi eritis,transi eritis,You (pl.) will have been traverseed
Passive Indicative,Future Perfect,3rd Person,Singular,transatus erit,transetus erit,transus erit,transus erit,He/she/it will have been traverseed
Passive Indicative,Future Perfect,3rd Person,Plural,transati erunt,transeti erunt,transi erunt,transi erunt,They will have been traverseed
Active Subjunctive,Present,1st Person,Singular,transem,transem,transam,transam,I may traverse
Active Subjunctive,Present,1st Person,Plural,transemus,transemus,transamus,transamus,We may traverse
Active Subjunctive,Present,2nd Person,Singular,transes,transes,transas,transas,You may traverse
Active Subjunctive,Present,2nd Person,Plural,transetis,transetis,transatis,transatis,You (pl.) may traverse
Active Subjunctive,Present,3rd Person,Singular,transet,transet,transat,transat,He/she/it may traverse
Active Subjunctive,Present,3rd Person,Plural,transent,transent,transant,transant,They may traverse
Active Subjunctive,Imperfect,1st Person,Singular,transarem,transerem,transerem,transirem,I should traverse
Active Subjunctive,Imperfect,1st Person,Plural,transaremus,transeremus,transeremus,transiremus,We should traverse
Active Subjunctive,Imperfect,2nd Person,Singular,transares,transeres,transeres,transires,You should traverse
Active Subjunctive,Imperfect,2nd Person,Plural,transaretis,transeretis,transeretis,transiretis,You (pl.) should traverse
Active Subjunctive,Imperfect,3rd Person,Singular,transaret,transeret,transeret,transiret,He/she/it should traverse
Active Subjunctive,Imperfect,3rd Person,Plural,transarent,transerent,transerent,transirent,They should traverse
Active Subjunctive,Perfect,1st Person,Singular,transerim,transuerim,transerim,transierim,I may have traverseed
Active Subjunctive,Perfect,1st Person,Plural,transerimus,transuerimus,transerimus,transierimus,We may have traverseed
Active Subjunctive,Perfect,2nd Person,Singular,transeris,transueris,transeris,transieris,You may have traverseed
Active Subjunctive,Perfect,2nd Person,Plural,transeritis,transueritis,transeritis,transieritis,You (pl.) may have traverseed
Active Subjunctive,Perfect,3rd Person,Singular,transerit,transuerit,transerit,transierit,He/she/it may have traverseed
Active Subjunctive,Perfect,3rd Person,Plural,transerint,transuerint,transerint,transierint,They may have traverseed
Active Subjunctive,Pluperfect,1st Person,Singular,transissem,transuissem,transissem,transissem,I should have traverseed
Active Subjunctive,Pluperfect,1st Person,Plural,transissemus,transuissemus,transissemus,transissemus,We should have traverseed
Active Subjunctive,Pluperfect,2nd Person,Singular,transisses,transuisses,transisses,transisses,You would have traverseed
Active Subjunctive,Pluperfect,2nd Person,Plural,transissetis,transuissetis,transissetis,transissetis,You (pl.) would have traverseed
Active Subjunctive,Pluperfect,3rd Person,Singular,transisset,transuisset,transisset,transisset,He/she/it would have traverseed
Active Subjunctive,Pluperfect,3rd Person,Plural,transissent,transuissent,transissent,transissent,They would have traverseed
Passive Subjunctive,Present,1st Person,Singular,transer,transer,transar,transar,I may be traverseed
Passive Subjunctive,Present,1st Person,Plural,transemur,transemur,transamur,transamur,We may be traverseed
Passive Subjunctive,Present,2nd Person,Singular,transeris,transeris,transaris,transaris,You may be traverseed
Passive Subjunctive,Present,2nd Person,Plural,transemini,transemini,transamini,transamini,You (pl.) may be traverseed
Passive Subjunctive,Present,3rd Person,Singular,transetur,transetur,transatur,transatur,He/she/it may be traverseed
Passive Subjunctive,Present,3rd Person,Plural,transentur,transentur,transantur,transantur,They may be traverseed
Passive Subjunctive,Imperfect,1st Person,Singular,transarer,transerer,transerer,transirer,I should be traverseed
Passive Subjunctive,Imperfect,1st Person,Plural,transaremur,transeremur,transeremur,transiremur,We should be traverseed
Passive Subjunctive,Imperfect,2nd Person,Singular,transareris,transereris,transereris,transireris,You would be traverseed
Passive Subjunctive,Imperfect,2nd Person,Plural,transaremini,transeremini,transeremini,transiremini,You (pl.) would be traverseed
Passive Subjunctive,Imperfect,3rd Person,Singular,transaretur,transeretur,transeretur,transiretur,He/she/it would be traverseed
Passive Subjunctive,Imperfect,3rd Person,Plural,transarentur,transerentur,transerentur,transirentur,They would be traverseed
Passive Subjunctive,Perfect,1st Person,Singular,transatus sim,transetus sim,transus sim,transus sim,I may have been traverseed
Passive Subjunctive,Perfect,1st Person,Plural,transati simus,transeti simus,transi simus,transi simus,We may have been traverseed
Passive Subjunctive,Perfect,2nd Person,Singular,transatus sis,transetus sis,transus sis,transus sis,You may have been traverseed
Passive Subjunctive,Perfect,2nd Person,Plural,transati sitis,transeti sitis,transi sitis,transi sitis,You (pl.) may have been traverseed
Passive Subjunctive,Perfect,3rd Person,Singular,transatus sit,transetus sit,transus sit,transus sit,He/she/it may have been traverseed
Passive Subjunctive,Perfect,3rd Person,Plural,transati sint,transeti sint,transi sint,transi sint,They may have been traverseed
Passive Subjunctive,Pluperfect,1st Person,Singular,transatus essem,transetus essem,transus essem,transus essem,I should have been traverseed
