Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,tripalio,tripalieo,tripalio,tripalio,I torture
Active Indicative,Present,1st Person,Plural,tripaliamus,tripaliemus,tripalimus,tripalimus,We torture
Active Indicative,Present,2nd Person,Singular,tripalias,tripalies,tripalis,tripalis,You torture
Active Indicative,Present,2nd Person,Plural,tripaliatis,tripalietis,tripalitis,tripalitis,You (pl.) torture
Active Indicative,Present,3rd Person,Singular,tripaliat,tripaliet,tripalit,tripalit,He/she/it torture
Active Indicative,Present,3rd Person,Plural,tripaliant,tripalient,tripaliunt,tripaliunt,They torture
Active Indicative,Imperfect,1st Person,Singular,tripaliabam,tripaliebam,tripaliebam,tripaliebam,I was tortureing
Active Indicative,Imperfect,1st Person,Plural,tripaliabamus,tripaliebamus,tripaliebamus,tripaliebamus,We were tortureing
Active Indicative,Imperfect,2nd Person,Singular,tripaliabas,tripaliebas,tripaliebas,tripaliebas,You were tortureing
Active Indicative,Imperfect,2nd Person,Plural,tripaliabatis,tripaliebatis,tripaliebatis,tripaliebatis,You (pl.) were tortureing
Active Indicative,Imperfect,3rd Person,Singular,tripaliabat,tripaliebat,tripaliebat,tripaliebat,He/she/it was tortureing
Active Indicative,Imperfect,3rd Person,Plural,tripaliabant,tripaliebant,tripaliebant,tripaliebant,They were tortureing
Active Indicative,Future,1st Person,Singular,tripaliabo,tripaliebo,tripaliam,tripaliam,I will torture
Active Indicative,Future,1st Person,Plural,tripaliabimus,tripaliebimus,tripaliemus,tripaliemus,We will torture
Active Indicative,Future,2nd Person,Singular,tripaliabis,tripaliebis,tripalies,tripalies,You will torture
Active Indicative,Future,2nd Person,Plural,tripaliabitis,tripaliebitis,tripalietis,tripalietis,You (pl.) will torture
Active Indicative,Future,3rd Person,Singular,tripaliabit,tripaliebit,tripaliet,tripaliet,He/she/it will torture
Active Indicative,Future,3rd Person,Plural,tripaliabunt,tripaliebunt,tripalient,tripalient,They will torture
Active Indicative,Perfect,1st Person,Singular,tripaliavi,tripaliui,tripali,tripali,I have tortureed
Active Indicative,Perfect,1st Person,Plural,tripaliavimus,tripaliuimus,tripalimus,tripalimus,We have tortureed
Active Indicative,Perfect,2nd Person,Singular,tripaliavisti,tripaliuisti,tripalisti,tripalisti,You have tortureed
Active Indicative,Perfect,2nd Person,Plural,tripaliavistis,tripaliuistis,tripalistis,tripalistis,You (pl.) have tortureed
Active Indicative,Perfect,3rd Person,Singular,tripaliavit,tripaliuit,tripalit,tripalit,He/she/it has tortureed
Active Indicative,Perfect,3rd Person,Plural,tripaliaverunt,tripaliuerunt,tripalierunt,tripalierunt,They have tortureed
Active Indicative,Pluperfect,1st Person,Singular,tripaliaveram,tripaliueram,tripalieram,tripalieram,I had tortureed
Active Indicative,Pluperfect,1st Person,Plural,tripaliaveramus,tripaliueramus,tripalieramus,tripalieramus,We had tortureed
Active Indicative,Pluperfect,2nd Person,Singular,tripaliaveras,tripaliueras,tripalieras,tripalieras,You had tortureed
Active Indicative,Pluperfect,2nd Person,Plural,tripaliaveratis,tripaliueratis,tripalieratis,tripalieratis,You (pl.) had tortureed
Active Indicative,Pluperfect,3rd Person,Singular,tripaliaverat,tripaliuerat,tripalierat,tripalierat,He/she/it had tortureed
Active Indicative,Pluperfect,3rd Person,Plural,tripaliaverant,tripaliuerant,tripalierant,tripalierant,They had tortureed
Active Indicative,Future Perfect,1st Person,Singular,tripaliavero,tripaliueero,tripaliero,tripaliero,I will have tortureed
Active Indicative,Future Perfect,1st Person,Plural,tripaliaverimus,tripaliuerimus,tripalierimus,tripalierimus,We will have tortureed
Active Indicative,Future Perfect,2nd Person,Singular,tripaliaveris,tripaliueris,tripalieris,tripalieris,You will have tortureed
Active Indicative,Future Perfect,2nd Person,Plural,tripaliaveritis,tripaliueritis,tripalieritis,tripalieritis,You (pl.) will have tortureed
Active Indicative,Future Perfect,3rd Person,Singular,tripaliaverit,tripaliuerit,tripalierit,tripalierit,He/she/it will have tortureed
Active Indicative,Future Perfect,3rd Person,Plural,tripaliaverint,tripaliuerint,tripalierint,tripalierint,They will have tortureed
Passive Indicative,Present,1st Person,Singular,tripalior,tripalieor,tripalior,tripalior,I am being tortureed
Passive Indicative,Present,1st Person,Plural,tripaliamur,tripaliemur,tripalimur,tripalimur,We are being tortureed
Passive Indicative,Present,2nd Person,Singular,tripaliaris,tripalieris,tripaliris,tripaliris,You are being tortureed
Passive Indicative,Present,2nd Person,Plural,tripaliamini,tripaliemini,tripalimini,tripalimini,You (pl.) are being tortureed
Passive Indicative,Present,3rd Person,Singular,tripaliatur,tripalietur,tripalitur,tripalitur,He/she/it is being tortureed
Passive Indicative,Present,3rd Person,Plural,tripaliantur,tripalientur,tripaliuntur,tripaliuntur,They are being tortureed
Passive Indicative,Imperfect,1st Person,Singular,tripaliabar,tripaliebar,tripaliebar,tripaliebar,I was tortureed
Passive Indicative,Imperfect,1st Person,Plural,tripaliabamur,tripaliebamur,tripaliebamur,tripaliebamur,We were tortureed
Passive Indicative,Imperfect,2nd Person,Singular,tripaliabaris,tripaliebaris,tripaliebaris,tripaliebaris,You were tortureed
Passive Indicative,Imperfect,2nd Person,Plural,tripaliabamini,tripaliebamini,tripaliebamini,tripaliebamini,You (pl.) were tortureed
Passive Indicative,Imperfect,3rd Person,Singular,tripaliabatur,tripaliebatur,tripaliebatur,tripaliebatur,He/she/it was tortureed
Passive Indicative,Imperfect,3rd Person,Plural,tripaliabantur,tripaliebantur,tripaliebantur,tripaliebantur,They were tortureed
Passive Indicative,Future,1st Person,Singular,tripaliabor,tripaliebor,tripaliar,tripaliar,I will be tortureed
Passive Indicative,Future,1st Person,Plural,tripaliabimur,tripaliebimur,tripaliemur,tripaliemur,We will be tortureed
Passive Indicative,Future,2nd Person,Singular,tripaliaberis,tripalieberis,tripalieris,tripalieris,You will be tortureed
Passive Indicative,Future,2nd Person,Plural,tripaliabimini,tripaliebimini,tripaliemini,tripaliemini,You (pl.) will be tortureed
Passive Indicative,Future,3rd Person,Singular,tripaliabitur,tripaliebitur,tripalietur,tripalietur,He/she/it will be tortureed
