Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,tropo,tropeo,tropo,tropio,I find
Active Indicative,Present,1st Person,Plural,tropamus,tropemus,tropimus,tropimus,We find
Active Indicative,Present,2nd Person,Singular,tropas,tropes,tropis,tropis,You find
Active Indicative,Present,2nd Person,Plural,tropatis,tropetis,tropitis,tropitis,You (pl.) find
Active Indicative,Present,3rd Person,Singular,tropat,tropet,tropit,tropit,He/she/it find
Active Indicative,Present,3rd Person,Plural,tropant,tropent,tropiunt,tropiunt,They find
Active Indicative,Imperfect,1st Person,Singular,tropabam,tropebam,tropebam,tropiebam,I was finding
Active Indicative,Imperfect,1st Person,Plural,tropabamus,tropebamus,tropebamus,tropiebamus,We were finding
Active Indicative,Imperfect,2nd Person,Singular,tropabas,tropebas,tropebas,tropiebas,You were finding
Active Indicative,Imperfect,2nd Person,Plural,tropabatis,tropebatis,tropebatis,tropiebatis,You (pl.) were finding
Active Indicative,Imperfect,3rd Person,Singular,tropabat,tropebat,tropebat,tropiebat,He/she/it was finding
Active Indicative,Imperfect,3rd Person,Plural,tropabant,tropebant,tropebant,tropiebant,They were finding
Active Indicative,Future,1st Person,Singular,tropabo,tropebo,tropam,tropiam,I will find
Active Indicative,Future,1st Person,Plural,tropabimus,tropebimus,tropemus,tropiemus,We will find
Active Indicative,Future,2nd Person,Singular,tropabis,tropebis,tropes,tropies,You will find
Active Indicative,Future,2nd Person,Plural,tropabitis,tropebitis,tropetis,tropietis,You (pl.) will find
Active Indicative,Future,3rd Person,Singular,tropabit,tropebit,tropet,tropiet,He/she/it will find
Active Indicative,Future,3rd Person,Plural,tropabunt,tropebunt,tropent,tropient,They will find
Active Indicative,Perfect,1st Person,Singular,tropavi,tropui,tropi,tropi,I have finded
Active Indicative,Perfect,1st Person,Plural,tropavimus,tropuimus,tropimus,tropimus,We have finded
Active Indicative,Perfect,2nd Person,Singular,tropavisti,tropuisti,tropisti,tropisti,You have finded
Active Indicative,Perfect,2nd Person,Plural,tropavistis,tropuistis,tropistis,tropistis,You (pl.) have finded
Active Indicative,Perfect,3rd Person,Singular,tropavit,tropuit,tropit,tropit,He/she/it has finded
Active Indicative,Perfect,3rd Person,Plural,tropaverunt,tropuerunt,troperunt,troperunt,They have finded
Active Indicative,Pluperfect,1st Person,Singular,tropaveram,tropueram,troperam,troperam,I had finded
Active Indicative,Pluperfect,1st Person,Plural,tropaveramus,tropueramus,troperamus,troperamus,We had finded
Active Indicative,Pluperfect,2nd Person,Singular,tropaveras,tropueras,troperas,troperas,You had finded
Active Indicative,Pluperfect,2nd Person,Plural,tropaveratis,tropueratis,troperatis,troperatis,You (pl.) had finded
Active Indicative,Pluperfect,3rd Person,Singular,tropaverat,tropuerat,troperat,troperat,He/she/it had finded
Active Indicative,Pluperfect,3rd Person,Plural,tropaverant,tropuerant,troperant,troperant,They had finded
Active Indicative,Future Perfect,1st Person,Singular,tropavero,tropueero,tropero,tropiero,I will have finded
Active Indicative,Future Perfect,1st Person,Plural,tropaverimus,tropuerimus,troperimus,tropierimus,We will have finded
Active Indicative,Future Perfect,2nd Person,Singular,tropaveris,tropueris,troperis,tropieris,You will have finded
Active Indicative,Future Perfect,2nd Person,Plural,tropaveritis,tropueritis,troperitis,tropieritis,You (pl.) will have finded
Active Indicative,Future Perfect,3rd Person,Singular,tropaverit,tropuerit,troperit,tropierit,He/she/it will have finded
Active Indicative,Future Perfect,3rd Person,Plural,tropaverint,tropuerint,troperint,tropierint,They will have finded
Passive Indicative,Present,1st Person,Singular,tropor,tropeor,tropor,tropior,I am being finded
Passive Indicative,Present,1st Person,Plural,tropamur,tropemur,tropimur,tropimur,We are being finded
Passive Indicative,Present,2nd Person,Singular,troparis,troperis,tropiris,tropiris,You are being finded
Passive Indicative,Present,2nd Person,Plural,tropamini,tropemini,tropimini,tropimini,You (pl.) are being finded
