Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,undizo,undizeo,undizo,undizio,I undulate
Active Indicative,Present,1st Person,Plural,undizamus,undizemus,undizimus,undizimus,We undulate
Active Indicative,Present,2nd Person,Singular,undizas,undizes,undizis,undizis,You undulate
Active Indicative,Present,2nd Person,Plural,undizatis,undizetis,undizitis,undizitis,You (pl.) undulate
Active Indicative,Present,3rd Person,Singular,undizat,undizet,undizit,undizit,He/she/it undulate
Active Indicative,Present,3rd Person,Plural,undizant,undizent,undiziunt,undiziunt,They undulate
Active Indicative,Imperfect,1st Person,Singular,undizabam,undizebam,undizebam,undiziebam,I was undulateing
Active Indicative,Imperfect,1st Person,Plural,undizabamus,undizebamus,undizebamus,undiziebamus,We were undulateing
Active Indicative,Imperfect,2nd Person,Singular,undizabas,undizebas,undizebas,undiziebas,You were undulateing
Active Indicative,Imperfect,2nd Person,Plural,undizabatis,undizebatis,undizebatis,undiziebatis,You (pl.) were undulateing
Active Indicative,Imperfect,3rd Person,Singular,undizabat,undizebat,undizebat,undiziebat,He/she/it was undulateing
Active Indicative,Imperfect,3rd Person,Plural,undizabant,undizebant,undizebant,undiziebant,They were undulateing
Active Indicative,Future,1st Person,Singular,undizabo,undizebo,undizam,undiziam,I will undulate
Active Indicative,Future,1st Person,Plural,undizabimus,undizebimus,undizemus,undiziemus,We will undulate
Active Indicative,Future,2nd Person,Singular,undizabis,undizebis,undizes,undizies,You will undulate
Active Indicative,Future,2nd Person,Plural,undizabitis,undizebitis,undizetis,undizietis,You (pl.) will undulate
Active Indicative,Future,3rd Person,Singular,undizabit,undizebit,undizet,undiziet,He/she/it will undulate
Active Indicative,Future,3rd Person,Plural,undizabunt,undizebunt,undizent,undizient,They will undulate
Active Indicative,Perfect,1st Person,Singular,undizavi,undizui,undizi,undizi,I have undulateed
Active Indicative,Perfect,1st Person,Plural,undizavimus,undizuimus,undizimus,undizimus,We have undulateed
Active Indicative,Perfect,2nd Person,Singular,undizavisti,undizuisti,undizisti,undizisti,You have undulateed
Active Indicative,Perfect,2nd Person,Plural,undizavistis,undizuistis,undizistis,undizistis,You (pl.) have undulateed
Active Indicative,Perfect,3rd Person,Singular,undizavit,undizuit,undizit,undizit,He/she/it has undulateed
Active Indicative,Perfect,3rd Person,Plural,undizaverunt,undizuerunt,undizerunt,undizerunt,They have undulateed
Active Indicative,Pluperfect,1st Person,Singular,undizaveram,undizueram,undizeram,undizeram,I had undulateed
Active Indicative,Pluperfect,1st Person,Plural,undizaveramus,undizueramus,undizeramus,undizeramus,We had undulateed
Active Indicative,Pluperfect,2nd Person,Singular,undizaveras,undizueras,undizeras,undizeras,You had undulateed
Active Indicative,Pluperfect,2nd Person,Plural,undizaveratis,undizueratis,undizeratis,undizeratis,You (pl.) had undulateed
Active Indicative,Pluperfect,3rd Person,Singular,undizaverat,undizuerat,undizerat,undizerat,He/she/it had undulateed
Active Indicative,Pluperfect,3rd Person,Plural,undizaverant,undizuerant,undizerant,undizerant,They had undulateed
Active Indicative,Future Perfect,1st Person,Singular,undizavero,undizueero,undizero,undiziero,I will have undulateed
Active Indicative,Future Perfect,1st Person,Plural,undizaverimus,undizuerimus,undizerimus,undizierimus,We will have undulateed
Active Indicative,Future Perfect,2nd Person,Singular,undizaveris,undizueris,undizeris,undizieris,You will have undulateed
Active Indicative,Future Perfect,2nd Person,Plural,undizaveritis,undizueritis,undizeritis,undizieritis,You (pl.) will have undulateed
Active Indicative,Future Perfect,3rd Person,Singular,undizaverit,undizuerit,undizerit,undizierit,He/she/it will have undulateed
Active Indicative,Future Perfect,3rd Person,Plural,undizaverint,undizuerint,undizerint,undizierint,They will have undulateed
Passive Indicative,Present,1st Person,Singular,undizor,undizeor,undizor,undizior,I am being undulateed
Passive Indicative,Present,1st Person,Plural,undizamur,undizemur,undizimur,undizimur,We are being undulateed
Passive Indicative,Present,2nd Person,Singular,undizaris,undizeris,undiziris,undiziris,You are being undulateed
Passive Indicative,Present,2nd Person,Plural,undizamini,undizemini,undizimini,undizimini,You (pl.) are being undulateed
Passive Indicative,Present,3rd Person,Singular,undizatur,undizetur,undizitur,undizitur,He/she/it is being undulateed
Passive Indicative,Present,3rd Person,Plural,undizantur,undizentur,undiziuntur,undiziuntur,They are being undulateed
Passive Indicative,Imperfect,1st Person,Singular,undizabar,undizebar,undizebar,undiziebar,I was undulateed
Passive Indicative,Imperfect,1st Person,Plural,undizabamur,undizebamur,undizebamur,undiziebamur,We were undulateed
Passive Indicative,Imperfect,2nd Person,Singular,undizabaris,undizebaris,undizebaris,undiziebaris,You were undulateed
Passive Indicative,Imperfect,2nd Person,Plural,undizabamini,undizebamini,undizebamini,undiziebamini,You (pl.) were undulateed
Passive Indicative,Imperfect,3rd Person,Singular,undizabatur,undizebatur,undizebatur,undiziebatur,He/she/it was undulateed
Passive Indicative,Imperfect,3rd Person,Plural,undizabantur,undizebantur,undizebantur,undiziebantur,They were undulateed
Passive Indicative,Future,1st Person,Singular,undizabor,undizebor,undizar,undiziar,I will be undulateed
Passive Indicative,Future,1st Person,Plural,undizabimur,undizebimur,undizemur,undiziemur,We will be undulateed
Passive Indicative,Future,2nd Person,Singular,undizaberis,undizeberis,undizeris,undizieris,You will be undulateed
Passive Indicative,Future,2nd Person,Plural,undizabimini,undizebimini,undizemini,undiziemini,You (pl.) will be undulateed
Passive Indicative,Future,3rd Person,Singular,undizabitur,undizebitur,undizetur,undizietur,He/she/it will be undulateed
Passive Indicative,Future,3rd Person,Plural,undizabuntur,undizebuntur,undizentur,undizientur,They will be undulateed
Passive Indicative,Perfect,1st Person,Singular,undizatus sum,undizetus sum,undizus sum,undizus sum,I have been undulateed
Passive Indicative,Perfect,1st Person,Plural,undizati sumus,undizeti sumus,undizi sumus,undizi sumus,We have been undulateed
Passive Indicative,Perfect,2nd Person,Singular,undizatus es,undizetus es,undizus es,undizus es,You have been undulateed
Passive Indicative,Perfect,2nd Person,Plural,undizati estis,undizeti estis,undizi estis,undizi estis,You (pl.) have been undulateed
Passive Indicative,Perfect,3rd Person,Singular,undizatus est,undizetus est,undizus est,undizus est,He/she/it has been undulateed
Passive Indicative,Perfect,3rd Person,Plural,undizati sunt,undizeti sunt,undizi sunt,undizi sunt,They have been undulateed
Passive Indicative,Pluperfect,1st Person,Singular,undizatus eram,undizetus eram,undizus eram,undizus eram,I had been undulateed
Passive Indicative,Pluperfect,1st Person,Plural,undizati eramus,undizeti eramus,undizi eramus,undizi eramus,We had been undulateed
Passive Indicative,Pluperfect,2nd Person,Singular,undizatus eras,undizetus eras,undizus eras,undizus eras,You had been undulateed
Passive Indicative,Pluperfect,2nd Person,Plural,undizati eratis,undizeti eratis,undizi eratis,undizi eratis,You (pl.) had been undulateed
Passive Indicative,Pluperfect,3rd Person,Singular,undizatus erat,undizetus erat,undizus erat,undizus erat,He/she/it had been undulateed
Passive Indicative,Pluperfect,3rd Person,Plural,undizati erant,undizeti erant,undizi erant,undizi erant,They had been undulateed
Passive Indicative,Future Perfect,1st Person,Singular,undizatus ero,undizetus ero,undizus ero,undizus ero,I will have been undulateed
Passive Indicative,Future Perfect,1st Person,Plural,undizati erimus,undizeti erimus,undizi erimus,undizi erimus,We will have been undulateed
Passive Indicative,Future Perfect,2nd Person,Singular,undizatus eris,undizetus eris,undizus eris,undizus eris,You will have been undulateed
Passive Indicative,Future Perfect,2nd Person,Plural,undizati eritis,undizeti eritis,undizi eritis,undizi eritis,You (pl.) will have been undulateed
Passive Indicative,Future Perfect,3rd Person,Singular,undizatus erit,undizetus erit,undizus erit,undizus erit,He/she/it will have been undulateed
Passive Indicative,Future Perfect,3rd Person,Plural,undizati erunt,undizeti erunt,undizi erunt,undizi erunt,They will have been undulateed
Active Subjunctive,Present,1st Person,Singular,undizem,undizem,undizam,undizam,I may undulate
Active Subjunctive,Present,1st Person,Plural,undizemus,undizemus,undizamus,undizamus,We may undulate
Active Subjunctive,Present,2nd Person,Singular,undizes,undizes,undizas,undizas,You may undulate
Active Subjunctive,Present,2nd Person,Plural,undizetis,undizetis,undizatis,undizatis,You (pl.) may undulate
Active Subjunctive,Present,3rd Person,Singular,undizet,undizet,undizat,undizat,He/she/it may undulate
Active Subjunctive,Present,3rd Person,Plural,undizent,undizent,undizant,undizant,They may undulate
Active Subjunctive,Imperfect,1st Person,Singular,undizarem,undizerem,undizerem,undizirem,I should undulate
Active Subjunctive,Imperfect,1st Person,Plural,undizaremus,undizeremus,undizeremus,undiziremus,We should undulate
Active Subjunctive,Imperfect,2nd Person,Singular,undizares,undizeres,undizeres,undizires,You should undulate
Active Subjunctive,Imperfect,2nd Person,Plural,undizaretis,undizeretis,undizeretis,undiziretis,You (pl.) should undulate
Active Subjunctive,Imperfect,3rd Person,Singular,undizaret,undizeret,undizeret,undiziret,He/she/it should undulate
Active Subjunctive,Imperfect,3rd Person,Plural,undizarent,undizerent,undizerent,undizirent,They should undulate
Active Subjunctive,Perfect,1st Person,Singular,undizerim,undizuerim,undizerim,undizierim,I may have undulateed
