Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,uxoro,uxoreo,uxoro,uxorio,I wed
Active Indicative,Present,1st Person,Plural,uxoramus,uxoremus,uxorimus,uxorimus,We wed
Active Indicative,Present,2nd Person,Singular,uxoras,uxores,uxoris,uxoris,You wed
Active Indicative,Present,2nd Person,Plural,uxoratis,uxoretis,uxoritis,uxoritis,You (pl.) wed
Active Indicative,Present,3rd Person,Singular,uxorat,uxoret,uxorit,uxorit,He/she/it wed
Active Indicative,Present,3rd Person,Plural,uxorant,uxorent,uxoriunt,uxoriunt,They wed
Active Indicative,Imperfect,1st Person,Singular,uxorabam,uxorebam,uxorebam,uxoriebam,I was weding
Active Indicative,Imperfect,1st Person,Plural,uxorabamus,uxorebamus,uxorebamus,uxoriebamus,We were weding
Active Indicative,Imperfect,2nd Person,Singular,uxorabas,uxorebas,uxorebas,uxoriebas,You were weding
Active Indicative,Imperfect,2nd Person,Plural,uxorabatis,uxorebatis,uxorebatis,uxoriebatis,You (pl.) were weding
Active Indicative,Imperfect,3rd Person,Singular,uxorabat,uxorebat,uxorebat,uxoriebat,He/she/it was weding
Active Indicative,Imperfect,3rd Person,Plural,uxorabant,uxorebant,uxorebant,uxoriebant,They were weding
Active Indicative,Future,1st Person,Singular,uxorabo,uxorebo,uxoram,uxoriam,I will wed
Active Indicative,Future,1st Person,Plural,uxorabimus,uxorebimus,uxoremus,uxoriemus,We will wed
Active Indicative,Future,2nd Person,Singular,uxorabis,uxorebis,uxores,uxories,You will wed
Active Indicative,Future,2nd Person,Plural,uxorabitis,uxorebitis,uxoretis,uxorietis,You (pl.) will wed
Active Indicative,Future,3rd Person,Singular,uxorabit,uxorebit,uxoret,uxoriet,He/she/it will wed
Active Indicative,Future,3rd Person,Plural,uxorabunt,uxorebunt,uxorent,uxorient,They will wed
Active Indicative,Perfect,1st Person,Singular,uxoravi,uxorui,uxori,uxori,I have weded
Active Indicative,Perfect,1st Person,Plural,uxoravimus,uxoruimus,uxorimus,uxorimus,We have weded
Active Indicative,Perfect,2nd Person,Singular,uxoravisti,uxoruisti,uxoristi,uxoristi,You have weded
Active Indicative,Perfect,2nd Person,Plural,uxoravistis,uxoruistis,uxoristis,uxoristis,You (pl.) have weded
Active Indicative,Perfect,3rd Person,Singular,uxoravit,uxoruit,uxorit,uxorit,He/she/it has weded
Active Indicative,Perfect,3rd Person,Plural,uxoraverunt,uxoruerunt,uxorerunt,uxorerunt,They have weded
Active Indicative,Pluperfect,1st Person,Singular,uxoraveram,uxorueram,uxoreram,uxoreram,I had weded
Active Indicative,Pluperfect,1st Person,Plural,uxoraveramus,uxorueramus,uxoreramus,uxoreramus,We had weded
Active Indicative,Pluperfect,2nd Person,Singular,uxoraveras,uxorueras,uxoreras,uxoreras,You had weded
Active Indicative,Pluperfect,2nd Person,Plural,uxoraveratis,uxorueratis,uxoreratis,uxoreratis,You (pl.) had weded
Active Indicative,Pluperfect,3rd Person,Singular,uxoraverat,uxoruerat,uxorerat,uxorerat,He/she/it had weded
