Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,venaro,venareo,venaro,venario,I hunt
Active Indicative,Present,1st Person,Plural,venaramus,venaremus,venarimus,venarimus,We hunt
Active Indicative,Present,2nd Person,Singular,venaras,venares,venaris,venaris,You hunt
Active Indicative,Present,2nd Person,Plural,venaratis,venaretis,venaritis,venaritis,You (pl.) hunt
Active Indicative,Present,3rd Person,Singular,venarat,venaret,venarit,venarit,He/she/it hunt
Active Indicative,Present,3rd Person,Plural,venarant,venarent,venariunt,venariunt,They hunt
Active Indicative,Imperfect,1st Person,Singular,venarabam,venarebam,venarebam,venariebam,I was hunting
Active Indicative,Imperfect,1st Person,Plural,venarabamus,venarebamus,venarebamus,venariebamus,We were hunting
Active Indicative,Imperfect,2nd Person,Singular,venarabas,venarebas,venarebas,venariebas,You were hunting
Active Indicative,Imperfect,2nd Person,Plural,venarabatis,venarebatis,venarebatis,venariebatis,You (pl.) were hunting
Active Indicative,Imperfect,3rd Person,Singular,venarabat,venarebat,venarebat,venariebat,He/she/it was hunting
Active Indicative,Imperfect,3rd Person,Plural,venarabant,venarebant,venarebant,venariebant,They were hunting
Active Indicative,Future,1st Person,Singular,venarabo,venarebo,venaram,venariam,I will hunt
Active Indicative,Future,1st Person,Plural,venarabimus,venarebimus,venaremus,venariemus,We will hunt
Active Indicative,Future,2nd Person,Singular,venarabis,venarebis,venares,venaries,You will hunt
Active Indicative,Future,2nd Person,Plural,venarabitis,venarebitis,venaretis,venarietis,You (pl.) will hunt
Active Indicative,Future,3rd Person,Singular,venarabit,venarebit,venaret,venariet,He/she/it will hunt
Active Indicative,Future,3rd Person,Plural,venarabunt,venarebunt,venarent,venarient,They will hunt
Active Indicative,Perfect,1st Person,Singular,venaravi,venarui,venari,venari,I have hunted
Active Indicative,Perfect,1st Person,Plural,venaravimus,venaruimus,venarimus,venarimus,We have hunted
Active Indicative,Perfect,2nd Person,Singular,venaravisti,venaruisti,venaristi,venaristi,You have hunted
Active Indicative,Perfect,2nd Person,Plural,venaravistis,venaruistis,venaristis,venaristis,You (pl.) have hunted
Active Indicative,Perfect,3rd Person,Singular,venaravit,venaruit,venarit,venarit,He/she/it has hunted
Active Indicative,Perfect,3rd Person,Plural,venaraverunt,venaruerunt,venarerunt,venarerunt,They have hunted
Active Indicative,Pluperfect,1st Person,Singular,venaraveram,venarueram,venareram,venareram,I had hunted
Active Indicative,Pluperfect,1st Person,Plural,venaraveramus,venarueramus,venareramus,venareramus,We had hunted
Active Indicative,Pluperfect,2nd Person,Singular,venaraveras,venarueras,venareras,venareras,You had hunted
Active Indicative,Pluperfect,2nd Person,Plural,venaraveratis,venarueratis,venareratis,venareratis,You (pl.) had hunted
Active Indicative,Pluperfect,3rd Person,Singular,venaraverat,venaruerat,venarerat,venarerat,He/she/it had hunted
Active Indicative,Pluperfect,3rd Person,Plural,venaraverant,venaruerant,venarerant,venarerant,They had hunted
Active Indicative,Future Perfect,1st Person,Singular,venaravero,venarueero,venarero,venariero,I will have hunted
Active Indicative,Future Perfect,1st Person,Plural,venaraverimus,venaruerimus,venarerimus,venarierimus,We will have hunted
Active Indicative,Future Perfect,2nd Person,Singular,venaraveris,venarueris,venareris,venarieris,You will have hunted
Active Indicative,Future Perfect,2nd Person,Plural,venaraveritis,venarueritis,venareritis,venarieritis,You (pl.) will have hunted
Active Indicative,Future Perfect,3rd Person,Singular,venaraverit,venaruerit,venarerit,venarierit,He/she/it will have hunted
Active Indicative,Future Perfect,3rd Person,Plural,venaraverint,venaruerint,venarerint,venarierint,They will have hunted
Passive Indicative,Present,1st Person,Singular,venaror,venareor,venaror,venarior,I am being hunted
Passive Indicative,Present,1st Person,Plural,venaramur,venaremur,venarimur,venarimur,We are being hunted
Passive Indicative,Present,2nd Person,Singular,venararis,venareris,venariris,venariris,You are being hunted
Passive Indicative,Present,2nd Person,Plural,venaramini,venaremini,venarimini,venarimini,You (pl.) are being hunted
Passive Indicative,Present,3rd Person,Singular,venaratur,venaretur,venaritur,venaritur,He/she/it is being hunted
Passive Indicative,Present,3rd Person,Plural,venarantur,venarentur,venariuntur,venariuntur,They are being hunted
Passive Indicative,Imperfect,1st Person,Singular,venarabar,venarebar,venarebar,venariebar,I was hunted
Passive Indicative,Imperfect,1st Person,Plural,venarabamur,venarebamur,venarebamur,venariebamur,We were hunted
Passive Indicative,Imperfect,2nd Person,Singular,venarabaris,venarebaris,venarebaris,venariebaris,You were hunted
Passive Indicative,Imperfect,2nd Person,Plural,venarabamini,venarebamini,venarebamini,venariebamini,You (pl.) were hunted
Passive Indicative,Imperfect,3rd Person,Singular,venarabatur,venarebatur,venarebatur,venariebatur,He/she/it was hunted
Passive Indicative,Imperfect,3rd Person,Plural,venarabantur,venarebantur,venarebantur,venariebantur,They were hunted
Passive Indicative,Future,1st Person,Singular,venarabor,venarebor,venarar,venariar,I will be hunted
Passive Indicative,Future,1st Person,Plural,venarabimur,venarebimur,venaremur,venariemur,We will be hunted
Passive Indicative,Future,2nd Person,Singular,venaraberis,venareberis,venareris,venarieris,You will be hunted
Passive Indicative,Future,2nd Person,Plural,venarabimini,venarebimini,venaremini,venariemini,You (pl.) will be hunted
Passive Indicative,Future,3rd Person,Singular,venarabitur,venarebitur,venaretur,venarietur,He/she/it will be hunted
Passive Indicative,Future,3rd Person,Plural,venarabuntur,venarebuntur,venarentur,venarientur,They will be hunted
Passive Indicative,Perfect,1st Person,Singular,venaratus sum,venaretus sum,venarus sum,venarus sum,I have been hunted
Passive Indicative,Perfect,1st Person,Plural,venarati sumus,venareti sumus,venari sumus,venari sumus,We have been hunted
Passive Indicative,Perfect,2nd Person,Singular,venaratus es,venaretus es,venarus es,venarus es,You have been hunted
Passive Indicative,Perfect,2nd Person,Plural,venarati estis,venareti estis,venari estis,venari estis,You (pl.) have been hunted
Passive Indicative,Perfect,3rd Person,Singular,venaratus est,venaretus est,venarus est,venarus est,He/she/it has been hunted
Passive Indicative,Perfect,3rd Person,Plural,venarati sunt,venareti sunt,venari sunt,venari sunt,They have been hunted
Passive Indicative,Pluperfect,1st Person,Singular,venaratus eram,venaretus eram,venarus eram,venarus eram,I had been hunted
Passive Indicative,Pluperfect,1st Person,Plural,venarati eramus,venareti eramus,venari eramus,venari eramus,We had been hunted
Passive Indicative,Pluperfect,2nd Person,Singular,venaratus eras,venaretus eras,venarus eras,venarus eras,You had been hunted
Passive Indicative,Pluperfect,2nd Person,Plural,venarati eratis,venareti eratis,venari eratis,venari eratis,You (pl.) had been hunted
Passive Indicative,Pluperfect,3rd Person,Singular,venaratus erat,venaretus erat,venarus erat,venarus erat,He/she/it had been hunted
Passive Indicative,Pluperfect,3rd Person,Plural,venarati erant,venareti erant,venari erant,venari erant,They had been hunted
Passive Indicative,Future Perfect,1st Person,Singular,venaratus ero,venaretus ero,venarus ero,venarus ero,I will have been hunted
Passive Indicative,Future Perfect,1st Person,Plural,venarati erimus,venareti erimus,venari erimus,venari erimus,We will have been hunted
Passive Indicative,Future Perfect,2nd Person,Singular,venaratus eris,venaretus eris,venarus eris,venarus eris,You will have been hunted
Passive Indicative,Future Perfect,2nd Person,Plural,venarati eritis,venareti eritis,venari eritis,venari eritis,You (pl.) will have been hunted
Passive Indicative,Future Perfect,3rd Person,Singular,venaratus erit,venaretus erit,venarus erit,venarus erit,He/she/it will have been hunted
Passive Indicative,Future Perfect,3rd Person,Plural,venarati erunt,venareti erunt,venari erunt,venari erunt,They will have been hunted
Active Subjunctive,Present,1st Person,Singular,venarem,venarem,venaram,venaram,I may hunt
Active Subjunctive,Present,1st Person,Plural,venaremus,venaremus,venaramus,venaramus,We may hunt
Active Subjunctive,Present,2nd Person,Singular,venares,venares,venaras,venaras,You may hunt
Active Subjunctive,Present,2nd Person,Plural,venaretis,venaretis,venaratis,venaratis,You (pl.) may hunt
Active Subjunctive,Present,3rd Person,Singular,venaret,venaret,venarat,venarat,He/she/it may hunt
Active Subjunctive,Present,3rd Person,Plural,venarent,venarent,venarant,venarant,They may hunt
