Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,ventilo,ventileo,ventilo,ventilio,I air
Active Indicative,Present,1st Person,Plural,ventilamus,ventilemus,ventilimus,ventilimus,We air
Active Indicative,Present,2nd Person,Singular,ventilas,ventiles,ventilis,ventilis,You air
Active Indicative,Present,2nd Person,Plural,ventilatis,ventiletis,ventilitis,ventilitis,You (pl.) air
Active Indicative,Present,3rd Person,Singular,ventilat,ventilet,ventilit,ventilit,He/she/it air
Active Indicative,Present,3rd Person,Plural,ventilant,ventilent,ventiliunt,ventiliunt,They air
Active Indicative,Imperfect,1st Person,Singular,ventilabam,ventilebam,ventilebam,ventiliebam,I was airing
Active Indicative,Imperfect,1st Person,Plural,ventilabamus,ventilebamus,ventilebamus,ventiliebamus,We were airing
Active Indicative,Imperfect,2nd Person,Singular,ventilabas,ventilebas,ventilebas,ventiliebas,You were airing
Active Indicative,Imperfect,2nd Person,Plural,ventilabatis,ventilebatis,ventilebatis,ventiliebatis,You (pl.) were airing
Active Indicative,Imperfect,3rd Person,Singular,ventilabat,ventilebat,ventilebat,ventiliebat,He/she/it was airing
Active Indicative,Imperfect,3rd Person,Plural,ventilabant,ventilebant,ventilebant,ventiliebant,They were airing
Active Indicative,Future,1st Person,Singular,ventilabo,ventilebo,ventilam,ventiliam,I will air
Active Indicative,Future,1st Person,Plural,ventilabimus,ventilebimus,ventilemus,ventiliemus,We will air
Active Indicative,Future,2nd Person,Singular,ventilabis,ventilebis,ventiles,ventilies,You will air
Active Indicative,Future,2nd Person,Plural,ventilabitis,ventilebitis,ventiletis,ventilietis,You (pl.) will air
Active Indicative,Future,3rd Person,Singular,ventilabit,ventilebit,ventilet,ventiliet,He/she/it will air
Active Indicative,Future,3rd Person,Plural,ventilabunt,ventilebunt,ventilent,ventilient,They will air
Active Indicative,Perfect,1st Person,Singular,ventilavi,ventilui,ventili,ventili,I have aired
