Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,verbero,verbereo,verbero,verberio,I beat
Active Indicative,Present,1st Person,Plural,verberamus,verberemus,verberimus,verberimus,We beat
Active Indicative,Present,2nd Person,Singular,verberas,verberes,verberis,verberis,You beat
Active Indicative,Present,2nd Person,Plural,verberatis,verberetis,verberitis,verberitis,You (pl.) beat
Active Indicative,Present,3rd Person,Singular,verberat,verberet,verberit,verberit,He/she/it beat
Active Indicative,Present,3rd Person,Plural,verberant,verberent,verberiunt,verberiunt,They beat
Active Indicative,Imperfect,1st Person,Singular,verberabam,verberebam,verberebam,verberiebam,I was beating
Active Indicative,Imperfect,1st Person,Plural,verberabamus,verberebamus,verberebamus,verberiebamus,We were beating
Active Indicative,Imperfect,2nd Person,Singular,verberabas,verberebas,verberebas,verberiebas,You were beating
Active Indicative,Imperfect,2nd Person,Plural,verberabatis,verberebatis,verberebatis,verberiebatis,You (pl.) were beating
Active Indicative,Imperfect,3rd Person,Singular,verberabat,verberebat,verberebat,verberiebat,He/she/it was beating
Active Indicative,Imperfect,3rd Person,Plural,verberabant,verberebant,verberebant,verberiebant,They were beating
Active Indicative,Future,1st Person,Singular,verberabo,verberebo,verberam,verberiam,I will beat
Active Indicative,Future,1st Person,Plural,verberabimus,verberebimus,verberemus,verberiemus,We will beat
Active Indicative,Future,2nd Person,Singular,verberabis,verberebis,verberes,verberies,You will beat
Active Indicative,Future,2nd Person,Plural,verberabitis,verberebitis,verberetis,verberietis,You (pl.) will beat
Active Indicative,Future,3rd Person,Singular,verberabit,verberebit,verberet,verberiet,He/she/it will beat
Active Indicative,Future,3rd Person,Plural,verberabunt,verberebunt,verberent,verberient,They will beat
Active Indicative,Perfect,1st Person,Singular,verberavi,verberui,verberi,verberi,I have beated
Active Indicative,Perfect,1st Person,Plural,verberavimus,verberuimus,verberimus,verberimus,We have beated
Active Indicative,Perfect,2nd Person,Singular,verberavisti,verberuisti,verberisti,verberisti,You have beated
Active Indicative,Perfect,2nd Person,Plural,verberavistis,verberuistis,verberistis,verberistis,You (pl.) have beated
Active Indicative,Perfect,3rd Person,Singular,verberavit,verberuit,verberit,verberit,He/she/it has beated
Active Indicative,Perfect,3rd Person,Plural,verberaverunt,verberuerunt,verbererunt,verbererunt,They have beated
Active Indicative,Pluperfect,1st Person,Singular,verberaveram,verberueram,verbereram,verbereram,I had beated
Active Indicative,Pluperfect,1st Person,Plural,verberaveramus,verberueramus,verbereramus,verbereramus,We had beated
Active Indicative,Pluperfect,2nd Person,Singular,verberaveras,verberueras,verbereras,verbereras,You had beated
Active Indicative,Pluperfect,2nd Person,Plural,verberaveratis,verberueratis,verbereratis,verbereratis,You (pl.) had beated
Active Indicative,Pluperfect,3rd Person,Singular,verberaverat,verberuerat,verbererat,verbererat,He/she/it had beated
Active Indicative,Pluperfect,3rd Person,Plural,verberaverant,verberuerant,verbererant,verbererant,They had beated
Active Indicative,Future Perfect,1st Person,Singular,verberavero,verberueero,verberero,verberiero,I will have beated
Active Indicative,Future Perfect,1st Person,Plural,verberaverimus,verberuerimus,verbererimus,verberierimus,We will have beated
Active Indicative,Future Perfect,2nd Person,Singular,verberaveris,verberueris,verbereris,verberieris,You will have beated
Active Indicative,Future Perfect,2nd Person,Plural,verberaveritis,verberueritis,verbereritis,verberieritis,You (pl.) will have beated
Active Indicative,Future Perfect,3rd Person,Singular,verberaverit,verberuerit,verbererit,verberierit,He/she/it will have beated
Active Indicative,Future Perfect,3rd Person,Plural,verberaverint,verberuerint,verbererint,verberierint,They will have beated
Passive Indicative,Present,1st Person,Singular,verberor,verbereor,verberor,verberior,I am being beated
Passive Indicative,Present,1st Person,Plural,verberamur,verberemur,verberimur,verberimur,We are being beated
Passive Indicative,Present,2nd Person,Singular,verberaris,verbereris,verberiris,verberiris,You are being beated
Passive Indicative,Present,2nd Person,Plural,verberamini,verberemini,verberimini,verberimini,You (pl.) are being beated
Passive Indicative,Present,3rd Person,Singular,verberatur,verberetur,verberitur,verberitur,He/she/it is being beated
Passive Indicative,Present,3rd Person,Plural,verberantur,verberentur,verberiuntur,verberiuntur,They are being beated
Passive Indicative,Imperfect,1st Person,Singular,verberabar,verberebar,verberebar,verberiebar,I was beated
Passive Indicative,Imperfect,1st Person,Plural,verberabamur,verberebamur,verberebamur,verberiebamur,We were beated
