Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,vetulo,vetuleo,vetulo,vetulio,I age
Active Indicative,Present,1st Person,Plural,vetulamus,vetulemus,vetulimus,vetulimus,We age
Active Indicative,Present,2nd Person,Singular,vetulas,vetules,vetulis,vetulis,You age
Active Indicative,Present,2nd Person,Plural,vetulatis,vetuletis,vetulitis,vetulitis,You (pl.) age
Active Indicative,Present,3rd Person,Singular,vetulat,vetulet,vetulit,vetulit,He/she/it age
Active Indicative,Present,3rd Person,Plural,vetulant,vetulent,vetuliunt,vetuliunt,They age
Active Indicative,Imperfect,1st Person,Singular,vetulabam,vetulebam,vetulebam,vetuliebam,I was ageing
Active Indicative,Imperfect,1st Person,Plural,vetulabamus,vetulebamus,vetulebamus,vetuliebamus,We were ageing
Active Indicative,Imperfect,2nd Person,Singular,vetulabas,vetulebas,vetulebas,vetuliebas,You were ageing
Active Indicative,Imperfect,2nd Person,Plural,vetulabatis,vetulebatis,vetulebatis,vetuliebatis,You (pl.) were ageing
Active Indicative,Imperfect,3rd Person,Singular,vetulabat,vetulebat,vetulebat,vetuliebat,He/she/it was ageing
Active Indicative,Imperfect,3rd Person,Plural,vetulabant,vetulebant,vetulebant,vetuliebant,They were ageing
Active Indicative,Future,1st Person,Singular,vetulabo,vetulebo,vetulam,vetuliam,I will age
Active Indicative,Future,1st Person,Plural,vetulabimus,vetulebimus,vetulemus,vetuliemus,We will age
Active Indicative,Future,2nd Person,Singular,vetulabis,vetulebis,vetules,vetulies,You will age
Active Indicative,Future,2nd Person,Plural,vetulabitis,vetulebitis,vetuletis,vetulietis,You (pl.) will age
Active Indicative,Future,3rd Person,Singular,vetulabit,vetulebit,vetulet,vetuliet,He/she/it will age
Active Indicative,Future,3rd Person,Plural,vetulabunt,vetulebunt,vetulent,vetulient,They will age
Active Indicative,Perfect,1st Person,Singular,vetulavi,vetului,vetuli,vetuli,I have ageed
Active Indicative,Perfect,1st Person,Plural,vetulavimus,vetuluimus,vetulimus,vetulimus,We have ageed
Active Indicative,Perfect,2nd Person,Singular,vetulavisti,vetuluisti,vetulisti,vetulisti,You have ageed
Active Indicative,Perfect,2nd Person,Plural,vetulavistis,vetuluistis,vetulistis,vetulistis,You (pl.) have ageed
Active Indicative,Perfect,3rd Person,Singular,vetulavit,vetuluit,vetulit,vetulit,He/she/it has ageed
