Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,vigilo,vigileo,vigilo,vigilio,I wake up early
Active Indicative,Present,1st Person,Plural,vigilamus,vigilemus,vigilimus,vigilimus,We wake up early
Active Indicative,Present,2nd Person,Singular,vigilas,vigiles,vigilis,vigilis,You wake up early
Active Indicative,Present,2nd Person,Plural,vigilatis,vigiletis,vigilitis,vigilitis,You (pl.) wake up early
Active Indicative,Present,3rd Person,Singular,vigilat,vigilet,vigilit,vigilit,He/she/it wake up early
Active Indicative,Present,3rd Person,Plural,vigilant,vigilent,vigiliunt,vigiliunt,They wake up early
Active Indicative,Imperfect,1st Person,Singular,vigilabam,vigilebam,vigilebam,vigiliebam,I was wake up earlying
Active Indicative,Imperfect,1st Person,Plural,vigilabamus,vigilebamus,vigilebamus,vigiliebamus,We were wake up earlying
Active Indicative,Imperfect,2nd Person,Singular,vigilabas,vigilebas,vigilebas,vigiliebas,You were wake up earlying
Active Indicative,Imperfect,2nd Person,Plural,vigilabatis,vigilebatis,vigilebatis,vigiliebatis,You (pl.) were wake up earlying
Active Indicative,Imperfect,3rd Person,Singular,vigilabat,vigilebat,vigilebat,vigiliebat,He/she/it was wake up earlying
Active Indicative,Imperfect,3rd Person,Plural,vigilabant,vigilebant,vigilebant,vigiliebant,They were wake up earlying
Active Indicative,Future,1st Person,Singular,vigilabo,vigilebo,vigilam,vigiliam,I will wake up early
Active Indicative,Future,1st Person,Plural,vigilabimus,vigilebimus,vigilemus,vigiliemus,We will wake up early
Active Indicative,Future,2nd Person,Singular,vigilabis,vigilebis,vigiles,vigilies,You will wake up early
Active Indicative,Future,2nd Person,Plural,vigilabitis,vigilebitis,vigiletis,vigilietis,You (pl.) will wake up early
Active Indicative,Future,3rd Person,Singular,vigilabit,vigilebit,vigilet,vigiliet,He/she/it will wake up early
Active Indicative,Future,3rd Person,Plural,vigilabunt,vigilebunt,vigilent,vigilient,They will wake up early
Active Indicative,Perfect,1st Person,Singular,vigilavi,vigilui,vigili,vigili,I have wake up earlyed
Active Indicative,Perfect,1st Person,Plural,vigilavimus,vigiluimus,vigilimus,vigilimus,We have wake up earlyed
Active Indicative,Perfect,2nd Person,Singular,vigilavisti,vigiluisti,vigilisti,vigilisti,You have wake up earlyed
Active Indicative,Perfect,2nd Person,Plural,vigilavistis,vigiluistis,vigilistis,vigilistis,You (pl.) have wake up earlyed
Active Indicative,Perfect,3rd Person,Singular,vigilavit,vigiluit,vigilit,vigilit,He/she/it has wake up earlyed
Active Indicative,Perfect,3rd Person,Plural,vigilaverunt,vigiluerunt,vigilerunt,vigilerunt,They have wake up earlyed
Active Indicative,Pluperfect,1st Person,Singular,vigilaveram,vigilueram,vigileram,vigileram,I had wake up earlyed
Active Indicative,Pluperfect,1st Person,Plural,vigilaveramus,vigilueramus,vigileramus,vigileramus,We had wake up earlyed
Active Indicative,Pluperfect,2nd Person,Singular,vigilaveras,vigilueras,vigileras,vigileras,You had wake up earlyed
Active Indicative,Pluperfect,2nd Person,Plural,vigilaveratis,vigilueratis,vigileratis,vigileratis,You (pl.) had wake up earlyed
Active Indicative,Pluperfect,3rd Person,Singular,vigilaverat,vigiluerat,vigilerat,vigilerat,He/she/it had wake up earlyed
Active Indicative,Pluperfect,3rd Person,Plural,vigilaverant,vigiluerant,vigilerant,vigilerant,They had wake up earlyed
Active Indicative,Future Perfect,1st Person,Singular,vigilavero,vigilueero,vigilero,vigiliero,I will have wake up earlyed
Active Indicative,Future Perfect,1st Person,Plural,vigilaverimus,vigiluerimus,vigilerimus,vigilierimus,We will have wake up earlyed
Active Indicative,Future Perfect,2nd Person,Singular,vigilaveris,vigilueris,vigileris,vigilieris,You will have wake up earlyed
Active Indicative,Future Perfect,2nd Person,Plural,vigilaveritis,vigilueritis,vigileritis,vigilieritis,You (pl.) will have wake up earlyed
Active Indicative,Future Perfect,3rd Person,Singular,vigilaverit,vigiluerit,vigilerit,vigilierit,He/she/it will have wake up earlyed
