Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,viro,vireo,viro,virio,I turn green
Active Indicative,Present,1st Person,Plural,viramus,viremus,virimus,virimus,We turn green
Active Indicative,Present,2nd Person,Singular,viras,vires,viris,viris,You turn green
Active Indicative,Present,2nd Person,Plural,viratis,viretis,viritis,viritis,You (pl.) turn green
Active Indicative,Present,3rd Person,Singular,virat,viret,virit,virit,He/she/it turn green
Active Indicative,Present,3rd Person,Plural,virant,virent,viriunt,viriunt,They turn green
Active Indicative,Imperfect,1st Person,Singular,virabam,virebam,virebam,viriebam,I was turn greening
Active Indicative,Imperfect,1st Person,Plural,virabamus,virebamus,virebamus,viriebamus,We were turn greening
Active Indicative,Imperfect,2nd Person,Singular,virabas,virebas,virebas,viriebas,You were turn greening
Active Indicative,Imperfect,2nd Person,Plural,virabatis,virebatis,virebatis,viriebatis,You (pl.) were turn greening
Active Indicative,Imperfect,3rd Person,Singular,virabat,virebat,virebat,viriebat,He/she/it was turn greening
Active Indicative,Imperfect,3rd Person,Plural,virabant,virebant,virebant,viriebant,They were turn greening
Active Indicative,Future,1st Person,Singular,virabo,virebo,viram,viriam,I will turn green
Active Indicative,Future,1st Person,Plural,virabimus,virebimus,viremus,viriemus,We will turn green
Active Indicative,Future,2nd Person,Singular,virabis,virebis,vires,viries,You will turn green
Active Indicative,Future,2nd Person,Plural,virabitis,virebitis,viretis,virietis,You (pl.) will turn green
Active Indicative,Future,3rd Person,Singular,virabit,virebit,viret,viriet,He/she/it will turn green
Active Indicative,Future,3rd Person,Plural,virabunt,virebunt,virent,virient,They will turn green
Active Indicative,Perfect,1st Person,Singular,viravi,virui,viri,viri,I have turn greened
Active Indicative,Perfect,1st Person,Plural,viravimus,viruimus,virimus,virimus,We have turn greened
Active Indicative,Perfect,2nd Person,Singular,viravisti,viruisti,viristi,viristi,You have turn greened
Active Indicative,Perfect,2nd Person,Plural,viravistis,viruistis,viristis,viristis,You (pl.) have turn greened
Active Indicative,Perfect,3rd Person,Singular,viravit,viruit,virit,virit,He/she/it has turn greened
Active Indicative,Perfect,3rd Person,Plural,viraverunt,viruerunt,virerunt,virerunt,They have turn greened
Active Indicative,Pluperfect,1st Person,Singular,viraveram,virueram,vireram,vireram,I had turn greened
Active Indicative,Pluperfect,1st Person,Plural,viraveramus,virueramus,vireramus,vireramus,We had turn greened
Active Indicative,Pluperfect,2nd Person,Singular,viraveras,virueras,vireras,vireras,You had turn greened
Active Indicative,Pluperfect,2nd Person,Plural,viraveratis,virueratis,vireratis,vireratis,You (pl.) had turn greened
Active Indicative,Pluperfect,3rd Person,Singular,viraverat,viruerat,virerat,virerat,He/she/it had turn greened
Active Indicative,Pluperfect,3rd Person,Plural,viraverant,viruerant,virerant,virerant,They had turn greened
Active Indicative,Future Perfect,1st Person,Singular,viravero,virueero,virero,viriero,I will have turn greened
