Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,viridizo,viridizeo,viridizo,viridizio,I turn green
Active Indicative,Present,1st Person,Plural,viridizamus,viridizemus,viridizimus,viridizimus,We turn green
Active Indicative,Present,2nd Person,Singular,viridizas,viridizes,viridizis,viridizis,You turn green
Active Indicative,Present,2nd Person,Plural,viridizatis,viridizetis,viridizitis,viridizitis,You (pl.) turn green
Active Indicative,Present,3rd Person,Singular,viridizat,viridizet,viridizit,viridizit,He/she/it turn green
Active Indicative,Present,3rd Person,Plural,viridizant,viridizent,viridiziunt,viridiziunt,They turn green
Active Indicative,Imperfect,1st Person,Singular,viridizabam,viridizebam,viridizebam,viridiziebam,I was turn greening
Active Indicative,Imperfect,1st Person,Plural,viridizabamus,viridizebamus,viridizebamus,viridiziebamus,We were turn greening
Active Indicative,Imperfect,2nd Person,Singular,viridizabas,viridizebas,viridizebas,viridiziebas,You were turn greening
Active Indicative,Imperfect,2nd Person,Plural,viridizabatis,viridizebatis,viridizebatis,viridiziebatis,You (pl.) were turn greening
Active Indicative,Imperfect,3rd Person,Singular,viridizabat,viridizebat,viridizebat,viridiziebat,He/she/it was turn greening
Active Indicative,Imperfect,3rd Person,Plural,viridizabant,viridizebant,viridizebant,viridiziebant,They were turn greening
Active Indicative,Future,1st Person,Singular,viridizabo,viridizebo,viridizam,viridiziam,I will turn green
Active Indicative,Future,1st Person,Plural,viridizabimus,viridizebimus,viridizemus,viridiziemus,We will turn green
Active Indicative,Future,2nd Person,Singular,viridizabis,viridizebis,viridizes,viridizies,You will turn green
Active Indicative,Future,2nd Person,Plural,viridizabitis,viridizebitis,viridizetis,viridizietis,You (pl.) will turn green
Active Indicative,Future,3rd Person,Singular,viridizabit,viridizebit,viridizet,viridiziet,He/she/it will turn green
Active Indicative,Future,3rd Person,Plural,viridizabunt,viridizebunt,viridizent,viridizient,They will turn green
Active Indicative,Perfect,1st Person,Singular,viridizavi,viridizui,viridizi,viridizi,I have turn greened
Active Indicative,Perfect,1st Person,Plural,viridizavimus,viridizuimus,viridizimus,viridizimus,We have turn greened
Active Indicative,Perfect,2nd Person,Singular,viridizavisti,viridizuisti,viridizisti,viridizisti,You have turn greened
Active Indicative,Perfect,2nd Person,Plural,viridizavistis,viridizuistis,viridizistis,viridizistis,You (pl.) have turn greened
Active Indicative,Perfect,3rd Person,Singular,viridizavit,viridizuit,viridizit,viridizit,He/she/it has turn greened
Active Indicative,Perfect,3rd Person,Plural,viridizaverunt,viridizuerunt,viridizerunt,viridizerunt,They have turn greened
Active Indicative,Pluperfect,1st Person,Singular,viridizaveram,viridizueram,viridizeram,viridizeram,I had turn greened
Active Indicative,Pluperfect,1st Person,Plural,viridizaveramus,viridizueramus,viridizeramus,viridizeramus,We had turn greened
Active Indicative,Pluperfect,2nd Person,Singular,viridizaveras,viridizueras,viridizeras,viridizeras,You had turn greened
Active Indicative,Pluperfect,2nd Person,Plural,viridizaveratis,viridizueratis,viridizeratis,viridizeratis,You (pl.) had turn greened
Active Indicative,Pluperfect,3rd Person,Singular,viridizaverat,viridizuerat,viridizerat,viridizerat,He/she/it had turn greened
Active Indicative,Pluperfect,3rd Person,Plural,viridizaverant,viridizuerant,viridizerant,viridizerant,They had turn greened
Active Indicative,Future Perfect,1st Person,Singular,viridizavero,viridizueero,viridizero,viridiziero,I will have turn greened
Active Indicative,Future Perfect,1st Person,Plural,viridizaverimus,viridizuerimus,viridizerimus,viridizierimus,We will have turn greened
Active Indicative,Future Perfect,2nd Person,Singular,viridizaveris,viridizueris,viridizeris,viridizieris,You will have turn greened
Active Indicative,Future Perfect,2nd Person,Plural,viridizaveritis,viridizueritis,viridizeritis,viridizieritis,You (pl.) will have turn greened
Active Indicative,Future Perfect,3rd Person,Singular,viridizaverit,viridizuerit,viridizerit,viridizierit,He/she/it will have turn greened
Active Indicative,Future Perfect,3rd Person,Plural,viridizaverint,viridizuerint,viridizerint,viridizierint,They will have turn greened
Passive Indicative,Present,1st Person,Singular,viridizor,viridizeor,viridizor,viridizior,I am being turn greened
Passive Indicative,Present,1st Person,Plural,viridizamur,viridizemur,viridizimur,viridizimur,We are being turn greened
Passive Indicative,Present,2nd Person,Singular,viridizaris,viridizeris,viridiziris,viridiziris,You are being turn greened
Passive Indicative,Present,2nd Person,Plural,viridizamini,viridizemini,viridizimini,viridizimini,You (pl.) are being turn greened
Passive Indicative,Present,3rd Person,Singular,viridizatur,viridizetur,viridizitur,viridizitur,He/she/it is being turn greened
Passive Indicative,Present,3rd Person,Plural,viridizantur,viridizentur,viridiziuntur,viridiziuntur,They are being turn greened
Passive Indicative,Imperfect,1st Person,Singular,viridizabar,viridizebar,viridizebar,viridiziebar,I was turn greened
Passive Indicative,Imperfect,1st Person,Plural,viridizabamur,viridizebamur,viridizebamur,viridiziebamur,We were turn greened
Passive Indicative,Imperfect,2nd Person,Singular,viridizabaris,viridizebaris,viridizebaris,viridiziebaris,You were turn greened
Passive Indicative,Imperfect,2nd Person,Plural,viridizabamini,viridizebamini,viridizebamini,viridiziebamini,You (pl.) were turn greened
Passive Indicative,Imperfect,3rd Person,Singular,viridizabatur,viridizebatur,viridizebatur,viridiziebatur,He/she/it was turn greened
Passive Indicative,Imperfect,3rd Person,Plural,viridizabantur,viridizebantur,viridizebantur,viridiziebantur,They were turn greened
Passive Indicative,Future,1st Person,Singular,viridizabor,viridizebor,viridizar,viridiziar,I will be turn greened
Passive Indicative,Future,1st Person,Plural,viridizabimur,viridizebimur,viridizemur,viridiziemur,We will be turn greened
Passive Indicative,Future,2nd Person,Singular,viridizaberis,viridizeberis,viridizeris,viridizieris,You will be turn greened
Passive Indicative,Future,2nd Person,Plural,viridizabimini,viridizebimini,viridizemini,viridiziemini,You (pl.) will be turn greened
Passive Indicative,Future,3rd Person,Singular,viridizabitur,viridizebitur,viridizetur,viridizietur,He/she/it will be turn greened
Passive Indicative,Future,3rd Person,Plural,viridizabuntur,viridizebuntur,viridizentur,viridizientur,They will be turn greened
Passive Indicative,Perfect,1st Person,Singular,viridizatus sum,viridizetus sum,viridizus sum,viridizus sum,I have been turn greened
Passive Indicative,Perfect,1st Person,Plural,viridizati sumus,viridizeti sumus,viridizi sumus,viridizi sumus,We have been turn greened
Passive Indicative,Perfect,2nd Person,Singular,viridizatus es,viridizetus es,viridizus es,viridizus es,You have been turn greened
Passive Indicative,Perfect,2nd Person,Plural,viridizati estis,viridizeti estis,viridizi estis,viridizi estis,You (pl.) have been turn greened
Passive Indicative,Perfect,3rd Person,Singular,viridizatus est,viridizetus est,viridizus est,viridizus est,He/she/it has been turn greened
Passive Indicative,Perfect,3rd Person,Plural,viridizati sunt,viridizeti sunt,viridizi sunt,viridizi sunt,They have been turn greened
Passive Indicative,Pluperfect,1st Person,Singular,viridizatus eram,viridizetus eram,viridizus eram,viridizus eram,I had been turn greened
Passive Indicative,Pluperfect,1st Person,Plural,viridizati eramus,viridizeti eramus,viridizi eramus,viridizi eramus,We had been turn greened
Passive Indicative,Pluperfect,2nd Person,Singular,viridizatus eras,viridizetus eras,viridizus eras,viridizus eras,You had been turn greened
