Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,voco,voceo,voco,vocio,I call
Active Indicative,Present,1st Person,Plural,vocamus,vocemus,vocimus,vocimus,We call
Active Indicative,Present,2nd Person,Singular,vocas,voces,vocis,vocis,You call
Active Indicative,Present,2nd Person,Plural,vocatis,vocetis,vocitis,vocitis,You (pl.) call
Active Indicative,Present,3rd Person,Singular,vocat,vocet,vocit,vocit,He/she/it call
Active Indicative,Present,3rd Person,Plural,vocant,vocent,vociunt,vociunt,They call
Active Indicative,Imperfect,1st Person,Singular,vocabam,vocebam,vocebam,vociebam,I was calling
Active Indicative,Imperfect,1st Person,Plural,vocabamus,vocebamus,vocebamus,vociebamus,We were calling
Active Indicative,Imperfect,2nd Person,Singular,vocabas,vocebas,vocebas,vociebas,You were calling
Active Indicative,Imperfect,2nd Person,Plural,vocabatis,vocebatis,vocebatis,vociebatis,You (pl.) were calling
Active Indicative,Imperfect,3rd Person,Singular,vocabat,vocebat,vocebat,vociebat,He/she/it was calling
Active Indicative,Imperfect,3rd Person,Plural,vocabant,vocebant,vocebant,vociebant,They were calling
Active Indicative,Future,1st Person,Singular,vocabo,vocebo,vocam,vociam,I will call
Active Indicative,Future,1st Person,Plural,vocabimus,vocebimus,vocemus,vociemus,We will call
Active Indicative,Future,2nd Person,Singular,vocabis,vocebis,voces,vocies,You will call
Active Indicative,Future,2nd Person,Plural,vocabitis,vocebitis,vocetis,vocietis,You (pl.) will call
Active Indicative,Future,3rd Person,Singular,vocabit,vocebit,vocet,vociet,He/she/it will call
Active Indicative,Future,3rd Person,Plural,vocabunt,vocebunt,vocent,vocient,They will call
Active Indicative,Perfect,1st Person,Singular,vocavi,vocui,voci,voci,I have called
Active Indicative,Perfect,1st Person,Plural,vocavimus,vocuimus,vocimus,vocimus,We have called
Active Indicative,Perfect,2nd Person,Singular,vocavisti,vocuisti,vocisti,vocisti,You have called
Active Indicative,Perfect,2nd Person,Plural,vocavistis,vocuistis,vocistis,vocistis,You (pl.) have called
Active Indicative,Perfect,3rd Person,Singular,vocavit,vocuit,vocit,vocit,He/she/it has called
Active Indicative,Perfect,3rd Person,Plural,vocaverunt,vocuerunt,vocerunt,vocerunt,They have called
Active Indicative,Pluperfect,1st Person,Singular,vocaveram,vocueram,voceram,voceram,I had called
Active Indicative,Pluperfect,1st Person,Plural,vocaveramus,vocueramus,voceramus,voceramus,We had called
Active Indicative,Pluperfect,2nd Person,Singular,vocaveras,vocueras,voceras,voceras,You had called
Active Indicative,Pluperfect,2nd Person,Plural,vocaveratis,vocueratis,voceratis,voceratis,You (pl.) had called
Active Indicative,Pluperfect,3rd Person,Singular,vocaverat,vocuerat,vocerat,vocerat,He/she/it had called
Active Indicative,Pluperfect,3rd Person,Plural,vocaverant,vocuerant,vocerant,vocerant,They had called
Active Indicative,Future Perfect,1st Person,Singular,vocavero,vocueero,vocero,vociero,I will have called
Active Indicative,Future Perfect,1st Person,Plural,vocaverimus,vocuerimus,vocerimus,vocierimus,We will have called
Active Indicative,Future Perfect,2nd Person,Singular,vocaveris,vocueris,voceris,vocieris,You will have called
Active Indicative,Future Perfect,2nd Person,Plural,vocaveritis,vocueritis,voceritis,vocieritis,You (pl.) will have called
Active Indicative,Future Perfect,3rd Person,Singular,vocaverit,vocuerit,vocerit,vocierit,He/she/it will have called
Active Indicative,Future Perfect,3rd Person,Plural,vocaverint,vocuerint,vocerint,vocierint,They will have called
Passive Indicative,Present,1st Person,Singular,vocor,voceor,vocor,vocior,I am being called
Passive Indicative,Present,1st Person,Plural,vocamur,vocemur,vocimur,vocimur,We are being called
Passive Indicative,Present,2nd Person,Singular,vocaris,voceris,vociris,vociris,You are being called
Passive Indicative,Present,2nd Person,Plural,vocamini,vocemini,vocimini,vocimini,You (pl.) are being called
Passive Indicative,Present,3rd Person,Singular,vocatur,vocetur,vocitur,vocitur,He/she/it is being called
Passive Indicative,Present,3rd Person,Plural,vocantur,vocentur,vociuntur,vociuntur,They are being called
Passive Indicative,Imperfect,1st Person,Singular,vocabar,vocebar,vocebar,vociebar,I was called
Passive Indicative,Imperfect,1st Person,Plural,vocabamur,vocebamur,vocebamur,vociebamur,We were called
Passive Indicative,Imperfect,2nd Person,Singular,vocabaris,vocebaris,vocebaris,vociebaris,You were called
Passive Indicative,Imperfect,2nd Person,Plural,vocabamini,vocebamini,vocebamini,vociebamini,You (pl.) were called
Passive Indicative,Imperfect,3rd Person,Singular,vocabatur,vocebatur,vocebatur,vociebatur,He/she/it was called
Passive Indicative,Imperfect,3rd Person,Plural,vocabantur,vocebantur,vocebantur,vociebantur,They were called
Passive Indicative,Future,1st Person,Singular,vocabor,vocebor,vocar,vociar,I will be called
Passive Indicative,Future,1st Person,Plural,vocabimur,vocebimur,vocemur,vociemur,We will be called
Passive Indicative,Future,2nd Person,Singular,vocaberis,voceberis,voceris,vocieris,You will be called
Passive Indicative,Future,2nd Person,Plural,vocabimini,vocebimini,vocemini,vociemini,You (pl.) will be called
Passive Indicative,Future,3rd Person,Singular,vocabitur,vocebitur,vocetur,vocietur,He/she/it will be called
Passive Indicative,Future,3rd Person,Plural,vocabuntur,vocebuntur,vocentur,vocientur,They will be called
Passive Indicative,Perfect,1st Person,Singular,vocatus sum,vocetus sum,vocus sum,vocus sum,I have been called
Passive Indicative,Perfect,1st Person,Plural,vocati sumus,voceti sumus,voci sumus,voci sumus,We have been called
