Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,volvo,volveo,volvo,volvio,I roll
Active Indicative,Present,1st Person,Plural,volvamus,volvemus,volvimus,volvimus,We roll
Active Indicative,Present,2nd Person,Singular,volvas,volves,volvis,volvis,You roll
Active Indicative,Present,2nd Person,Plural,volvatis,volvetis,volvitis,volvitis,You (pl.) roll
Active Indicative,Present,3rd Person,Singular,volvat,volvet,volvit,volvit,He/she/it roll
Active Indicative,Present,3rd Person,Plural,volvant,volvent,volviunt,volviunt,They roll
Active Indicative,Imperfect,1st Person,Singular,volvabam,volvebam,volvebam,volviebam,I was rolling
Active Indicative,Imperfect,1st Person,Plural,volvabamus,volvebamus,volvebamus,volviebamus,We were rolling
Active Indicative,Imperfect,2nd Person,Singular,volvabas,volvebas,volvebas,volviebas,You were rolling
Active Indicative,Imperfect,2nd Person,Plural,volvabatis,volvebatis,volvebatis,volviebatis,You (pl.) were rolling
Active Indicative,Imperfect,3rd Person,Singular,volvabat,volvebat,volvebat,volviebat,He/she/it was rolling
Active Indicative,Imperfect,3rd Person,Plural,volvabant,volvebant,volvebant,volviebant,They were rolling
Active Indicative,Future,1st Person,Singular,volvabo,volvebo,volvam,volviam,I will roll
Active Indicative,Future,1st Person,Plural,volvabimus,volvebimus,volvemus,volviemus,We will roll
Active Indicative,Future,2nd Person,Singular,volvabis,volvebis,volves,volvies,You will roll
Active Indicative,Future,2nd Person,Plural,volvabitis,volvebitis,volvetis,volvietis,You (pl.) will roll
Active Indicative,Future,3rd Person,Singular,volvabit,volvebit,volvet,volviet,He/she/it will roll
Active Indicative,Future,3rd Person,Plural,volvabunt,volvebunt,volvent,volvient,They will roll
Active Indicative,Perfect,1st Person,Singular,volvavi,volvui,volvi,volvi,I have rolled
Active Indicative,Perfect,1st Person,Plural,volvavimus,volvuimus,volvimus,volvimus,We have rolled
Active Indicative,Perfect,2nd Person,Singular,volvavisti,volvuisti,volvisti,volvisti,You have rolled
Active Indicative,Perfect,2nd Person,Plural,volvavistis,volvuistis,volvistis,volvistis,You (pl.) have rolled
Active Indicative,Perfect,3rd Person,Singular,volvavit,volvuit,volvit,volvit,He/she/it has rolled
Active Indicative,Perfect,3rd Person,Plural,volvaverunt,volvuerunt,volverunt,volverunt,They have rolled
Active Indicative,Pluperfect,1st Person,Singular,volvaveram,volvueram,volveram,volveram,I had rolled
Active Indicative,Pluperfect,1st Person,Plural,volvaveramus,volvueramus,volveramus,volveramus,We had rolled
Active Indicative,Pluperfect,2nd Person,Singular,volvaveras,volvueras,volveras,volveras,You had rolled
Active Indicative,Pluperfect,2nd Person,Plural,volvaveratis,volvueratis,volveratis,volveratis,You (pl.) had rolled
Active Indicative,Pluperfect,3rd Person,Singular,volvaverat,volvuerat,volverat,volverat,He/she/it had rolled
Active Indicative,Pluperfect,3rd Person,Plural,volvaverant,volvuerant,volverant,volverant,They had rolled
Active Indicative,Future Perfect,1st Person,Singular,volvavero,volvueero,volvero,volviero,I will have rolled
Active Indicative,Future Perfect,1st Person,Plural,volvaverimus,volvuerimus,volverimus,volvierimus,We will have rolled
Active Indicative,Future Perfect,2nd Person,Singular,volvaveris,volvueris,volveris,volvieris,You will have rolled
Active Indicative,Future Perfect,2nd Person,Plural,volvaveritis,volvueritis,volveritis,volvieritis,You (pl.) will have rolled
Active Indicative,Future Perfect,3rd Person,Singular,volvaverit,volvuerit,volverit,volvierit,He/she/it will have rolled
Active Indicative,Future Perfect,3rd Person,Plural,volvaverint,volvuerint,volverint,volvierint,They will have rolled
Passive Indicative,Present,1st Person,Singular,volvor,volveor,volvor,volvior,I am being rolled
Passive Indicative,Present,1st Person,Plural,volvamur,volvemur,volvimur,volvimur,We are being rolled
Passive Indicative,Present,2nd Person,Singular,volvaris,volveris,volviris,volviris,You are being rolled
Passive Indicative,Present,2nd Person,Plural,volvamini,volvemini,volvimini,volvimini,You (pl.) are being rolled
Passive Indicative,Present,3rd Person,Singular,volvatur,volvetur,volvitur,volvitur,He/she/it is being rolled
Passive Indicative,Present,3rd Person,Plural,volvantur,volventur,volviuntur,volviuntur,They are being rolled
Passive Indicative,Imperfect,1st Person,Singular,volvabar,volvebar,volvebar,volviebar,I was rolled
Passive Indicative,Imperfect,1st Person,Plural,volvabamur,volvebamur,volvebamur,volviebamur,We were rolled
Passive Indicative,Imperfect,2nd Person,Singular,volvabaris,volvebaris,volvebaris,volviebaris,You were rolled
Passive Indicative,Imperfect,2nd Person,Plural,volvabamini,volvebamini,volvebamini,volviebamini,You (pl.) were rolled
Passive Indicative,Imperfect,3rd Person,Singular,volvabatur,volvebatur,volvebatur,volviebatur,He/she/it was rolled
Passive Indicative,Imperfect,3rd Person,Plural,volvabantur,volvebantur,volvebantur,volviebantur,They were rolled
Passive Indicative,Future,1st Person,Singular,volvabor,volvebor,volvar,volviar,I will be rolled
Passive Indicative,Future,1st Person,Plural,volvabimur,volvebimur,volvemur,volviemur,We will be rolled
Passive Indicative,Future,2nd Person,Singular,volvaberis,volveberis,volveris,volvieris,You will be rolled
Passive Indicative,Future,2nd Person,Plural,volvabimini,volvebimini,volvemini,volviemini,You (pl.) will be rolled
Passive Indicative,Future,3rd Person,Singular,volvabitur,volvebitur,volvetur,volvietur,He/she/it will be rolled
Passive Indicative,Future,3rd Person,Plural,volvabuntur,volvebuntur,volventur,volvientur,They will be rolled
Passive Indicative,Perfect,1st Person,Singular,volvatus sum,volvetus sum,volvus sum,volvus sum,I have been rolled
Passive Indicative,Perfect,1st Person,Plural,volvati sumus,volveti sumus,volvi sumus,volvi sumus,We have been rolled
Passive Indicative,Perfect,2nd Person,Singular,volvatus es,volvetus es,volvus es,volvus es,You have been rolled
Passive Indicative,Perfect,2nd Person,Plural,volvati estis,volveti estis,volvi estis,volvi estis,You (pl.) have been rolled
Passive Indicative,Perfect,3rd Person,Singular,volvatus est,volvetus est,volvus est,volvus est,He/she/it has been rolled
Passive Indicative,Perfect,3rd Person,Plural,volvati sunt,volveti sunt,volvi sunt,volvi sunt,They have been rolled
Passive Indicative,Pluperfect,1st Person,Singular,volvatus eram,volvetus eram,volvus eram,volvus eram,I had been rolled
Passive Indicative,Pluperfect,1st Person,Plural,volvati eramus,volveti eramus,volvi eramus,volvi eramus,We had been rolled
Passive Indicative,Pluperfect,2nd Person,Singular,volvatus eras,volvetus eras,volvus eras,volvus eras,You had been rolled
Passive Indicative,Pluperfect,2nd Person,Plural,volvati eratis,volveti eratis,volvi eratis,volvi eratis,You (pl.) had been rolled
Passive Indicative,Pluperfect,3rd Person,Singular,volvatus erat,volvetus erat,volvus erat,volvus erat,He/she/it had been rolled
Passive Indicative,Pluperfect,3rd Person,Plural,volvati erant,volveti erant,volvi erant,volvi erant,They had been rolled
Passive Indicative,Future Perfect,1st Person,Singular,volvatus ero,volvetus ero,volvus ero,volvus ero,I will have been rolled
Passive Indicative,Future Perfect,1st Person,Plural,volvati erimus,volveti erimus,volvi erimus,volvi erimus,We will have been rolled
Passive Indicative,Future Perfect,2nd Person,Singular,volvatus eris,volvetus eris,volvus eris,volvus eris,You will have been rolled
Passive Indicative,Future Perfect,2nd Person,Plural,volvati eritis,volveti eritis,volvi eritis,volvi eritis,You (pl.) will have been rolled
Passive Indicative,Future Perfect,3rd Person,Singular,volvatus erit,volvetus erit,volvus erit,volvus erit,He/she/it will have been rolled
Passive Indicative,Future Perfect,3rd Person,Plural,volvati erunt,volveti erunt,volvi erunt,volvi erunt,They will have been rolled
Active Subjunctive,Present,1st Person,Singular,volvem,volvem,volvam,volvam,I may roll
Active Subjunctive,Present,1st Person,Plural,volvemus,volvemus,volvamus,volvamus,We may roll
Active Subjunctive,Present,2nd Person,Singular,volves,volves,volvas,volvas,You may roll
Active Subjunctive,Present,2nd Person,Plural,volvetis,volvetis,volvatis,volvatis,You (pl.) may roll
Active Subjunctive,Present,3rd Person,Singular,volvet,volvet,volvat,volvat,He/she/it may roll
Active Subjunctive,Present,3rd Person,Plural,volvent,volvent,volvant,volvant,They may roll
Active Subjunctive,Imperfect,1st Person,Singular,volvarem,volverem,volverem,volvirem,I should roll
Active Subjunctive,Imperfect,1st Person,Plural,volvaremus,volveremus,volveremus,volviremus,We should roll
Active Subjunctive,Imperfect,2nd Person,Singular,volvares,volveres,volveres,volvires,You should roll
Active Subjunctive,Imperfect,2nd Person,Plural,volvaretis,volveretis,volveretis,volviretis,You (pl.) should roll
Active Subjunctive,Imperfect,3rd Person,Singular,volvaret,volveret,volveret,volviret,He/she/it should roll
Active Subjunctive,Imperfect,3rd Person,Plural,volvarent,volverent,volverent,volvirent,They should roll
Active Subjunctive,Perfect,1st Person,Singular,volverim,volvuerim,volverim,volvierim,I may have rolled
Active Subjunctive,Perfect,1st Person,Plural,volverimus,volvuerimus,volverimus,volvierimus,We may have rolled
Active Subjunctive,Perfect,2nd Person,Singular,volveris,volvueris,volveris,volvieris,You may have rolled
Active Subjunctive,Perfect,2nd Person,Plural,volveritis,volvueritis,volveritis,volvieritis,You (pl.) may have rolled
Active Subjunctive,Perfect,3rd Person,Singular,volverit,volvuerit,volverit,volvierit,He/she/it may have rolled
Active Subjunctive,Perfect,3rd Person,Plural,volverint,volvuerint,volverint,volvierint,They may have rolled
Active Subjunctive,Pluperfect,1st Person,Singular,volvissem,volvuissem,volvissem,volvissem,I should have rolled
Active Subjunctive,Pluperfect,1st Person,Plural,volvissemus,volvuissemus,volvissemus,volvissemus,We should have rolled
Active Subjunctive,Pluperfect,2nd Person,Singular,volvisses,volvuisses,volvisses,volvisses,You would have rolled
Active Subjunctive,Pluperfect,2nd Person,Plural,volvissetis,volvuissetis,volvissetis,volvissetis,You (pl.) would have rolled
Active Subjunctive,Pluperfect,3rd Person,Singular,volvisset,volvuisset,volvisset,volvisset,He/she/it would have rolled
Active Subjunctive,Pluperfect,3rd Person,Plural,volvissent,volvuissent,volvissent,volvissent,They would have rolled
Passive Subjunctive,Present,1st Person,Singular,volver,volver,volvar,volvar,I may be rolled
Passive Subjunctive,Present,1st Person,Plural,volvemur,volvemur,volvamur,volvamur,We may be rolled
Passive Subjunctive,Present,2nd Person,Singular,volveris,volveris,volvaris,volvaris,You may be rolled
Passive Subjunctive,Present,2nd Person,Plural,volvemini,volvemini,volvamini,volvamini,You (pl.) may be rolled
Passive Subjunctive,Present,3rd Person,Singular,volvetur,volvetur,volvatur,volvatur,He/she/it may be rolled
Passive Subjunctive,Present,3rd Person,Plural,volventur,volventur,volvantur,volvantur,They may be rolled
Passive Subjunctive,Imperfect,1st Person,Singular,volvarer,volverer,volverer,volvirer,I should be rolled
Passive Subjunctive,Imperfect,1st Person,Plural,volvaremur,volveremur,volveremur,volviremur,We should be rolled
Passive Subjunctive,Imperfect,2nd Person,Singular,volvareris,volvereris,volvereris,volvireris,You would be rolled
Passive Subjunctive,Imperfect,2nd Person,Plural,volvaremini,volveremini,volveremini,volviremini,You (pl.) would be rolled
Passive Subjunctive,Imperfect,3rd Person,Singular,volvaretur,volveretur,volveretur,volviretur,He/she/it would be rolled
Passive Subjunctive,Imperfect,3rd Person,Plural,volvarentur,volverentur,volverentur,volvirentur,They would be rolled
Passive Subjunctive,Perfect,1st Person,Singular,volvatus sim,volvetus sim,volvus sim,volvus sim,I may have been rolled
Passive Subjunctive,Perfect,1st Person,Plural,volvati simus,volveti simus,volvi simus,volvi simus,We may have been rolled
Passive Subjunctive,Perfect,2nd Person,Singular,volvatus sis,volvetus sis,volvus sis,volvus sis,You may have been rolled
Passive Subjunctive,Perfect,2nd Person,Plural,volvati sitis,volveti sitis,volvi sitis,volvi sitis,You (pl.) may have been rolled
Passive Subjunctive,Perfect,3rd Person,Singular,volvatus sit,volvetus sit,volvus sit,volvus sit,He/she/it may have been rolled
Passive Subjunctive,Perfect,3rd Person,Plural,volvati sint,volveti sint,volvi sint,volvi sint,They may have been rolled
Passive Subjunctive,Pluperfect,1st Person,Singular,volvatus essem,volvetus essem,volvus essem,volvus essem,I should have been rolled
Passive Subjunctive,Pluperfect,1st Person,Plural,volvati essemus,volveti essemus,volvi essemus,volvi essemus,We should have been rolled
Passive Subjunctive,Pluperfect,2nd Person,Singular,volvatus esses,volvetus esses,volvus esses,volvus esses,You would have been rolled
Passive Subjunctive,Pluperfect,2nd Person,Plural,volvati essetis,volveti essetis,volvi essetis,volvi essetis,You (pl.) would have been rolled
Passive Subjunctive,Pluperfect,3rd Person,Singular,volvatus esset,volvetus esset,volvus esset,volvus esset,He/she/it would have been rolled
Passive Subjunctive,Pluperfect,3rd Person,Plural,volvati essent,volveti essent,volvi essent,volvi essent,They would have been rolled
