Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,vomo,vomeo,vomo,vomio,I vomit
Active Indicative,Present,1st Person,Plural,vomamus,vomemus,vomimus,vomimus,We vomit
Active Indicative,Present,2nd Person,Singular,vomas,vomes,vomis,vomis,You vomit
Active Indicative,Present,2nd Person,Plural,vomatis,vometis,vomitis,vomitis,You (pl.) vomit
Active Indicative,Present,3rd Person,Singular,vomat,vomet,vomit,vomit,He/she/it vomit
Active Indicative,Present,3rd Person,Plural,vomant,voment,vomiunt,vomiunt,They vomit
Active Indicative,Imperfect,1st Person,Singular,vomabam,vomebam,vomebam,vomiebam,I was vomiting
Active Indicative,Imperfect,1st Person,Plural,vomabamus,vomebamus,vomebamus,vomiebamus,We were vomiting
Active Indicative,Imperfect,2nd Person,Singular,vomabas,vomebas,vomebas,vomiebas,You were vomiting
Active Indicative,Imperfect,2nd Person,Plural,vomabatis,vomebatis,vomebatis,vomiebatis,You (pl.) were vomiting
Active Indicative,Imperfect,3rd Person,Singular,vomabat,vomebat,vomebat,vomiebat,He/she/it was vomiting
Active Indicative,Imperfect,3rd Person,Plural,vomabant,vomebant,vomebant,vomiebant,They were vomiting
Active Indicative,Future,1st Person,Singular,vomabo,vomebo,vomam,vomiam,I will vomit
Active Indicative,Future,1st Person,Plural,vomabimus,vomebimus,vomemus,vomiemus,We will vomit
Active Indicative,Future,2nd Person,Singular,vomabis,vomebis,vomes,vomies,You will vomit
Active Indicative,Future,2nd Person,Plural,vomabitis,vomebitis,vometis,vomietis,You (pl.) will vomit
Active Indicative,Future,3rd Person,Singular,vomabit,vomebit,vomet,vomiet,He/she/it will vomit
Active Indicative,Future,3rd Person,Plural,vomabunt,vomebunt,voment,vomient,They will vomit
Active Indicative,Perfect,1st Person,Singular,vomavi,vomui,vomi,vomi,I have vomited
Active Indicative,Perfect,1st Person,Plural,vomavimus,vomuimus,vomimus,vomimus,We have vomited
