Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,vomico,vomiceo,vomico,vomicio,I vomit
Active Indicative,Present,1st Person,Plural,vomicamus,vomicemus,vomicimus,vomicimus,We vomit
Active Indicative,Present,2nd Person,Singular,vomicas,vomices,vomicis,vomicis,You vomit
Active Indicative,Present,2nd Person,Plural,vomicatis,vomicetis,vomicitis,vomicitis,You (pl.) vomit
Active Indicative,Present,3rd Person,Singular,vomicat,vomicet,vomicit,vomicit,He/she/it vomit
Active Indicative,Present,3rd Person,Plural,vomicant,vomicent,vomiciunt,vomiciunt,They vomit
Active Indicative,Imperfect,1st Person,Singular,vomicabam,vomicebam,vomicebam,vomiciebam,I was vomiting
Active Indicative,Imperfect,1st Person,Plural,vomicabamus,vomicebamus,vomicebamus,vomiciebamus,We were vomiting
Active Indicative,Imperfect,2nd Person,Singular,vomicabas,vomicebas,vomicebas,vomiciebas,You were vomiting
Active Indicative,Imperfect,2nd Person,Plural,vomicabatis,vomicebatis,vomicebatis,vomiciebatis,You (pl.) were vomiting
Active Indicative,Imperfect,3rd Person,Singular,vomicabat,vomicebat,vomicebat,vomiciebat,He/she/it was vomiting
Active Indicative,Imperfect,3rd Person,Plural,vomicabant,vomicebant,vomicebant,vomiciebant,They were vomiting
Active Indicative,Future,1st Person,Singular,vomicabo,vomicebo,vomicam,vomiciam,I will vomit
Active Indicative,Future,1st Person,Plural,vomicabimus,vomicebimus,vomicemus,vomiciemus,We will vomit
Active Indicative,Future,2nd Person,Singular,vomicabis,vomicebis,vomices,vomicies,You will vomit
Active Indicative,Future,2nd Person,Plural,vomicabitis,vomicebitis,vomicetis,vomicietis,You (pl.) will vomit
Active Indicative,Future,3rd Person,Singular,vomicabit,vomicebit,vomicet,vomiciet,He/she/it will vomit
Active Indicative,Future,3rd Person,Plural,vomicabunt,vomicebunt,vomicent,vomicient,They will vomit
Active Indicative,Perfect,1st Person,Singular,vomicavi,vomicui,vomici,vomici,I have vomited
Active Indicative,Perfect,1st Person,Plural,vomicavimus,vomicuimus,vomicimus,vomicimus,We have vomited
Active Indicative,Perfect,2nd Person,Singular,vomicavisti,vomicuisti,vomicisti,vomicisti,You have vomited
Active Indicative,Perfect,2nd Person,Plural,vomicavistis,vomicuistis,vomicistis,vomicistis,You (pl.) have vomited
Active Indicative,Perfect,3rd Person,Singular,vomicavit,vomicuit,vomicit,vomicit,He/she/it has vomited
Active Indicative,Perfect,3rd Person,Plural,vomicaverunt,vomicuerunt,vomicerunt,vomicerunt,They have vomited
Active Indicative,Pluperfect,1st Person,Singular,vomicaveram,vomicueram,vomiceram,vomiceram,I had vomited
Active Indicative,Pluperfect,1st Person,Plural,vomicaveramus,vomicueramus,vomiceramus,vomiceramus,We had vomited
Active Indicative,Pluperfect,2nd Person,Singular,vomicaveras,vomicueras,vomiceras,vomiceras,You had vomited
Active Indicative,Pluperfect,2nd Person,Plural,vomicaveratis,vomicueratis,vomiceratis,vomiceratis,You (pl.) had vomited
Active Indicative,Pluperfect,3rd Person,Singular,vomicaverat,vomicuerat,vomicerat,vomicerat,He/she/it had vomited
Active Indicative,Pluperfect,3rd Person,Plural,vomicaverant,vomicuerant,vomicerant,vomicerant,They had vomited
Active Indicative,Future Perfect,1st Person,Singular,vomicavero,vomicueero,vomicero,vomiciero,I will have vomited
Active Indicative,Future Perfect,1st Person,Plural,vomicaverimus,vomicuerimus,vomicerimus,vomicierimus,We will have vomited
