Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,wadanio,wadanieo,wadanio,wadanio,I pursue
Active Indicative,Present,1st Person,Plural,wadaniamus,wadaniemus,wadanimus,wadanimus,We pursue
Active Indicative,Present,2nd Person,Singular,wadanias,wadanies,wadanis,wadanis,You pursue
Active Indicative,Present,2nd Person,Plural,wadaniatis,wadanietis,wadanitis,wadanitis,You (pl.) pursue
Active Indicative,Present,3rd Person,Singular,wadaniat,wadaniet,wadanit,wadanit,He/she/it pursue
Active Indicative,Present,3rd Person,Plural,wadaniant,wadanient,wadaniunt,wadaniunt,They pursue
Active Indicative,Imperfect,1st Person,Singular,wadaniabam,wadaniebam,wadaniebam,wadaniebam,I was pursueing
Active Indicative,Imperfect,1st Person,Plural,wadaniabamus,wadaniebamus,wadaniebamus,wadaniebamus,We were pursueing
Active Indicative,Imperfect,2nd Person,Singular,wadaniabas,wadaniebas,wadaniebas,wadaniebas,You were pursueing
Active Indicative,Imperfect,2nd Person,Plural,wadaniabatis,wadaniebatis,wadaniebatis,wadaniebatis,You (pl.) were pursueing
Active Indicative,Imperfect,3rd Person,Singular,wadaniabat,wadaniebat,wadaniebat,wadaniebat,He/she/it was pursueing
Active Indicative,Imperfect,3rd Person,Plural,wadaniabant,wadaniebant,wadaniebant,wadaniebant,They were pursueing
Active Indicative,Future,1st Person,Singular,wadaniabo,wadaniebo,wadaniam,wadaniam,I will pursue
Active Indicative,Future,1st Person,Plural,wadaniabimus,wadaniebimus,wadaniemus,wadaniemus,We will pursue
Active Indicative,Future,2nd Person,Singular,wadaniabis,wadaniebis,wadanies,wadanies,You will pursue
Active Indicative,Future,2nd Person,Plural,wadaniabitis,wadaniebitis,wadanietis,wadanietis,You (pl.) will pursue
Active Indicative,Future,3rd Person,Singular,wadaniabit,wadaniebit,wadaniet,wadaniet,He/she/it will pursue
Active Indicative,Future,3rd Person,Plural,wadaniabunt,wadaniebunt,wadanient,wadanient,They will pursue
Active Indicative,Perfect,1st Person,Singular,wadaniavi,wadaniui,wadani,wadani,I have pursueed
Active Indicative,Perfect,1st Person,Plural,wadaniavimus,wadaniuimus,wadanimus,wadanimus,We have pursueed
Active Indicative,Perfect,2nd Person,Singular,wadaniavisti,wadaniuisti,wadanisti,wadanisti,You have pursueed
Active Indicative,Perfect,2nd Person,Plural,wadaniavistis,wadaniuistis,wadanistis,wadanistis,You (pl.) have pursueed
Active Indicative,Perfect,3rd Person,Singular,wadaniavit,wadaniuit,wadanit,wadanit,He/she/it has pursueed
Active Indicative,Perfect,3rd Person,Plural,wadaniaverunt,wadaniuerunt,wadanierunt,wadanierunt,They have pursueed
Active Indicative,Pluperfect,1st Person,Singular,wadaniaveram,wadaniueram,wadanieram,wadanieram,I had pursueed
Active Indicative,Pluperfect,1st Person,Plural,wadaniaveramus,wadaniueramus,wadanieramus,wadanieramus,We had pursueed
Active Indicative,Pluperfect,2nd Person,Singular,wadaniaveras,wadaniueras,wadanieras,wadanieras,You had pursueed
Active Indicative,Pluperfect,2nd Person,Plural,wadaniaveratis,wadaniueratis,wadanieratis,wadanieratis,You (pl.) had pursueed
Active Indicative,Pluperfect,3rd Person,Singular,wadaniaverat,wadaniuerat,wadanierat,wadanierat,He/she/it had pursueed
Active Indicative,Pluperfect,3rd Person,Plural,wadaniaverant,wadaniuerant,wadanierant,wadanierant,They had pursueed
Active Indicative,Future Perfect,1st Person,Singular,wadaniavero,wadaniueero,wadaniero,wadaniero,I will have pursueed
Active Indicative,Future Perfect,1st Person,Plural,wadaniaverimus,wadaniuerimus,wadanierimus,wadanierimus,We will have pursueed
Active Indicative,Future Perfect,2nd Person,Singular,wadaniaveris,wadaniueris,wadanieris,wadanieris,You will have pursueed
Active Indicative,Future Perfect,2nd Person,Plural,wadaniaveritis,wadaniueritis,wadanieritis,wadanieritis,You (pl.) will have pursueed
Active Indicative,Future Perfect,3rd Person,Singular,wadaniaverit,wadaniuerit,wadanierit,wadanierit,He/she/it will have pursueed
Active Indicative,Future Perfect,3rd Person,Plural,wadaniaverint,wadaniuerint,wadanierint,wadanierint,They will have pursueed
Passive Indicative,Present,1st Person,Singular,wadanior,wadanieor,wadanior,wadanior,I am being pursueed
Passive Indicative,Present,1st Person,Plural,wadaniamur,wadaniemur,wadanimur,wadanimur,We are being pursueed
Passive Indicative,Present,2nd Person,Singular,wadaniaris,wadanieris,wadaniris,wadaniris,You are being pursueed
Passive Indicative,Present,2nd Person,Plural,wadaniamini,wadaniemini,wadanimini,wadanimini,You (pl.) are being pursueed
Passive Indicative,Present,3rd Person,Singular,wadaniatur,wadanietur,wadanitur,wadanitur,He/she/it is being pursueed
Passive Indicative,Present,3rd Person,Plural,wadaniantur,wadanientur,wadaniuntur,wadaniuntur,They are being pursueed
Passive Indicative,Imperfect,1st Person,Singular,wadaniabar,wadaniebar,wadaniebar,wadaniebar,I was pursueed
Passive Indicative,Imperfect,1st Person,Plural,wadaniabamur,wadaniebamur,wadaniebamur,wadaniebamur,We were pursueed
Passive Indicative,Imperfect,2nd Person,Singular,wadaniabaris,wadaniebaris,wadaniebaris,wadaniebaris,You were pursueed
Passive Indicative,Imperfect,2nd Person,Plural,wadaniabamini,wadaniebamini,wadaniebamini,wadaniebamini,You (pl.) were pursueed
Passive Indicative,Imperfect,3rd Person,Singular,wadaniabatur,wadaniebatur,wadaniebatur,wadaniebatur,He/she/it was pursueed
Passive Indicative,Imperfect,3rd Person,Plural,wadaniabantur,wadaniebantur,wadaniebantur,wadaniebantur,They were pursueed
Passive Indicative,Future,1st Person,Singular,wadaniabor,wadaniebor,wadaniar,wadaniar,I will be pursueed
Passive Indicative,Future,1st Person,Plural,wadaniabimur,wadaniebimur,wadaniemur,wadaniemur,We will be pursueed
Passive Indicative,Future,2nd Person,Singular,wadaniaberis,wadanieberis,wadanieris,wadanieris,You will be pursueed
Passive Indicative,Future,2nd Person,Plural,wadaniabimini,wadaniebimini,wadaniemini,wadaniemini,You (pl.) will be pursueed
Passive Indicative,Future,3rd Person,Singular,wadaniabitur,wadaniebitur,wadanietur,wadanietur,He/she/it will be pursueed
Passive Indicative,Future,3rd Person,Plural,wadaniabuntur,wadaniebuntur,wadanientur,wadanientur,They will be pursueed
Passive Indicative,Perfect,1st Person,Singular,wadaniatus sum,wadanietus sum,wadanius sum,wadanius sum,I have been pursueed
Passive Indicative,Perfect,1st Person,Plural,wadaniati sumus,wadanieti sumus,wadani sumus,wadani sumus,We have been pursueed
Passive Indicative,Perfect,2nd Person,Singular,wadaniatus es,wadanietus es,wadanius es,wadanius es,You have been pursueed
Passive Indicative,Perfect,2nd Person,Plural,wadaniati estis,wadanieti estis,wadani estis,wadani estis,You (pl.) have been pursueed
Passive Indicative,Perfect,3rd Person,Singular,wadaniatus est,wadanietus est,wadanius est,wadanius est,He/she/it has been pursueed
Passive Indicative,Perfect,3rd Person,Plural,wadaniati sunt,wadanieti sunt,wadani sunt,wadani sunt,They have been pursueed
Passive Indicative,Pluperfect,1st Person,Singular,wadaniatus eram,wadanietus eram,wadanius eram,wadanius eram,I had been pursueed
Passive Indicative,Pluperfect,1st Person,Plural,wadaniati eramus,wadanieti eramus,wadani eramus,wadani eramus,We had been pursueed
Passive Indicative,Pluperfect,2nd Person,Singular,wadaniatus eras,wadanietus eras,wadanius eras,wadanius eras,You had been pursueed
Passive Indicative,Pluperfect,2nd Person,Plural,wadaniati eratis,wadanieti eratis,wadani eratis,wadani eratis,You (pl.) had been pursueed
Passive Indicative,Pluperfect,3rd Person,Singular,wadaniatus erat,wadanietus erat,wadanius erat,wadanius erat,He/she/it had been pursueed
Passive Indicative,Pluperfect,3rd Person,Plural,wadaniati erant,wadanieti erant,wadani erant,wadani erant,They had been pursueed
Passive Indicative,Future Perfect,1st Person,Singular,wadaniatus ero,wadanietus ero,wadanius ero,wadanius ero,I will have been pursueed
Passive Indicative,Future Perfect,1st Person,Plural,wadaniati erimus,wadanieti erimus,wadani erimus,wadani erimus,We will have been pursueed
Passive Indicative,Future Perfect,2nd Person,Singular,wadaniatus eris,wadanietus eris,wadanius eris,wadanius eris,You will have been pursueed
Passive Indicative,Future Perfect,2nd Person,Plural,wadaniati eritis,wadanieti eritis,wadani eritis,wadani eritis,You (pl.) will have been pursueed
Passive Indicative,Future Perfect,3rd Person,Singular,wadaniatus erit,wadanietus erit,wadanius erit,wadanius erit,He/she/it will have been pursueed
Passive Indicative,Future Perfect,3rd Person,Plural,wadaniati erunt,wadanieti erunt,wadani erunt,wadani erunt,They will have been pursueed
Active Subjunctive,Present,1st Person,Singular,wadaniem,wadaniem,wadaniam,wadaniam,I may pursue
Active Subjunctive,Present,1st Person,Plural,wadaniemus,wadaniemus,wadaniamus,wadaniamus,We may pursue
Active Subjunctive,Present,2nd Person,Singular,wadanies,wadanies,wadanias,wadanias,You may pursue
Active Subjunctive,Present,2nd Person,Plural,wadanietis,wadanietis,wadaniatis,wadaniatis,You (pl.) may pursue
Active Subjunctive,Present,3rd Person,Singular,wadaniet,wadaniet,wadaniat,wadaniat,He/she/it may pursue
Active Subjunctive,Present,3rd Person,Plural,wadanient,wadanient,wadaniant,wadaniant,They may pursue
Active Subjunctive,Imperfect,1st Person,Singular,wadaniarem,wadanierem,wadanierem,wadanirem,I should pursue
Active Subjunctive,Imperfect,1st Person,Plural,wadaniaremus,wadanieremus,wadanieremus,wadaniremus,We should pursue
Active Subjunctive,Imperfect,2nd Person,Singular,wadaniares,wadanieres,wadanieres,wadanires,You should pursue
Active Subjunctive,Imperfect,2nd Person,Plural,wadaniaretis,wadanieretis,wadanieretis,wadaniretis,You (pl.) should pursue
Active Subjunctive,Imperfect,3rd Person,Singular,wadaniaret,wadanieret,wadanieret,wadaniret,He/she/it should pursue
Active Subjunctive,Imperfect,3rd Person,Plural,wadaniarent,wadanierent,wadanierent,wadanirent,They should pursue
Active Subjunctive,Perfect,1st Person,Singular,wadanierim,wadaniuerim,wadanierim,wadanierim,I may have pursueed
