Type,Tense,Person,Number,1st Conjugation Form,2nd Conjugation Form,3rd Conjugation Form,4th Conjugation Form,Example Sentence
Active Indicative,Present,1st Person,Singular,werrizo,werrizeo,werrizo,werrizio,I wage war
Active Indicative,Present,1st Person,Plural,werrizamus,werrizemus,werrizimus,werrizimus,We wage war
Active Indicative,Present,2nd Person,Singular,werrizas,werrizes,werrizis,werrizis,You wage war
Active Indicative,Present,2nd Person,Plural,werrizatis,werrizetis,werrizitis,werrizitis,You (pl.) wage war
Active Indicative,Present,3rd Person,Singular,werrizat,werrizet,werrizit,werrizit,He/she/it wage war
Active Indicative,Present,3rd Person,Plural,werrizant,werrizent,werriziunt,werriziunt,They wage war
Active Indicative,Imperfect,1st Person,Singular,werrizabam,werrizebam,werrizebam,werriziebam,I was wage waring
Active Indicative,Imperfect,1st Person,Plural,werrizabamus,werrizebamus,werrizebamus,werriziebamus,We were wage waring
Active Indicative,Imperfect,2nd Person,Singular,werrizabas,werrizebas,werrizebas,werriziebas,You were wage waring
Active Indicative,Imperfect,2nd Person,Plural,werrizabatis,werrizebatis,werrizebatis,werriziebatis,You (pl.) were wage waring
Active Indicative,Imperfect,3rd Person,Singular,werrizabat,werrizebat,werrizebat,werriziebat,He/she/it was wage waring
Active Indicative,Imperfect,3rd Person,Plural,werrizabant,werrizebant,werrizebant,werriziebant,They were wage waring
Active Indicative,Future,1st Person,Singular,werrizabo,werrizebo,werrizam,werriziam,I will wage war
Active Indicative,Future,1st Person,Plural,werrizabimus,werrizebimus,werrizemus,werriziemus,We will wage war
Active Indicative,Future,2nd Person,Singular,werrizabis,werrizebis,werrizes,werrizies,You will wage war
Active Indicative,Future,2nd Person,Plural,werrizabitis,werrizebitis,werrizetis,werrizietis,You (pl.) will wage war
Active Indicative,Future,3rd Person,Singular,werrizabit,werrizebit,werrizet,werriziet,He/she/it will wage war
Active Indicative,Future,3rd Person,Plural,werrizabunt,werrizebunt,werrizent,werrizient,They will wage war
Active Indicative,Perfect,1st Person,Singular,werrizavi,werrizui,werrizi,werrizi,I have wage wared
Active Indicative,Perfect,1st Person,Plural,werrizavimus,werrizuimus,werrizimus,werrizimus,We have wage wared
Active Indicative,Perfect,2nd Person,Singular,werrizavisti,werrizuisti,werrizisti,werrizisti,You have wage wared
Active Indicative,Perfect,2nd Person,Plural,werrizavistis,werrizuistis,werrizistis,werrizistis,You (pl.) have wage wared
Active Indicative,Perfect,3rd Person,Singular,werrizavit,werrizuit,werrizit,werrizit,He/she/it has wage wared
Active Indicative,Perfect,3rd Person,Plural,werrizaverunt,werrizuerunt,werrizerunt,werrizerunt,They have wage wared
Active Indicative,Pluperfect,1st Person,Singular,werrizaveram,werrizueram,werrizeram,werrizeram,I had wage wared
Active Indicative,Pluperfect,1st Person,Plural,werrizaveramus,werrizueramus,werrizeramus,werrizeramus,We had wage wared
Active Indicative,Pluperfect,2nd Person,Singular,werrizaveras,werrizueras,werrizeras,werrizeras,You had wage wared
Active Indicative,Pluperfect,2nd Person,Plural,werrizaveratis,werrizueratis,werrizeratis,werrizeratis,You (pl.) had wage wared
Active Indicative,Pluperfect,3rd Person,Singular,werrizaverat,werrizuerat,werrizerat,werrizerat,He/she/it had wage wared
Active Indicative,Pluperfect,3rd Person,Plural,werrizaverant,werrizuerant,werrizerant,werrizerant,They had wage wared
Active Indicative,Future Perfect,1st Person,Singular,werrizavero,werrizueero,werrizero,werriziero,I will have wage wared
Active Indicative,Future Perfect,1st Person,Plural,werrizaverimus,werrizuerimus,werrizerimus,werrizierimus,We will have wage wared
Active Indicative,Future Perfect,2nd Person,Singular,werrizaveris,werrizueris,werrizeris,werrizieris,You will have wage wared
Active Indicative,Future Perfect,2nd Person,Plural,werrizaveritis,werrizueritis,werrizeritis,werrizieritis,You (pl.) will have wage wared
Active Indicative,Future Perfect,3rd Person,Singular,werrizaverit,werrizuerit,werrizerit,werrizierit,He/she/it will have wage wared
Active Indicative,Future Perfect,3rd Person,Plural,werrizaverint,werrizuerint,werrizerint,werrizierint,They will have wage wared
Passive Indicative,Present,1st Person,Singular,werrizor,werrizeor,werrizor,werrizior,I am being wage wared
Passive Indicative,Present,1st Person,Plural,werrizamur,werrizemur,werrizimur,werrizimur,We are being wage wared
Passive Indicative,Present,2nd Person,Singular,werrizaris,werrizeris,werriziris,werriziris,You are being wage wared
Passive Indicative,Present,2nd Person,Plural,werrizamini,werrizemini,werrizimini,werrizimini,You (pl.) are being wage wared
Passive Indicative,Present,3rd Person,Singular,werrizatur,werrizetur,werrizitur,werrizitur,He/she/it is being wage wared
Passive Indicative,Present,3rd Person,Plural,werrizantur,werrizentur,werriziuntur,werriziuntur,They are being wage wared
Passive Indicative,Imperfect,1st Person,Singular,werrizabar,werrizebar,werrizebar,werriziebar,I was wage wared
Passive Indicative,Imperfect,1st Person,Plural,werrizabamur,werrizebamur,werrizebamur,werriziebamur,We were wage wared
Passive Indicative,Imperfect,2nd Person,Singular,werrizabaris,werrizebaris,werrizebaris,werriziebaris,You were wage wared
Passive Indicative,Imperfect,2nd Person,Plural,werrizabamini,werrizebamini,werrizebamini,werriziebamini,You (pl.) were wage wared
Passive Indicative,Imperfect,3rd Person,Singular,werrizabatur,werrizebatur,werrizebatur,werriziebatur,He/she/it was wage wared
Passive Indicative,Imperfect,3rd Person,Plural,werrizabantur,werrizebantur,werrizebantur,werriziebantur,They were wage wared
Passive Indicative,Future,1st Person,Singular,werrizabor,werrizebor,werrizar,werriziar,I will be wage wared
Passive Indicative,Future,1st Person,Plural,werrizabimur,werrizebimur,werrizemur,werriziemur,We will be wage wared
Passive Indicative,Future,2nd Person,Singular,werrizaberis,werrizeberis,werrizeris,werrizieris,You will be wage wared
Passive Indicative,Future,2nd Person,Plural,werrizabimini,werrizebimini,werrizemini,werriziemini,You (pl.) will be wage wared
Passive Indicative,Future,3rd Person,Singular,werrizabitur,werrizebitur,werrizetur,werrizietur,He/she/it will be wage wared
Passive Indicative,Future,3rd Person,Plural,werrizabuntur,werrizebuntur,werrizentur,werrizientur,They will be wage wared
Passive Indicative,Perfect,1st Person,Singular,werrizatus sum,werrizetus sum,werrizus sum,werrizus sum,I have been wage wared
Passive Indicative,Perfect,1st Person,Plural,werrizati sumus,werrizeti sumus,werrizi sumus,werrizi sumus,We have been wage wared
Passive Indicative,Perfect,2nd Person,Singular,werrizatus es,werrizetus es,werrizus es,werrizus es,You have been wage wared
Passive Indicative,Perfect,2nd Person,Plural,werrizati estis,werrizeti estis,werrizi estis,werrizi estis,You (pl.) have been wage wared
Passive Indicative,Perfect,3rd Person,Singular,werrizatus est,werrizetus est,werrizus est,werrizus est,He/she/it has been wage wared
Passive Indicative,Perfect,3rd Person,Plural,werrizati sunt,werrizeti sunt,werrizi sunt,werrizi sunt,They have been wage wared
Passive Indicative,Pluperfect,1st Person,Singular,werrizatus eram,werrizetus eram,werrizus eram,werrizus eram,I had been wage wared
Passive Indicative,Pluperfect,1st Person,Plural,werrizati eramus,werrizeti eramus,werrizi eramus,werrizi eramus,We had been wage wared
Passive Indicative,Pluperfect,2nd Person,Singular,werrizatus eras,werrizetus eras,werrizus eras,werrizus eras,You had been wage wared
Passive Indicative,Pluperfect,2nd Person,Plural,werrizati eratis,werrizeti eratis,werrizi eratis,werrizi eratis,You (pl.) had been wage wared
Passive Indicative,Pluperfect,3rd Person,Singular,werrizatus erat,werrizetus erat,werrizus erat,werrizus erat,He/she/it had been wage wared
Passive Indicative,Pluperfect,3rd Person,Plural,werrizati erant,werrizeti erant,werrizi erant,werrizi erant,They had been wage wared
Passive Indicative,Future Perfect,1st Person,Singular,werrizatus ero,werrizetus ero,werrizus ero,werrizus ero,I will have been wage wared
Passive Indicative,Future Perfect,1st Person,Plural,werrizati erimus,werrizeti erimus,werrizi erimus,werrizi erimus,We will have been wage wared
Passive Indicative,Future Perfect,2nd Person,Singular,werrizatus eris,werrizetus eris,werrizus eris,werrizus eris,You will have been wage wared
Passive Indicative,Future Perfect,2nd Person,Plural,werrizati eritis,werrizeti eritis,werrizi eritis,werrizi eritis,You (pl.) will have been wage wared
Passive Indicative,Future Perfect,3rd Person,Singular,werrizatus erit,werrizetus erit,werrizus erit,werrizus erit,He/she/it will have been wage wared
Passive Indicative,Future Perfect,3rd Person,Plural,werrizati erunt,werrizeti erunt,werrizi erunt,werrizi erunt,They will have been wage wared
Active Subjunctive,Present,1st Person,Singular,werrizem,werrizem,werrizam,werrizam,I may wage war
Active Subjunctive,Present,1st Person,Plural,werrizemus,werrizemus,werrizamus,werrizamus,We may wage war
Active Subjunctive,Present,2nd Person,Singular,werrizes,werrizes,werrizas,werrizas,You may wage war
Active Subjunctive,Present,2nd Person,Plural,werrizetis,werrizetis,werrizatis,werrizatis,You (pl.) may wage war
Active Subjunctive,Present,3rd Person,Singular,werrizet,werrizet,werrizat,werrizat,He/she/it may wage war
Active Subjunctive,Present,3rd Person,Plural,werrizent,werrizent,werrizant,werrizant,They may wage war
Active Subjunctive,Imperfect,1st Person,Singular,werrizarem,werrizerem,werrizerem,werrizirem,I should wage war
Active Subjunctive,Imperfect,1st Person,Plural,werrizaremus,werrizeremus,werrizeremus,werriziremus,We should wage war
Active Subjunctive,Imperfect,2nd Person,Singular,werrizares,werrizeres,werrizeres,werrizires,You should wage war
Active Subjunctive,Imperfect,2nd Person,Plural,werrizaretis,werrizeretis,werrizeretis,werriziretis,You (pl.) should wage war
Active Subjunctive,Imperfect,3rd Person,Singular,werrizaret,werrizeret,werrizeret,werriziret,He/she/it should wage war
Active Subjunctive,Imperfect,3rd Person,Plural,werrizarent,werrizerent,werrizerent,werrizirent,They should wage war
Active Subjunctive,Perfect,1st Person,Singular,werrizerim,werrizuerim,werrizerim,werrizierim,I may have wage wared
Active Subjunctive,Perfect,1st Person,Plural,werrizerimus,werrizuerimus,werrizerimus,werrizierimus,We may have wage wared
Active Subjunctive,Perfect,2nd Person,Singular,werrizeris,werrizueris,werrizeris,werrizieris,You may have wage wared
Active Subjunctive,Perfect,2nd Person,Plural,werrizeritis,werrizueritis,werrizeritis,werrizieritis,You (pl.) may have wage wared
Active Subjunctive,Perfect,3rd Person,Singular,werrizerit,werrizuerit,werrizerit,werrizierit,He/she/it may have wage wared
Active Subjunctive,Perfect,3rd Person,Plural,werrizerint,werrizuerint,werrizerint,werrizierint,They may have wage wared
Active Subjunctive,Pluperfect,1st Person,Singular,werrizissem,werrizuissem,werrizissem,werrizissem,I should have wage wared
Active Subjunctive,Pluperfect,1st Person,Plural,werrizissemus,werrizuissemus,werrizissemus,werrizissemus,We should have wage wared
Active Subjunctive,Pluperfect,2nd Person,Singular,werrizisses,werrizuisses,werrizisses,werrizisses,You would have wage wared
Active Subjunctive,Pluperfect,2nd Person,Plural,werrizissetis,werrizuissetis,werrizissetis,werrizissetis,You (pl.) would have wage wared
Active Subjunctive,Pluperfect,3rd Person,Singular,werrizisset,werrizuisset,werrizisset,werrizisset,He/she/it would have wage wared
Active Subjunctive,Pluperfect,3rd Person,Plural,werrizissent,werrizuissent,werrizissent,werrizissent,They would have wage wared
Passive Subjunctive,Present,1st Person,Singular,werrizer,werrizer,werrizar,werrizar,I may be wage wared
Passive Subjunctive,Present,1st Person,Plural,werrizemur,werrizemur,werrizamur,werrizamur,We may be wage wared
Passive Subjunctive,Present,2nd Person,Singular,werrizeris,werrizeris,werrizaris,werrizaris,You may be wage wared
Passive Subjunctive,Present,2nd Person,Plural,werrizemini,werrizemini,werrizamini,werrizamini,You (pl.) may be wage wared
Passive Subjunctive,Present,3rd Person,Singular,werrizetur,werrizetur,werrizatur,werrizatur,He/she/it may be wage wared
Passive Subjunctive,Present,3rd Person,Plural,werrizentur,werrizentur,werrizantur,werrizantur,They may be wage wared
Passive Subjunctive,Imperfect,1st Person,Singular,werrizarer,werrizerer,werrizerer,werrizirer,I should be wage wared
Passive Subjunctive,Imperfect,1st Person,Plural,werrizaremur,werrizeremur,werrizeremur,werriziremur,We should be wage wared
Passive Subjunctive,Imperfect,2nd Person,Singular,werrizareris,werrizereris,werrizereris,werrizireris,You would be wage wared
Passive Subjunctive,Imperfect,2nd Person,Plural,werrizaremini,werrizeremini,werrizeremini,werriziremini,You (pl.) would be wage wared
Passive Subjunctive,Imperfect,3rd Person,Singular,werrizaretur,werrizeretur,werrizeretur,werriziretur,He/she/it would be wage wared
Passive Subjunctive,Imperfect,3rd Person,Plural,werrizarentur,werrizerentur,werrizerentur,werrizirentur,They would be wage wared
Passive Subjunctive,Perfect,1st Person,Singular,werrizatus sim,werrizetus sim,werrizus sim,werrizus sim,I may have been wage wared
Passive Subjunctive,Perfect,1st Person,Plural,werrizati simus,werrizeti simus,werrizi simus,werrizi simus,We may have been wage wared
Passive Subjunctive,Perfect,2nd Person,Singular,werrizatus sis,werrizetus sis,werrizus sis,werrizus sis,You may have been wage wared
Passive Subjunctive,Perfect,2nd Person,Plural,werrizati sitis,werrizeti sitis,werrizi sitis,werrizi sitis,You (pl.) may have been wage wared
Passive Subjunctive,Perfect,3rd Person,Singular,werrizatus sit,werrizetus sit,werrizus sit,werrizus sit,He/she/it may have been wage wared
Passive Subjunctive,Perfect,3rd Person,Plural,werrizati sint,werrizeti sint,werrizi sint,werrizi sint,They may have been wage wared
Passive Subjunctive,Pluperfect,1st Person,Singular,werrizatus essem,werrizetus essem,werrizus essem,werrizus essem,I should have been wage wared
Passive Subjunctive,Pluperfect,1st Person,Plural,werrizati essemus,werrizeti essemus,werrizi essemus,werrizi essemus,We should have been wage wared
Passive Subjunctive,Pluperfect,2nd Person,Singular,werrizatus esses,werrizetus esses,werrizus esses,werrizus esses,You would have been wage wared
Passive Subjunctive,Pluperfect,2nd Person,Plural,werrizati essetis,werrizeti essetis,werrizi essetis,werrizi essetis,You (pl.) would have been wage wared
Passive Subjunctive,Pluperfect,3rd Person,Singular,werrizatus esset,werrizetus esset,werrizus esset,werrizus esset,He/she/it would have been wage wared
Passive Subjunctive,Pluperfect,3rd Person,Plural,werrizati essent,werrizeti essent,werrizi essent,werrizi essent,They would have been wage wared
